Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559420201611, 269121, 584, 556, 578
1559420201623, 269134, 584, 556, 579
1559420201635, 269147, 584, 555, 579
1559420201650, 269160, 584, 553, 578
1559420201663, 269173, 585, 552, 578
1559420201675, 269187, 584, 553, 579
1559420201690, 269200, 583, 555, 580
1559420201701, 269212, 583, 557, 582
1559420201714, 269225, 582, 558, 581
1559420201728, 269239, 582, 558, 581
1559420201741, 269252, 582, 558, 579
1559420201753, 269264, 581, 557, 578
1559420201767, 269278, 583, 557, 577
1559420201781, 269291, 584, 556, 577
1559420201793, 269304, 585, 554, 576
1559420201807, 269317, 587, 553, 576
1559420201820, 269330, 587, 551, 575
1559420201832, 269343, 587, 552, 576
1559420201846, 269357, 587, 554, 576
1559420201859, 269369, 584, 554, 577
1559420201872, 269382, 583, 558, 580
1559420201884, 269395, 581, 558, 580
1559420201898, 269409, 583, 559, 582
1559420201910, 269421, 582, 557, 581
1559420201924, 269434, 581, 557, 580
1559420201937, 269448, 582, 556, 580
1559420201949, 269461, 582, 556, 579
1559420201963, 269473, 583, 556, 579
1559420201976, 269487, 583, 556, 578
1559420201989, 269500, 583, 556, 579
1559420202002, 269513, 583, 557, 579
1559420202016, 269527, 583, 557, 578
1559420202028, 269539, 582, 557, 578
1559420202041, 269552, 582, 558, 577
1559420202054, 269565, 583, 557, 578
1559420202068, 269579, 583, 557, 579
1559420202081, 269591, 583, 555, 579
1559420202094, 269604, 583, 556, 580
1559420202106, 269618, 584, 556, 579
1559420202120, 269631, 583, 556, 578
1559420202132, 269643, 584, 557, 577
1559420202146, 269657, 585, 557, 577
1559420202159, 269670, 584, 558, 576
1559420202172, 269683, 584, 559, 577
1559420202185, 269696, 583, 559, 577
1559420202199, 269709, 582, 559, 577
1559420202211, 269722, 583, 560, 578
1559420202224, 269735, 582, 559, 578
1559420202237, 269748, 582, 560, 577
1559420202250, 269761, 583, 560, 577
1559420202264, 269774, 582, 559, 576
1559420202276, 269788, 583, 559, 575
1559420202290, 269801, 583, 559, 575
1559420202303, 269813, 584, 559, 575
1559420202316, 269827, 584, 559, 575
1559420202328, 269840, 584, 559, 576
1559420202341, 269853, 584, 559, 576
1559420202354, 269865, 584, 558, 576
1559420202367, 269879, 584, 558, 577
1559420202381, 269892, 584, 559, 577
1559420202394, 269905, 584, 558, 577
1559420202408, 269918, 583, 559, 577
1559420202421, 269931, 583, 560, 577
1559420202433, 269944, 582, 560, 577
1559420202446, 269958, 582, 560, 577
1559420202459, 269970, 581, 560, 576
1559420202472, 269983, 582, 561, 576
1559420202486, 269997, 582, 561, 576
1559420202499, 270010, 582, 562, 575
1559420202511, 270022, 582, 563, 575
1559420202525, 270035, 583, 562, 574
1559420202538, 270049, 583, 562, 575
1559420202550, 270062, 583, 562, 575
1559420202564, 270074, 583, 563, 574
1559420202577, 270088, 584, 564, 573
1559420202590, 270101, 586, 565, 572
1559420202603, 270114, 586, 567, 573
1559420202616, 270128, 590, 572, 578
1559420202629, 270140, 591, 576, 585
