Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559610221115, 2114739, 520, 401, 498
1559610221127, 2114752, 520, 401, 498
1559610221141, 2114765, 521, 401, 498
1559610221154, 2114779, 521, 401, 497
1559610221168, 2114791, 521, 401, 497
1559610221180, 2114804, 520, 401, 496
1559610221193, 2114818, 520, 400, 496
1559610221207, 2114831, 520, 400, 496
1559610221219, 2114844, 521, 400, 496
1559610221232, 2114856, 522, 401, 495
1559610221246, 2114870, 521, 400, 495
1559610221259, 2114883, 521, 400, 495
1559610221273, 2114896, 521, 401, 497
1559610221286, 2114910, 520, 401, 499
1559610221298, 2114922, 520, 401, 499
1559610221311, 2114935, 519, 400, 498
1559610221325, 2114949, 520, 400, 497
1559610221337, 2114962, 520, 400, 496
1559610221351, 2114975, 520, 400, 494
1559610221363, 2114988, 521, 400, 494
1559610221377, 2115001, 521, 400, 494
1559610221390, 2115014, 521, 400, 495
1559610221403, 2115027, 521, 401, 496
1559610221416, 2115041, 521, 401, 495
1559610221429, 2115053, 520, 400, 495
1559610221443, 2115066, 519, 400, 494
1559610221455, 2115080, 518, 400, 495
1559610221469, 2115093, 518, 400, 496
1559610221483, 2115106, 518, 401, 498
1559610221495, 2115119, 519, 400, 498
1559610221508, 2115132, 520, 400, 496
1559610221520, 2115145, 521, 400, 495
1559610221535, 2115159, 522, 400, 492
1559610221548, 2115172, 522, 399, 491
1559610221560, 2115184, 521, 399, 491
1559610221573, 2115197, 520, 399, 494
1559610221586, 2115211, 519, 400, 496
1559610221599, 2115224, 519, 401, 499
1559610221613, 2115237, 519, 401, 500
1559610221627, 2115250, 519, 400, 498
1559610221638, 2115263, 520, 400, 496
1559610221652, 2115276, 521, 400, 495
1559610221666, 2115290, 521, 400, 494
1559610221679, 2115303, 521, 400, 494
1559610221692, 2115315, 520, 401, 495
1559610221705, 2115329, 520, 401, 496
1559610221717, 2115342, 519, 400, 496
1559610221731, 2115355, 519, 400, 496
1559610221744, 2115368, 520, 400, 495
1559610221756, 2115381, 521, 400, 494
1559610221770, 2115394, 521, 400, 494
1559610221783, 2115407, 521, 400, 495
1559610221796, 2115421, 520, 400, 496
1559610221810, 2115434, 520, 400, 497
1559610221822, 2115446, 519, 400, 497
1559610221836, 2115460, 518, 400, 498
1559610221849, 2115473, 519, 400, 498
1559610221861, 2115486, 520, 400, 497
1559610221875, 2115499, 520, 400, 495
1559610221888, 2115512, 521, 400, 495
1559610221902, 2115525, 522, 400, 493
1559610221915, 2115538, 521, 400, 492
1559610221927, 2115552, 520, 400, 493
