Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559608752467, 641339, 521, 399, 514
1559608752479, 641351, 521, 400, 516
1559608752493, 641364, 521, 400, 517
1559608752506, 641378, 522, 400, 516
1559608752518, 641391, 522, 399, 514
1559608752533, 641403, 523, 397, 513
1559608752544, 641417, 523, 397, 513
1559608752558, 641430, 524, 396, 513
1559608752572, 641443, 524, 397, 512
1559608752584, 641456, 524, 397, 513
1559608752597, 641469, 524, 398, 514
1559608752611, 641482, 523, 398, 516
1559608752624, 641496, 522, 399, 518
1559608752636, 641508, 520, 400, 518
1559608752650, 641521, 519, 400, 519
1559608752663, 641534, 518, 400, 518
1559608752677, 641548, 518, 399, 515
1559608752689, 641561, 517, 398, 514
1559608752702, 641573, 516, 397, 512
1559608752715, 641587, 516, 398, 512
1559608752727, 641600, 516, 399, 513
1559608752741, 641613, 516, 400, 514
1559608752754, 641626, 515, 400, 514
1559608752767, 641639, 515, 400, 513
1559608752780, 641652, 515, 400, 513
1559608752794, 641666, 516, 400, 512
1559608752806, 641678, 517, 400, 512
1559608752820, 641691, 517, 400, 512
1559608752832, 641704, 518, 399, 511
1559608752846, 641718, 519, 398, 510
1559608752859, 641730, 519, 397, 511
1559608752871, 641743, 520, 398, 511
1559608752885, 641757, 520, 397, 512
1559608752898, 641770, 520, 397, 513
1559608752912, 641782, 520, 397, 513
1559608752924, 641796, 520, 396, 513
1559608752936, 641809, 521, 396, 512
1559608752950, 641822, 522, 397, 510
1559608752963, 641836, 523, 396, 507
1559608752977, 641848, 524, 397, 506
1559608752989, 641861, 524, 397, 506
1559608753002, 641874, 524, 398, 507
1559608753016, 641888, 524, 399, 508
1559608753029, 641900, 522, 399, 510
1559608753043, 641913, 522, 399, 511
1559608753055, 641927, 522, 400, 512
1559608753068, 641940, 522, 400, 513
1559608753081, 641952, 522, 400, 514
1559608753094, 641966, 523, 400, 515
1559608753107, 641979, 523, 400, 516
1559608753120, 641992, 523, 398, 514
1559608753133, 642004, 524, 396, 512
1559608753147, 642018, 525, 395, 510
1559608753160, 642031, 527, 395, 509
1559608753172, 642044, 528, 397, 510
1559608753186, 642057, 527, 397, 511
1559608753199, 642070, 526, 397, 512
1559608753212, 642083, 524, 397, 512
1559608753225, 642097, 523, 398, 513
1559608753239, 642109, 523, 399, 512
1559608753250, 642122, 523, 399, 511
1559608753264, 642136, 523, 400, 510
1559608753277, 642149, 523, 399, 509
1559608753290, 642162, 522, 399, 509
1559608753302, 642174, 521, 398, 507
1559608753316, 642188, 521, 397, 506
1559608753329, 642201, 521, 398, 506
1559608753342, 642214, 521, 398, 507
1559608753356, 642227, 520, 398, 507
1559608753368, 642240, 520, 397, 507
1559608753382, 642253, 520, 396, 507
1559608753395, 642267, 520, 397, 505
1559608753407, 642279, 521, 396, 504
1559608753421, 642292, 520, 396, 503
1559608753433, 642306, 520, 396, 504
1559608753447, 642319, 521, 398, 505
1559608753460, 642331, 521, 398, 505
1559608753473, 642344, 521, 398, 505
1559608753485, 642358, 521, 397, 504
1559608753499, 642371, 521, 396, 501
1559608753512, 642383, 522, 396, 501
1559608753524, 642397, 523, 397, 499
1559608753539, 642410, 523, 396, 498
1559608753551, 642423, 523, 396, 499
1559608753564, 642437, 523, 398, 502
1559608753578, 642449, 523, 400, 505
1559608753591, 642462, 522, 400, 507
1559608753604, 642476, 522, 399, 505
1559608753616, 642489, 523, 398, 503
1559608753631, 642501, 525, 398, 502
1559608753643, 642514, 527, 399, 502
1559608753656, 642528, 527, 400, 503
1559608753669, 642541, 526, 400, 503
1559608753681, 642553, 527, 400, 503
1559608753695, 642567, 529, 400, 503
1559608753707, 642580, 529, 401, 502
1559608753721, 642593, 528, 402, 503
1559608753734, 642606, 528, 402, 501
1559608753748, 642619, 528, 403, 502
1559608753760, 642632, 529, 403, 501
1559608753773, 642646, 529, 403, 500
1559608753787, 642658, 529, 403, 500
1559608753800, 642671, 529, 403, 501
1559608753813, 642684, 530, 405, 501
1559608753826, 642698, 529, 405, 502
1559608753839, 642710, 530, 405, 503
1559608753852, 642723, 530, 405, 503
1559608753865, 642737, 531, 405, 503
1559608753878, 642750, 532, 405, 502
1559608753891, 642762, 533, 403, 502
1559608753904, 642776, 536, 401, 501
1559608753917, 642789, 539, 400, 499
1559608753931, 642802, 541, 399, 497
1559608753943, 642816, 543, 398, 498
1559608753957, 642828, 545, 398, 498
1559608753969, 642841, 546, 398, 498
1559608753983, 642854, 547, 398, 496
1559608753995, 642868, 547, 398, 497
1559608754008, 642880, 547, 399, 497
1559608754022, 642893, 546, 399, 497
1559608754035, 642907, 545, 399, 496
1559608754048, 642920, 545, 400, 496
1559608754061, 642932, 545, 400, 496
1559608754073, 642946, 545, 400, 495
1559608754087, 642959, 546, 400, 494
1559608754100, 642972, 546, 400, 493
1559608754114, 642984, 547, 402, 495
1559608754126, 642998, 546, 402, 496
1559608754140, 643011, 545, 403, 498
1559608754153, 643024, 543, 402, 499
1559608754165, 643037, 542, 401, 500
1559608754178, 643050, 542, 401, 501
1559608754191, 643063, 544, 402, 500
1559608754205, 643077, 545, 403, 500
1559608754219, 643090, 546, 403, 498
1559608754231, 643102, 548, 403, 497
1559608754243, 643116, 548, 402, 495
1559608754257, 643129, 548, 402, 493
1559608754270, 643142, 549, 401, 492
1559608754284, 643154, 550, 402, 490
1559608754295, 643168, 551, 401, 488
1559608754309, 643181, 550, 401, 487
1559608754322, 643194, 546, 399, 487
1559608754335, 643207, 545, 397, 487
1559608754349, 643220, 543, 397, 486
1559608754361, 643233, 543, 395, 486
1559608754375, 643247, 544, 394, 484
1559608754387, 643259, 544, 391, 484
1559608754400, 643272, 547, 390, 484
1559608754415, 643286, 550, 391, 483
1559608754427, 643299, 551, 394, 482
1559608754440, 643311, 553, 395, 482
1559608754453, 643324, 553, 399, 481
1559608754466, 643338, 553, 403, 483
1559608754478, 643351, 552, 407, 485
1559608754492, 643363, 551, 413, 488
1559608754506, 643377, 549, 418, 492
1559608754518, 643390, 547, 421, 492
1559608754531, 643403, 545, 423, 493
1559608754545, 643417, 543, 426, 494
1559608754558, 643429, 542, 429, 495
1559608754571, 643442, 541, 430, 496
1559608754583, 643456, 541, 431, 496
1559608754597, 643469, 542, 433, 497
1559608754610, 643481, 544, 432, 496
1559608754624, 643494, 546, 432, 496
1559608754636, 643508, 548, 432, 495
1559608754648, 643521, 551, 431, 495
1559608754662, 643533, 552, 431, 497
1559608754675, 643547, 555, 425, 497
1559608754688, 643560, 559, 422, 495
1559608754701, 643573, 560, 419, 492
1559608754715, 643586, 561, 416, 490
1559608754728, 643599, 563, 413, 488
1559608754740, 643612, 567, 410, 486
1559608754755, 643625, 571, 408, 484
1559608754766, 643638, 574, 406, 482
1559608754780, 643651, 576, 407, 481
1559608754793, 643664, 576, 407, 481
1559608754807, 643678, 576, 410, 480
1559608754819, 643691, 574, 412, 480
1559608754832, 643703, 572, 413, 480
1559608754845, 643717, 571, 415, 481
1559608754858, 643730, 570, 418, 483
1559608754871, 643743, 570, 419, 484
1559608754884, 643756, 569, 419, 482
1559608754896, 643769, 566, 418, 480
1559608754911, 643782, 564, 416, 478
1559608754924, 643795, 563, 415, 477
1559608754936, 643808, 561, 413, 476
1559608754949, 643821, 563, 412, 475
1559608754963, 643834, 563, 412, 475
1559608754975, 643848, 562, 414, 476
1559608754989, 643860, 561, 415, 478
1559608755003, 643873, 559, 416, 479
1559608755016, 643887, 558, 417, 480
1559608755027, 643900, 556, 418, 482
1559608755040, 643912, 555, 418, 484
1559608755055, 643926, 553, 418, 485
1559608755067, 643939, 553, 418, 486
1559608755080, 643952, 555, 417, 485
1559608755093, 643964, 555, 416, 483
1559608755107, 643978, 557, 415, 483
1559608755120, 643991, 557, 414, 483
1559608755132, 644004, 557, 414, 484
1559608755146, 644018, 559, 413, 484
1559608755159, 644030, 560, 414, 482
1559608755172, 644043, 560, 414, 483
1559608755185, 644057, 559, 414, 483
1559608755198, 644070, 558, 416, 484
1559608755211, 644082, 558, 416, 484
1559608755224, 644096, 557, 416, 483
1559608755237, 644109, 556, 416, 483
1559608755249, 644122, 556, 417, 482
1559608755263, 644134, 557, 418, 482
1559608755277, 644148, 557, 418, 481
1559608755289, 644161, 557, 418, 481
1559608755303, 644174, 557, 417, 481
1559608755316, 644187, 558, 418, 481
1559608755328, 644200, 558, 419, 482
1559608755342, 644213, 558, 419, 484
1559608755354, 644227, 558, 420, 484
1559608755368, 644239, 558, 420, 483
1559608755381, 644252, 558, 420, 483
1559608755394, 644265, 558, 420, 482
1559608755408, 644279, 558, 420, 482
1559608755420, 644292, 557, 419, 483
1559608755432, 644304, 556, 419, 484
1559608755445, 644318, 556, 419, 483
1559608755459, 644331, 558, 416, 482
1559608755472, 644344, 560, 415, 481
1559608755486, 644357, 561, 413, 481
1559608755499, 644370, 561, 412, 480
1559608755512, 644383, 561, 411, 479
1559608755525, 644397, 561, 411, 477
1559608755538, 644409, 562, 411, 476
1559608755550, 644422, 562, 411, 475
1559608755563, 644435, 562, 410, 475
1559608755576, 644449, 560, 410, 476
1559608755590, 644461, 559, 412, 477
1559608755603, 644474, 558, 413, 477
1559608755616, 644488, 558, 415, 478
1559608755628, 644501, 559, 418, 480
1559608755642, 644513, 558, 419, 481
1559608755654, 644527, 558, 420, 482
1559608755668, 644540, 558, 421, 483
1559608755682, 644553, 558, 422, 484
1559608755694, 644566, 559, 422, 484
1559608755708, 644579, 558, 421, 484
1559608755721, 644592, 558, 420, 483
1559608755734, 644605, 558, 419, 483
1559608755746, 644619, 558, 419, 483
1559608755759, 644631, 558, 418, 482
1559608755774, 644644, 557, 418, 482
1559608755786, 644658, 555, 418, 482
1559608755799, 644671, 554, 419, 483
1559608755812, 644683, 553, 420, 484
1559608755825, 644697, 550, 421, 485
1559608755839, 644710, 546, 422, 486
1559608755851, 644723, 542, 423, 488
1559608755864, 644736, 539, 424, 489
1559608755877, 644749, 537, 425, 490
1559608755890, 644762, 538, 421, 490
1559608755903, 644775, 543, 415, 485
1559608755916, 644788, 546, 411, 481
1559608755931, 644801, 548, 409, 481
1559608755943, 644814, 550, 409, 483
1559608755956, 644828, 550, 409, 483
1559608755969, 644840, 550, 409, 482
1559608755982, 644853, 550, 410, 482
1559608755995, 644867, 549, 411, 485
1559608756008, 644880, 550, 410, 486
1559608756021, 644892, 550, 408, 486
1559608756035, 644905, 550, 407, 484
1559608756047, 644919, 550, 406, 484
1559608756059, 644932, 552, 403, 482
1559608756073, 644945, 554, 400, 479
1559608756086, 644958, 555, 398, 478
1559608756099, 644971, 556, 398, 480
1559608756113, 644984, 555, 400, 482
1559608756126, 644998, 555, 401, 483
1559608756140, 645010, 553, 402, 483
1559608756152, 645023, 552, 403, 481
1559608756164, 645037, 550, 404, 481
1559608756178, 645050, 550, 404, 482
1559608756191, 645062, 550, 404, 482
1559608756204, 645075, 549, 404, 482
1559608756217, 645089, 548, 404, 482
1559608756231, 645102, 547, 404, 479
1559608756242, 645114, 547, 403, 477
1559608756255, 645128, 545, 403, 477
1559608756269, 645141, 543, 405, 479
1559608756283, 645154, 542, 407, 482
1559608756295, 645167, 541, 408, 484
1559608756308, 645180, 540, 408, 484
1559608756322, 645193, 540, 406, 482
1559608756336, 645207, 541, 405, 480
1559608756348, 645219, 543, 405, 480
1559608756361, 645232, 544, 406, 481
1559608756374, 645245, 544, 407, 482
1559608756388, 645259, 543, 407, 484
1559608756400, 645272, 543, 408, 485
1559608756413, 645284, 542, 408, 487
1559608756427, 645298, 543, 409, 487
1559608756440, 645311, 543, 408, 486
1559608756453, 645324, 543, 408, 485
1559608756466, 645337, 544, 407, 484
1559608756479, 645350, 544, 407, 484
1559608756491, 645363, 544, 408, 484
1559608756504, 645377, 543, 408, 485
1559608756518, 645389, 543, 408, 486
1559608756530, 645402, 542, 409, 487
1559608756544, 645415, 543, 409, 488
1559608756556, 645429, 544, 410, 487
1559608756570, 645441, 544, 409, 486
1559608756583, 645454, 544, 408, 484
1559608756596, 645468, 543, 408, 485
1559608756609, 645481, 543, 409, 485
1559608756622, 645493, 543, 408, 486
1559608756636, 645507, 543, 408, 486
1559608756648, 645520, 544, 408, 486
1559608756661, 645533, 544, 409, 485
1559608756674, 645545, 545, 408, 484
1559608756688, 645559, 544, 408, 483
1559608756701, 645572, 544, 408, 483
1559608756713, 645585, 544, 409, 484
1559608756727, 645598, 544, 410, 485
1559608756739, 645611, 544, 410, 486
1559608756753, 645624, 543, 410, 485
1559608756766, 645638, 544, 409, 484
1559608756780, 645651, 544, 409, 483
1559608756792, 645663, 545, 408, 482
1559608756805, 645677, 546, 408, 482
1559608756817, 645690, 547, 408, 482
1559608756831, 645703, 547, 408, 482
1559608756844, 645715, 547, 408, 482
1559608756857, 645729, 547, 408, 483
1559608756870, 645742, 547, 407, 482
1559608756884, 645755, 548, 407, 481
1559608756897, 645768, 550, 405, 481
1559608756910, 645781, 552, 406, 480
1559608756923, 645794, 553, 406, 480
1559608756936, 645808, 553, 404, 479
1559608756949, 645820, 554, 404, 478
1559608756962, 645833, 555, 405, 479
1559608756975, 645847, 556, 404, 479
1559608756987, 645860, 556, 402, 477
1559608757001, 645872, 559, 400, 474
1559608757014, 645885, 563, 399, 473
1559608757026, 645899, 568, 398, 471
1559608757040, 645912, 570, 397, 471
1559608757053, 645924, 571, 396, 472
1559608757067, 645938, 575, 392, 475
1559608757079, 645951, 590, 384, 473
1559608757092, 645964, 607, 368, 458
1559608757106, 645978, 624, 358, 439
1559608757118, 645990, 643, 355, 433
1559608757131, 646003, 658, 362, 438
1559608757144, 646017, 666, 378, 449
1559608757158, 646030, 673, 398, 472
1559608757171, 646042, 678, 409, 483
1559608757184, 646055, 683, 431, 492
1559608757197, 646069, 684, 461, 504
1559608757209, 646082, 681, 484, 512
1559608757223, 646094, 674, 507, 527
1559608757236, 646108, 668, 530, 547
1559608757249, 646121, 659, 550, 568
1559608757263, 646134, 650, 552, 587
1559608757275, 646147, 646, 545, 608
1559608757289, 646160, 643, 550, 621
1559608757302, 646173, 633, 556, 619
1559608757315, 646187, 608, 556, 614
1559608757327, 646199, 560, 542, 623
1559608757341, 646212, 499, 524, 613
1559608757353, 646225, 461, 495, 611
1559608757367, 646239, 448, 475, 607
1559608757379, 646252, 445, 476, 559
1559608757393, 646264, 487, 364, 546
1559608757407, 646278, 519, 339, 485
1559608757419, 646291, 510, 334, 359
1559608757432, 646304, 557, 294, 316
1559608757445, 646317, 635, 268, 325
1559608757459, 646330, 664, 296, 325
1559608757471, 646343, 671, 302, 321
1559608757485, 646356, 663, 279, 357
1559608757498, 646369, 657, 337, 406
1559608757510, 646382, 623, 374, 480
1559608757524, 646395, 596, 395, 523
1559608757536, 646409, 575, 409, 491
1559608757550, 646421, 579, 427, 451
1559608757564, 646434, 594, 417, 397
1559608757576, 646448, 580, 429, 358
1559608757588, 646461, 615, 425, 397
1559608757603, 646473, 630, 417, 431
1559608757615, 646487, 620, 409, 472
1559608757628, 646500, 617, 440, 522
1559608757641, 646513, 628, 470, 538
1559608757654, 646526, 643, 467, 569
1559608757667, 646539, 648, 414, 578
1559608757681, 646552, 625, 455, 548
1559608757694, 646565, 630, 469, 518
1559608757706, 646579, 652, 421, 477
1559608757720, 646591, 629, 408, 444
1559608757733, 646604, 602, 490, 411
1559608757746, 646618, 623, 508, 412
1559608757759, 646631, 634, 501, 412
1559608757772, 646643, 623, 488, 350
1559608757784, 646657, 620, 396, 296
1559608757797, 646670, 599, 309, 307
1559608757811, 646683, 632, 207, 430
1559608757824, 646695, 732, 174, 477
1559608757838, 646709, 913, 306, 603
1559608757851, 646722, 996, 399, 713
1559608757863, 646735, 860, 451, 679
1559608757876, 646748, 636, 377, 583
1559608757890, 646761, 499, 444, 571
1559608757902, 646774, 579, 445, 595
1559608757915, 646788, 641, 455, 585
1559608757930, 646800, 655, 484, 544
1559608757942, 646813, 660, 464, 447
1559608757955, 646827, 624, 478, 488
1559608757967, 646840, 648, 449, 515
1559608757982, 646853, 671, 400, 513
1559608757993, 646865, 651, 437, 473
1559608758007, 646879, 625, 491, 417
1559608758019, 646892, 626, 466, 390
1559608758033, 646905, 591, 455, 387
1559608758046, 646918, 602, 493, 409
1559608758060, 646931, 618, 455, 415
1559608758074, 646944, 601, 413, 395
1559608758085, 646958, 574, 382, 373
1559608758098, 646970, 590, 350, 393
1559608758111, 646983, 617, 325, 401
1559608758125, 646996, 677, 290, 443
1559608758138, 647010, 782, 400, 506
1559608758152, 647022, 816, 482, 614
1559608758163, 647035, 764, 489, 690
1559608758177, 647049, 635, 514, 635
1559608758190, 647062, 520, 578, 555
1559608758204, 647074, 556, 514, 525
1559608758216, 647088, 613, 483, 519
1559608758230, 647101, 629, 509, 519
1559608758242, 647114, 639, 495, 520
1559608758256, 647127, 641, 453, 509
1559608758268, 647140, 634, 438, 483
1559608758281, 647153, 630, 436, 477
1559608758295, 647166, 623, 443, 458
