Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559608612170, 501046, 526, 400, 539
1559608612181, 501058, 525, 399, 538
1559608612195, 501071, 525, 399, 539
1559608612207, 501085, 524, 400, 539
1559608612221, 501098, 525, 400, 540
1559608612234, 501110, 524, 401, 541
1559608612247, 501124, 524, 401, 540
1559608612260, 501137, 524, 400, 538
1559608612273, 501150, 526, 399, 536
1559608612287, 501164, 527, 399, 536
1559608612299, 501176, 527, 399, 536
1559608612313, 501189, 526, 400, 537
1559608612325, 501202, 525, 402, 540
1559608612339, 501216, 525, 402, 541
1559608612351, 501228, 524, 402, 541
1559608612364, 501241, 523, 402, 541
1559608612377, 501255, 523, 404, 541
1559608612391, 501268, 523, 405, 543
1559608612404, 501280, 521, 406, 544
1559608612417, 501294, 519, 406, 545
1559608612430, 501307, 518, 406, 544
1559608612444, 501320, 517, 406, 542
1559608612456, 501332, 518, 407, 542
1559608612470, 501346, 519, 408, 540
1559608612483, 501359, 518, 407, 539
1559608612495, 501372, 519, 407, 538
1559608612509, 501385, 521, 405, 538
1559608612523, 501398, 522, 405, 537
1559608612535, 501411, 522, 403, 538
1559608612548, 501425, 523, 401, 537
1559608612561, 501438, 523, 400, 536
1559608612574, 501450, 524, 400, 537
1559608612589, 501464, 526, 399, 537
1559608612600, 501477, 526, 399, 537
1559608612613, 501490, 527, 399, 537
1559608612626, 501502, 527, 398, 537
1559608612640, 501516, 528, 398, 536
1559608612652, 501529, 529, 397, 535
1559608612665, 501542, 530, 396, 534
1559608612679, 501555, 530, 396, 533
1559608612692, 501568, 530, 396, 533
1559608612705, 501581, 530, 396, 533
1559608612717, 501595, 529, 397, 534
1559608612731, 501607, 528, 398, 535
1559608612744, 501620, 526, 399, 536
1559608612757, 501634, 525, 399, 537
1559608612770, 501647, 524, 399, 538
1559608612784, 501659, 523, 401, 539
1559608612796, 501672, 522, 401, 540
1559608612809, 501686, 522, 401, 540
1559608612823, 501699, 521, 402, 539
1559608612836, 501711, 521, 403, 539
1559608612848, 501725, 521, 404, 539
1559608612862, 501738, 521, 403, 538
1559608612874, 501751, 521, 402, 537
1559608612888, 501765, 521, 402, 538
1559608612900, 501777, 521, 402, 539
1559608612914, 501790, 522, 402, 538
1559608612927, 501804, 523, 402, 538
1559608612941, 501817, 524, 402, 539
1559608612953, 501829, 525, 401, 538
1559608612966, 501842, 524, 400, 538
1559608612979, 501856, 525, 401, 538
1559608612992, 501869, 526, 401, 538
1559608613005, 501881, 525, 401, 538
1559608613019, 501895, 524, 401, 539
1559608613032, 501908, 523, 401, 539
1559608613044, 501921, 523, 402, 538
1559608613058, 501934, 523, 402, 539
1559608613071, 501947, 523, 402, 538
1559608613084, 501960, 522, 402, 537
1559608613096, 501974, 522, 401, 537
1559608613110, 501986, 522, 402, 537
1559608613123, 501999, 523, 402, 537
1559608613136, 502012, 523, 402, 537
1559608613149, 502026, 523, 401, 537
1559608613162, 502039, 524, 401, 536
1559608613176, 502051, 524, 399, 535
1559608613188, 502065, 525, 399, 535
1559608613202, 502078, 525, 399, 536
1559608613214, 502091, 525, 398, 536
1559608613227, 502104, 524, 398, 537
1559608613240, 502117, 524, 398, 538
1559608613254, 502130, 524, 398, 538
1559608613266, 502144, 524, 398, 537
1559608613279, 502156, 525, 397, 535
