Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560022944363, 387458, 394, 453, 535
1560022944376, 387470, 392, 453, 537
1560022944388, 387483, 389, 451, 539
1560022944400, 387496, 389, 450, 538
1560022944413, 387508, 390, 454, 540
1560022944426, 387521, 389, 452, 540
1560022944438, 387534, 390, 453, 540
1560022944452, 387546, 391, 451, 539
1560022944464, 387559, 393, 454, 537
1560022944477, 387572, 391, 454, 537
1560022944490, 387584, 392, 454, 537
1560022944502, 387597, 391, 453, 537
1560022944516, 387610, 391, 452, 539
1560022944528, 387623, 389, 454, 539
1560022944540, 387635, 390, 455, 541
1560022944553, 387648, 391, 455, 541
1560022944566, 387661, 392, 453, 540
1560022944578, 387673, 391, 456, 540
1560022944591, 387686, 392, 453, 539
1560022944603, 387699, 394, 453, 538
1560022944617, 387711, 392, 452, 538
1560022944629, 387724, 390, 454, 539
1560022944642, 387737, 392, 453, 540
1560022944654, 387750, 390, 454, 541
1560022944668, 387762, 392, 453, 541
1560022944679, 387775, 392, 456, 542
1560022944693, 387788, 391, 454, 539
1560022944705, 387800, 391, 454, 537
1560022944718, 387813, 392, 453, 539
1560022944731, 387826, 392, 452, 540
1560022944744, 387838, 392, 453, 541
1560022944756, 387851, 387, 454, 543
1560022944769, 387864, 387, 454, 544
1560022944781, 387876, 386, 452, 544
1560022944794, 387889, 390, 453, 541
1560022944806, 387902, 393, 452, 540
1560022944821, 387915, 392, 452, 539
1560022944833, 387927, 393, 453, 538
1560022944845, 387940, 392, 451, 536
1560022944858, 387953, 392, 454, 540
1560022944871, 387965, 388, 452, 543
1560022944883, 387978, 388, 452, 542
1560022944896, 387991, 391, 451, 540
1560022944909, 388003, 393, 452, 540
1560022944921, 388016, 392, 451, 538
1560022944935, 388029, 392, 453, 538
1560022944948, 388041, 390, 451, 539
1560022944959, 388054, 390, 451, 539
1560022944972, 388067, 389, 452, 541
1560022944985, 388080, 388, 455, 540
1560022944997, 388092, 394, 452, 540
1560022945009, 388105, 391, 453, 539
1560022945023, 388118, 391, 452, 539
1560022945035, 388130, 391, 451, 539
1560022945048, 388143, 392, 451, 538
1560022945061, 388156, 389, 454, 540
1560022945074, 388168, 391, 454, 542
1560022945086, 388181, 388, 453, 542
1560022945100, 388194, 391, 453, 540
1560022945111, 388207, 392, 453, 541
1560022945124, 388219, 390, 453, 540
1560022945136, 388232, 391, 453, 538
1560022945150, 388245, 392, 454, 539
1560022945162, 388257, 391, 453, 541
1560022945174, 388270, 390, 454, 542
1560022945187, 388283, 390, 452, 539
1560022945200, 388295, 389, 452, 541
1560022945214, 388308, 389, 453, 541
1560022945226, 388321, 389, 451, 541
1560022945238, 388333, 390, 452, 540
