Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023061405, 504496, 380, 454, 516
1560023061416, 504508, 378, 456, 517
1560023061429, 504521, 376, 452, 514
1560023061441, 504534, 378, 454, 517
1560023061455, 504546, 380, 458, 518
1560023061467, 504559, 380, 458, 518
1560023061480, 504572, 379, 457, 519
1560023061492, 504584, 379, 457, 519
1560023061506, 504597, 380, 456, 517
1560023061518, 504610, 383, 456, 516
1560023061530, 504623, 382, 457, 515
1560023061543, 504635, 380, 457, 516
1560023061556, 504648, 378, 456, 517
1560023061569, 504661, 379, 458, 519
1560023061580, 504673, 380, 457, 520
1560023061594, 504686, 381, 459, 519
1560023061608, 504699, 383, 457, 520
1560023061620, 504711, 382, 456, 517
1560023061632, 504724, 381, 456, 519
1560023061645, 504737, 380, 458, 520
1560023061658, 504750, 378, 456, 522
1560023061671, 504762, 378, 459, 523
1560023061682, 504775, 379, 455, 522
1560023061695, 504788, 377, 456, 523
1560023061708, 504800, 380, 455, 523
1560023061720, 504813, 381, 456, 522
1560023061734, 504826, 379, 455, 520
1560023061746, 504838, 380, 455, 521
1560023061760, 504851, 379, 457, 521
1560023061772, 504864, 380, 458, 523
1560023061784, 504876, 382, 457, 522
1560023061797, 504889, 380, 455, 522
1560023061810, 504902, 373, 456, 524
1560023061823, 504915, 379, 457, 523
1560023061835, 504927, 379, 457, 523
1560023061848, 504940, 384, 456, 523
1560023061860, 504953, 382, 456, 521
1560023061873, 504965, 381, 457, 520
1560023061885, 504978, 383, 458, 521
1560023061899, 504991, 383, 457, 519
1560023061912, 505003, 382, 457, 520
1560023061924, 505016, 378, 456, 519
1560023061936, 505029, 377, 456, 520
1560023061948, 505041, 379, 456, 521
1560023061963, 505054, 379, 458, 521
1560023061974, 505067, 380, 458, 521
1560023061988, 505080, 381, 457, 520
1560023062000, 505092, 379, 457, 520
1560023062014, 505105, 381, 456, 519
1560023062026, 505118, 380, 456, 523
1560023062039, 505130, 378, 458, 521
1560023062051, 505143, 380, 456, 523
1560023062064, 505156, 380, 456, 523
1560023062077, 505168, 381, 457, 522
1560023062089, 505181, 381, 455, 521
1560023062101, 505194, 384, 455, 522
1560023062115, 505207, 384, 455, 519
1560023062126, 505219, 380, 453, 521
1560023062140, 505232, 377, 454, 522
1560023062152, 505245, 379, 453, 523
1560023062167, 505257, 380, 454, 525
1560023062178, 505270, 382, 457, 521
1560023062191, 505283, 379, 456, 522
1560023062203, 505295, 381, 455, 521
1560023062218, 505308, 380, 456, 520
1560023062228, 505321, 379, 457, 521
1560023062242, 505333, 379, 455, 521
1560023062254, 505346, 379, 455, 523
1560023062268, 505359, 379, 457, 523
1560023062280, 505372, 379, 460, 520
1560023062292, 505384, 382, 457, 521
1560023062305, 505397, 381, 457, 521
1560023062318, 505410, 384, 457, 519
1560023062331, 505422, 381, 456, 519
1560023062342, 505435, 376, 457, 521
1560023062355, 505448, 380, 456, 521
1560023062370, 505460, 379, 457, 521
1560023062381, 505473, 378, 456, 522
1560023062393, 505486, 381, 455, 520
1560023062406, 505499, 381, 457, 519
1560023062419, 505511, 381, 456, 520
1560023062431, 505524, 381, 456, 521
1560023062444, 505537, 378, 457, 520
1560023062456, 505549, 378, 455, 521
1560023062471, 505562, 379, 456, 521
1560023062483, 505575, 379, 458, 521
1560023062496, 505587, 377, 456, 520
1560023062508, 505600, 379, 455, 520
1560023062522, 505613, 380, 455, 519
1560023062533, 505625, 379, 455, 522
