Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024181887, 1624968, 374, 457, 482
1560024181899, 1624981, 374, 457, 481
1560024181913, 1624994, 376, 458, 479
1560024181925, 1625006, 374, 457, 481
1560024181938, 1625019, 371, 457, 482
1560024181950, 1625032, 374, 456, 479
1560024181964, 1625044, 375, 457, 482
1560024181976, 1625057, 374, 458, 482
1560024181988, 1625070, 374, 455, 481
1560024182002, 1625083, 375, 456, 481
1560024182015, 1625095, 374, 457, 482
1560024182027, 1625108, 374, 456, 481
1560024182039, 1625121, 377, 455, 481
1560024182053, 1625133, 375, 456, 481
1560024182065, 1625146, 374, 456, 481
1560024182078, 1625159, 374, 456, 483
1560024182091, 1625171, 374, 455, 484
1560024182104, 1625184, 374, 456, 483
1560024182117, 1625197, 375, 455, 482
1560024182128, 1625209, 375, 456, 484
1560024182141, 1625222, 375, 456, 483
1560024182155, 1625235, 371, 456, 481
1560024182168, 1625248, 373, 456, 483
1560024182178, 1625260, 371, 458, 483
1560024182192, 1625273, 375, 455, 482
1560024182206, 1625286, 375, 455, 480
1560024182218, 1625298, 374, 456, 483
1560024182230, 1625311, 374, 458, 481
1560024182243, 1625324, 373, 459, 483
1560024182255, 1625336, 373, 457, 481
1560024182268, 1625349, 372, 456, 483
1560024182280, 1625362, 372, 455, 482
1560024182293, 1625375, 372, 457, 483
1560024182307, 1625387, 373, 451, 482
1560024182320, 1625400, 373, 456, 481
1560024182332, 1625413, 373, 457, 481
1560024182344, 1625425, 375, 458, 481
1560024182357, 1625438, 373, 457, 482
1560024182370, 1625451, 373, 456, 480
1560024182382, 1625463, 374, 457, 481
1560024182394, 1625476, 374, 456, 482
1560024182408, 1625489, 374, 455, 481
1560024182421, 1625501, 374, 456, 482
1560024182433, 1625514, 372, 455, 479
1560024182446, 1625527, 375, 454, 480
1560024182459, 1625540, 372, 457, 479
1560024182471, 1625552, 373, 457, 481
1560024182483, 1625565, 374, 455, 481
1560024182498, 1625578, 374, 457, 481
1560024182510, 1625590, 373, 455, 481
1560024182522, 1625603, 373, 456, 482
1560024182535, 1625616, 374, 454, 482
1560024182547, 1625628, 373, 456, 483
1560024182561, 1625641, 374, 453, 482
1560024182573, 1625654, 375, 456, 483
1560024182586, 1625666, 373, 457, 482
1560024182599, 1625679, 374, 457, 480
1560024182611, 1625692, 374, 455, 481
1560024182624, 1625705, 372, 457, 482
1560024182637, 1625717, 372, 458, 481
1560024182649, 1625730, 373, 457, 483
1560024182661, 1625743, 370, 456, 483
1560024182674, 1625755, 371, 455, 483
1560024182688, 1625768, 371, 456, 483
1560024182700, 1625781, 373, 455, 482
1560024182713, 1625793, 373, 454, 481
1560024182725, 1625806, 372, 455, 481
1560024182739, 1625819, 373, 456, 483
1560024182751, 1625832, 372, 456, 482
1560024182764, 1625844, 373, 456, 480
1560024182776, 1625857, 375, 456, 482
1560024182789, 1625870, 374, 456, 480
1560024182802, 1625882, 375, 454, 482
1560024182814, 1625895, 379, 455, 480
1560024182827, 1625908, 378, 454, 481
1560024182840, 1625920, 376, 455, 480
1560024182852, 1625933, 377, 457, 481
1560024182865, 1625946, 378, 457, 479
1560024182877, 1625958, 376, 460, 480
1560024182892, 1625971, 376, 460, 477
1560024182904, 1625984, 376, 459, 477
1560024182916, 1625997, 376, 462, 478
1560024182928, 1626009, 375, 462, 478
1560024182942, 1626022, 374, 460, 477
1560024182953, 1626035, 372, 462, 477
1560024182967, 1626047, 371, 462, 479
1560024182979, 1626060, 372, 462, 480
1560024182992, 1626073, 368, 463, 481
1560024183005, 1626085, 370, 460, 482
1560024183017, 1626098, 369, 459, 484
1560024183029, 1626111, 368, 458, 486
1560024183043, 1626124, 366, 458, 484
1560024183055, 1626136, 367, 455, 487
1560024183068, 1626149, 369, 454, 482
1560024183081, 1626162, 371, 453, 484
1560024183093, 1626174, 372, 455, 483
1560024183106, 1626187, 374, 455, 484
1560024183118, 1626200, 374, 453, 484
1560024183132, 1626212, 376, 454, 483
1560024183144, 1626225, 375, 455, 484
1560024183157, 1626238, 377, 453, 484
1560024183171, 1626250, 376, 455, 482
1560024183182, 1626263, 376, 454, 482
1560024183195, 1626276, 376, 453, 481
1560024183208, 1626289, 374, 454, 482
1560024183220, 1626301, 375, 455, 483
1560024183233, 1626314, 373, 455, 482
1560024183246, 1626327, 373, 456, 481
1560024183259, 1626339, 372, 455, 482
1560024183272, 1626352, 374, 454, 479
1560024183284, 1626365, 377, 455, 477
1560024183296, 1626377, 378, 455, 477
1560024183310, 1626390, 379, 455, 477
1560024183322, 1626403, 383, 454, 478
1560024183334, 1626416, 382, 453, 479
1560024183347, 1626428, 380, 452, 475
1560024183360, 1626441, 380, 454, 479
1560024183373, 1626454, 379, 456, 478
1560024183385, 1626466, 377, 457, 477
1560024183399, 1626479, 375, 458, 479
1560024183411, 1626492, 374, 460, 480
1560024183424, 1626504, 374, 461, 480
1560024183435, 1626517, 373, 461, 481
1560024183449, 1626530, 374, 461, 482
1560024183462, 1626542, 374, 461, 482
1560024183474, 1626555, 374, 463, 482
1560024183487, 1626568, 376, 460, 483
1560024183500, 1626581, 375, 461, 484
1560024183512, 1626593, 374, 460, 484
1560024183525, 1626606, 373, 458, 486
1560024183538, 1626619, 373, 458, 486
1560024183551, 1626631, 371, 458, 485
1560024183562, 1626644, 374, 458, 487
1560024183576, 1626657, 373, 457, 484
1560024183588, 1626669, 374, 459, 484
1560024183602, 1626682, 375, 460, 483
1560024183613, 1626695, 374, 460, 481
1560024183627, 1626708, 373, 459, 480
1560024183639, 1626720, 372, 458, 480
1560024183652, 1626733, 372, 457, 479
1560024183665, 1626746, 369, 458, 479
1560024183676, 1626758, 367, 458, 478
1560024183690, 1626771, 367, 458, 477
1560024183703, 1626784, 369, 457, 478
1560024183715, 1626796, 367, 459, 478
1560024183727, 1626809, 367, 458, 480
1560024183741, 1626822, 367, 457, 482
1560024183754, 1626834, 367, 456, 481
1560024183766, 1626847, 370, 453, 482
1560024183780, 1626860, 370, 455, 483
1560024183792, 1626873, 374, 455, 485
1560024183805, 1626885, 374, 452, 481
1560024183817, 1626898, 377, 454, 482
1560024183830, 1626911, 379, 453, 481
1560024183842, 1626923, 380, 455, 481
1560024183856, 1626936, 378, 453, 483
1560024183868, 1626949, 379, 452, 481
1560024183880, 1626961, 377, 451, 481
1560024183894, 1626974, 375, 452, 481
1560024183906, 1626987, 377, 450, 480
1560024183918, 1627000, 373, 450, 477
1560024183931, 1627012, 371, 450, 479
1560024183944, 1627025, 374, 453, 479
1560024183956, 1627038, 372, 454, 478
1560024183969, 1627050, 372, 456, 482
1560024183983, 1627063, 372, 458, 480
1560024183995, 1627076, 374, 459, 482
1560024184007, 1627088, 373, 459, 481
1560024184019, 1627101, 377, 461, 481
1560024184034, 1627114, 375, 461, 486
1560024184046, 1627126, 376, 461, 487
1560024184057, 1627139, 376, 462, 487
1560024184071, 1627152, 374, 461, 487
1560024184084, 1627165, 375, 458, 486
1560024184096, 1627177, 378, 460, 485
1560024184110, 1627190, 381, 458, 485
1560024184121, 1627203, 378, 458, 483
1560024184135, 1627215, 376, 459, 482
1560024184147, 1627228, 378, 456, 481
1560024184159, 1627241, 378, 455, 480
1560024184173, 1627253, 374, 457, 477
1560024184185, 1627266, 376, 453, 475
1560024184198, 1627279, 376, 454, 476
1560024184211, 1627291, 374, 455, 473
1560024184223, 1627304, 372, 456, 473
1560024184236, 1627317, 372, 456, 473
1560024184248, 1627330, 373, 457, 473
1560024184262, 1627342, 373, 459, 474
1560024184274, 1627355, 374, 460, 476
1560024184287, 1627368, 374, 459, 478
1560024184299, 1627380, 374, 461, 482
1560024184312, 1627393, 373, 459, 481
1560024184325, 1627406, 373, 458, 483
1560024184337, 1627418, 372, 455, 485
1560024184351, 1627431, 372, 456, 486
1560024184363, 1627444, 371, 453, 486
1560024184376, 1627457, 372, 454, 488
1560024184388, 1627469, 372, 451, 485
1560024184401, 1627482, 375, 451, 483
1560024184414, 1627495, 373, 454, 484
1560024184426, 1627507, 371, 456, 486
1560024184439, 1627520, 371, 452, 485
1560024184452, 1627533, 370, 451, 484
1560024184465, 1627545, 368, 453, 487
1560024184477, 1627558, 366, 451, 486
1560024184490, 1627571, 368, 451, 483
1560024184503, 1627583, 368, 452, 479
1560024184515, 1627596, 371, 449, 479
1560024184528, 1627609, 372, 449, 475
1560024184540, 1627622, 370, 452, 477
1560024184553, 1627634, 369, 448, 474
1560024184567, 1627647, 367, 449, 475
1560024184579, 1627660, 369, 450, 476
1560024184592, 1627672, 370, 456, 475
1560024184605, 1627685, 377, 457, 475
1560024184618, 1627698, 381, 459, 479
1560024184629, 1627710, 382, 461, 482
1560024184642, 1627723, 381, 462, 485
1560024184656, 1627736, 382, 461, 485
1560024184668, 1627749, 385, 462, 489
1560024184681, 1627761, 381, 458, 495
1560024184693, 1627774, 375, 458, 495
1560024184705, 1627787, 377, 456, 498
1560024184719, 1627799, 381, 455, 498
1560024184732, 1627812, 383, 456, 498
1560024184744, 1627825, 382, 454, 498
1560024184756, 1627837, 382, 456, 500
1560024184769, 1627850, 377, 456, 499
1560024184782, 1627863, 376, 458, 501
1560024184794, 1627875, 373, 458, 501
1560024184808, 1627888, 374, 456, 498
