Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559610711254, 86574, 541, 403, 492
1559610711268, 86587, 542, 403, 492
1559610711281, 86600, 542, 403, 493
1559610711294, 86612, 541, 404, 493
1559610711306, 86626, 541, 403, 494
1559610711318, 86639, 540, 403, 494
1559610711332, 86652, 540, 403, 494
1559610711345, 86665, 540, 403, 494
1559610711359, 86678, 540, 403, 494
1559610711371, 86691, 540, 403, 494
1559610711385, 86704, 540, 404, 494
1559610711398, 86717, 540, 404, 494
1559610711410, 86730, 540, 404, 495
1559610711424, 86744, 539, 405, 495
1559610711436, 86756, 539, 404, 496
1559610711450, 86769, 539, 404, 495
1559610711463, 86782, 539, 403, 495
1559610711476, 86796, 540, 403, 494
1559610711490, 86808, 540, 402, 492
1559610711502, 86821, 540, 402, 492
1559610711514, 86835, 540, 403, 494
1559610711528, 86847, 539, 404, 496
1559610711542, 86860, 539, 404, 497
1559610711555, 86874, 539, 403, 496
1559610711568, 86887, 539, 403, 495
1559610711580, 86899, 540, 403, 494
1559610711593, 86913, 540, 404, 494
1559610711606, 86926, 539, 404, 495
1559610711620, 86938, 539, 404, 495
1559610711632, 86951, 539, 404, 496
1559610711644, 86965, 539, 404, 495
1559610711658, 86978, 540, 403, 494
1559610711671, 86990, 540, 403, 493
1559610711684, 87004, 540, 403, 492
1559610711698, 87017, 540, 404, 494
1559610711711, 87030, 540, 404, 495
1559610711723, 87043, 540, 405, 496
1559610711736, 87056, 539, 404, 496
1559610711749, 87069, 539, 404, 496
1559610711762, 87081, 539, 404, 496
1559610711776, 87095, 540, 404, 496
1559610711788, 87108, 540, 404, 495
1559610711801, 87121, 540, 404, 495
1559610711814, 87134, 540, 404, 496
1559610711827, 87147, 540, 404, 496
1559610711841, 87160, 540, 404, 496
1559610711854, 87173, 540, 404, 497
1559610711866, 87186, 540, 404, 496
1559610711879, 87199, 540, 404, 496
1559610711892, 87213, 541, 404, 496
1559610711906, 87225, 541, 404, 496
1559610711919, 87238, 541, 403, 495
1559610711932, 87251, 540, 403, 495
1559610711944, 87265, 540, 403, 495
1559610711958, 87277, 540, 403, 496
1559610711970, 87290, 541, 403, 496
1559610711984, 87304, 541, 403, 495
1559610711998, 87316, 541, 403, 495
1559610712009, 87329, 541, 403, 494
1559610712023, 87343, 541, 403, 494
1559610712037, 87356, 541, 403, 493
1559610712049, 87368, 541, 403, 494
1559610712063, 87382, 541, 403, 495
1559610712074, 87395, 540, 404, 496
1559610712089, 87407, 539, 404, 496
1559610712101, 87420, 539, 404, 496
1559610712114, 87434, 540, 403, 495
1559610712126, 87447, 540, 403, 494
1559610712141, 87459, 541, 402, 492
1559610712153, 87473, 541, 403, 493
1559610712167, 87486, 541, 403, 493
1559610712180, 87499, 541, 404, 495
1559610712192, 87512, 540, 404, 496
1559610712206, 87525, 540, 403, 496
1559610712218, 87538, 540, 403, 496
1559610712231, 87550, 540, 403, 495
1559610712244, 87564, 540, 403, 495
1559610712259, 87577, 540, 403, 494
1559610712270, 87590, 539, 404, 494
1559610712283, 87603, 539, 404, 496
1559610712296, 87616, 539, 405, 497
1559610712311, 87629, 539, 405, 498
1559610712323, 87642, 540, 404, 497
1559610712336, 87655, 540, 404, 494
1559610712349, 87668, 541, 403, 493
1559610712362, 87682, 542, 404, 493
1559610712375, 87694, 542, 404, 494
1559610712388, 87707, 541, 404, 495
1559610712400, 87720, 541, 404, 496
1559610712414, 87733, 541, 404, 495
1559610712426, 87746, 541, 404, 496
1559610712440, 87759, 541, 403, 495
1559610712454, 87773, 541, 403, 494
1559610712466, 87785, 542, 403, 494
1559610712479, 87798, 541, 403, 494
1559610712491, 87812, 541, 404, 495
1559610712505, 87825, 540, 404, 496
1559610712518, 87837, 540, 404, 496
1559610712532, 87851, 540, 404, 495
1559610712544, 87864, 541, 404, 495
1559610712557, 87876, 541, 403, 494
1559610712571, 87889, 542, 403, 493
1559610712584, 87903, 542, 403, 494
1559610712597, 87916, 541, 404, 495
1559610712610, 87928, 541, 404, 495
1559610712622, 87942, 541, 403, 496
1559610712636, 87955, 541, 404, 496
1559610712648, 87967, 541, 404, 495
1559610712661, 87981, 541, 404, 495
1559610712675, 87994, 541, 404, 495
1559610712687, 88007, 541, 403, 495
1559610712701, 88019, 541, 403, 495
1559610712713, 88033, 540, 403, 495
1559610712727, 88046, 540, 403, 496
1559610712739, 88059, 539, 404, 496
1559610712752, 88072, 539, 404, 496
1559610712765, 88085, 540, 404, 496
1559610712779, 88098, 540, 404, 495
1559610712792, 88111, 540, 404, 495
1559610712805, 88124, 540, 404, 496
1559610712818, 88137, 540, 404, 495
1559610712830, 88151, 540, 404, 496
1559610712844, 88163, 539, 404, 496
1559610712857, 88176, 539, 403, 496
1559610712869, 88189, 539, 403, 495
1559610712883, 88202, 540, 403, 495
1559610712896, 88215, 540, 403, 495
1559610712908, 88228, 540, 403, 495
1559610712922, 88242, 540, 403, 495
1559610712935, 88254, 540, 403, 495
1559610712948, 88267, 540, 403, 495
1559610712961, 88281, 540, 403, 495
1559610712974, 88294, 540, 403, 496
1559610712987, 88306, 539, 403, 495
1559610713001, 88320, 539, 403, 495
1559610713013, 88333, 540, 403, 494
1559610713026, 88345, 540, 404, 494
1559610713039, 88358, 540, 403, 494
1559610713052, 88372, 541, 403, 494
1559610713065, 88385, 541, 403, 493
1559610713078, 88397, 541, 403, 495
1559610713092, 88411, 541, 404, 496
1559610713104, 88424, 541, 404, 496
1559610713117, 88436, 541, 404, 496
1559610713130, 88450, 542, 403, 495
1559610713144, 88463, 542, 403, 494
1559610713156, 88476, 542, 403, 493
1559610713170, 88488, 541, 403, 495
1559610713182, 88502, 541, 404, 495
1559610713196, 88515, 540, 404, 496
1559610713208, 88527, 540, 404, 496
1559610713222, 88541, 540, 404, 495
1559610713234, 88554, 540, 404, 495
1559610713247, 88567, 541, 403, 494
1559610713261, 88580, 541, 403, 493
1559610713274, 88593, 541, 404, 494
1559610713286, 88606, 540, 404, 495
1559610713300, 88620, 540, 405, 496
1559610713313, 88632, 540, 405, 497
1559610713326, 88645, 540, 404, 496
1559610713339, 88658, 540, 404, 495
1559610713351, 88671, 541, 404, 494
1559610713365, 88684, 541, 403, 494
1559610713378, 88697, 541, 403, 493
1559610713390, 88711, 540, 404, 494
1559610713404, 88723, 540, 404, 495
1559610713417, 88736, 539, 404, 496
1559610713430, 88750, 539, 405, 496
1559610713443, 88762, 539, 405, 496
1559610713457, 88775, 539, 404, 496
1559610713469, 88788, 540, 404, 495
1559610713482, 88802, 540, 405, 494
1559610713495, 88814, 540, 405, 495
1559610713509, 88827, 540, 404, 496
1559610713521, 88841, 540, 404, 496
1559610713534, 88854, 540, 404, 496
1559610713547, 88866, 540, 404, 496
1559610713560, 88880, 541, 404, 495
1559610713573, 88893, 541, 404, 495
1559610713586, 88905, 541, 404, 495
1559610713601, 88919, 541, 403, 495
1559610713613, 88932, 541, 403, 495
1559610713626, 88945, 541, 403, 495
1559610713638, 88957, 540, 403, 495
1559610713651, 88971, 539, 404, 496
1559610713665, 88984, 539, 403, 495
1559610713677, 88996, 540, 403, 495
1559610713690, 89010, 539, 403, 494
1559610713703, 89023, 540, 403, 494
1559610713716, 89036, 540, 404, 494
1559610713728, 89049, 540, 404, 495
1559610713743, 89062, 540, 404, 495
1559610713756, 89075, 539, 404, 495
1559610713768, 89089, 540, 404, 496
1559610713782, 89101, 540, 404, 496
1559610713794, 89114, 540, 404, 496
1559610713808, 89127, 541, 403, 495
1559610713821, 89140, 542, 402, 494
1559610713834, 89153, 542, 402, 493
1559610713847, 89166, 542, 403, 494
1559610713860, 89180, 541, 403, 495
1559610713874, 89192, 541, 403, 495
1559610713886, 89205, 541, 403, 495
1559610713900, 89219, 540, 403, 495
1559610713912, 89231, 540, 403, 495
1559610713925, 89244, 541, 403, 495
1559610713938, 89257, 540, 403, 495
1559610713951, 89271, 540, 404, 495
1559610713966, 89283, 540, 404, 495
1559610713978, 89296, 540, 404, 495
1559610713990, 89310, 540, 403, 495
1559610714004, 89323, 540, 403, 494
1559610714017, 89335, 540, 403, 495
1559610714030, 89349, 540, 403, 496
1559610714043, 89362, 541, 404, 496
1559610714055, 89374, 540, 403, 496
1559610714069, 89388, 540, 403, 495
1559610714080, 89401, 540, 403, 495
1559610714094, 89414, 540, 403, 496
1559610714108, 89426, 540, 403, 496
1559610714120, 89440, 539, 403, 496
1559610714134, 89453, 539, 403, 496
1559610714147, 89465, 539, 404, 496
1559610714159, 89479, 539, 404, 496
1559610714172, 89492, 539, 404, 496
1559610714185, 89505, 539, 404, 496
1559610714198, 89518, 539, 404, 496
1559610714212, 89531, 540, 403, 496
1559610714226, 89544, 540, 403, 495
1559610714238, 89558, 540, 403, 495
1559610714252, 89570, 540, 403, 494
1559610714263, 89583, 540, 403, 495
1559610714277, 89596, 540, 403, 495
1559610714290, 89609, 540, 403, 496
1559610714303, 89622, 540, 403, 495
1559610714315, 89635, 540, 403, 495
