Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609757193, 1650834, 494, 441, 592
1559609757207, 1650846, 494, 441, 593
1559609757219, 1650860, 494, 442, 593
1559609757233, 1650873, 494, 442, 593
1559609757247, 1650886, 494, 443, 593
1559609757259, 1650899, 493, 442, 593
1559609757273, 1650912, 493, 442, 593
1559609757285, 1650925, 492, 442, 593
1559609757298, 1650938, 492, 441, 592
1559609757311, 1650952, 492, 440, 592
1559609757324, 1650965, 492, 441, 593
1559609757338, 1650977, 492, 441, 592
1559609757351, 1650991, 492, 441, 593
1559609757365, 1651004, 493, 441, 592
1559609757377, 1651017, 493, 441, 592
1559609757390, 1651031, 493, 440, 591
1559609757404, 1651043, 493, 440, 591
1559609757416, 1651056, 493, 439, 592
1559609757430, 1651069, 493, 440, 592
1559609757443, 1651083, 493, 440, 592
1559609757456, 1651096, 493, 440, 593
1559609757470, 1651108, 493, 441, 593
1559609757481, 1651122, 493, 441, 593
1559609757495, 1651135, 493, 441, 593
1559609757508, 1651148, 493, 441, 593
1559609757521, 1651162, 493, 441, 593
1559609757534, 1651174, 493, 441, 593
1559609757546, 1651187, 493, 441, 592
1559609757561, 1651201, 493, 441, 593
1559609757574, 1651214, 493, 442, 593
1559609757587, 1651227, 494, 442, 593
1559609757599, 1651239, 494, 441, 593
1559609757613, 1651253, 495, 441, 593
1559609757627, 1651266, 495, 442, 593
1559609757639, 1651279, 495, 441, 592
1559609757652, 1651293, 495, 441, 593
1559609757665, 1651305, 495, 441, 592
1559609757678, 1651318, 495, 441, 592
1559609757691, 1651332, 495, 441, 592
1559609757705, 1651345, 494, 441, 592
1559609757717, 1651358, 495, 441, 592
1559609757731, 1651371, 494, 441, 592
1559609757745, 1651384, 495, 441, 592
1559609757758, 1651397, 494, 441, 592
1559609757770, 1651410, 494, 441, 593
1559609757783, 1651424, 494, 441, 593
1559609757797, 1651436, 494, 441, 592
1559609757810, 1651449, 494, 441, 592
1559609757822, 1651463, 494, 441, 592
1559609757836, 1651476, 494, 441, 592
1559609757849, 1651489, 494, 441, 591
1559609757863, 1651502, 494, 441, 592
1559609757875, 1651515, 494, 441, 592
1559609757889, 1651528, 494, 441, 592
1559609757901, 1651542, 494, 441, 592
1559609757914, 1651555, 494, 441, 592
1559609757926, 1651567, 494, 441, 592
1559609757942, 1651580, 493, 441, 592
1559609757954, 1651594, 493, 441, 592
1559609757967, 1651607, 494, 441, 593
1559609757980, 1651620, 494, 441, 592
1559609757994, 1651633, 494, 441, 593
1559609758006, 1651646, 493, 441, 593
1559609758020, 1651659, 494, 441, 592
1559609758032, 1651673, 494, 441, 592
1559609758045, 1651686, 494, 441, 592
1559609758058, 1651698, 494, 441, 592
1559609758072, 1651712, 494, 440, 592
1559609758085, 1651725, 494, 441, 592
1559609758099, 1651738, 494, 441, 592
1559609758112, 1651751, 494, 441, 592
1559609758124, 1651764, 494, 440, 592
1559609758138, 1651777, 495, 440, 592
1559609758150, 1651790, 495, 440, 592
1559609758163, 1651804, 495, 439, 592
1559609758177, 1651817, 495, 439, 592
1559609758190, 1651829, 495, 440, 592
1559609758203, 1651843, 495, 440, 593
1559609758215, 1651856, 495, 440, 592
1559609758228, 1651869, 495, 440, 592
1559609758242, 1651883, 495, 440, 592
1559609758256, 1651895, 495, 440, 592
1559609758268, 1651908, 495, 439, 592
1559609758281, 1651921, 495, 439, 592
1559609758295, 1651935, 495, 440, 592
1559609758308, 1651948, 495, 441, 593
1559609758320, 1651960, 494, 441, 594
