Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023219819, 662908, 379, 463, 517
1560023219832, 662920, 381, 464, 517
1560023219845, 662933, 379, 466, 517
1560023219857, 662946, 380, 464, 517
1560023219869, 662958, 380, 465, 517
1560023219883, 662971, 379, 466, 520
1560023219895, 662984, 380, 466, 519
1560023219908, 662997, 380, 465, 519
1560023219921, 663009, 380, 467, 518
1560023219935, 663022, 380, 463, 518
1560023219947, 663035, 381, 466, 518
1560023219959, 663047, 380, 464, 519
1560023219972, 663060, 379, 465, 518
1560023219985, 663073, 379, 468, 520
1560023219997, 663085, 379, 468, 520
1560023220009, 663098, 379, 468, 521
1560023220023, 663111, 380, 464, 519
1560023220036, 663124, 379, 463, 520
1560023220048, 663136, 380, 465, 521
1560023220061, 663149, 380, 464, 520
1560023220073, 663162, 378, 465, 519
1560023220087, 663174, 378, 465, 519
1560023220099, 663187, 379, 463, 520
1560023220112, 663200, 379, 465, 518
1560023220124, 663212, 378, 465, 520
1560023220136, 663225, 379, 464, 521
1560023220150, 663238, 379, 465, 518
1560023220163, 663250, 379, 464, 519
1560023220175, 663263, 380, 466, 518
1560023220187, 663276, 379, 464, 519
1560023220201, 663289, 378, 464, 518
1560023220213, 663301, 380, 466, 520
1560023220226, 663314, 380, 466, 519
1560023220238, 663327, 378, 466, 520
1560023220251, 663339, 379, 465, 519
1560023220264, 663352, 381, 465, 518
1560023220277, 663365, 380, 464, 516
1560023220289, 663377, 379, 463, 517
1560023220301, 663390, 379, 464, 517
1560023220316, 663403, 378, 463, 519
1560023220328, 663416, 380, 467, 521
1560023220340, 663428, 378, 464, 520
1560023220353, 663441, 378, 465, 520
1560023220366, 663454, 380, 465, 518
1560023220379, 663466, 380, 465, 521
1560023220390, 663479, 380, 463, 518
1560023220404, 663492, 380, 463, 517
1560023220417, 663504, 380, 463, 518
1560023220428, 663517, 380, 464, 518
1560023220441, 663530, 379, 463, 518
1560023220453, 663542, 379, 464, 517
1560023220467, 663555, 379, 465, 519
1560023220480, 663568, 382, 464, 518
1560023220493, 663581, 379, 463, 518
1560023220505, 663593, 381, 464, 517
