Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560022979937, 423030, 379, 452, 518
1560022979949, 423042, 378, 449, 520
1560022979961, 423055, 379, 449, 518
1560022979973, 423068, 382, 449, 519
1560022979988, 423081, 382, 450, 520
1560022979999, 423093, 380, 450, 517
1560022980012, 423106, 381, 450, 518
1560022980024, 423119, 380, 446, 518
1560022980038, 423131, 378, 447, 520
1560022980050, 423144, 379, 450, 523
1560022980063, 423157, 379, 449, 521
1560022980075, 423169, 381, 449, 520
1560022980089, 423182, 380, 448, 517
1560022980100, 423195, 382, 449, 519
1560022980113, 423208, 383, 450, 520
1560022980126, 423220, 380, 450, 519
1560022980139, 423233, 381, 451, 522
1560022980151, 423246, 379, 451, 521
1560022980164, 423258, 378, 450, 520
1560022980177, 423271, 379, 448, 520
1560022980189, 423284, 381, 448, 522
1560022980202, 423296, 380, 447, 521
1560022980214, 423309, 380, 448, 522
1560022980229, 423322, 382, 450, 521
1560022980240, 423334, 381, 448, 521
1560022980252, 423347, 380, 449, 521
1560022980266, 423360, 378, 447, 519
1560022980279, 423373, 378, 447, 522
1560022980291, 423385, 379, 451, 523
1560022980304, 423398, 379, 450, 522
1560022980316, 423411, 382, 450, 522
1560022980329, 423423, 381, 450, 522
1560022980342, 423436, 382, 451, 520
1560022980354, 423449, 383, 452, 520
1560022980368, 423461, 384, 449, 520
1560022980380, 423474, 379, 451, 522
1560022980392, 423487, 380, 449, 521
1560022980405, 423500, 379, 451, 523
1560022980419, 423512, 378, 452, 524
1560022980430, 423525, 380, 450, 524
1560022980444, 423538, 382, 452, 522
1560022980456, 423550, 382, 451, 522
1560022980468, 423563, 381, 450, 519
1560022980481, 423576, 382, 450, 521
1560022980495, 423588, 379, 450, 520
1560022980507, 423601, 380, 452, 523
1560022980520, 423614, 379, 451, 522
1560022980533, 423626, 378, 450, 522
1560022980545, 423639, 381, 450, 523
1560022980558, 423652, 380, 450, 523
1560022980570, 423665, 379, 450, 522
1560022980582, 423677, 382, 449, 523
1560022980596, 423690, 382, 450, 522
1560022980608, 423703, 381, 448, 522
1560022980621, 423715, 382, 451, 523
1560022980634, 423728, 379, 451, 523
1560022980648, 423741, 380, 449, 524
1560022980659, 423753, 381, 450, 524
1560022980672, 423766, 383, 449, 523
1560022980685, 423779, 386, 448, 519
1560022980697, 423791, 382, 449, 520
1560022980710, 423804, 382, 449, 524
1560022980723, 423817, 379, 450, 523
1560022980736, 423830, 379, 453, 524
1560022980749, 423842, 380, 450, 524
1560022980760, 423855, 380, 450, 523
1560022980773, 423868, 379, 447, 521
1560022980787, 423880, 384, 448, 522
1560022980799, 423893, 379, 447, 522
1560022980812, 423906, 382, 448, 521
1560022980824, 423918, 381, 450, 523
1560022980836, 423931, 379, 452, 523
1560022980850, 423944, 380, 451, 520
1560022980862, 423957, 381, 449, 523
1560022980875, 423969, 380, 447, 520
1560022980887, 423982, 381, 448, 520
1560022980900, 423995, 382, 448, 520
1560022980914, 424007, 382, 446, 521
1560022980926, 424020, 382, 448, 520
1560022980938, 424033, 381, 449, 521
1560022980951, 424045, 381, 450, 524
1560022980963, 424058, 380, 451, 522
1560022980977, 424071, 381, 453, 523
1560022980989, 424083, 381, 450, 521
1560022981002, 424096, 384, 448, 518
1560022981014, 424109, 382, 447, 522
1560022981028, 424122, 381, 448, 522
1560022981040, 424134, 380, 449, 522
1560022981053, 424147, 379, 449, 522
1560022981065, 424160, 380, 452, 524
1560022981078, 424172, 379, 451, 525
1560022981090, 424185, 382, 451, 522
1560022981105, 424198, 381, 449, 522
1560022981117, 424210, 383, 446, 519
1560022981128, 424223, 383, 449, 520
1560022981142, 424236, 382, 450, 520
1560022981155, 424249, 380, 448, 522
1560022981167, 424261, 379, 450, 523
1560022981180, 424274, 379, 451, 524
1560022981192, 424287, 382, 450, 523
1560022981204, 424299, 383, 447, 521
1560022981218, 424312, 383, 449, 522
1560022981231, 424325, 381, 448, 521
1560022981244, 424337, 381, 449, 522
1560022981257, 424350, 381, 448, 524
1560022981269, 424363, 380, 448, 522
1560022981281, 424375, 381, 448, 523
1560022981294, 424388, 381, 449, 521
1560022981308, 424401, 382, 446, 521
1560022981320, 424414, 383, 448, 520
1560022981332, 424426, 383, 448, 521
1560022981345, 424439, 382, 450, 519
1560022981357, 424452, 382, 451, 522
1560022981370, 424464, 381, 450, 521
