Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023404580, 847663, 399, 474, 547
1560023404592, 847675, 399, 474, 547
1560023404604, 847688, 395, 474, 546
1560023404616, 847701, 395, 474, 549
1560023404631, 847713, 395, 476, 549
1560023404644, 847726, 397, 475, 550
1560023404654, 847739, 397, 475, 549
1560023404668, 847751, 397, 474, 545
1560023404681, 847764, 397, 476, 546
1560023404694, 847777, 396, 475, 546
1560023404706, 847790, 395, 477, 545
1560023404719, 847802, 393, 476, 545
1560023404732, 847815, 395, 477, 549
1560023404744, 847828, 395, 478, 545
1560023404757, 847840, 397, 476, 544
1560023404769, 847853, 396, 477, 547
1560023404782, 847866, 399, 476, 547
1560023404795, 847878, 398, 479, 546
1560023404808, 847891, 395, 477, 548
1560023404820, 847904, 396, 477, 543
1560023404833, 847916, 397, 476, 544
1560023404845, 847929, 398, 476, 545
1560023404859, 847942, 397, 476, 549
1560023404871, 847955, 397, 476, 544
1560023404885, 847967, 400, 476, 544
1560023404896, 847980, 400, 476, 542
1560023404908, 847993, 399, 475, 544
1560023404922, 848005, 398, 473, 543
1560023404935, 848018, 396, 476, 542
1560023404948, 848031, 397, 476, 544
1560023404960, 848043, 394, 477, 545
1560023404973, 848056, 395, 480, 547
1560023404985, 848069, 396, 477, 545
1560023404998, 848082, 399, 477, 544
1560023405011, 848094, 400, 477, 545
1560023405023, 848107, 396, 478, 544
1560023405035, 848120, 395, 477, 546
1560023405050, 848132, 395, 479, 548
1560023405061, 848145, 395, 479, 548
1560023405074, 848158, 392, 479, 550
1560023405086, 848170, 393, 479, 549
1560023405100, 848183, 396, 475, 548
1560023405112, 848196, 396, 477, 549
1560023405125, 848208, 398, 476, 550
1560023405137, 848221, 395, 475, 546
1560023405151, 848234, 394, 475, 545
1560023405163, 848247, 394, 475, 549
1560023405176, 848259, 392, 474, 549
1560023405188, 848272, 392, 475, 549
1560023405201, 848285, 394, 473, 548
1560023405214, 848297, 396, 473, 546
1560023405227, 848310, 395, 475, 546
1560023405239, 848323, 395, 471, 543
1560023405252, 848335, 398, 471, 544
1560023405265, 848348, 396, 472, 543
1560023405277, 848361, 397, 473, 544
1560023405289, 848374, 395, 472, 544
1560023405304, 848386, 394, 475, 546
1560023405315, 848399, 396, 475, 545
1560023405328, 848412, 394, 475, 547
1560023405341, 848424, 397, 474, 545
1560023405354, 848437, 397, 472, 544
1560023405366, 848450, 397, 473, 543
1560023405378, 848462, 398, 473, 541
1560023405392, 848475, 396, 476, 546
1560023405405, 848488, 394, 476, 546
1560023405417, 848500, 395, 476, 547
1560023405429, 848513, 396, 476, 547
1560023405442, 848526, 395, 475, 547
1560023405456, 848539, 395, 474, 545
1560023405468, 848551, 394, 475, 546
1560023405479, 848564, 396, 476, 548
1560023405493, 848577, 394, 478, 548
1560023405507, 848589, 393, 475, 547
1560023405518, 848602, 394, 476, 548
1560023405531, 848615, 397, 475, 548
1560023405544, 848627, 397, 474, 549
1560023405558, 848640, 395, 473, 548
1560023405570, 848653, 396, 474, 545
1560023405582, 848666, 395, 477, 548
1560023405595, 848678, 396, 477, 547
1560023405609, 848691, 396, 475, 547
1560023405620, 848704, 396, 474, 545
1560023405633, 848716, 394, 474, 543
1560023405645, 848729, 390, 476, 548
1560023405659, 848742, 398, 480, 550
1560023405672, 848754, 399, 480, 549
1560023405684, 848767, 398, 480, 548
1560023405696, 848780, 399, 478, 549
1560023405710, 848792, 398, 477, 546
1560023405721, 848805, 398, 477, 546
1560023405733, 848818, 398, 477, 547
1560023405747, 848831, 397, 478, 547
1560023405759, 848843, 397, 478, 547
1560023405772, 848856, 396, 477, 545
1560023405785, 848869, 395, 476, 546
1560023405798, 848881, 398, 478, 548
1560023405811, 848894, 397, 479, 547
1560023405823, 848907, 398, 475, 547
1560023405835, 848919, 398, 478, 545
1560023405849, 848932, 399, 481, 546
1560023405862, 848945, 398, 478, 547
1560023405874, 848958, 395, 475, 547
1560023405886, 848970, 396, 477, 548
1560023405900, 848983, 395, 477, 549
1560023405912, 848996, 400, 478, 551
1560023405925, 849008, 399, 477, 550
1560023405937, 849021, 401, 478, 548
1560023405950, 849034, 401, 474, 545
1560023405962, 849046, 401, 476, 545
1560023405975, 849059, 398, 476, 545
1560023405988, 849072, 397, 476, 546
1560023406002, 849084, 396, 476, 547
1560023406014, 849097, 396, 475, 550
1560023406026, 849110, 399, 475, 550
1560023406039, 849123, 398, 475, 548
1560023406052, 849135, 400, 474, 546
1560023406065, 849148, 399, 476, 546
1560023406077, 849161, 400, 476, 544
1560023406089, 849173, 397, 476, 544
1560023406102, 849186, 397, 477, 548
1560023406115, 849199, 397, 479, 547
1560023406127, 849211, 398, 479, 548
1560023406141, 849224, 399, 478, 548
1560023406154, 849237, 402, 477, 546
1560023406167, 849250, 401, 476, 547
1560023406179, 849262, 403, 478, 543
1560023406191, 849275, 400, 476, 545
1560023406204, 849288, 398, 477, 545
1560023406217, 849300, 397, 477, 546
1560023406230, 849313, 402, 479, 549
1560023406242, 849326, 397, 478, 550
1560023406256, 849338, 398, 477, 549
1560023406267, 849351, 399, 478, 549
1560023406280, 849364, 401, 478, 547
1560023406292, 849376, 399, 477, 547
1560023406306, 849389, 399, 476, 547
1560023406318, 849402, 398, 477, 547
1560023406331, 849415, 398, 478, 550
1560023406343, 849427, 399, 478, 552
1560023406357, 849440, 398, 478, 550
1560023406370, 849453, 400, 477, 548
1560023406382, 849465, 399, 478, 547
1560023406394, 849478, 400, 476, 547
1560023406408, 849491, 398, 477, 548
1560023406420, 849503, 400, 479, 548
1560023406432, 849516, 399, 476, 547
1560023406445, 849529, 398, 480, 550
1560023406458, 849541, 397, 479, 549
1560023406471, 849554, 397, 481, 548
1560023406482, 849567, 401, 479, 548
1560023406496, 849580, 401, 479, 550
1560023406510, 849592, 399, 479, 547
1560023406521, 849605, 399, 478, 548
1560023406534, 849618, 400, 476, 546
1560023406547, 849630, 399, 479, 545
1560023406560, 849643, 397, 476, 547
1560023406572, 849656, 397, 478, 550
1560023406585, 849668, 398, 481, 551
1560023406598, 849681, 397, 479, 549
1560023406610, 849694, 399, 478, 548
1560023406623, 849707, 398, 478, 548
1560023406636, 849719, 398, 477, 546
1560023406648, 849732, 399, 480, 547
1560023406661, 849745, 396, 481, 549
1560023406674, 849757, 395, 480, 551
1560023406686, 849770, 395, 482, 549
1560023406699, 849783, 398, 480, 547
1560023406711, 849795, 399, 478, 547
1560023406724, 849808, 398, 478, 546
1560023406736, 849821, 400, 477, 547
1560023406750, 849833, 398, 478, 544
1560023406763, 849846, 398, 476, 545
1560023406775, 849859, 396, 477, 547
1560023406788, 849872, 394, 478, 545
1560023406800, 849884, 392, 476, 550
1560023406814, 849897, 396, 478, 550
1560023406826, 849910, 398, 478, 549
1560023406839, 849922, 397, 478, 549
1560023406851, 849935, 398, 479, 547
1560023406864, 849948, 398, 479, 547
1560023406876, 849960, 400, 479, 547
1560023406889, 849973, 398, 477, 547
1560023406902, 849986, 396, 478, 548
1560023406915, 849999, 398, 479, 550
1560023406928, 850011, 400, 482, 551
1560023406940, 850024, 398, 479, 552
1560023406952, 850037, 399, 477, 548
1560023406967, 850049, 398, 479, 549
1560023406979, 850062, 399, 480, 549
1560023406991, 850075, 397, 478, 549
1560023407004, 850087, 398, 478, 550
1560023407017, 850100, 397, 480, 547
1560023407029, 850113, 397, 481, 551
1560023407041, 850125, 398, 482, 549
1560023407054, 850138, 398, 480, 550
1560023407067, 850151, 400, 480, 547
1560023407080, 850164, 400, 479, 547
1560023407093, 850176, 399, 480, 546
1560023407105, 850189, 399, 478, 544
1560023407119, 850202, 396, 481, 548
1560023407131, 850214, 400, 482, 548
1560023407143, 850227, 397, 481, 549
1560023407155, 850240, 398, 483, 548
1560023407170, 850252, 398, 480, 546
1560023407181, 850265, 400, 479, 545
1560023407195, 850278, 398, 481, 546
1560023407207, 850291, 397, 480, 545
1560023407220, 850303, 397, 479, 546
1560023407233, 850316, 398, 480, 547
1560023407245, 850329, 399, 482, 547
1560023407257, 850341, 398, 480, 549
1560023407270, 850354, 400, 478, 547
1560023407283, 850367, 399, 480, 549
1560023407296, 850379, 400, 479, 547
1560023407308, 850392, 399, 478, 547
1560023407323, 850405, 398, 480, 547
1560023407335, 850417, 396, 478, 546
1560023407347, 850430, 398, 480, 549
1560023407359, 850443, 397, 480, 550
1560023407372, 850456, 397, 480, 549
1560023407385, 850468, 397, 478, 549
1560023407397, 850481, 398, 480, 547
1560023407410, 850494, 398, 479, 547
1560023407424, 850506, 398, 480, 547
1560023407435, 850519, 398, 480, 548
1560023407448, 850532, 399, 481, 552
1560023407461, 850544, 398, 480, 549
1560023407474, 850557, 399, 478, 549
1560023407486, 850570, 398, 479, 550
1560023407499, 850583, 397, 478, 548
1560023407511, 850595, 397, 476, 548
1560023407525, 850608, 399, 477, 548
1560023407537, 850621, 399, 477, 546
1560023407550, 850633, 397, 478, 549
1560023407562, 850646, 399, 478, 548
1560023407575, 850659, 398, 479, 548
1560023407588, 850671, 397, 479, 547
1560023407601, 850684, 397, 477, 549
1560023407613, 850697, 398, 478, 549
1560023407625, 850709, 398, 478, 547
1560023407639, 850722, 398, 478, 547
1560023407651, 850735, 400, 477, 546
1560023407663, 850748, 399, 480, 547
1560023407677, 850760, 396, 479, 548
1560023407689, 850773, 395, 478, 550
1560023407701, 850786, 395, 479, 548
1560023407714, 850798, 398, 480, 550
1560023407727, 850811, 400, 479, 550
1560023407741, 850824, 399, 478, 549
1560023407752, 850836, 398, 477, 547
1560023407766, 850849, 402, 477, 547
1560023407779, 850862, 398, 479, 549
1560023407790, 850875, 399, 477, 550
1560023407804, 850887, 398, 477, 547
1560023407816, 850900, 400, 478, 549
1560023407829, 850913, 400, 477, 548
