Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560022828160, 271257, 398, 460, 550
1560022828172, 271270, 396, 461, 547
1560022828185, 271283, 397, 460, 549
1560022828197, 271295, 394, 460, 546
1560022828211, 271308, 391, 460, 544
1560022828223, 271321, 389, 459, 545
1560022828236, 271333, 392, 459, 544
1560022828249, 271346, 394, 460, 544
1560022828262, 271359, 396, 460, 541
1560022828274, 271372, 398, 461, 542
1560022828286, 271384, 395, 463, 543
1560022828300, 271397, 398, 463, 545
1560022828312, 271410, 396, 464, 546
1560022828325, 271422, 396, 461, 548
1560022828337, 271435, 396, 462, 548
1560022828350, 271448, 398, 460, 546
1560022828363, 271460, 400, 459, 546
1560022828375, 271473, 400, 459, 545
1560022828388, 271486, 400, 456, 547
1560022828401, 271499, 398, 460, 550
1560022828413, 271511, 397, 461, 553
1560022828426, 271524, 395, 461, 553
1560022828439, 271537, 395, 460, 554
1560022828452, 271549, 397, 460, 552
1560022828464, 271562, 399, 461, 553
1560022828477, 271575, 397, 460, 553
1560022828489, 271587, 395, 459, 553
1560022828502, 271600, 394, 462, 551
1560022828515, 271613, 395, 461, 552
1560022828527, 271625, 395, 461, 551
1560022828541, 271638, 396, 461, 549
1560022828553, 271651, 398, 460, 550
1560022828566, 271664, 399, 460, 551
1560022828578, 271676, 398, 461, 551
1560022828590, 271689, 397, 462, 549
1560022828604, 271702, 396, 462, 549
1560022828617, 271714, 397, 461, 548
1560022828628, 271727, 397, 461, 549
1560022828642, 271740, 395, 462, 549
1560022828655, 271752, 395, 463, 549
1560022828667, 271765, 397, 462, 549
1560022828680, 271778, 397, 462, 546
1560022828693, 271791, 396, 460, 548
1560022828705, 271803, 394, 461, 549
1560022828718, 271816, 395, 462, 546
1560022828730, 271829, 398, 464, 547
1560022828744, 271841, 398, 463, 546
1560022828757, 271854, 396, 462, 547
1560022828768, 271867, 395, 463, 548
1560022828782, 271879, 395, 463, 549
1560022828794, 271892, 395, 462, 548
1560022828806, 271905, 394, 461, 546
1560022828820, 271917, 397, 461, 547
1560022828833, 271930, 398, 462, 547
1560022828845, 271943, 397, 464, 548
1560022828857, 271956, 396, 460, 548
1560022828871, 271968, 395, 462, 546
1560022828883, 271981, 394, 461, 546
1560022828896, 271994, 392, 459, 549
1560022828908, 272006, 394, 460, 549
1560022828922, 272019, 395, 460, 546
1560022828934, 272032, 395, 459, 547
1560022828947, 272044, 397, 461, 547
1560022828959, 272057, 397, 461, 546
1560022828973, 272070, 396, 460, 547
1560022828986, 272083, 393, 461, 545
1560022828997, 272095, 393, 461, 548
1560022829010, 272108, 393, 461, 549
1560022829023, 272121, 396, 463, 547
1560022829035, 272133, 395, 460, 546
1560022829048, 272146, 397, 461, 547
1560022829061, 272159, 397, 461, 545
1560022829073, 272171, 394, 461, 545
1560022829086, 272184, 392, 461, 545
1560022829100, 272197, 394, 460, 547
