Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559517014668, 205882, 529, 404, 475
1559517014680, 205894, 529, 404, 476
1559517014693, 205907, 529, 404, 476
1559517014706, 205921, 529, 404, 477
1559517014719, 205934, 528, 404, 479
1559517014733, 205946, 527, 404, 480
1559517014745, 205960, 527, 404, 480
1559517014758, 205973, 528, 403, 480
1559517014771, 205986, 528, 403, 480
1559517014785, 205999, 529, 404, 477
1559517014797, 206012, 530, 404, 475
1559517014811, 206025, 530, 405, 472
1559517014824, 206039, 531, 407, 471
1559517014837, 206051, 531, 408, 473
1559517014850, 206064, 530, 410, 475
1559517014862, 206077, 529, 411, 477
1559517014876, 206091, 528, 411, 477
1559517014890, 206103, 526, 411, 477
1559517014902, 206116, 525, 411, 478
1559517014915, 206130, 523, 411, 479
1559517014929, 206143, 522, 410, 479
1559517014942, 206155, 521, 409, 479
1559517014954, 206169, 521, 408, 479
1559517014968, 206182, 520, 407, 480
1559517014980, 206195, 519, 406, 481
1559517014994, 206208, 520, 405, 481
1559517015007, 206221, 520, 404, 481
1559517015020, 206234, 521, 404, 481
1559517015033, 206247, 521, 403, 480
1559517015046, 206261, 523, 404, 478
1559517015059, 206273, 523, 404, 475
1559517015073, 206286, 523, 405, 475
1559517015086, 206300, 522, 404, 477
1559517015098, 206313, 520, 408, 479
1559517015112, 206325, 518, 408, 480
1559517015124, 206339, 517, 408, 480
1559517015137, 206352, 515, 407, 479
1559517015151, 206365, 515, 407, 477
1559517015163, 206377, 515, 407, 476
1559517015176, 206391, 514, 407, 475
1559517015189, 206404, 513, 406, 474
1559517015203, 206417, 513, 406, 475
1559517015217, 206430, 512, 406, 476
1559517015229, 206443, 512, 406, 477
1559517015241, 206456, 513, 406, 477
1559517015255, 206470, 514, 407, 477
1559517015269, 206482, 515, 407, 477
1559517015281, 206495, 517, 407, 475
1559517015294, 206509, 518, 407, 473
1559517015306, 206522, 519, 407, 471
1559517015321, 206534, 519, 407, 471
1559517015333, 206547, 519, 407, 472
1559517015347, 206561, 518, 408, 474
1559517015359, 206574, 517, 408, 477
1559517015373, 206586, 517, 409, 476
1559517015385, 206600, 517, 409, 476
1559517015399, 206613, 518, 408, 474
1559517015411, 206626, 519, 408, 472
1559517015424, 206639, 519, 408, 472
1559517015438, 206652, 519, 409, 472
1559517015450, 206665, 519, 409, 473
1559517015463, 206679, 519, 409, 474
1559517015477, 206692, 519, 409, 474
1559517015491, 206704, 518, 409, 475
1559517015503, 206717, 519, 409, 476
1559517015516, 206731, 520, 409, 475
1559517015529, 206744, 521, 409, 472
1559517015542, 206756, 522, 409, 471
1559517015555, 206770, 522, 408, 470
1559517015569, 206783, 521, 409, 470
1559517015581, 206796, 521, 409, 472
1559517015595, 206809, 519, 410, 474
1559517015608, 206822, 518, 410, 476
1559517015621, 206835, 517, 410, 477
1559517015634, 206849, 517, 410, 475
1559517015646, 206861, 517, 410, 474
1559517015659, 206874, 517, 409, 473
1559517015673, 206887, 518, 409, 473
1559517015687, 206901, 517, 409, 472
1559517015699, 206913, 516, 410, 472
1559517015713, 206926, 515, 410, 473
1559517015725, 206940, 515, 410, 474
1559517015739, 206953, 515, 410, 475
1559517015751, 206965, 515, 410, 475
1559517015763, 206979, 516, 409, 473
1559517015777, 206992, 517, 409, 472
1559517015791, 207005, 517, 409, 470
1559517015803, 207017, 517, 409, 470
1559517015816, 207031, 516, 410, 472
1559517015830, 207044, 515, 410, 473
1559517015843, 207057, 514, 410, 473
1559517015856, 207071, 514, 409, 473
1559517015869, 207083, 514, 409, 473
1559517015881, 207096, 514, 409, 472
1559517015895, 207110, 514, 409, 472
1559517015909, 207123, 515, 410, 472
1559517015921, 207135, 515, 409, 471
1559517015933, 207149, 515, 410, 470
1559517015947, 207162, 514, 410, 470
1559517015961, 207175, 514, 410, 470
1559517015972, 207187, 514, 410, 470
1559517015986, 207201, 514, 410, 471
1559517015999, 207214, 514, 410, 471
1559517016013, 207227, 514, 410, 471
1559517016026, 207240, 514, 409, 470
1559517016038, 207253, 514, 409, 468
1559517016052, 207266, 514, 410, 469
1559517016065, 207280, 515, 410, 469
1559517016078, 207292, 515, 410, 469
1559517016091, 207305, 514, 409, 469
1559517016105, 207319, 513, 408, 468
1559517016118, 207332, 513, 408, 468
1559517016130, 207344, 514, 409, 466
1559517016142, 207357, 514, 409, 464
1559517016157, 207371, 514, 409, 464
1559517016170, 207384, 514, 411, 465
1559517016182, 207396, 514, 412, 467
1559517016195, 207410, 514, 413, 469
1559517016209, 207423, 514, 413, 469
1559517016222, 207436, 514, 413, 467
1559517016234, 207449, 514, 413, 465
1559517016248, 207462, 515, 413, 464
1559517016261, 207475, 515, 413, 465
1559517016274, 207489, 515, 412, 465
1559517016288, 207502, 514, 411, 465
1559517016300, 207514, 513, 412, 466
1559517016312, 207527, 513, 412, 466
1559517016326, 207541, 512, 411, 466
1559517016339, 207554, 512, 412, 465
1559517016353, 207566, 513, 413, 464
1559517016365, 207580, 513, 413, 464
1559517016378, 207593, 513, 414, 465
1559517016393, 207606, 514, 415, 465
1559517016404, 207619, 514, 415, 466
1559517016417, 207632, 514, 415, 467
1559517016431, 207645, 515, 415, 467
