Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559516511638, 118573, 549, 405, 504
1559516511651, 118586, 549, 405, 503
1559516511664, 118598, 550, 406, 502
1559516511677, 118611, 551, 405, 502
1559516511691, 118625, 551, 405, 500
1559516511704, 118638, 551, 405, 500
1559516511716, 118650, 551, 405, 502
1559516511730, 118664, 550, 405, 503
1559516511743, 118677, 549, 405, 504
1559516511755, 118690, 549, 405, 504
1559516511769, 118704, 550, 405, 504
1559516511782, 118716, 550, 405, 503
1559516511795, 118729, 551, 405, 503
1559516511807, 118743, 551, 404, 502
1559516511821, 118756, 551, 404, 501
1559516511834, 118768, 551, 405, 502
1559516511847, 118781, 551, 405, 503
1559516511860, 118795, 550, 405, 504
1559516511872, 118808, 549, 405, 504
1559516511886, 118820, 549, 405, 505
1559516511899, 118834, 549, 405, 505
1559516511912, 118847, 550, 406, 504
1559516511926, 118860, 550, 406, 503
1559516511938, 118873, 550, 405, 502
1559516511951, 118886, 551, 405, 501
1559516511965, 118899, 551, 405, 501
1559516511978, 118913, 551, 405, 502
1559516511990, 118925, 550, 405, 503
1559516512004, 118938, 550, 405, 504
1559516512017, 118951, 550, 405, 504
1559516512030, 118965, 550, 405, 504
1559516512043, 118977, 550, 405, 503
1559516512056, 118990, 551, 404, 503
1559516512070, 119004, 551, 405, 502
1559516512082, 119017, 551, 405, 502
1559516512094, 119029, 551, 405, 502
1559516512108, 119043, 550, 404, 503
1559516512122, 119056, 550, 404, 503
1559516512134, 119069, 550, 405, 504
1559516512147, 119083, 550, 405, 503
1559516512160, 119095, 550, 405, 503
1559516512173, 119108, 551, 405, 502
1559516512187, 119121, 551, 405, 502
1559516512200, 119135, 551, 405, 502
1559516512212, 119147, 551, 405, 502
1559516512226, 119160, 551, 405, 502
1559516512239, 119174, 551, 405, 502
1559516512252, 119187, 551, 405, 503
1559516512264, 119199, 551, 405, 504
1559516512278, 119213, 551, 405, 504
1559516512292, 119226, 551, 405, 503
1559516512304, 119239, 551, 405, 502
1559516512316, 119251, 551, 405, 503
1559516512330, 119265, 551, 405, 502
1559516512343, 119278, 551, 405, 503
1559516512356, 119291, 551, 405, 503
1559516512370, 119304, 551, 405, 503
1559516512383, 119317, 551, 405, 503
1559516512396, 119330, 551, 405, 504
1559516512408, 119344, 550, 405, 504
1559516512422, 119356, 550, 405, 504
1559516512435, 119369, 550, 405, 504
1559516512448, 119383, 550, 405, 504
1559516512461, 119396, 550, 405, 504
1559516512475, 119409, 551, 405, 504
1559516512487, 119421, 551, 405, 504
1559516512500, 119435, 551, 405, 503
1559516512514, 119448, 551, 405, 504
1559516512526, 119461, 551, 405, 504
1559516512539, 119474, 550, 405, 504
1559516512553, 119487, 551, 405, 503
1559516512566, 119500, 550, 405, 503
1559516512579, 119514, 550, 405, 503
1559516512592, 119526, 550, 405, 504
1559516512604, 119539, 550, 405, 504
1559516512618, 119553, 550, 405, 505
1559516512631, 119566, 550, 405, 505
1559516512644, 119578, 550, 405, 505
1559516512657, 119591, 550, 405, 504
1559516512670, 119605, 550, 405, 504
1559516512684, 119618, 550, 405, 503
1559516512696, 119630, 550, 405, 504
1559516512710, 119644, 550, 405, 505
1559516512722, 119657, 550, 405, 505
1559516512736, 119670, 550, 405, 505
1559516512748, 119684, 550, 405, 504
1559516512760, 119696, 550, 405, 504
1559516512774, 119709, 550, 405, 504
1559516512788, 119723, 550, 405, 504
1559516512801, 119736, 550, 405, 503
1559516512814, 119748, 551, 405, 504
1559516512826, 119761, 551, 405, 504
1559516512840, 119775, 550, 404, 503
1559516512853, 119788, 550, 405, 503
1559516512866, 119800, 550, 405, 504
1559516512879, 119814, 550, 405, 504
1559516512892, 119827, 549, 404, 504
1559516512906, 119840, 549, 404, 504
1559516512918, 119853, 550, 405, 504
1559516512932, 119866, 550, 405, 504
1559516512944, 119879, 550, 405, 504
1559516512957, 119892, 550, 405, 505
1559516512971, 119905, 551, 405, 504
1559516512984, 119918, 551, 405, 504
1559516512997, 119931, 551, 405, 503
1559516513010, 119945, 551, 405, 502
1559516513023, 119957, 551, 405, 503
1559516513036, 119970, 551, 405, 503
1559516513048, 119984, 551, 405, 504
1559516513062, 119997, 551, 405, 504
1559516513075, 120010, 551, 405, 504
1559516513088, 120023, 551, 405, 503
1559516513100, 120036, 552, 405, 503
1559516513114, 120049, 551, 405, 503
1559516513128, 120062, 551, 405, 503
1559516513140, 120075, 551, 405, 503
1559516513154, 120088, 551, 405, 503
1559516513167, 120101, 551, 405, 504
1559516513180, 120115, 551, 405, 503
1559516513192, 120127, 551, 405, 503
1559516513206, 120140, 550, 404, 502
1559516513219, 120154, 550, 404, 503
1559516513231, 120167, 550, 404, 504
1559516513245, 120179, 549, 405, 505
1559516513258, 120193, 549, 405, 504
1559516513271, 120206, 550, 405, 503
1559516513285, 120219, 550, 405, 503
1559516513297, 120231, 551, 405, 503
1559516513311, 120245, 551, 405, 503
1559516513323, 120258, 551, 405, 503
1559516513337, 120271, 550, 405, 503
1559516513349, 120284, 550, 405, 505
1559516513363, 120297, 550, 405, 505
1559516513375, 120310, 550, 405, 505
1559516513388, 120324, 550, 404, 504
1559516513402, 120336, 550, 404, 503
1559516513416, 120349, 551, 404, 503
1559516513427, 120363, 551, 404, 502
1559516513441, 120376, 550, 404, 503
1559516513454, 120389, 550, 404, 504
1559516513467, 120401, 550, 405, 505
1559516513480, 120415, 550, 405, 505
1559516513493, 120428, 550, 405, 505
1559516513508, 120441, 549, 405, 503
1559516513519, 120454, 550, 405, 503
1559516513533, 120467, 549, 405, 503
1559516513545, 120480, 549, 405, 503
1559516513558, 120494, 549, 405, 503
1559516513572, 120506, 550, 405, 503
1559516513584, 120519, 550, 405, 503
1559516513598, 120532, 551, 405, 503
1559516513612, 120546, 551, 405, 503
1559516513624, 120558, 552, 405, 502
1559516513637, 120571, 552, 405, 502
1559516513650, 120585, 552, 405, 502
1559516513664, 120598, 552, 405, 502
1559516513676, 120610, 552, 405, 503
1559516513689, 120624, 551, 405, 503
1559516513704, 120637, 551, 405, 504
1559516513715, 120650, 551, 405, 504
1559516513729, 120663, 551, 405, 504
1559516513741, 120676, 550, 405, 504
1559516513755, 120689, 551, 405, 503
1559516513767, 120702, 551, 405, 503
1559516513780, 120715, 551, 405, 503
1559516513793, 120728, 551, 405, 503
1559516513807, 120741, 551, 405, 503
1559516513820, 120755, 551, 405, 503
1559516513833, 120768, 550, 405, 504
1559516513846, 120780, 550, 406, 505
1559516513860, 120794, 550, 406, 506
1559516513872, 120807, 550, 405, 506
1559516513884, 120820, 550, 405, 504
1559516513898, 120833, 550, 405, 503
1559516513911, 120846, 550, 405, 503
1559516513925, 120859, 550, 405, 503
1559516513937, 120872, 551, 405, 503
1559516513951, 120885, 551, 405, 503
1559516513964, 120898, 551, 405, 503
1559516513977, 120911, 550, 404, 504
1559516513989, 120925, 549, 404, 504
1559516514003, 120937, 549, 404, 505
1559516514015, 120950, 549, 405, 505
1559516514029, 120964, 549, 405, 504
1559516514042, 120977, 549, 405, 504
1559516514055, 120989, 549, 405, 503
1559516514069, 121003, 549, 405, 504
1559516514080, 121016, 550, 405, 504
1559516514095, 121029, 550, 405, 504
1559516514107, 121041, 549, 404, 503
1559516514119, 121055, 550, 404, 503
1559516514134, 121068, 550, 404, 503
1559516514146, 121081, 551, 404, 502
1559516514159, 121095, 551, 404, 502
1559516514173, 121107, 551, 404, 502
1559516514185, 121120, 551, 404, 503
1559516514199, 121134, 551, 405, 504
1559516514212, 121147, 551, 405, 505
1559516514225, 121159, 550, 404, 504
1559516514239, 121172, 550, 404, 503
1559516514251, 121186, 550, 404, 503
1559516514264, 121199, 551, 404, 502
1559516514277, 121211, 551, 405, 502
1559516514290, 121225, 550, 404, 502
1559516514304, 121238, 550, 404, 502
1559516514316, 121251, 550, 405, 505
1559516514328, 121264, 550, 405, 505
1559516514342, 121277, 550, 405, 505
1559516514356, 121290, 550, 404, 504
1559516514367, 121304, 550, 405, 504
1559516514380, 121316, 551, 405, 503
1559516514395, 121329, 552, 405, 503
1559516514407, 121342, 552, 404, 502
1559516514421, 121356, 551, 404, 503
1559516514434, 121368, 550, 404, 504
1559516514448, 121381, 550, 405, 505
1559516514460, 121395, 550, 405, 505
1559516514473, 121408, 549, 404, 504
1559516514487, 121421, 550, 405, 503
1559516514500, 121434, 549, 405, 503
1559516514512, 121447, 549, 405, 503
1559516514525, 121460, 548, 404, 504
1559516514539, 121474, 548, 404, 505
1559516514551, 121486, 548, 405, 506
1559516514564, 121499, 549, 405, 506
1559516514577, 121512, 549, 405, 505
1559516514592, 121526, 550, 405, 503
1559516514604, 121538, 550, 405, 502
1559516514616, 121551, 551, 405, 503
1559516514630, 121565, 551, 405, 504
1559516514643, 121578, 550, 405, 504
1559516514657, 121590, 549, 405, 504
1559516514669, 121604, 549, 405, 505
1559516514682, 121617, 549, 405, 505
1559516514696, 121630, 550, 405, 505
1559516514708, 121643, 550, 404, 503
1559516514722, 121656, 551, 404, 503
1559516514734, 121669, 551, 404, 504
1559516514748, 121682, 551, 404, 504
1559516514760, 121695, 551, 404, 504
1559516514775, 121708, 551, 404, 503
1559516514787, 121721, 552, 404, 503
1559516514800, 121735, 552, 405, 504
1559516514813, 121747, 552, 405, 503
1559516514827, 121760, 551, 405, 503
1559516514839, 121774, 551, 405, 502
1559516514852, 121787, 550, 405, 502
1559516514864, 121800, 550, 405, 503
1559516514879, 121812, 550, 405, 504
1559516514891, 121826, 548, 404, 503
1559516514904, 121839, 547, 404, 504
1559516514919, 121852, 549, 405, 505
1559516514930, 121865, 550, 405, 504
1559516514943, 121878, 550, 405, 504
1559516514957, 121891, 550, 405, 503
1559516514970, 121905, 551, 405, 502
1559516514983, 121917, 552, 405, 503
1559516514996, 121930, 551, 405, 503
1559516515009, 121944, 550, 405, 504
1559516515022, 121957, 551, 405, 504
1559516515036, 121969, 551, 405, 504
1559516515048, 121982, 550, 405, 504
1559516515061, 121996, 550, 405, 504
1559516515074, 122009, 550, 404, 503
1559516515088, 122021, 550, 404, 503
1559516515100, 122035, 550, 405, 504
1559516515114, 122048, 550, 405, 503
1559516515126, 122061, 549, 405, 504
1559516515139, 122074, 549, 405, 504
1559516515151, 122087, 550, 405, 504
1559516515166, 122100, 550, 406, 504
1559516515179, 122114, 550, 405, 503
1559516515192, 122126, 550, 405, 503
1559516515205, 122139, 550, 405, 503
1559516515218, 122152, 551, 405, 503
1559516515231, 122166, 551, 405, 504
1559516515244, 122179, 551, 405, 503
1559516515257, 122191, 551, 405, 502
1559516515270, 122205, 551, 405, 502
1559516515283, 122218, 552, 405, 503
1559516515296, 122231, 551, 405, 503
1559516515309, 122244, 550, 405, 503
1559516515324, 122257, 550, 405, 503
1559516515336, 122270, 551, 405, 503
1559516515349, 122284, 551, 405, 503
1559516515361, 122296, 551, 405, 503
1559516515375, 122309, 550, 404, 502
1559516515388, 122322, 550, 405, 503
1559516515400, 122336, 550, 405, 504
1559516515414, 122348, 551, 405, 504
1559516515427, 122361, 550, 405, 503
1559516515439, 122375, 550, 405, 502
1559516515453, 122388, 551, 405, 502
1559516515465, 122400, 551, 405, 502
1559516515480, 122414, 552, 405, 501
1559516515492, 122427, 551, 404, 500
1559516515506, 122440, 551, 404, 500
1559516515518, 122452, 552, 404, 499
1559516515532, 122466, 551, 404, 499
1559516515544, 122479, 551, 404, 501
1559516515557, 122492, 551, 405, 502
1559516515570, 122506, 551, 406, 503
1559516515584, 122518, 551, 406, 503
1559516515598, 122531, 550, 405, 503
1559516515610, 122545, 549, 406, 501
1559516515623, 122558, 549, 404, 503
1559516515635, 122570, 549, 405, 504
1559516515649, 122584, 550, 406, 504
1559516515662, 122597, 549, 406, 503
1559516515675, 122610, 548, 405, 503
1559516515688, 122622, 549, 406, 502
1559516515702, 122636, 550, 406, 501
1559516515714, 122649, 551, 405, 500
1559516515727, 122662, 550, 405, 500
1559516515741, 122675, 551, 405, 500
1559516515755, 122688, 552, 406, 501
1559516515766, 122701, 552, 406, 501
1559516515780, 122715, 552, 406, 502
1559516515792, 122727, 551, 405, 501
1559516515806, 122740, 551, 406, 500
1559516515819, 122754, 552, 405, 500
1559516515832, 122767, 552, 406, 500
1559516515846, 122779, 551, 406, 500
1559516515858, 122792, 550, 405, 500
1559516515871, 122806, 550, 405, 501
1559516515885, 122819, 550, 406, 502
1559516515897, 122832, 550, 406, 502
1559516515910, 122845, 550, 406, 501
1559516515924, 122858, 551, 405, 500
1559516515936, 122871, 551, 405, 500
1559516515949, 122885, 552, 405, 500
1559516515963, 122897, 553, 406, 499
1559516515976, 122910, 552, 406, 498
1559516515988, 122924, 552, 406, 500
1559516516002, 122937, 552, 406, 500
1559516516015, 122949, 551, 406, 501
1559516516027, 122962, 550, 405, 501
1559516516041, 122976, 550, 405, 501
1559516516054, 122989, 550, 405, 501
1559516516067, 123001, 550, 405, 501
1559516516081, 123015, 550, 405, 501
1559516516094, 123028, 550, 406, 501
1559516516107, 123041, 551, 406, 499
1559516516120, 123054, 551, 405, 499
1559516516132, 123067, 552, 405, 498
1559516516146, 123080, 551, 405, 498
1559516516158, 123094, 551, 405, 498
1559516516171, 123106, 551, 405, 499
1559516516186, 123119, 551, 405, 499
1559516516198, 123132, 551, 406, 499
1559516516210, 123146, 551, 405, 499
1559516516224, 123159, 551, 405, 499
1559516516238, 123171, 551, 406, 500
1559516516249, 123185, 551, 406, 500
1559516516263, 123198, 551, 406, 501
1559516516276, 123211, 550, 406, 501
