Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559517313938, 86122, 531, 400, 510
1559517313952, 86134, 530, 401, 513
1559517313964, 86148, 530, 401, 517
1559517313976, 86161, 530, 401, 516
1559517313990, 86173, 530, 401, 515
1559517314003, 86187, 531, 400, 513
1559517314017, 86200, 532, 400, 512
1559517314029, 86213, 533, 399, 511
1559517314043, 86225, 533, 399, 510
1559517314055, 86239, 533, 399, 511
1559517314068, 86252, 533, 399, 512
1559517314082, 86265, 533, 399, 512
1559517314094, 86278, 532, 400, 512
1559517314107, 86291, 532, 399, 512
1559517314121, 86304, 532, 400, 512
1559517314133, 86317, 532, 399, 512
1559517314147, 86330, 531, 400, 513
1559517314160, 86343, 530, 400, 514
1559517314172, 86356, 530, 400, 514
1559517314186, 86369, 530, 400, 514
1559517314199, 86382, 530, 399, 513
1559517314211, 86395, 530, 399, 513
1559517314225, 86408, 530, 399, 512
1559517314237, 86421, 531, 399, 512
1559517314251, 86434, 531, 398, 511
1559517314263, 86448, 532, 398, 510
1559517314277, 86460, 532, 398, 510
1559517314290, 86473, 532, 398, 511
1559517314302, 86487, 532, 399, 510
1559517314316, 86500, 531, 399, 510
1559517314329, 86512, 531, 399, 510
1559517314342, 86525, 531, 399, 510
1559517314354, 86539, 531, 399, 510
1559517314368, 86551, 531, 399, 510
1559517314381, 86564, 531, 399, 511
1559517314394, 86578, 531, 399, 510
1559517314407, 86591, 531, 399, 510
1559517314421, 86603, 532, 398, 510
1559517314434, 86617, 532, 399, 510
1559517314446, 86630, 532, 399, 511
1559517314459, 86642, 533, 400, 512
1559517314473, 86656, 533, 400, 512
1559517314485, 86669, 533, 400, 513
1559517314498, 86682, 533, 400, 513
1559517314511, 86694, 533, 400, 513
1559517314525, 86708, 534, 399, 512
1559517314537, 86721, 533, 399, 511
1559517314551, 86734, 533, 399, 511
1559517314563, 86747, 534, 400, 512
1559517314576, 86760, 534, 400, 512
1559517314590, 86773, 534, 400, 512
1559517314602, 86786, 534, 400, 512
1559517314615, 86799, 534, 399, 511
1559517314628, 86812, 533, 399, 511
1559517314641, 86825, 533, 399, 512
1559517314656, 86838, 533, 399, 512
1559517314668, 86851, 533, 400, 512
1559517314680, 86864, 533, 400, 512
1559517314693, 86877, 533, 400, 512
1559517314707, 86890, 533, 400, 512
1559517314720, 86903, 532, 400, 512
1559517314732, 86917, 533, 400, 511
1559517314745, 86929, 533, 399, 511
1559517314759, 86942, 532, 399, 511
1559517314771, 86956, 533, 399, 511
1559517314785, 86969, 532, 399, 510
1559517314799, 86981, 532, 399, 511
1559517314811, 86994, 532, 400, 512
1559517314824, 87008, 532, 400, 512
1559517314836, 87020, 532, 399, 511
1559517314850, 87033, 532, 399, 510
1559517314863, 87047, 532, 399, 510
1559517314876, 87060, 532, 399, 511
1559517314889, 87072, 532, 399, 512
1559517314902, 87086, 532, 400, 513
1559517314915, 87099, 532, 400, 513
1559517314929, 87111, 532, 400, 513
1559517314941, 87124, 532, 399, 512
1559517314954, 87138, 532, 399, 511
1559517314968, 87151, 533, 398, 509
