Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559514722384, 742195, 530, 413, 471
1559514722396, 742207, 530, 413, 472
1559514722410, 742220, 529, 413, 472
1559514722422, 742234, 529, 413, 472
1559514722435, 742247, 530, 412, 471
1559514722449, 742259, 531, 412, 469
1559514722463, 742273, 532, 411, 468
1559514722475, 742286, 533, 410, 466
1559514722489, 742299, 533, 411, 466
1559514722501, 742311, 532, 412, 468
1559514722515, 742325, 531, 412, 470
1559514722527, 742338, 531, 412, 471
1559514722542, 742351, 531, 412, 471
1559514722554, 742365, 531, 412, 469
1559514722567, 742377, 532, 411, 468
1559514722579, 742390, 532, 412, 469
1559514722594, 742404, 532, 412, 470
1559514722606, 742417, 532, 413, 471
1559514722618, 742429, 531, 413, 470
1559514722632, 742443, 530, 414, 471
1559514722645, 742456, 530, 413, 470
1559514722657, 742469, 531, 413, 468
1559514722671, 742481, 532, 412, 467
1559514722683, 742495, 532, 412, 467
1559514722697, 742508, 532, 413, 468
1559514722710, 742521, 532, 413, 469
1559514722723, 742534, 532, 413, 469
1559514722736, 742547, 532, 413, 470
1559514722750, 742560, 532, 412, 469
1559514722763, 742574, 532, 412, 468
1559514722775, 742586, 532, 412, 467
1559514722789, 742599, 532, 413, 469
1559514722802, 742612, 532, 413, 469
1559514722815, 742626, 531, 414, 470
1559514722827, 742638, 531, 413, 469
1559514722841, 742651, 531, 413, 468
1559514722854, 742665, 532, 413, 468
1559514722867, 742678, 532, 413, 468
1559514722880, 742691, 532, 412, 468
1559514722893, 742704, 532, 412, 468
1559514722906, 742717, 532, 413, 468
1559514722919, 742730, 532, 413, 469
1559514722933, 742744, 532, 413, 470
1559514722946, 742756, 531, 413, 471
1559514722958, 742769, 532, 413, 469
1559514722972, 742782, 532, 413, 468
1559514722984, 742796, 532, 412, 468
1559514722997, 742808, 532, 413, 468
1559514723012, 742821, 532, 413, 469
1559514723023, 742835, 532, 413, 470
1559514723038, 742848, 531, 413, 470
1559514723050, 742860, 531, 412, 469
1559514723063, 742874, 532, 412, 468
1559514723077, 742887, 532, 412, 467
1559514723089, 742900, 532, 412, 467
1559514723102, 742913, 532, 413, 467
1559514723115, 742926, 532, 412, 468
1559514723128, 742939, 532, 413, 467
1559514723141, 742952, 531, 413, 468
1559514723155, 742966, 531, 413, 468
1559514723167, 742978, 531, 413, 468
1559514723181, 742991, 531, 412, 468
1559514723194, 743005, 531, 413, 467
1559514723206, 743018, 531, 413, 467
1559514723220, 743030, 531, 413, 467
1559514723233, 743044, 530, 413, 467
1559514723246, 743057, 530, 413, 468
1559514723259, 743070, 530, 413, 469
1559514723273, 743083, 530, 413, 470
1559514723285, 743096, 530, 413, 469
1559514723299, 743109, 531, 412, 467
1559514723311, 743122, 532, 412, 466
1559514723325, 743135, 533, 412, 467
1559514723337, 743148, 532, 413, 468
1559514723351, 743161, 532, 413, 470
1559514723363, 743175, 531, 413, 471
1559514723377, 743187, 531, 413, 471
1559514723390, 743200, 532, 413, 470
1559514723402, 743214, 533, 412, 468
1559514723415, 743227, 533, 412, 466
1559514723428, 743239, 533, 411, 465
1559514723442, 743252, 533, 412, 466
1559514723455, 743266, 532, 413, 468
1559514723468, 743279, 530, 414, 470
1559514723481, 743292, 529, 414, 472
1559514723495, 743305, 529, 414, 472
1559514723507, 743318, 530, 413, 471
1559514723521, 743331, 531, 412, 468
1559514723533, 743345, 532, 412, 467
1559514723548, 743357, 533, 412, 467
