Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024634916, 2077988, 374, 468, 503
1560024634927, 2078000, 374, 468, 505
1560024634941, 2078013, 374, 466, 501
1560024634954, 2078026, 374, 464, 503
1560024634966, 2078039, 374, 466, 504
1560024634979, 2078051, 376, 467, 506
1560024634992, 2078064, 375, 468, 506
1560024635004, 2078077, 377, 467, 505
1560024635017, 2078089, 376, 467, 504
1560024635029, 2078102, 377, 465, 504
1560024635043, 2078115, 376, 466, 506
1560024635055, 2078127, 376, 464, 506
1560024635068, 2078140, 376, 464, 506
1560024635080, 2078153, 375, 465, 505
1560024635093, 2078166, 375, 467, 505
1560024635106, 2078178, 376, 467, 503
1560024635119, 2078191, 376, 469, 503
1560024635131, 2078204, 375, 469, 504
1560024635144, 2078216, 377, 471, 501
1560024635156, 2078229, 377, 470, 502
1560024635170, 2078242, 375, 470, 505
1560024635182, 2078254, 377, 470, 504
1560024635194, 2078267, 375, 468, 505
1560024635208, 2078280, 374, 469, 504
1560024635220, 2078292, 376, 467, 504
1560024635232, 2078305, 375, 470, 503
1560024635245, 2078318, 376, 470, 501
1560024635258, 2078331, 377, 469, 503
1560024635271, 2078343, 377, 469, 503
1560024635284, 2078356, 377, 470, 502
1560024635297, 2078369, 378, 471, 502
1560024635309, 2078381, 377, 472, 504
1560024635322, 2078394, 378, 471, 504
1560024635335, 2078407, 377, 469, 505
1560024635348, 2078419, 376, 469, 506
1560024635360, 2078432, 377, 469, 506
1560024635372, 2078445, 377, 470, 508
1560024635385, 2078458, 377, 469, 503
1560024635397, 2078470, 375, 470, 503
1560024635410, 2078483, 375, 468, 506
1560024635422, 2078496, 373, 468, 504
1560024635437, 2078508, 374, 469, 506
1560024635449, 2078521, 375, 470, 506
1560024635461, 2078534, 376, 470, 508
1560024635473, 2078546, 375, 472, 506
1560024635486, 2078559, 376, 472, 507
1560024635500, 2078572, 378, 471, 509
1560024635512, 2078584, 377, 469, 507
1560024635525, 2078597, 379, 470, 507
1560024635538, 2078610, 378, 472, 507
1560024635550, 2078623, 377, 472, 507
1560024635563, 2078635, 379, 474, 506
1560024635575, 2078648, 378, 472, 505
1560024635589, 2078661, 379, 473, 506
1560024635601, 2078673, 381, 471, 505
1560024635614, 2078686, 380, 474, 506
1560024635626, 2078699, 378, 473, 506
1560024635638, 2078711, 375, 476, 503
1560024635651, 2078724, 374, 474, 501
1560024635665, 2078737, 371, 473, 505
1560024635678, 2078750, 371, 471, 506
1560024635690, 2078762, 373, 474, 505
1560024635702, 2078775, 373, 477, 506
1560024635715, 2078788, 375, 477, 508
1560024635728, 2078800, 372, 478, 507
1560024635741, 2078813, 372, 478, 509
1560024635753, 2078826, 372, 478, 510
1560024635766, 2078838, 374, 478, 510
1560024635778, 2078851, 375, 477, 511
1560024635792, 2078864, 373, 476, 509
1560024635806, 2078876, 373, 474, 507
1560024635817, 2078889, 375, 473, 506
1560024635829, 2078902, 374, 472, 506
1560024635842, 2078915, 374, 472, 507
1560024635854, 2078927, 371, 470, 505
1560024635868, 2078940, 373, 469, 503
1560024635880, 2078953, 374, 468, 503
1560024635893, 2078965, 373, 468, 503
1560024635905, 2078978, 372, 467, 502
1560024635919, 2078991, 375, 466, 501
1560024635930, 2079003, 374, 467, 500
1560024635944, 2079016, 375, 467, 502
1560024635956, 2079029, 376, 467, 499
1560024635970, 2079041, 376, 468, 502
1560024635982, 2079054, 377, 466, 499
1560024635995, 2079067, 378, 466, 499
1560024636007, 2079080, 380, 463, 500
1560024636020, 2079092, 380, 465, 498
1560024636032, 2079105, 380, 463, 499
1560024636046, 2079118, 383, 464, 499
1560024636059, 2079130, 381, 464, 499
1560024636071, 2079143, 378, 464, 503
1560024636084, 2079156, 379, 467, 503
1560024636096, 2079168, 378, 465, 504
1560024636110, 2079181, 378, 465, 505
1560024636121, 2079194, 377, 469, 506
1560024636134, 2079207, 378, 468, 505
1560024636147, 2079219, 378, 467, 505
1560024636161, 2079232, 378, 468, 506
1560024636173, 2079245, 379, 469, 507
1560024636185, 2079257, 376, 470, 509
1560024636197, 2079270, 377, 467, 507
1560024636210, 2079283, 376, 471, 508
1560024636223, 2079295, 376, 470, 507
1560024636236, 2079308, 375, 471, 508
1560024636248, 2079321, 374, 473, 509
1560024636260, 2079333, 374, 474, 509
1560024636274, 2079346, 374, 473, 509
1560024636287, 2079359, 376, 475, 510
1560024636298, 2079372, 374, 475, 509
1560024636312, 2079384, 375, 475, 509
1560024636324, 2079397, 373, 476, 509
1560024636337, 2079410, 374, 475, 507
1560024636350, 2079422, 375, 473, 506
1560024636363, 2079435, 374, 475, 507
1560024636375, 2079448, 376, 475, 506
1560024636388, 2079460, 375, 473, 508
1560024636401, 2079473, 375, 474, 507
1560024636414, 2079486, 375, 476, 508
1560024636426, 2079499, 375, 475, 507
1560024636439, 2079511, 377, 475, 508
1560024636452, 2079524, 377, 475, 506
1560024636464, 2079537, 377, 473, 508
1560024636477, 2079549, 377, 475, 506
1560024636491, 2079562, 377, 472, 504
1560024636503, 2079575, 378, 475, 506
1560024636514, 2079587, 379, 472, 506
1560024636528, 2079600, 377, 471, 506
1560024636542, 2079613, 375, 472, 506
1560024636554, 2079625, 376, 471, 505
