Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024377730, 1820806, 371, 451, 478
1560024377742, 1820819, 372, 453, 477
1560024377754, 1820832, 372, 454, 477
1560024377767, 1820844, 373, 452, 476
1560024377780, 1820857, 372, 453, 476
1560024377792, 1820870, 373, 453, 475
1560024377805, 1820882, 372, 453, 474
1560024377817, 1820895, 375, 452, 473
1560024377831, 1820908, 375, 451, 472
1560024377843, 1820920, 376, 452, 473
1560024377856, 1820933, 376, 450, 471
1560024377868, 1820946, 375, 449, 471
1560024377881, 1820958, 375, 447, 471
1560024377894, 1820971, 375, 449, 471
1560024377907, 1820984, 374, 450, 470
1560024377920, 1820997, 376, 448, 471
1560024377931, 1821009, 377, 449, 470
1560024377945, 1821022, 377, 449, 473
1560024377958, 1821035, 378, 449, 471
1560024377970, 1821047, 378, 449, 473
1560024377982, 1821060, 378, 450, 472
1560024377996, 1821073, 377, 452, 472
1560024378008, 1821085, 377, 451, 473
1560024378020, 1821098, 376, 451, 473
1560024378034, 1821111, 376, 454, 477
1560024378047, 1821124, 375, 454, 474
1560024378059, 1821136, 375, 455, 474
1560024378071, 1821149, 376, 455, 474
1560024378084, 1821162, 376, 456, 475
1560024378097, 1821174, 376, 454, 475
1560024378110, 1821187, 376, 457, 475
1560024378122, 1821200, 375, 455, 476
1560024378135, 1821212, 377, 455, 476
1560024378147, 1821225, 374, 456, 475
1560024378160, 1821238, 375, 455, 475
1560024378174, 1821250, 376, 454, 475
1560024378187, 1821263, 376, 455, 474
1560024378199, 1821276, 375, 457, 474
1560024378211, 1821289, 374, 455, 475
1560024378224, 1821301, 376, 455, 472
1560024378237, 1821314, 374, 457, 472
1560024378250, 1821327, 376, 458, 473
1560024378262, 1821339, 374, 457, 472
1560024378276, 1821352, 374, 458, 472
1560024378287, 1821365, 377, 458, 472
1560024378300, 1821377, 376, 458, 473
1560024378312, 1821390, 376, 459, 472
1560024378326, 1821403, 374, 458, 473
1560024378338, 1821416, 375, 458, 475
1560024378350, 1821428, 373, 456, 476
1560024378364, 1821441, 374, 458, 476
1560024378376, 1821454, 374, 457, 474
1560024378389, 1821466, 374, 455, 473
1560024378402, 1821479, 373, 455, 474
1560024378414, 1821492, 373, 455, 473
1560024378427, 1821504, 374, 456, 473
1560024378439, 1821517, 374, 454, 472
1560024378453, 1821530, 373, 454, 474
1560024378465, 1821542, 375, 454, 474
1560024378478, 1821555, 372, 454, 473
1560024378491, 1821568, 374, 452, 474
1560024378504, 1821581, 372, 451, 473
1560024378517, 1821593, 373, 450, 472
1560024378528, 1821606, 374, 451, 471
1560024378542, 1821619, 374, 449, 471
1560024378553, 1821631, 375, 448, 471
1560024378568, 1821644, 376, 450, 472
1560024378579, 1821657, 375, 449, 471
1560024378593, 1821669, 376, 449, 473
1560024378605, 1821682, 376, 449, 472
1560024378617, 1821695, 379, 447, 476
1560024378631, 1821708, 378, 449, 477
1560024378644, 1821720, 377, 448, 477
1560024378656, 1821733, 376, 450, 476
1560024378669, 1821746, 378, 450, 475
1560024378681, 1821758, 376, 451, 477
1560024378694, 1821771, 375, 451, 476
1560024378706, 1821784, 375, 453, 475
1560024378720, 1821796, 377, 454, 475
1560024378732, 1821809, 375, 454, 475
1560024378746, 1821822, 376, 455, 476
1560024378758, 1821834, 375, 453, 474
1560024378770, 1821847, 375, 454, 475
1560024378783, 1821860, 376, 455, 475
1560024378796, 1821873, 376, 457, 474
1560024378808, 1821885, 377, 455, 473
1560024378821, 1821898, 376, 456, 473
1560024378833, 1821911, 376, 457, 473
1560024378847, 1821923, 374, 457, 473
1560024378859, 1821936, 374, 457, 472
1560024378872, 1821949, 374, 456, 472
1560024378884, 1821961, 376, 457, 471
1560024378897, 1821974, 375, 458, 473
1560024378910, 1821987, 372, 456, 472
1560024378922, 1822000, 374, 460, 475
1560024378934, 1822012, 375, 459, 475
1560024378948, 1822025, 376, 459, 476
1560024378960, 1822038, 376, 455, 475
1560024378973, 1822050, 376, 455, 476
1560024378985, 1822063, 375, 455, 475
1560024378998, 1822076, 375, 455, 477
