Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024503999, 1947074, 384, 458, 518
1560024504012, 1947086, 384, 459, 518
1560024504023, 1947099, 384, 460, 518
1560024504037, 1947112, 383, 460, 518
1560024504050, 1947125, 381, 459, 516
1560024504063, 1947137, 380, 461, 518
1560024504075, 1947150, 383, 460, 517
1560024504087, 1947163, 380, 460, 517
1560024504102, 1947175, 380, 461, 514
1560024504113, 1947188, 376, 460, 515
1560024504126, 1947201, 378, 461, 516
1560024504138, 1947213, 376, 462, 513
1560024504152, 1947226, 376, 463, 514
1560024504165, 1947239, 375, 465, 515
1560024504176, 1947251, 378, 467, 518
1560024504190, 1947264, 380, 466, 520
1560024504203, 1947277, 383, 468, 519
1560024504214, 1947290, 381, 470, 521
1560024504228, 1947302, 383, 466, 520
1560024504240, 1947315, 379, 465, 522
1560024504253, 1947328, 380, 461, 524
1560024504266, 1947340, 379, 460, 522
1560024504278, 1947353, 376, 456, 524
1560024504291, 1947366, 376, 457, 526
1560024504303, 1947378, 375, 455, 524
1560024504316, 1947391, 374, 455, 522
1560024504329, 1947404, 377, 458, 522
1560024504341, 1947416, 375, 459, 524
1560024504356, 1947429, 380, 462, 523
1560024504366, 1947442, 378, 463, 525
1560024504380, 1947455, 379, 463, 524
1560024504392, 1947467, 380, 460, 523
1560024504405, 1947480, 378, 461, 524
1560024504418, 1947493, 379, 460, 523
1560024504430, 1947505, 380, 460, 523
1560024504444, 1947518, 380, 460, 520
1560024504456, 1947531, 377, 457, 522
1560024504469, 1947543, 379, 457, 518
1560024504482, 1947556, 377, 456, 519
1560024504494, 1947569, 378, 457, 517
1560024504506, 1947582, 379, 457, 518
1560024504520, 1947594, 379, 457, 518
1560024504532, 1947607, 377, 456, 518
1560024504545, 1947620, 379, 456, 517
1560024504557, 1947632, 379, 456, 517
1560024504570, 1947645, 380, 458, 517
1560024504583, 1947658, 381, 456, 517
1560024504595, 1947670, 382, 457, 514
1560024504608, 1947683, 382, 459, 515
1560024504621, 1947696, 382, 458, 516
1560024504634, 1947708, 381, 457, 515
1560024504645, 1947721, 381, 458, 515
1560024504659, 1947734, 381, 459, 515
1560024504671, 1947747, 380, 458, 516
1560024504685, 1947759, 380, 460, 516
1560024504697, 1947772, 379, 460, 517
1560024504709, 1947785, 380, 460, 518
1560024504723, 1947797, 380, 460, 516
1560024504735, 1947810, 380, 460, 517
1560024504748, 1947823, 380, 461, 518
1560024504760, 1947835, 380, 462, 520
1560024504774, 1947848, 378, 460, 519
1560024504787, 1947861, 378, 460, 520
1560024504799, 1947874, 379, 459, 519
1560024504811, 1947886, 381, 460, 522
1560024504825, 1947899, 378, 459, 521
1560024504837, 1947912, 377, 462, 524
1560024504849, 1947924, 377, 460, 523
1560024504862, 1947937, 377, 461, 524
1560024504876, 1947950, 379, 461, 524
1560024504888, 1947962, 378, 459, 524
1560024504901, 1947975, 379, 462, 522
1560024504913, 1947988, 382, 461, 523
1560024504925, 1948000, 380, 460, 520
1560024504939, 1948013, 379, 461, 523
1560024504951, 1948026, 378, 462, 523
1560024504964, 1948039, 379, 463, 521
1560024504976, 1948051, 380, 461, 521
1560024504990, 1948064, 378, 461, 522
1560024505001, 1948077, 378, 461, 521
1560024505015, 1948089, 377, 460, 520
1560024505027, 1948102, 377, 461, 520
1560024505041, 1948115, 378, 461, 519
1560024505053, 1948127, 378, 460, 518
1560024505065, 1948140, 380, 461, 517
1560024505080, 1948153, 380, 460, 517
1560024505090, 1948166, 381, 460, 518
1560024505104, 1948178, 379, 459, 516
1560024505116, 1948191, 379, 460, 518
1560024505130, 1948204, 379, 459, 519
1560024505144, 1948216, 380, 459, 519
1560024505155, 1948229, 380, 460, 516
1560024505167, 1948242, 379, 457, 519
1560024505179, 1948254, 381, 460, 516
1560024505192, 1948267, 379, 459, 518
1560024505205, 1948280, 380, 460, 517
1560024505218, 1948292, 379, 458, 519
1560024505231, 1948305, 379, 459, 517
1560024505243, 1948318, 379, 458, 520
1560024505255, 1948331, 377, 458, 517
1560024505267, 1948343, 382, 458, 518
1560024505281, 1948356, 381, 457, 518
1560024505293, 1948369, 381, 459, 519
1560024505307, 1948381, 380, 459, 521
1560024505319, 1948394, 381, 461, 520
1560024505332, 1948407, 378, 459, 524
1560024505345, 1948419, 379, 457, 522
1560024505356, 1948432, 379, 459, 523
1560024505370, 1948445, 378, 459, 522
1560024505383, 1948458, 378, 458, 520
1560024505396, 1948470, 379, 459, 522
1560024505408, 1948483, 377, 460, 524
1560024505420, 1948496, 378, 459, 523
1560024505434, 1948508, 378, 459, 524
1560024505446, 1948521, 378, 460, 523
1560024505459, 1948534, 379, 460, 523
1560024505472, 1948546, 380, 459, 523
1560024505485, 1948559, 379, 458, 520
1560024505498, 1948572, 381, 457, 521
1560024505510, 1948584, 381, 459, 519
1560024505522, 1948597, 381, 460, 521
1560024505535, 1948610, 382, 461, 519
1560024505548, 1948623, 383, 462, 519
1560024505560, 1948635, 381, 461, 521
1560024505573, 1948648, 380, 463, 519
1560024505586, 1948661, 379, 461, 517
1560024505598, 1948673, 380, 459, 518
1560024505612, 1948686, 378, 460, 516
1560024505624, 1948699, 379, 460, 516
1560024505638, 1948711, 378, 460, 515
1560024505649, 1948724, 380, 460, 512
1560024505661, 1948737, 379, 460, 514
1560024505675, 1948750, 380, 462, 515
1560024505688, 1948762, 381, 459, 515
1560024505701, 1948775, 381, 461, 516
1560024505713, 1948788, 379, 461, 517
1560024505725, 1948800, 383, 461, 517
1560024505738, 1948813, 381, 460, 518
1560024505751, 1948826, 380, 459, 520
1560024505764, 1948838, 382, 458, 520
1560024505776, 1948851, 379, 459, 522
1560024505790, 1948864, 377, 458, 522
1560024505802, 1948876, 376, 457, 522
1560024505815, 1948889, 377, 457, 523
1560024505827, 1948902, 376, 460, 521
1560024505840, 1948915, 375, 460, 523
1560024505852, 1948927, 378, 459, 524
1560024505865, 1948940, 375, 459, 522
1560024505877, 1948953, 377, 461, 525
1560024505890, 1948965, 378, 458, 525
1560024505903, 1948978, 378, 461, 523
1560024505916, 1948991, 377, 460, 524
1560024505928, 1949003, 379, 459, 524
1560024505942, 1949016, 378, 458, 521
1560024505954, 1949029, 378, 458, 522
1560024505966, 1949041, 381, 457, 521
1560024505978, 1949054, 380, 457, 521
1560024505992, 1949067, 379, 455, 519
1560024506006, 1949080, 380, 457, 517
1560024506018, 1949092, 378, 456, 519
1560024506030, 1949105, 379, 457, 518
1560024506042, 1949118, 379, 457, 515
1560024506057, 1949130, 380, 457, 518
1560024506068, 1949143, 381, 458, 516
1560024506080, 1949156, 379, 459, 516
1560024506094, 1949168, 380, 459, 517
1560024506107, 1949181, 381, 462, 520
1560024506120, 1949194, 381, 459, 519
1560024506132, 1949207, 380, 459, 519
1560024506145, 1949219, 381, 460, 518
1560024506158, 1949232, 379, 461, 517
1560024506169, 1949245, 380, 462, 517
1560024506182, 1949257, 381, 464, 520
1560024506196, 1949270, 381, 466, 523
1560024506209, 1949283, 380, 465, 524
1560024506220, 1949295, 379, 461, 524
1560024506232, 1949308, 381, 461, 522
1560024506246, 1949321, 381, 457, 519
1560024506259, 1949333, 382, 460, 518
1560024506271, 1949346, 381, 463, 519
1560024506285, 1949359, 384, 466, 521
1560024506296, 1949372, 383, 465, 520
1560024506309, 1949384, 382, 465, 519
1560024506323, 1949397, 384, 462, 519
1560024506335, 1949410, 384, 461, 517
1560024506348, 1949422, 384, 462, 518
1560024506361, 1949435, 384, 466, 521
1560024506373, 1949448, 382, 466, 523
1560024506387, 1949460, 380, 467, 520
1560024506398, 1949473, 380, 464, 518
1560024506411, 1949486, 379, 465, 519
1560024506424, 1949499, 381, 468, 520
1560024506437, 1949511, 380, 469, 521
1560024506449, 1949524, 380, 467, 520
1560024506462, 1949537, 378, 470, 523
1560024506474, 1949549, 380, 471, 524
1560024506487, 1949562, 379, 470, 525
1560024506500, 1949575, 380, 468, 524
1560024506513, 1949587, 381, 468, 523
1560024506524, 1949600, 381, 470, 524
1560024506539, 1949613, 380, 467, 525
1560024506552, 1949625, 381, 467, 524
1560024506564, 1949638, 379, 466, 523
1560024506576, 1949651, 381, 466, 523
1560024506590, 1949664, 379, 463, 522
1560024506601, 1949676, 379, 465, 523
1560024506615, 1949689, 380, 465, 522
1560024506627, 1949702, 379, 463, 521
1560024506641, 1949714, 379, 464, 523
1560024506652, 1949727, 378, 465, 522
1560024506666, 1949740, 380, 462, 522
1560024506678, 1949752, 379, 465, 522
1560024506691, 1949765, 379, 465, 523
1560024506703, 1949778, 378, 466, 522
1560024506715, 1949791, 379, 465, 522
1560024506728, 1949803, 380, 467, 522
1560024506741, 1949816, 378, 466, 522
1560024506753, 1949829, 376, 466, 521
1560024506767, 1949841, 375, 466, 519
1560024506779, 1949854, 377, 466, 520
1560024506792, 1949867, 376, 467, 522
1560024506805, 1949879, 376, 467, 522
1560024506817, 1949892, 375, 468, 521
1560024506830, 1949905, 376, 465, 522
1560024506843, 1949917, 377, 466, 523
1560024506855, 1949930, 377, 466, 521
1560024506868, 1949943, 377, 464, 522
1560024506880, 1949956, 375, 464, 519
1560024506894, 1949968, 376, 462, 521
1560024506906, 1949981, 379, 462, 520
1560024506919, 1949994, 377, 459, 520
1560024506931, 1950006, 374, 460, 519
1560024506945, 1950019, 377, 461, 519
1560024506957, 1950032, 378, 460, 518
1560024506969, 1950044, 380, 459, 517
1560024506983, 1950057, 378, 457, 515
1560024506996, 1950070, 378, 459, 516
1560024507009, 1950083, 380, 458, 517
1560024507020, 1950095, 380, 458, 515
1560024507033, 1950108, 381, 458, 515
1560024507046, 1950121, 382, 457, 515
1560024507058, 1950133, 381, 458, 517
1560024507071, 1950146, 381, 456, 518
1560024507083, 1950159, 380, 455, 518
1560024507098, 1950171, 380, 458, 516
1560024507110, 1950184, 379, 456, 517
1560024507123, 1950197, 379, 456, 518
1560024507135, 1950209, 378, 456, 517
1560024507148, 1950222, 380, 458, 520
1560024507160, 1950235, 379, 457, 518
1560024507173, 1950248, 377, 459, 519
1560024507186, 1950260, 377, 457, 518
1560024507198, 1950273, 378, 459, 519
1560024507210, 1950286, 379, 460, 517
1560024507224, 1950298, 378, 458, 518
1560024507236, 1950311, 379, 459, 519
1560024507250, 1950324, 378, 458, 519
1560024507261, 1950336, 379, 459, 520
1560024507274, 1950349, 381, 460, 517
1560024507288, 1950362, 381, 459, 520
1560024507300, 1950375, 381, 457, 518
1560024507312, 1950387, 379, 458, 521
1560024507324, 1950400, 378, 458, 520
1560024507339, 1950413, 379, 455, 519
1560024507351, 1950425, 380, 454, 518
1560024507362, 1950438, 380, 453, 518
1560024507376, 1950451, 381, 455, 516
1560024507388, 1950463, 383, 455, 516
1560024507403, 1950476, 380, 454, 516
1560024507414, 1950489, 380, 455, 517
1560024507426, 1950501, 381, 456, 517
1560024507441, 1950514, 382, 455, 515
1560024507452, 1950527, 383, 454, 514
1560024507464, 1950540, 382, 453, 514
1560024507478, 1950552, 382, 453, 514
1560024507491, 1950565, 381, 452, 514
1560024507503, 1950578, 377, 453, 514
1560024507515, 1950590, 376, 453, 514
1560024507528, 1950603, 376, 452, 515
1560024507542, 1950616, 377, 452, 514
1560024507553, 1950628, 375, 454, 518
1560024507566, 1950641, 374, 455, 516
1560024507579, 1950654, 375, 455, 517
1560024507593, 1950666, 377, 454, 518
1560024507605, 1950679, 378, 455, 520
1560024507618, 1950692, 380, 456, 524
1560024507630, 1950705, 381, 456, 525
1560024507643, 1950717, 382, 457, 525
1560024507655, 1950730, 383, 456, 523
1560024507668, 1950743, 382, 455, 521
1560024507680, 1950755, 388, 453, 520
1560024507693, 1950768, 386, 453, 521
1560024507707, 1950781, 385, 459, 521
1560024507719, 1950793, 383, 457, 520
1560024507731, 1950806, 382, 459, 522
1560024507743, 1950819, 383, 464, 522
1560024507757, 1950832, 385, 464, 522
1560024507770, 1950844, 384, 460, 520
1560024507782, 1950857, 383, 462, 520
1560024507795, 1950870, 382, 463, 519
1560024507808, 1950882, 382, 466, 521
1560024507820, 1950895, 380, 465, 523
1560024507832, 1950908, 377, 466, 523
1560024507846, 1950920, 378, 464, 524
1560024507858, 1950933, 378, 466, 524
1560024507871, 1950946, 377, 464, 522
1560024507884, 1950958, 379, 464, 521
1560024507896, 1950971, 377, 461, 522
1560024507908, 1950984, 375, 461, 521
1560024507922, 1950997, 375, 459, 522
1560024507935, 1951009, 374, 461, 522
1560024507948, 1951022, 375, 462, 521
1560024507960, 1951035, 377, 462, 522
1560024507972, 1951047, 384, 463, 523
1560024507986, 1951060, 381, 465, 524
1560024507998, 1951073, 382, 465, 521
1560024508010, 1951085, 382, 463, 523
1560024508022, 1951098, 381, 467, 524
1560024508036, 1951111, 383, 466, 524
1560024508048, 1951124, 382, 467, 524
1560024508061, 1951136, 382, 465, 523
1560024508074, 1951149, 381, 465, 523
1560024508086, 1951162, 380, 463, 523
1560024508100, 1951174, 378, 463, 523
1560024508112, 1951187, 380, 461, 524
1560024508125, 1951200, 379, 462, 523
1560024508138, 1951212, 379, 462, 523
1560024508150, 1951225, 379, 460, 523
1560024508162, 1951238, 380, 461, 521
1560024508176, 1951250, 380, 459, 520
1560024508188, 1951263, 381, 459, 517
1560024508201, 1951276, 381, 457, 516
1560024508213, 1951289, 381, 458, 513
1560024508226, 1951301, 380, 459, 515
1560024508239, 1951314, 378, 457, 516
1560024508251, 1951327, 377, 456, 515
1560024508265, 1951339, 374, 453, 516
1560024508277, 1951352, 372, 455, 516
1560024508291, 1951365, 371, 454, 518
1560024508302, 1951377, 374, 453, 519
1560024508316, 1951390, 376, 454, 520
1560024508328, 1951403, 378, 455, 524
1560024508342, 1951416, 381, 457, 526
1560024508354, 1951428, 382, 457, 527
1560024508366, 1951441, 384, 457, 526
1560024508379, 1951454, 383, 458, 526
1560024508391, 1951466, 386, 457, 524
1560024508403, 1951479, 383, 454, 522
1560024508416, 1951492, 384, 455, 519
1560024508430, 1951504, 382, 458, 520
1560024508443, 1951517, 380, 458, 522
1560024508455, 1951530, 379, 460, 520
1560024508467, 1951542, 378, 461, 520
1560024508481, 1951555, 378, 461, 521
1560024508493, 1951568, 379, 461, 520
1560024508506, 1951581, 378, 461, 517
1560024508519, 1951593, 380, 462, 516
1560024508531, 1951606, 381, 460, 514
1560024508544, 1951619, 382, 460, 515
1560024508558, 1951631, 381, 461, 513
1560024508569, 1951644, 379, 461, 515
1560024508582, 1951657, 378, 461, 517
1560024508595, 1951669, 378, 460, 517
1560024508608, 1951682, 376, 457, 520
1560024508619, 1951695, 378, 458, 523
1560024508632, 1951708, 377, 460, 523
1560024508645, 1951720, 378, 461, 526
1560024508659, 1951733, 380, 463, 525
1560024508671, 1951746, 379, 464, 526
1560024508683, 1951758, 378, 464, 528
1560024508696, 1951771, 379, 464, 528
1560024508709, 1951784, 380, 462, 526
1560024508722, 1951796, 381, 461, 523
1560024508735, 1951809, 380, 460, 524
1560024508747, 1951822, 378, 461, 521
1560024508761, 1951834, 380, 458, 520
1560024508773, 1951847, 379, 460, 517
1560024508786, 1951860, 380, 460, 515
1560024508798, 1951873, 380, 459, 515
1560024508811, 1951885, 381, 460, 511
1560024508824, 1951898, 382, 461, 510
1560024508836, 1951911, 385, 460, 511
1560024508848, 1951923, 385, 460, 512
1560024508862, 1951936, 384, 460, 514
1560024508875, 1951949, 384, 458, 515
1560024508887, 1951961, 377, 458, 518
1560024508899, 1951974, 374, 455, 519
1560024508913, 1951987, 373, 455, 522
1560024508925, 1952000, 374, 456, 524
1560024508937, 1952012, 374, 457, 526
1560024508950, 1952025, 375, 457, 526
1560024508963, 1952038, 375, 456, 527
1560024508976, 1952050, 376, 460, 530
1560024508988, 1952063, 379, 463, 531
1560024509001, 1952076, 379, 464, 530
1560024509014, 1952088, 380, 461, 527
1560024509027, 1952101, 382, 457, 524
1560024509039, 1952114, 383, 455, 524
1560024509051, 1952126, 384, 453, 522
1560024509064, 1952139, 382, 454, 522
1560024509077, 1952152, 381, 456, 521
1560024509090, 1952165, 381, 459, 518
1560024509103, 1952177, 381, 457, 516
1560024509115, 1952190, 381, 460, 514
1560024509128, 1952203, 384, 460, 513
1560024509140, 1952215, 382, 462, 513
1560024509153, 1952228, 385, 463, 511
1560024509167, 1952241, 383, 463, 511
1560024509179, 1952253, 382, 466, 515
1560024509191, 1952266, 383, 466, 516
1560024509204, 1952279, 382, 465, 517
1560024509217, 1952291, 381, 463, 518
1560024509229, 1952304, 379, 461, 520
1560024509242, 1952317, 374, 461, 521
1560024509255, 1952330, 372, 460, 521
1560024509267, 1952342, 369, 458, 521
1560024509280, 1952355, 370, 460, 522
1560024509293, 1952368, 371, 459, 524
1560024509305, 1952380, 371, 461, 525
1560024509319, 1952393, 376, 461, 525
1560024509332, 1952406, 378, 464, 525
1560024509343, 1952418, 378, 463, 527
1560024509356, 1952431, 382, 462, 527
1560024509369, 1952444, 383, 461, 525
1560024509381, 1952457, 382, 460, 523
1560024509395, 1952469, 382, 457, 525
1560024509407, 1952482, 384, 457, 524
1560024509420, 1952495, 385, 456, 523
1560024509433, 1952507, 385, 454, 521
1560024509445, 1952520, 383, 454, 520
1560024509458, 1952533, 383, 455, 519
1560024509471, 1952545, 381, 455, 516
1560024509484, 1952558, 380, 458, 515
1560024509496, 1952571, 381, 460, 513
1560024509509, 1952583, 381, 461, 515
1560024509522, 1952596, 383, 463, 512
1560024509535, 1952609, 383, 465, 514
1560024509547, 1952622, 382, 465, 516
1560024509560, 1952634, 379, 466, 517
1560024509573, 1952647, 380, 464, 519
1560024509585, 1952660, 378, 465, 519
1560024509598, 1952672, 379, 464, 520
1560024509610, 1952685, 378, 463, 521
1560024509624, 1952698, 378, 464, 521
1560024509636, 1952710, 376, 460, 521
1560024509648, 1952723, 375, 457, 522
1560024509663, 1952736, 375, 458, 521
1560024509675, 1952749, 373, 458, 523
1560024509687, 1952761, 375, 457, 524
1560024509700, 1952774, 376, 457, 521
1560024509712, 1952787, 374, 457, 523
1560024509725, 1952799, 377, 460, 522
1560024509738, 1952812, 379, 460, 522
1560024509749, 1952825, 382, 461, 524
1560024509763, 1952837, 383, 460, 524
1560024509775, 1952850, 383, 458, 523
1560024509787, 1952863, 383, 459, 524
1560024509800, 1952875, 384, 457, 522
1560024509812, 1952888, 381, 456, 519
1560024509827, 1952901, 382, 455, 517
1560024509838, 1952914, 379, 456, 516
1560024509851, 1952926, 379, 456, 515
1560024509864, 1952939, 379, 455, 514
1560024509876, 1952952, 379, 458, 514
1560024509891, 1952964, 379, 463, 515
1560024509902, 1952977, 380, 466, 518
1560024509914, 1952990, 382, 468, 517
1560024509928, 1953002, 381, 468, 521
1560024509940, 1953015, 381, 467, 521
1560024509953, 1953028, 380, 464, 522
1560024509966, 1953041, 380, 462, 522
1560024509978, 1953053, 379, 461, 524
1560024509991, 1953066, 378, 459, 521
1560024510004, 1953079, 375, 457, 522
1560024510017, 1953091, 376, 456, 521
1560024510029, 1953104, 376, 455, 520
1560024510043, 1953117, 378, 457, 520
1560024510054, 1953129, 375, 458, 520
1560024510067, 1953142, 379, 459, 518
1560024510080, 1953155, 379, 459, 516
1560024510093, 1953167, 383, 462, 517
1560024510105, 1953180, 383, 462, 520
1560024510118, 1953193, 384, 461, 520
1560024510131, 1953206, 381, 459, 522
1560024510144, 1953218, 381, 458, 520
1560024510156, 1953231, 381, 456, 520
1560024510168, 1953244, 381, 456, 521
1560024510182, 1953256, 379, 457, 522
1560024510194, 1953269, 378, 459, 519
1560024510206, 1953282, 375, 460, 519
1560024510219, 1953294, 377, 459, 519
1560024510233, 1953307, 375, 462, 519
1560024510245, 1953320, 375, 463, 520
1560024510258, 1953333, 375, 464, 517
1560024510271, 1953345, 379, 465, 517
1560024510283, 1953358, 379, 465, 519
1560024510295, 1953371, 381, 465, 518
1560024510308, 1953383, 382, 463, 518
1560024510322, 1953396, 380, 459, 518
1560024510334, 1953409, 381, 457, 518
1560024510347, 1953421, 379, 458, 517
1560024510359, 1953434, 380, 455, 518
1560024510372, 1953447, 379, 455, 518
1560024510386, 1953459, 377, 455, 518
1560024510397, 1953472, 377, 455, 517
1560024510410, 1953485, 379, 456, 519
1560024510424, 1953498, 379, 459, 521
1560024510436, 1953510, 379, 459, 519
1560024510448, 1953523, 379, 460, 521
1560024510460, 1953536, 379, 460, 521
1560024510474, 1953548, 377, 459, 523
1560024510487, 1953561, 379, 459, 523
1560024510499, 1953574, 377, 460, 522
1560024510511, 1953586, 379, 460, 522
1560024510525, 1953599, 377, 461, 523
1560024510537, 1953612, 377, 459, 522
1560024510549, 1953625, 377, 461, 521
1560024510561, 1953637, 377, 459, 522
1560024510575, 1953650, 378, 461, 521
1560024510588, 1953663, 380, 459, 520
1560024510600, 1953675, 381, 462, 520
1560024510612, 1953688, 381, 459, 518
1560024510626, 1953701, 381, 459, 517
1560024510639, 1953713, 381, 461, 517
1560024510651, 1953726, 384, 460, 515
1560024510663, 1953739, 383, 457, 515
1560024510676, 1953751, 383, 459, 513
1560024510688, 1953764, 385, 458, 514
1560024510703, 1953777, 384, 459, 514
1560024510714, 1953790, 386, 459, 515
1560024510727, 1953802, 385, 460, 512
1560024510740, 1953815, 383, 461, 516
1560024510754, 1953828, 383, 463, 516
1560024510766, 1953840, 386, 465, 516
1560024510779, 1953853, 382, 466, 518
1560024510790, 1953866, 382, 468, 518
1560024510805, 1953878, 380, 466, 520
1560024510817, 1953891, 379, 467, 520
1560024510829, 1953904, 378, 467, 520
1560024510842, 1953916, 376, 464, 522
1560024510855, 1953929, 376, 464, 519
1560024510868, 1953942, 374, 463, 520
1560024510880, 1953955, 374, 461, 518
1560024510893, 1953967, 373, 462, 520
1560024510907, 1953980, 375, 464, 519
1560024510917, 1953993, 373, 462, 520
1560024510931, 1954005, 374, 464, 517
1560024510943, 1954018, 377, 461, 519
1560024510955, 1954031, 379, 464, 518
1560024510968, 1954043, 377, 463, 518
1560024510981, 1954056, 375, 463, 519
1560024510994, 1954069, 378, 461, 519
1560024511006, 1954082, 377, 461, 519
1560024511020, 1954094, 377, 463, 521
1560024511032, 1954107, 377, 464, 520
1560024511045, 1954120, 377, 465, 520
1560024511058, 1954132, 378, 465, 523
1560024511070, 1954145, 377, 465, 522
1560024511082, 1954158, 378, 466, 524
1560024511096, 1954170, 377, 464, 523
1560024511108, 1954183, 377, 463, 521
1560024511121, 1954196, 380, 462, 522
1560024511133, 1954208, 377, 460, 517
1560024511145, 1954221, 378, 462, 517
1560024511159, 1954234, 378, 463, 517
1560024511172, 1954247, 379, 462, 517
1560024511184, 1954259, 379, 461, 517
1560024511197, 1954272, 380, 462, 519
1560024511210, 1954285, 380, 461, 519
1560024511223, 1954297, 379, 461, 522
1560024511236, 1954310, 378, 462, 521
1560024511248, 1954323, 377, 462, 522
1560024511261, 1954335, 378, 462, 521
1560024511273, 1954348, 378, 462, 521
1560024511286, 1954361, 375, 462, 520
1560024511299, 1954374, 377, 462, 520
1560024511312, 1954386, 375, 463, 522
1560024511324, 1954399, 377, 462, 522
1560024511336, 1954412, 375, 462, 520
1560024511350, 1954424, 374, 462, 520
1560024511361, 1954437, 375, 463, 518
1560024511375, 1954450, 376, 462, 517
1560024511389, 1954462, 376, 462, 518
1560024511401, 1954475, 373, 461, 516
1560024511413, 1954488, 375, 461, 514
1560024511426, 1954500, 377, 461, 515
1560024511439, 1954513, 377, 463, 516
1560024511451, 1954526, 375, 459, 514
1560024511464, 1954539, 375, 455, 512
1560024511476, 1954551, 378, 456, 511
1560024511489, 1954564, 378, 453, 508
1560024511503, 1954577, 381, 449, 508
1560024511514, 1954589, 383, 451, 504
1560024511527, 1954602, 380, 448, 507
1560024511541, 1954615, 380, 450, 508
1560024511553, 1954627, 378, 449, 510
1560024511566, 1954640, 375, 448, 510
1560024511578, 1954653, 375, 449, 510
1560024511591, 1954666, 378, 449, 513
1560024511604, 1954678, 377, 447, 512
1560024511616, 1954691, 377, 447, 513
1560024511628, 1954704, 380, 447, 514
1560024511643, 1954716, 377, 446, 513
1560024511655, 1954729, 377, 444, 515
1560024511667, 1954742, 376, 448, 518
1560024511679, 1954754, 373, 446, 520
1560024511693, 1954767, 376, 447, 521
1560024511705, 1954780, 377, 446, 523
1560024511718, 1954792, 377, 448, 522
1560024511730, 1954805, 378, 452, 522
