Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559608810905, 699774, 530, 405, 552
1559608810918, 699788, 531, 405, 551
1559608810932, 699801, 531, 405, 551
1559608810946, 699813, 530, 404, 551
1559608810958, 699827, 530, 404, 550
1559608810970, 699840, 529, 404, 550
1559608810983, 699853, 528, 405, 551
1559608810996, 699867, 527, 404, 552
1559608811009, 699879, 526, 404, 552
1559608811023, 699892, 525, 403, 550
1559608811035, 699906, 526, 403, 549
1559608811049, 699919, 526, 403, 549
1559608811061, 699931, 527, 405, 548
1559608811074, 699944, 527, 406, 547
1559608811088, 699958, 527, 406, 546
1559608811102, 699971, 526, 406, 547
1559608811114, 699983, 524, 405, 549
1559608811126, 699997, 523, 406, 550
1559608811141, 700010, 522, 405, 551
1559608811153, 700023, 523, 405, 552
1559608811166, 700036, 524, 405, 551
1559608811179, 700049, 526, 404, 550
1559608811193, 700062, 526, 403, 548
1559608811205, 700076, 526, 402, 547
1559608811218, 700088, 526, 402, 547
1559608811232, 700101, 526, 402, 547
1559608811245, 700114, 527, 403, 548
1559608811258, 700128, 527, 404, 548
1559608811271, 700140, 526, 404, 548
1559608811284, 700153, 524, 404, 549
1559608811298, 700167, 522, 404, 550
1559608811309, 700180, 521, 404, 551
1559608811323, 700193, 519, 405, 551
1559608811337, 700206, 519, 407, 552
1559608811349, 700219, 518, 407, 551
1559608811361, 700232, 519, 408, 550
1559608811375, 700246, 519, 407, 549
1559608811387, 700258, 520, 406, 548
1559608811401, 700271, 521, 405, 547
1559608811415, 700284, 523, 405, 547
1559608811427, 700298, 524, 404, 548
1559608811440, 700310, 524, 404, 549
1559608811454, 700323, 525, 404, 549
1559608811467, 700337, 526, 404, 550
1559608811480, 700350, 526, 404, 550
1559608811493, 700362, 527, 404, 550
1559608811506, 700376, 527, 404, 550
1559608811519, 700389, 527, 404, 550
1559608811533, 700402, 528, 404, 550
1559608811546, 700414, 528, 405, 550
1559608811558, 700428, 527, 405, 550
1559608811573, 700441, 527, 405, 549
1559608811584, 700454, 528, 405, 548
1559608811598, 700468, 528, 405, 548
1559608811611, 700480, 528, 405, 548
1559608811623, 700493, 526, 405, 548
1559608811637, 700507, 526, 405, 549
1559608811650, 700520, 525, 405, 551
1559608811662, 700532, 525, 406, 551
1559608811675, 700546, 525, 406, 551
1559608811690, 700559, 525, 406, 550
1559608811702, 700572, 525, 405, 550
1559608811715, 700584, 526, 405, 550
1559608811729, 700598, 527, 405, 550
1559608811741, 700611, 527, 404, 550
1559608811754, 700624, 527, 404, 549
1559608811767, 700637, 527, 404, 549
1559608811780, 700650, 527, 403, 549
1559608811794, 700663, 526, 403, 549
1559608811807, 700677, 525, 404, 549
1559608811819, 700689, 524, 405, 549
1559608811834, 700702, 524, 405, 549
1559608811846, 700716, 524, 405, 549
1559608811858, 700729, 524, 404, 548
1559608811871, 700742, 524, 404, 546
1559608811885, 700754, 523, 403, 546
1559608811899, 700768, 523, 404, 547
