Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559610464237, 78062, 515, 398, 524
1559610464249, 78075, 516, 399, 524
1559610464262, 78088, 516, 398, 524
1559610464276, 78101, 516, 398, 523
1559610464293, 78114, 515, 397, 522
1559610464301, 78127, 515, 397, 522
1559610464314, 78140, 514, 397, 522
1559610464328, 78153, 514, 397, 522
1559610464342, 78167, 516, 397, 520
1559610464354, 78179, 517, 398, 519
1559610464367, 78192, 518, 397, 519
1559610464380, 78205, 518, 397, 520
1559610464392, 78218, 518, 398, 520
1559610464407, 78231, 517, 398, 522
1559610464419, 78244, 516, 398, 523
1559610464432, 78258, 515, 398, 524
1559610464445, 78270, 514, 398, 524
1559610464458, 78283, 515, 398, 524
1559610464472, 78297, 516, 399, 523
1559610464484, 78310, 517, 398, 522
1559610464497, 78322, 517, 398, 521
1559610464511, 78336, 517, 398, 520
1559610464524, 78349, 517, 398, 521
1559610464536, 78361, 517, 398, 523
1559610464549, 78374, 517, 398, 524
1559610464564, 78388, 517, 398, 524
1559610464575, 78401, 517, 398, 523
1559610464589, 78413, 518, 398, 522
1559610464602, 78427, 518, 398, 521
1559610464615, 78440, 518, 397, 521
1559610464627, 78452, 518, 397, 521
1559610464640, 78466, 517, 397, 522
1559610464653, 78479, 516, 397, 525
1559610464665, 78492, 515, 398, 526
1559610464679, 78504, 516, 398, 526
1559610464693, 78518, 517, 399, 525
1559610464705, 78531, 518, 399, 523
1559610464719, 78544, 519, 398, 520
1559610464731, 78557, 519, 398, 518
1559610464745, 78570, 519, 397, 517
1559610464758, 78583, 520, 397, 517
1559610464771, 78596, 518, 397, 519
1559610464783, 78609, 518, 397, 521
1559610464798, 78622, 517, 398, 523
1559610464810, 78636, 516, 398, 524
1559610464823, 78648, 516, 398, 525
1559610464835, 78661, 516, 399, 525
1559610464850, 78674, 517, 399, 524
1559610464862, 78687, 517, 398, 522
1559610464874, 78700, 517, 398, 521
1559610464888, 78713, 517, 397, 520
1559610464901, 78727, 517, 397, 520
1559610464914, 78739, 517, 398, 521
1559610464926, 78752, 517, 398, 522
1559610464940, 78766, 517, 397, 522
1559610464953, 78779, 517, 398, 522
1559610464967, 78791, 517, 398, 523
1559610464980, 78804, 517, 398, 523
1559610464993, 78818, 516, 398, 523
1559610465005, 78830, 516, 398, 523
1559610465017, 78843, 516, 398, 523
1559610465032, 78857, 516, 398, 523
1559610465045, 78870, 516, 398, 522
1559610465058, 78882, 516, 397, 521
1559610465069, 78896, 516, 397, 520
1559610465084, 78909, 517, 398, 519
1559610465097, 78921, 517, 398, 520
1559610465110, 78935, 517, 397, 520
1559610465122, 78948, 518, 398, 521
1559610465137, 78961, 518, 398, 522
1559610465149, 78973, 518, 398, 522
1559610465162, 78987, 517, 398, 522
1559610465174, 79000, 517, 398, 522
1559610465188, 79013, 518, 398, 522
1559610465200, 79026, 517, 398, 521
1559610465213, 79039, 517, 398, 521
1559610465227, 79052, 517, 398, 521
1559610465241, 79065, 518, 398, 521
1559610465253, 79078, 518, 398, 521
1559610465266, 79091, 518, 398, 521
1559610465279, 79105, 519, 398, 520
1559610465292, 79117, 519, 398, 519
1559610465304, 79130, 518, 397, 519
1559610465318, 79143, 519, 397, 520
1559610465331, 79156, 519, 398, 521
1559610465344, 79169, 519, 398, 521
1559610465357, 79182, 519, 398, 520
1559610465370, 79196, 519, 398, 520
1559610465383, 79208, 519, 398, 520
1559610465396, 79221, 518, 398, 520
1559610465410, 79235, 517, 397, 520
1559610465422, 79248, 516, 397, 521
1559610465435, 79260, 517, 398, 521
1559610465449, 79273, 518, 398, 521
1559610465462, 79287, 518, 398, 520
1559610465474, 79299, 519, 398, 520
1559610465488, 79312, 519, 398, 519
1559610465501, 79326, 519, 398, 520
1559610465513, 79339, 519, 398, 520
1559610465526, 79351, 517, 398, 519
1559610465540, 79365, 517, 398, 520
1559610465553, 79378, 517, 398, 520
1559610465566, 79390, 517, 399, 521
1559610465578, 79404, 518, 399, 521
1559610465592, 79417, 518, 399, 521
1559610465606, 79430, 519, 399, 521
1559610465618, 79442, 519, 399, 521
1559610465631, 79456, 519, 399, 520
1559610465643, 79469, 519, 398, 521
1559610465657, 79482, 519, 398, 520
1559610465669, 79495, 519, 399, 520
1559610465682, 79508, 519, 398, 521
1559610465696, 79521, 517, 398, 522
1559610465709, 79534, 516, 398, 522
1559610465723, 79547, 517, 399, 523
1559610465735, 79560, 518, 399, 523
1559610465747, 79574, 519, 399, 521
1559610465760, 79586, 519, 399, 520
1559610465774, 79599, 519, 398, 519
1559610465787, 79612, 519, 399, 519
1559610465800, 79625, 519, 399, 521
1559610465814, 79638, 518, 398, 521
1559610465826, 79651, 518, 398, 521
1559610465839, 79665, 518, 398, 521
1559610465852, 79677, 518, 398, 521
1559610465865, 79690, 517, 398, 521
1559610465878, 79704, 517, 398, 521
1559610465891, 79717, 518, 398, 521
1559610465905, 79729, 518, 398, 521
1559610465918, 79742, 518, 398, 521
1559610465931, 79756, 518, 398, 521
1559610465944, 79768, 517, 398, 521
1559610465956, 79781, 518, 398, 521
1559610465970, 79795, 518, 398, 520
1559610465983, 79808, 518, 398, 520
1559610465996, 79820, 517, 398, 520
1559610466008, 79834, 517, 398, 521
1559610466023, 79847, 517, 398, 521
1559610466034, 79860, 518, 398, 521
1559610466048, 79873, 518, 398, 521
1559610466060, 79886, 518, 398, 521
1559610466073, 79899, 518, 397, 521
1559610466087, 79911, 518, 397, 521
1559610466099, 79925, 518, 397, 522
1559610466113, 79938, 519, 398, 521
1559610466126, 79951, 519, 398, 520
1559610466138, 79964, 520, 398, 520
1559610466152, 79977, 520, 397, 520
1559610466164, 79990, 519, 398, 520
1559610466179, 80003, 519, 397, 520
1559610466192, 80016, 518, 398, 521
1559610466204, 80029, 518, 398, 522
1559610466217, 80043, 517, 398, 523
1559610466231, 80055, 517, 398, 524
1559610466243, 80068, 518, 398, 522
1559610466255, 80081, 518, 398, 521
1559610466269, 80094, 519, 398, 520
1559610466282, 80107, 519, 398, 520
1559610466295, 80120, 519, 398, 520
1559610466308, 80134, 519, 398, 521
1559610466322, 80146, 519, 398, 521
1559610466336, 80159, 519, 398, 521
1559610466347, 80173, 518, 398, 521
1559610466360, 80186, 518, 397, 520
1559610466373, 80198, 517, 397, 521
1559610466388, 80211, 517, 398, 522
1559610466400, 80225, 516, 398, 523
1559610466413, 80237, 516, 398, 523
1559610466425, 80250, 517, 398, 523
1559610466439, 80264, 518, 398, 523
1559610466452, 80277, 518, 398, 522
1559610466465, 80289, 519, 398, 520
1559610466477, 80303, 518, 398, 519
1559610466490, 80316, 518, 398, 520
1559610466503, 80329, 518, 398, 521
1559610466516, 80342, 517, 398, 523
1559610466530, 80355, 517, 398, 523
