Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609926514, 1820147, 546, 421, 461
1559609926526, 1820161, 545, 422, 463
1559609926539, 1820174, 545, 422, 464
1559609926553, 1820187, 545, 421, 464
1559609926566, 1820200, 545, 420, 463
1559609926578, 1820213, 546, 420, 462
1559609926592, 1820226, 546, 419, 460
1559609926605, 1820239, 546, 419, 460
1559609926619, 1820253, 546, 420, 462
1559609926632, 1820266, 545, 421, 464
1559609926644, 1820278, 544, 421, 466
1559609926657, 1820292, 543, 421, 466
1559609926671, 1820305, 544, 420, 464
1559609926684, 1820318, 546, 419, 462
1559609926696, 1820332, 547, 419, 460
1559609926710, 1820344, 547, 419, 460
1559609926723, 1820357, 546, 420, 463
1559609926736, 1820370, 545, 421, 465
1559609926749, 1820384, 544, 421, 466
1559609926763, 1820397, 544, 420, 466
1559609926776, 1820409, 545, 419, 464
1559609926790, 1820423, 545, 419, 463
1559609926802, 1820436, 546, 420, 464
1559609926814, 1820449, 545, 420, 464
1559609926828, 1820462, 545, 420, 465
1559609926842, 1820475, 544, 420, 465
1559609926854, 1820488, 544, 420, 465
1559609926867, 1820502, 544, 419, 464
1559609926881, 1820515, 545, 419, 464
1559609926893, 1820527, 545, 419, 463
1559609926907, 1820540, 545, 420, 464
1559609926919, 1820554, 545, 420, 465
1559609926933, 1820567, 544, 421, 465
1559609926947, 1820580, 544, 420, 465
1559609926958, 1820593, 544, 420, 465
1559609926972, 1820606, 545, 420, 464
1559609926986, 1820619, 546, 420, 463
1559609926998, 1820633, 546, 420, 462
1559609927011, 1820646, 546, 420, 463
1559609927025, 1820658, 545, 420, 464
1559609927038, 1820672, 544, 421, 466
1559609927051, 1820685, 543, 421, 467
1559609927064, 1820698, 543, 419, 468
1559609927077, 1820711, 543, 420, 468
1559609927089, 1820724, 542, 419, 469
1559609927103, 1820737, 541, 421, 471
1559609927116, 1820750, 540, 420, 474
1559609927129, 1820764, 539, 421, 480
1559609927142, 1820777, 539, 421, 488
1559609927157, 1820789, 539, 421, 490
1559609927169, 1820803, 537, 420, 492
1559609927182, 1820816, 537, 415, 493
1559609927195, 1820829, 539, 409, 489
1559609927209, 1820843, 540, 404, 486
1559609927222, 1820855, 538, 402, 485
1559609927234, 1820868, 536, 402, 488
1559609927247, 1820881, 534, 401, 493
1559609927261, 1820895, 539, 399, 495
1559609927275, 1820908, 545, 396, 488
1559609927287, 1820920, 546, 394, 480
1559609927300, 1820934, 544, 393, 475
1559609927314, 1820947, 542, 395, 477
1559609927326, 1820960, 539, 397, 485
1559609927339, 1820974, 534, 399, 493
1559609927353, 1820986, 529, 400, 499
1559609927366, 1820999, 526, 400, 504
1559609927378, 1821012, 527, 400, 505
1559609927391, 1821026, 529, 399, 503
1559609927405, 1821039, 530, 397, 496
1559609927417, 1821051, 530, 396, 492
1559609927430, 1821065, 531, 396, 489
1559609927444, 1821078, 532, 397, 489
1559609927457, 1821091, 531, 397, 490
1559609927470, 1821105, 529, 398, 494
1559609927483, 1821117, 528, 400, 497
1559609927496, 1821130, 528, 400, 499
1559609927511, 1821144, 529, 399, 499
1559609927523, 1821157, 530, 399, 495
1559609927536, 1821170, 531, 398, 493
1559609927549, 1821182, 530, 398, 492
1559609927563, 1821196, 529, 399, 493
1559609927574, 1821209, 528, 399, 495
1559609927588, 1821222, 526, 399, 497
1559609927601, 1821236, 525, 399, 500
1559609927614, 1821248, 524, 400, 501
1559609927627, 1821261, 524, 400, 502
1559609927641, 1821275, 524, 399, 501
1559609927654, 1821288, 525, 399, 501
1559609927667, 1821301, 526, 399, 500
