Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609557576, 1451224, 533, 408, 499
1559609557591, 1451237, 532, 406, 500
1559609557603, 1451250, 531, 405, 500
1559609557617, 1451264, 530, 404, 501
1559609557629, 1451277, 531, 403, 501
1559609557643, 1451289, 531, 401, 501
1559609557655, 1451302, 531, 400, 500
1559609557669, 1451316, 532, 399, 500
1559609557682, 1451329, 533, 400, 500
1559609557695, 1451342, 535, 402, 499
1559609557707, 1451355, 537, 404, 496
1559609557721, 1451368, 539, 404, 495
1559609557735, 1451381, 540, 403, 495
1559609557747, 1451395, 540, 402, 496
1559609557761, 1451408, 539, 401, 497
1559609557774, 1451420, 539, 401, 498
1559609557788, 1451433, 538, 401, 498
1559609557800, 1451447, 538, 400, 498
1559609557813, 1451460, 537, 399, 497
1559609557826, 1451473, 537, 398, 495
1559609557840, 1451486, 537, 398, 495
1559609557852, 1451499, 537, 398, 495
1559609557866, 1451512, 537, 399, 494
1559609557878, 1451526, 536, 399, 495
1559609557892, 1451539, 536, 399, 495
1559609557906, 1451551, 535, 400, 496
1559609557919, 1451565, 534, 401, 497
1559609557931, 1451578, 533, 401, 498
1559609557945, 1451591, 532, 402, 499
1559609557958, 1451604, 531, 403, 500
1559609557970, 1451617, 530, 403, 500
1559609557983, 1451630, 530, 403, 499
1559609557997, 1451643, 530, 402, 498
1559609558009, 1451657, 529, 402, 498
1559609558023, 1451669, 530, 401, 499
1559609558036, 1451682, 530, 402, 499
1559609558049, 1451696, 530, 401, 499
1559609558061, 1451709, 531, 401, 498
1559609558075, 1451722, 532, 402, 498
1559609558089, 1451735, 533, 403, 498
1559609558102, 1451748, 533, 403, 498
1559609558115, 1451761, 533, 403, 497
1559609558127, 1451774, 532, 402, 497
1559609558141, 1451788, 532, 400, 498
1559609558154, 1451800, 532, 398, 500
1559609558166, 1451813, 531, 396, 502
1559609558180, 1451827, 531, 394, 502
1559609558194, 1451840, 531, 395, 501
1559609558207, 1451853, 534, 399, 501
1559609558220, 1451866, 536, 403, 500
1559609558233, 1451879, 539, 406, 498
1559609558246, 1451892, 541, 407, 496
1559609558259, 1451906, 541, 408, 495
1559609558271, 1451919, 540, 408, 495
1559609558285, 1451931, 539, 407, 496
1559609558299, 1451944, 538, 406, 497
