Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559608932793, 821658, 550, 407, 516
1559608932806, 821671, 548, 405, 516
1559608932818, 821684, 546, 402, 516
1559608932832, 821697, 545, 399, 515
1559608932845, 821710, 545, 397, 515
1559608932857, 821724, 544, 396, 515
1559608932870, 821736, 543, 396, 516
1559608932884, 821749, 542, 395, 518
1559608932897, 821763, 541, 395, 518
1559608932909, 821776, 540, 395, 519
1559608932922, 821788, 540, 395, 519
1559608932936, 821801, 539, 396, 520
1559608932949, 821815, 539, 396, 522
1559608932963, 821828, 538, 397, 522
1559608932975, 821840, 537, 397, 523
1559608932988, 821854, 535, 398, 522
1559608933002, 821867, 533, 398, 521
1559608933014, 821880, 531, 397, 519
1559608933028, 821893, 531, 399, 518
1559608933041, 821906, 532, 401, 519
1559608933054, 821919, 533, 402, 520
1559608933067, 821933, 533, 404, 520
1559608933080, 821945, 532, 404, 520
1559608933093, 821958, 529, 404, 519
1559608933106, 821971, 527, 403, 519
1559608933118, 821985, 525, 402, 521
1559608933132, 821997, 524, 402, 522
1559608933145, 822010, 524, 403, 522
1559608933158, 822024, 524, 404, 524
1559608933171, 822037, 525, 403, 525
1559608933184, 822050, 524, 402, 525
1559608933197, 822063, 523, 400, 525
1559608933211, 822076, 524, 399, 525
1559608933224, 822089, 524, 399, 525
1559608933236, 822103, 525, 399, 526
1559608933250, 822115, 525, 400, 526
1559608933264, 822128, 527, 401, 526
1559608933276, 822141, 528, 403, 525
1559608933289, 822155, 529, 403, 525
1559608933301, 822167, 529, 403, 525
1559608933315, 822180, 528, 401, 524
1559608933327, 822194, 527, 401, 523
1559608933341, 822207, 527, 400, 522
1559608933354, 822219, 527, 400, 522
1559608933367, 822233, 528, 401, 522
1559608933380, 822246, 528, 400, 521
1559608933393, 822259, 530, 400, 521
1559608933407, 822272, 530, 398, 520
1559608933420, 822285, 530, 397, 519
1559608933433, 822298, 529, 397, 519
1559608933445, 822311, 530, 397, 520
1559608933458, 822324, 531, 398, 522
1559608933472, 822337, 533, 400, 523
1559608933484, 822350, 533, 400, 523
1559608933498, 822364, 533, 399, 523
1559608933512, 822377, 534, 399, 522
1559608933525, 822389, 534, 399, 521
1559608933537, 822403, 535, 399, 521
1559608933550, 822416, 536, 399, 521
1559608933563, 822429, 537, 399, 519
1559608933577, 822441, 538, 399, 518
1559608933589, 822455, 539, 398, 518
1559608933602, 822468, 540, 399, 518
1559608933616, 822481, 539, 398, 517
1559608933629, 822494, 540, 398, 517
1559608933641, 822507, 541, 398, 518
1559608933655, 822520, 542, 398, 518
1559608933668, 822534, 542, 398, 517
1559608933681, 822546, 542, 398, 515
1559608933693, 822559, 543, 398, 514
1559608933707, 822573, 543, 398, 512
1559608933720, 822586, 544, 397, 513
1559608933733, 822598, 542, 397, 514
1559608933746, 822611, 542, 398, 515
1559608933760, 822625, 542, 399, 517
1559608933772, 822638, 541, 398, 517
1559608933786, 822650, 539, 396, 518
1559608933798, 822664, 538, 393, 517
