Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559608696732, 585605, 543, 420, 574
1559608696744, 585617, 543, 420, 574
1559608696756, 585630, 543, 421, 574
1559608696770, 585644, 543, 421, 575
1559608696783, 585657, 541, 421, 576
1559608696796, 585669, 539, 420, 577
1559608696809, 585682, 538, 421, 577
1559608696822, 585696, 537, 423, 578
1559608696835, 585709, 536, 425, 579
1559608696848, 585721, 534, 425, 579
1559608696862, 585735, 534, 424, 578
1559608696874, 585748, 533, 425, 577
1559608696887, 585761, 533, 425, 577
1559608696900, 585775, 533, 425, 577
1559608696914, 585787, 533, 424, 577
1559608696926, 585800, 532, 422, 577
1559608696940, 585814, 532, 422, 577
1559608696952, 585827, 532, 423, 577
1559608696966, 585839, 532, 423, 578
1559608696979, 585852, 531, 423, 578
1559608696991, 585866, 531, 423, 577
1559608697005, 585879, 532, 423, 577
1559608697019, 585891, 532, 422, 576
1559608697031, 585905, 532, 422, 576
1559608697045, 585918, 532, 421, 575
1559608697058, 585931, 532, 422, 575
1559608697071, 585944, 532, 423, 576
1559608697083, 585957, 532, 423, 577
1559608697097, 585970, 533, 423, 577
1559608697110, 585984, 535, 424, 575
1559608697124, 585996, 536, 424, 575
1559608697135, 586009, 535, 424, 577
1559608697149, 586022, 535, 424, 577
1559608697163, 586036, 536, 424, 576
1559608697175, 586049, 537, 425, 576
1559608697187, 586061, 538, 426, 577
1559608697201, 586075, 539, 427, 579
1559608697215, 586088, 538, 428, 579
1559608697227, 586101, 537, 427, 580
1559608697240, 586114, 536, 427, 581
1559608697253, 586127, 535, 428, 580
1559608697267, 586140, 534, 428, 580
1559608697279, 586153, 533, 428, 580
1559608697293, 586166, 533, 428, 580
1559608697306, 586179, 534, 428, 579
1559608697319, 586192, 534, 427, 579
1559608697332, 586206, 536, 426, 578
1559608697345, 586218, 536, 425, 576
1559608697357, 586231, 538, 424, 575
1559608697371, 586245, 538, 422, 574
1559608697384, 586258, 539, 421, 574
1559608697397, 586270, 540, 421, 574
1559608697410, 586284, 541, 420, 574
1559608697424, 586297, 541, 420, 574
1559608697437, 586310, 541, 419, 575
1559608697449, 586322, 541, 419, 575
1559608697463, 586336, 541, 419, 575
1559608697475, 586349, 542, 420, 575
1559608697490, 586362, 542, 420, 576
1559608697502, 586376, 541, 422, 577
1559608697515, 586388, 540, 423, 578
1559608697528, 586401, 539, 425, 578
1559608697542, 586415, 538, 425, 578
1559608697554, 586428, 538, 426, 578
1559608697566, 586440, 538, 426, 577
1559608697580, 586454, 537, 426, 576
1559608697593, 586467, 538, 425, 576
1559608697607, 586480, 538, 425, 577
1559608697619, 586492, 539, 426, 578
1559608697633, 586506, 538, 426, 578
1559608697645, 586519, 538, 426, 578
1559608697659, 586532, 539, 425, 577
1559608697671, 586545, 538, 425, 577
1559608697685, 586558, 538, 424, 577
1559608697698, 586571, 537, 424, 578
1559608697711, 586585, 536, 424, 577
1559608697724, 586598, 536, 425, 578
1559608697737, 586610, 537, 425, 577
1559608697749, 586624, 536, 424, 577
1559608697763, 586637, 536, 424, 576
1559608697776, 586650, 537, 423, 576
1559608697789, 586662, 537, 424, 576
1559608697802, 586676, 537, 424, 575
1559608697815, 586689, 537, 422, 576
1559608697829, 586702, 536, 422, 576
1559608697842, 586715, 537, 422, 575
1559608697854, 586728, 537, 422, 575
1559608697868, 586741, 537, 422, 576
1559608697882, 586755, 537, 422, 575
1559608697893, 586767, 537, 423, 576
1559608697906, 586780, 537, 423, 576
1559608697920, 586793, 537, 424, 577
1559608697932, 586807, 537, 423, 577
1559608697946, 586819, 536, 423, 575
1559608697959, 586832, 536, 423, 575
1559608697972, 586846, 537, 423, 576
1559608697986, 586859, 537, 423, 576
1559608697998, 586871, 537, 423, 576
1559608698011, 586885, 538, 423, 576
1559608698025, 586898, 538, 424, 576
1559608698037, 586911, 538, 424, 576
1559608698050, 586925, 538, 423, 576
1559608698064, 586937, 537, 422, 576
1559608698077, 586950, 537, 422, 576
1559608698090, 586963, 538, 421, 576
1559608698102, 586977, 539, 422, 575
1559608698115, 586989, 539, 422, 575
1559608698129, 587002, 539, 422, 574
1559608698141, 587016, 540, 423, 574
1559608698156, 587029, 540, 423, 574
1559608698167, 587041, 540, 423, 574
1559608698181, 587055, 540, 424, 575
1559608698194, 587068, 540, 424, 575
1559608698208, 587081, 540, 424, 575
1559608698220, 587094, 540, 424, 575
1559608698234, 587107, 540, 424, 575
1559608698246, 587120, 540, 424, 575
1559608698261, 587133, 540, 424, 575
1559608698273, 587146, 540, 424, 575
1559608698286, 587159, 540, 425, 575
1559608698299, 587172, 539, 426, 576
1559608698312, 587186, 539, 427, 576
1559608698324, 587199, 539, 427, 576
1559608698340, 587211, 538, 427, 575
1559608698351, 587225, 538, 426, 575
1559608698365, 587238, 536, 426, 575
1559608698377, 587251, 536, 427, 575
1559608698390, 587264, 537, 428, 576
1559608698403, 587277, 537, 429, 576
1559608698416, 587290, 537, 428, 577
1559608698429, 587303, 538, 426, 576
1559608698443, 587316, 539, 424, 575
1559608698456, 587329, 540, 422, 576
1559608698469, 587342, 540, 421, 578
1559608698482, 587356, 541, 420, 579
1559608698495, 587368, 542, 420, 579
1559608698509, 587381, 543, 420, 580
1559608698521, 587395, 544, 421, 581
1559608698534, 587408, 544, 421, 582
1559608698546, 587420, 544, 422, 580
1559608698561, 587433, 545, 422, 577
1559608698574, 587447, 546, 419, 575
1559608698588, 587460, 546, 418, 574
1559608698600, 587472, 545, 418, 575
1559608698612, 587486, 544, 418, 575
1559608698625, 587499, 544, 419, 576
1559608698638, 587512, 544, 421, 575
1559608698651, 587526, 545, 422, 573
1559608698665, 587538, 545, 424, 572
1559608698678, 587551, 546, 426, 570
1559608698691, 587565, 545, 428, 570
1559608698705, 587578, 544, 428, 569
1559608698717, 587590, 542, 429, 568
1559608698729, 587603, 541, 429, 568
1559608698743, 587617, 539, 430, 570
1559608698756, 587630, 536, 430, 575
1559608698770, 587642, 533, 427, 580
1559608698783, 587656, 531, 424, 583
1559608698796, 587669, 529, 421, 586
1559608698808, 587682, 531, 420, 587
1559608698822, 587695, 534, 421, 590
1559608698835, 587708, 538, 424, 588
1559608698849, 587721, 541, 425, 586
1559608698861, 587735, 544, 424, 582
1559608698874, 587747, 545, 423, 579
1559608698888, 587760, 546, 423, 576
1559608698900, 587773, 546, 422, 573
1559608698912, 587787, 546, 421, 571
1559608698925, 587800, 546, 421, 569
1559608698939, 587812, 545, 422, 568
1559608698952, 587826, 544, 422, 567
1559608698965, 587839, 543, 421, 567
1559608698978, 587852, 541, 421, 568
1559608698991, 587865, 540, 421, 570
1559608699005, 587878, 539, 421, 572
1559608699017, 587891, 539, 421, 573
1559608699031, 587905, 539, 422, 573
1559608699045, 587917, 540, 422, 575
1559608699056, 587930, 539, 423, 578
1559608699070, 587943, 537, 426, 581
1559608699082, 587957, 536, 421, 586
1559608699097, 587969, 534, 420, 586
1559608699109, 587982, 532, 423, 586
1559608699122, 587996, 532, 428, 586
1559608699135, 588009, 531, 431, 583
1559608699148, 588021, 530, 431, 580
1559608699161, 588035, 528, 429, 578
1559608699175, 588048, 528, 428, 579
1559608699188, 588061, 528, 428, 576
1559608699201, 588075, 531, 428, 576
1559608699213, 588087, 535, 429, 580
1559608699227, 588100, 547, 426, 585
1559608699240, 588113, 560, 424, 580
1559608699253, 588127, 571, 415, 578
1559608699265, 588139, 572, 418, 565
1559608699279, 588152, 571, 416, 564
1559608699291, 588166, 568, 417, 568
1559608699305, 588179, 564, 418, 573
1559608699317, 588191, 561, 420, 577
1559608699331, 588205, 562, 418, 580
1559608699345, 588218, 569, 414, 579
1559608699357, 588231, 576, 416, 574
1559608699371, 588243, 574, 426, 570
1559608699384, 588257, 569, 429, 577
1559608699396, 588270, 563, 429, 583
1559608699410, 588283, 561, 431, 581
1559608699424, 588296, 561, 433, 581
1559608699436, 588309, 560, 438, 576
1559608699448, 588322, 560, 441, 573
1559608699461, 588336, 557, 442, 569
1559608699477, 588349, 555, 441, 564
1559608699488, 588361, 555, 442, 562
1559608699501, 588375, 555, 444, 563
1559608699514, 588388, 553, 447, 563
1559608699527, 588401, 552, 450, 564
1559608699541, 588413, 552, 450, 564
1559608699554, 588427, 553, 450, 562
1559608699566, 588440, 553, 448, 562
1559608699580, 588453, 550, 445, 561
1559608699592, 588466, 550, 442, 566
1559608699606, 588479, 551, 437, 569
1559608699618, 588492, 554, 436, 571
1559608699632, 588506, 557, 433, 573
1559608699645, 588518, 557, 432, 575
1559608699658, 588531, 561, 430, 579
1559608699671, 588545, 564, 430, 579
1559608699684, 588558, 566, 428, 579
1559608699696, 588570, 568, 428, 578
1559608699710, 588583, 569, 429, 577
1559608699723, 588597, 569, 430, 577
1559608699737, 588610, 569, 430, 577
1559608699749, 588622, 568, 429, 578
1559608699763, 588636, 569, 428, 576
1559608699776, 588649, 569, 429, 575
1559608699789, 588662, 569, 428, 574
1559608699802, 588676, 568, 429, 573
1559608699815, 588688, 567, 429, 575
1559608699829, 588701, 566, 431, 575
1559608699841, 588715, 565, 432, 576
1559608699854, 588728, 564, 433, 575
1559608699867, 588740, 564, 433, 574
1559608699880, 588753, 564, 432, 574
1559608699893, 588767, 565, 431, 573
1559608699906, 588780, 564, 432, 572
1559608699920, 588792, 564, 433, 573
1559608699932, 588806, 563, 434, 574
1559608699946, 588819, 561, 434, 575
1559608699958, 588832, 561, 435, 575
1559608699971, 588845, 562, 435, 574
1559608699985, 588858, 562, 435, 575
1559608699998, 588871, 562, 434, 575
1559608700010, 588884, 562, 434, 574
1559608700025, 588897, 562, 434, 574
1559608700038, 588910, 561, 434, 575
1559608700050, 588923, 560, 434, 576
1559608700062, 588937, 560, 433, 576
1559608700076, 588950, 560, 432, 575
1559608700089, 588962, 560, 432, 576
1559608700102, 588976, 562, 432, 576
1559608700115, 588989, 563, 431, 577
1559608700128, 589002, 562, 432, 576
1559608700142, 589015, 560, 433, 577
1559608700154, 589028, 558, 433, 578
1559608700167, 589041, 557, 433, 579
1559608700180, 589054, 555, 433, 579
1559608700194, 589067, 554, 433, 580
1559608700206, 589080, 555, 432, 579
1559608700219, 589093, 558, 432, 578
1559608700233, 589107, 559, 432, 576
1559608700246, 589119, 558, 430, 576
1559608700258, 589132, 559, 429, 576
1559608700272, 589146, 560, 430, 575
1559608700284, 589159, 561, 431, 574
1559608700298, 589171, 562, 431, 573
1559608700312, 589185, 562, 430, 571
1559608700325, 589198, 563, 429, 571
