Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609869632, 1763268, 493, 443, 594
1559609869645, 1763281, 493, 444, 595
1559609869658, 1763295, 493, 445, 595
1559609869672, 1763308, 492, 446, 595
1559609869685, 1763320, 492, 446, 596
1559609869698, 1763334, 492, 446, 595
1559609869710, 1763347, 492, 445, 595
1559609869724, 1763360, 492, 444, 595
1559609869738, 1763374, 492, 444, 594
1559609869750, 1763386, 492, 444, 594
1559609869763, 1763399, 492, 445, 593
1559609869776, 1763412, 492, 445, 593
1559609869789, 1763426, 492, 445, 594
1559609869803, 1763439, 491, 445, 594
1559609869815, 1763451, 491, 446, 594
1559609869829, 1763465, 491, 446, 595
1559609869842, 1763478, 491, 446, 594
1559609869856, 1763491, 491, 445, 595
1559609869868, 1763505, 491, 445, 594
1559609869882, 1763517, 492, 445, 595
1559609869894, 1763530, 492, 445, 595
1559609869908, 1763544, 492, 446, 595
1559609869920, 1763557, 491, 446, 595
1559609869934, 1763570, 491, 446, 595
1559609869946, 1763582, 491, 445, 595
1559609869960, 1763596, 491, 445, 595
1559609869972, 1763609, 491, 444, 594
1559609869986, 1763622, 492, 444, 594
1559609870000, 1763636, 492, 444, 594
1559609870012, 1763648, 492, 445, 594
1559609870026, 1763661, 492, 445, 594
1559609870039, 1763675, 492, 445, 594
1559609870052, 1763688, 492, 445, 594
1559609870064, 1763701, 492, 444, 594
1559609870078, 1763714, 493, 444, 594
1559609870091, 1763727, 493, 444, 594
1559609870104, 1763740, 493, 444, 594
1559609870117, 1763753, 492, 444, 594
1559609870131, 1763767, 492, 444, 594
1559609870144, 1763779, 492, 445, 594
1559609870157, 1763792, 492, 445, 594
1559609870169, 1763806, 492, 445, 594
1559609870182, 1763819, 491, 445, 595
1559609870196, 1763831, 491, 446, 595
1559609870208, 1763845, 491, 446, 595
1559609870222, 1763858, 491, 446, 594
1559609870235, 1763871, 491, 446, 595
1559609870249, 1763885, 491, 446, 595
1559609870261, 1763897, 491, 446, 595
1559609870274, 1763910, 491, 446, 595
1559609870288, 1763923, 491, 446, 595
1559609870300, 1763937, 492, 446, 595
1559609870314, 1763950, 492, 445, 595
1559609870326, 1763962, 492, 445, 594
1559609870341, 1763976, 492, 445, 595
1559609870353, 1763989, 492, 445, 594
1559609870367, 1764002, 492, 445, 594
1559609870380, 1764016, 492, 445, 594
1559609870392, 1764028, 492, 445, 595
1559609870405, 1764041, 491, 445, 595
1559609870418, 1764055, 491, 445, 594
1559609870432, 1764068, 491, 445, 594
1559609870444, 1764081, 491, 445, 594
1559609870457, 1764093, 491, 445, 594
1559609870471, 1764107, 491, 445, 594
1559609870484, 1764120, 491, 445, 594
1559609870497, 1764133, 491, 445, 594
1559609870510, 1764147, 491, 445, 595
1559609870523, 1764159, 491, 445, 595
1559609870537, 1764172, 491, 445, 595
1559609870549, 1764186, 492, 445, 595
1559609870563, 1764199, 492, 445, 595
1559609870576, 1764212, 492, 446, 595
1559609870589, 1764225, 492, 445, 595
1559609870603, 1764238, 492, 445, 595
1559609870615, 1764251, 491, 445, 595
1559609870628, 1764264, 491, 445, 595
1559609870641, 1764278, 491, 445, 595
1559609870656, 1764290, 492, 445, 595
1559609870667, 1764303, 492, 445, 595
1559609870680, 1764317, 492, 445, 594
1559609870693, 1764330, 492, 445, 594
1559609870708, 1764343, 492, 445, 595
1559609870721, 1764356, 492, 445, 595
1559609870734, 1764369, 492, 445, 595
1559609870746, 1764382, 491, 446, 595
1559609870760, 1764396, 492, 446, 595
1559609870773, 1764409, 492, 446, 595
