Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559610031487, 1925117, 508, 408, 480
1559610031500, 1925131, 508, 407, 477
1559610031513, 1925144, 508, 407, 476
1559610031526, 1925156, 507, 407, 475
1559610031540, 1925170, 507, 408, 477
1559610031552, 1925183, 507, 408, 479
1559610031566, 1925196, 506, 409, 480
1559610031578, 1925210, 506, 408, 480
1559610031593, 1925222, 506, 407, 477
1559610031607, 1925235, 507, 406, 474
1559610031618, 1925249, 507, 406, 472
1559610031631, 1925262, 507, 406, 473
1559610031644, 1925275, 507, 407, 476
1559610031658, 1925287, 505, 408, 479
1559610031670, 1925301, 504, 408, 481
1559610031683, 1925314, 504, 408, 480
1559610031697, 1925327, 505, 407, 476
1559610031709, 1925341, 506, 406, 472
1559610031723, 1925353, 507, 406, 470
1559610031736, 1925366, 507, 407, 470
1559610031749, 1925380, 506, 408, 472
1559610031762, 1925393, 505, 409, 476
1559610031776, 1925406, 504, 409, 479
1559610031788, 1925419, 504, 409, 480
1559610031802, 1925432, 504, 408, 478
1559610031815, 1925445, 506, 407, 475
1559610031828, 1925458, 507, 406, 472
1559610031841, 1925472, 508, 405, 470
1559610031853, 1925484, 509, 406, 470
1559610031866, 1925497, 509, 407, 473
1559610031880, 1925511, 508, 408, 476
1559610031895, 1925524, 507, 408, 479
1559610031907, 1925537, 507, 408, 479
1559610031920, 1925550, 507, 407, 478
1559610031932, 1925563, 507, 406, 476
1559610031946, 1925576, 507, 406, 474
1559610031959, 1925590, 507, 405, 471
1559610031972, 1925603, 507, 406, 471
1559610031985, 1925615, 507, 407, 473
1559610031998, 1925628, 507, 408, 476
1559610032010, 1925642, 507, 409, 478
1559610032025, 1925655, 506, 408, 478
1559610032037, 1925668, 507, 408, 477
1559610032050, 1925681, 507, 408, 475
1559610032064, 1925694, 507, 407, 473
1559610032077, 1925707, 508, 407, 472
1559610032089, 1925721, 508, 408, 472
1559610032103, 1925734, 507, 408, 473
1559610032116, 1925746, 506, 408, 475
1559610032129, 1925760, 505, 409, 477
1559610032142, 1925773, 506, 409, 478
1559610032155, 1925786, 506, 408, 477
1559610032168, 1925799, 507, 407, 475
1559610032182, 1925812, 508, 407, 474
1559610032195, 1925825, 508, 407, 475
1559610032208, 1925838, 508, 407, 475
