Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609735922, 1629562, 535, 407, 548
1559609735935, 1629576, 534, 408, 550
1559609735948, 1629589, 534, 408, 553
1559609735961, 1629601, 534, 407, 550
1559609735975, 1629615, 534, 405, 547
1559609735987, 1629628, 536, 404, 545
1559609736000, 1629641, 538, 405, 545
1559609736013, 1629655, 538, 406, 547
1559609736026, 1629667, 537, 406, 547
1559609736040, 1629680, 536, 406, 548
1559609736054, 1629693, 536, 406, 548
1559609736066, 1629707, 536, 406, 548
1559609736078, 1629720, 535, 406, 548
1559609736092, 1629732, 535, 406, 548
1559609736105, 1629746, 535, 406, 549
1559609736118, 1629759, 535, 406, 548
1559609736132, 1629772, 536, 406, 548
1559609736145, 1629786, 537, 405, 548
1559609736157, 1629798, 538, 406, 547
1559609736171, 1629811, 537, 406, 547
1559609736184, 1629825, 536, 406, 548
1559609736197, 1629838, 536, 407, 549
1559609736210, 1629851, 535, 407, 549
1559609736223, 1629863, 535, 407, 549
1559609736238, 1629877, 535, 407, 549
1559609736250, 1629890, 536, 406, 548
1559609736263, 1629903, 536, 406, 548
1559609736276, 1629917, 536, 406, 547
1559609736288, 1629929, 536, 406, 546
1559609736302, 1629942, 536, 406, 547
1559609736315, 1629956, 536, 406, 548
1559609736328, 1629969, 536, 407, 549
1559609736342, 1629982, 535, 408, 550
1559609736355, 1629995, 535, 408, 550
1559609736368, 1630008, 536, 407, 550
1559609736380, 1630021, 538, 406, 548
1559609736393, 1630034, 539, 405, 547
1559609736406, 1630048, 538, 406, 547
1559609736419, 1630060, 537, 406, 548
1559609736433, 1630073, 536, 407, 549
1559609736445, 1630087, 536, 407, 549
1559609736459, 1630100, 536, 407, 549
1559609736473, 1630113, 535, 407, 549
1559609736485, 1630126, 535, 406, 548
1559609736499, 1630139, 536, 405, 546
1559609736512, 1630152, 536, 404, 545
1559609736525, 1630166, 536, 404, 545
1559609736538, 1630179, 536, 405, 546
1559609736551, 1630191, 535, 407, 548
1559609736564, 1630204, 535, 407, 550
1559609736577, 1630218, 534, 407, 550
1559609736590, 1630231, 535, 407, 550
1559609736604, 1630244, 536, 405, 548
1559609736616, 1630257, 537, 404, 546
1559609736629, 1630270, 538, 404, 544
1559609736643, 1630283, 538, 405, 545
1559609736657, 1630297, 537, 406, 547
1559609736669, 1630310, 536, 406, 549
1559609736681, 1630322, 535, 407, 549
1559609736695, 1630336, 535, 406, 548
1559609736709, 1630349, 535, 405, 547
1559609736721, 1630362, 536, 405, 546
1559609736736, 1630375, 537, 405, 546
1559609736747, 1630388, 538, 405, 546
1559609736760, 1630401, 538, 405, 547
1559609736774, 1630414, 537, 406, 548
1559609736788, 1630428, 536, 407, 549
1559609736799, 1630441, 536, 407, 550
1559609736814, 1630453, 536, 406, 549
1559609736826, 1630467, 537, 406, 547
1559609736840, 1630480, 537, 405, 547
1559609736852, 1630493, 538, 405, 547
1559609736866, 1630507, 537, 405, 547
1559609736879, 1630519, 536, 406, 549
1559609736891, 1630532, 536, 406, 549
1559609736905, 1630545, 536, 406, 548
1559609736918, 1630559, 537, 406, 547
1559609736931, 1630572, 536, 406, 547
1559609736945, 1630584, 536, 406, 547
1559609736957, 1630598, 536, 406, 547
1559609736971, 1630611, 536, 405, 547
1559609736983, 1630624, 536, 406, 546
1559609736997, 1630638, 536, 406, 548
1559609737010, 1630650, 536, 407, 549
1559609737022, 1630663, 536, 407, 548
1559609737036, 1630676, 537, 406, 547
1559609737049, 1630690, 537, 406, 547
1559609737062, 1630703, 537, 406, 547
1559609737075, 1630715, 537, 407, 548
1559609737088, 1630729, 536, 407, 549
1559609737102, 1630742, 536, 407, 548
1559609737114, 1630755, 536, 407, 547
1559609737128, 1630769, 538, 406, 546
1559609737140, 1630781, 538, 406, 545
1559609737153, 1630794, 538, 406, 545
1559609737167, 1630808, 537, 407, 547
1559609737179, 1630821, 535, 407, 548
1559609737194, 1630834, 534, 407, 548
1559609737206, 1630846, 534, 407, 548
1559609737220, 1630860, 535, 406, 548
1559609737232, 1630873, 536, 406, 547
1559609737245, 1630886, 536, 406, 548
1559609737259, 1630900, 535, 407, 548
1559609737272, 1630912, 535, 407, 549
1559609737285, 1630925, 535, 407, 549
1559609737298, 1630939, 536, 407, 548
1559609737312, 1630952, 537, 406, 547
1559609737324, 1630965, 537, 406, 547
1559609737338, 1630978, 537, 406, 547
1559609737350, 1630991, 537, 406, 548
1559609737364, 1631004, 538, 407, 550
1559609737376, 1631017, 537, 408, 551
1559609737390, 1631031, 537, 408, 552
1559609737402, 1631043, 537, 408, 550
1559609737416, 1631056, 537, 407, 548
1559609737428, 1631070, 538, 406, 547
1559609737442, 1631083, 539, 406, 547
1559609737455, 1631096, 538, 407, 547
1559609737469, 1631109, 538, 407, 548
1559609737481, 1631122, 538, 407, 549
1559609737494, 1631135, 537, 408, 549
1559609737508, 1631149, 537, 408, 550
