Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609575560, 1469206, 523, 403, 510
1559609575572, 1469219, 522, 402, 510
1559609575586, 1469232, 521, 402, 510
1559609575599, 1469245, 521, 401, 511
1559609575613, 1469258, 521, 401, 511
1559609575626, 1469272, 520, 400, 511
1559609575638, 1469285, 519, 398, 512
1559609575652, 1469297, 518, 395, 512
1559609575664, 1469310, 518, 392, 512
1559609575678, 1469324, 518, 389, 513
1559609575690, 1469337, 518, 387, 513
1559609575704, 1469350, 518, 385, 514
1559609575717, 1469363, 519, 385, 514
1559609575730, 1469376, 519, 385, 515
1559609575743, 1469389, 521, 387, 514
1559609575757, 1469403, 522, 390, 513
1559609575771, 1469416, 523, 393, 511
1559609575782, 1469428, 524, 396, 509
1559609575796, 1469442, 524, 398, 507
1559609575809, 1469455, 524, 400, 506
1559609575823, 1469468, 523, 401, 506
1559609575835, 1469481, 521, 401, 506
1559609575849, 1469494, 519, 401, 508
1559609575861, 1469507, 517, 400, 510
1559609575875, 1469520, 515, 400, 511
1559609575888, 1469534, 514, 400, 513
1559609575900, 1469547, 513, 400, 514
1559609575913, 1469559, 514, 401, 513
1559609575926, 1469573, 514, 401, 513
1559609575940, 1469586, 515, 401, 513
1559609575954, 1469599, 516, 402, 513
1559609575966, 1469613, 518, 402, 513
1559609575979, 1469625, 519, 403, 513
1559609575993, 1469638, 520, 402, 513
1559609576005, 1469651, 520, 402, 513
1559609576018, 1469665, 521, 402, 513
1559609576032, 1469678, 521, 400, 513
1559609576045, 1469690, 521, 399, 512
1559609576058, 1469704, 521, 398, 512
1559609576071, 1469717, 521, 397, 512
1559609576084, 1469730, 521, 396, 512
1559609576097, 1469744, 521, 395, 513
1559609576111, 1469756, 522, 396, 513
1559609576123, 1469769, 522, 396, 513
1559609576137, 1469783, 523, 397, 513
1559609576150, 1469796, 523, 398, 512
1559609576163, 1469809, 524, 399, 511
1559609576176, 1469821, 524, 399, 510
1559609576190, 1469835, 524, 398, 509
1559609576202, 1469848, 523, 398, 510
1559609576214, 1469861, 521, 397, 510
1559609576228, 1469875, 520, 397, 511
1559609576241, 1469887, 519, 397, 512
1559609576255, 1469900, 519, 396, 511
1559609576267, 1469914, 519, 396, 510
1559609576281, 1469927, 519, 395, 510
1559609576294, 1469940, 519, 396, 510
1559609576307, 1469953, 519, 396, 510
1559609576320, 1469966, 519, 396, 510
1559609576333, 1469979, 519, 395, 511
1559609576346, 1469992, 519, 396, 510
1559609576359, 1470006, 519, 397, 511
1559609576373, 1470018, 518, 398, 512
1559609576385, 1470031, 517, 398, 513
1559609576398, 1470045, 516, 398, 514
1559609576411, 1470058, 516, 398, 514
1559609576425, 1470071, 515, 398, 514
1559609576438, 1470084, 515, 399, 513
1559609576451, 1470097, 515, 399, 513
1559609576464, 1470110, 516, 399, 512
1559609576477, 1470124, 516, 400, 512
1559609576490, 1470137, 516, 400, 512
1559609576504, 1470149, 516, 400, 512
1559609576517, 1470162, 516, 401, 513
1559609576529, 1470176, 517, 400, 513
1559609576543, 1470189, 516, 400, 513
1559609576556, 1470202, 517, 400, 513
1559609576570, 1470215, 517, 400, 513
1559609576582, 1470228, 518, 399, 512
1559609576596, 1470241, 518, 399, 512
1559609576609, 1470255, 519, 399, 511
1559609576621, 1470268, 519, 398, 510
1559609576635, 1470280, 520, 398, 509
1559609576648, 1470294, 520, 398, 510
1559609576661, 1470307, 520, 398, 511
1559609576674, 1470320, 520, 398, 511
1559609576688, 1470333, 520, 398, 511
1559609576700, 1470346, 521, 397, 510
1559609576713, 1470359, 521, 397, 510
1559609576727, 1470372, 521, 397, 511
1559609576740, 1470386, 521, 397, 511
1559609576753, 1470399, 521, 397, 511
1559609576766, 1470411, 521, 398, 511
1559609576778, 1470425, 521, 398, 512
1559609576792, 1470438, 521, 398, 511
1559609576805, 1470451, 521, 398, 511
1559609576819, 1470465, 522, 398, 510
1559609576831, 1470477, 521, 398, 510
1559609576845, 1470490, 522, 398, 510
1559609576858, 1470503, 521, 398, 510
1559609576870, 1470517, 521, 398, 510
1559609576883, 1470530, 521, 398, 511
1559609576897, 1470542, 521, 398, 511
1559609576910, 1470556, 521, 398, 511
1559609576924, 1470569, 520, 398, 511
1559609576936, 1470582, 520, 398, 511
1559609576949, 1470596, 521, 398, 510
1559609576962, 1470608, 521, 398, 510
1559609576976, 1470621, 522, 398, 510
1559609576989, 1470635, 522, 398, 510
1559609577002, 1470648, 522, 398, 510
1559609577014, 1470661, 522, 399, 511
1559609577028, 1470673, 521, 399, 510
1559609577041, 1470687, 522, 399, 511
1559609577055, 1470700, 522, 399, 510
1559609577067, 1470713, 522, 398, 510
1559609577081, 1470727, 522, 398, 510
1559609577094, 1470739, 522, 397, 509
1559609577106, 1470752, 522, 397, 508
1559609577119, 1470766, 522, 397, 509
1559609577132, 1470779, 522, 398, 509
1559609577146, 1470792, 523, 398, 510
1559609577159, 1470804, 522, 399, 510
1559609577171, 1470818, 522, 399, 510
1559609577185, 1470831, 522, 400, 509
1559609577198, 1470844, 522, 399, 509
1559609577212, 1470858, 522, 399, 509
1559609577225, 1470870, 521, 398, 511
1559609577237, 1470883, 521, 398, 512
1559609577250, 1470897, 521, 399, 512
1559609577264, 1470910, 522, 399, 512
1559609577278, 1470923, 522, 399, 511
1559609577290, 1470936, 523, 399, 509
1559609577303, 1470949, 523, 398, 508
1559609577316, 1470962, 523, 398, 507
1559609577330, 1470976, 523, 398, 508
1559609577342, 1470989, 522, 398, 509
1559609577356, 1471001, 522, 398, 510
1559609577368, 1471014, 521, 398, 511
1559609577382, 1471028, 521, 399, 512
1559609577394, 1471041, 521, 399, 512
1559609577408, 1471054, 521, 398, 512
1559609577422, 1471067, 521, 398, 511
1559609577434, 1471080, 521, 397, 510
1559609577446, 1471093, 521, 397, 509
1559609577462, 1471107, 521, 397, 509
1559609577473, 1471120, 521, 398, 510
1559609577486, 1471132, 521, 398, 511
1559609577499, 1471145, 521, 399, 511
1559609577513, 1471159, 520, 399, 512
1559609577526, 1471172, 519, 399, 511
1559609577539, 1471185, 519, 399, 510
1559609577552, 1471198, 519, 398, 508
1559609577564, 1471211, 519, 398, 508
1559609577578, 1471224, 519, 398, 508
1559609577592, 1471238, 519, 398, 509
1559609577605, 1471251, 518, 398, 509
1559609577617, 1471263, 518, 399, 509
1559609577631, 1471277, 519, 399, 509
1559609577645, 1471290, 520, 399, 509
1559609577656, 1471303, 520, 398, 509
1559609577670, 1471316, 520, 398, 508
1559609577683, 1471329, 521, 398, 507
