Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559608912315, 801181, 629, 514, 507
1559608912328, 801195, 628, 514, 508
1559608912341, 801207, 628, 515, 508
1559608912354, 801220, 628, 515, 509
1559608912368, 801233, 628, 515, 510
1559608912380, 801247, 627, 515, 510
1559608912394, 801259, 626, 515, 512
1559608912406, 801272, 625, 516, 513
1559608912419, 801286, 625, 518, 515
1559608912433, 801299, 624, 518, 515
1559608912445, 801312, 624, 517, 512
1559608912459, 801325, 623, 516, 510
1559608912472, 801338, 623, 515, 510
1559608912484, 801351, 624, 517, 511
1559608912498, 801364, 624, 517, 513
1559608912510, 801377, 623, 517, 515
1559608912524, 801390, 622, 518, 516
1559608912538, 801403, 621, 518, 514
1559608912550, 801417, 620, 517, 513
1559608912563, 801429, 621, 516, 510
1559608912576, 801442, 622, 516, 510
1559608912590, 801456, 622, 517, 510
1559608912602, 801469, 621, 517, 510
1559608912616, 801481, 620, 517, 508
1559608912628, 801495, 619, 516, 507
1559608912642, 801508, 620, 516, 506
1559608912655, 801521, 621, 516, 504
1559608912667, 801533, 621, 515, 504
1559608912681, 801547, 620, 516, 503
1559608912694, 801560, 619, 517, 504
1559608912707, 801573, 618, 517, 504
1559608912720, 801587, 617, 518, 501
1559608912732, 801599, 615, 518, 501
1559608912746, 801612, 615, 518, 500
1559608912760, 801626, 615, 519, 499
1559608912773, 801639, 615, 519, 500
1559608912785, 801651, 615, 520, 501
1559608912798, 801665, 616, 521, 502
1559608912812, 801678, 618, 521, 502
1559608912825, 801691, 620, 522, 503
1559608912838, 801703, 620, 522, 506
1559608912850, 801717, 621, 523, 507
1559608912863, 801730, 624, 523, 507
1559608912877, 801743, 627, 522, 508
1559608912890, 801756, 629, 523, 510
1559608912903, 801769, 629, 523, 511
1559608912916, 801782, 629, 524, 511
1559608912929, 801796, 627, 524, 511
1559608912942, 801808, 625, 524, 513
1559608912954, 801821, 624, 524, 515
1559608912968, 801835, 622, 526, 516
1559608912982, 801848, 619, 525, 516
1559608912994, 801860, 616, 523, 514
1559608913007, 801873, 613, 523, 515
1559608913021, 801887, 610, 523, 514
1559608913033, 801900, 607, 521, 516
1559608913046, 801913, 605, 517, 516
1559608913059, 801926, 606, 517, 516
1559608913073, 801939, 605, 518, 519
1559608913086, 801952, 601, 516, 516
1559608913099, 801966, 595, 514, 514
1559608913112, 801978, 590, 512, 514
1559608913126, 801991, 582, 508, 509
1559608913138, 802004, 574, 506, 505
1559608913152, 802018, 565, 500, 501
1559608913164, 802030, 557, 495, 493
1559608913177, 802043, 553, 488, 489
1559608913189, 802057, 555, 483, 490
1559608913203, 802070, 567, 474, 490
1559608913217, 802082, 575, 467, 487
1559608913229, 802096, 575, 459, 487
1559608913242, 802109, 574, 457, 494
1559608913257, 802122, 569, 462, 505
1559608913269, 802135, 561, 460, 516
1559608913281, 802148, 556, 456, 530
1559608913296, 802161, 570, 439, 549
1559608913308, 802174, 601, 424, 563
1559608913320, 802188, 630, 422, 570
1559608913334, 802200, 644, 433, 569
1559608913349, 802213, 641, 446, 572
1559608913360, 802227, 624, 436, 577
1559608913374, 802240, 610, 421, 576
1559608913387, 802252, 603, 414, 574
1559608913400, 802266, 606, 412, 574
1559608913412, 802279, 612, 413, 579
1559608913426, 802292, 614, 414, 579
1559608913439, 802305, 599, 411, 577
1559608913452, 802318, 591, 409, 574
1559608913465, 802331, 581, 405, 573
1559608913478, 802344, 577, 402, 580
1559608913491, 802357, 572, 400, 586
1559608913504, 802370, 572, 405, 598
1559608913518, 802383, 567, 395, 606
1559608913530, 802397, 565, 387, 608
1559608913542, 802409, 566, 384, 608
1559608913556, 802422, 572, 382, 607
