Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559608673523, 562397, 531, 408, 551
1559608673536, 562409, 530, 407, 550
1559608673547, 562422, 530, 406, 549
1559608673561, 562436, 531, 405, 550
1559608673575, 562449, 530, 406, 551
1559608673588, 562461, 531, 407, 552
1559608673600, 562475, 531, 408, 552
1559608673612, 562488, 532, 408, 552
1559608673628, 562501, 532, 409, 553
1559608673640, 562513, 534, 409, 552
1559608673652, 562527, 536, 410, 554
1559608673665, 562540, 536, 409, 553
1559608673679, 562553, 536, 408, 552
1559608673692, 562567, 537, 407, 554
1559608673704, 562579, 539, 409, 556
1559608673718, 562592, 543, 410, 556
1559608673732, 562606, 544, 410, 557
1559608673744, 562619, 543, 409, 557
1559608673757, 562631, 540, 406, 554
1559608673771, 562644, 541, 408, 553
1559608673783, 562658, 541, 404, 554
1559608673797, 562671, 543, 410, 551
1559608673809, 562683, 546, 411, 555
1559608673823, 562697, 545, 414, 558
1559608673835, 562710, 543, 415, 559
1559608673848, 562723, 544, 416, 559
1559608673862, 562736, 545, 416, 559
1559608673875, 562749, 545, 415, 557
1559608673888, 562762, 545, 414, 557
1559608673901, 562776, 545, 414, 558
1559608673914, 562788, 545, 413, 559
1559608673928, 562801, 544, 413, 559
1559608673942, 562814, 544, 412, 559
1559608673953, 562828, 544, 414, 559
1559608673967, 562841, 546, 415, 561
1559608673980, 562853, 546, 417, 561
1559608673992, 562867, 546, 418, 563
1559608674005, 562880, 547, 417, 564
1559608674017, 562893, 547, 415, 564
1559608674032, 562906, 546, 414, 562
1559608674045, 562919, 547, 413, 561
1559608674058, 562932, 549, 416, 563
1559608674071, 562946, 548, 419, 565
1559608674083, 562958, 548, 421, 566
1559608674096, 562971, 547, 421, 564
1559608674110, 562984, 548, 419, 564
1559608674124, 562998, 548, 418, 564
1559608674136, 563010, 550, 418, 565
1559608674150, 563023, 551, 420, 565
1559608674163, 563037, 550, 419, 566
1559608674176, 563050, 549, 419, 567
1559608674189, 563062, 550, 420, 565
1559608674201, 563076, 550, 419, 564
1559608674214, 563089, 550, 423, 567
1559608674227, 563102, 550, 422, 568
1559608674241, 563116, 551, 422, 568
1559608674255, 563128, 550, 421, 569
1559608674266, 563141, 550, 419, 567
1559608674279, 563154, 550, 421, 565
1559608674292, 563168, 549, 420, 564
1559608674306, 563180, 549, 421, 563
1559608674319, 563193, 547, 421, 564
1559608674332, 563207, 546, 420, 567
1559608674346, 563220, 546, 421, 568
1559608674359, 563232, 549, 420, 569
1559608674371, 563246, 552, 422, 566
1559608674384, 563259, 550, 421, 566
1559608674397, 563272, 548, 420, 565
1559608674410, 563284, 549, 417, 566
1559608674424, 563298, 549, 417, 565
1559608674436, 563311, 549, 416, 563
1559608674450, 563324, 550, 417, 565
1559608674463, 563337, 550, 419, 564
1559608674476, 563350, 549, 420, 565
1559608674489, 563363, 550, 421, 566
1559608674502, 563377, 550, 422, 567
1559608674516, 563390, 551, 422, 567
1559608674527, 563402, 551, 420, 568
1559608674542, 563416, 550, 418, 567
1559608674555, 563429, 550, 418, 566
1559608674567, 563442, 549, 420, 566
1559608674580, 563454, 549, 421, 567
1559608674594, 563468, 549, 420, 568
1559608674607, 563481, 549, 419, 569
1559608674619, 563494, 548, 419, 567
1559608674633, 563507, 548, 417, 564
1559608674646, 563520, 547, 417, 563
1559608674658, 563533, 547, 417, 564
1559608674672, 563547, 546, 417, 567
1559608674685, 563559, 545, 420, 571
1559608674697, 563572, 545, 422, 573
1559608674711, 563586, 545, 424, 572
1559608674725, 563599, 544, 422, 572
1559608674737, 563611, 544, 421, 572
1559608674750, 563624, 545, 421, 570
1559608674763, 563638, 544, 421, 571
1559608674776, 563651, 544, 420, 570
1559608674789, 563663, 544, 419, 569
1559608674802, 563677, 544, 420, 571
1559608674816, 563690, 544, 421, 572
1559608674829, 563703, 545, 422, 572
1559608674842, 563717, 544, 423, 572
1559608674855, 563729, 543, 422, 573
1559608674868, 563742, 543, 422, 573
1559608674881, 563756, 543, 423, 572
1559608674893, 563769, 544, 422, 572
1559608674907, 563781, 543, 421, 572
1559608674921, 563794, 542, 422, 574
1559608674932, 563808, 543, 423, 575
1559608674947, 563821, 543, 425, 574
1559608674959, 563833, 543, 425, 575
1559608674972, 563847, 545, 424, 575
1559608674986, 563860, 545, 425, 574
1559608674998, 563873, 546, 422, 574
1559608675012, 563886, 545, 422, 572
1559608675025, 563899, 546, 419, 573
1559608675038, 563912, 546, 421, 572
1559608675052, 563926, 546, 423, 574
1559608675064, 563938, 547, 427, 574
1559608675077, 563951, 545, 428, 575
1559608675090, 563964, 544, 425, 578
1559608675103, 563978, 544, 425, 579
1559608675116, 563991, 544, 423, 577
1559608675129, 564003, 545, 423, 575
1559608675142, 564017, 545, 422, 573
1559608675156, 564030, 545, 424, 572
1559608675168, 564043, 547, 425, 574
1559608675180, 564056, 546, 425, 575
1559608675194, 564069, 545, 425, 575
1559608675207, 564082, 545, 424, 575
1559608675221, 564096, 546, 425, 574
1559608675235, 564108, 548, 427, 575
1559608675248, 564121, 547, 427, 575
1559608675260, 564134, 544, 427, 576
1559608675274, 564148, 544, 427, 577
1559608675287, 564160, 544, 427, 576
1559608675300, 564173, 545, 426, 576
1559608675313, 564187, 546, 427, 575
1559608675325, 564200, 546, 427, 576
1559608675338, 564212, 547, 426, 575
1559608675352, 564226, 548, 423, 573
1559608675365, 564239, 549, 422, 571
1559608675377, 564252, 548, 421, 571
1559608675391, 564264, 548, 421, 571
1559608675404, 564278, 549, 422, 573
1559608675416, 564291, 549, 424, 574
1559608675430, 564304, 549, 423, 575
1559608675444, 564318, 548, 422, 574
1559608675457, 564330, 549, 422, 574
1559608675469, 564343, 550, 422, 572
1559608675484, 564357, 550, 422, 572
1559608675495, 564370, 550, 422, 572
1559608675509, 564382, 549, 422, 572
1559608675521, 564396, 549, 423, 571
1559608675534, 564409, 548, 424, 572
1559608675547, 564422, 548, 426, 573
1559608675561, 564434, 548, 429, 573
1559608675573, 564448, 547, 430, 573
1559608675587, 564461, 545, 429, 573
1559608675599, 564474, 543, 429, 575
1559608675613, 564487, 544, 429, 576
1559608675625, 564500, 543, 428, 576
1559608675639, 564513, 544, 426, 575
1559608675652, 564527, 545, 426, 574
1559608675666, 564540, 547, 426, 575
1559608675678, 564552, 549, 426, 575
1559608675692, 564566, 551, 426, 575
1559608675704, 564579, 552, 425, 575
1559608675718, 564592, 553, 423, 573
1559608675730, 564604, 554, 423, 572
1559608675743, 564618, 556, 423, 571
1559608675756, 564631, 557, 424, 570
1559608675770, 564644, 557, 424, 569
1559608675783, 564657, 556, 424, 571
1559608675796, 564670, 555, 424, 570
1559608675809, 564683, 553, 424, 569
1559608675822, 564697, 551, 423, 569
1559608675835, 564709, 550, 422, 569
1559608675848, 564722, 548, 422, 569
1559608675862, 564736, 547, 423, 570
1559608675874, 564749, 546, 424, 571
1559608675887, 564761, 545, 426, 571
1559608675901, 564774, 544, 427, 572
1559608675914, 564788, 543, 427, 575
1559608675926, 564801, 540, 426, 578
1559608675940, 564814, 541, 425, 582
1559608675952, 564827, 541, 422, 587
1559608675965, 564840, 543, 422, 588
1559608675979, 564853, 546, 423, 585
1559608675991, 564867, 550, 425, 582
1559608676005, 564879, 554, 426, 579
