Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559517035782, 226996, 519, 414, 461
1559517035795, 227009, 519, 415, 461
1559517035808, 227022, 519, 415, 462
1559517035820, 227035, 519, 415, 464
1559517035834, 227048, 519, 414, 464
1559517035847, 227061, 519, 414, 465
1559517035859, 227075, 519, 414, 464
1559517035873, 227087, 520, 414, 463
1559517035886, 227100, 520, 414, 462
1559517035900, 227113, 520, 414, 462
1559517035912, 227127, 520, 414, 462
1559517035926, 227139, 519, 414, 463
1559517035938, 227152, 519, 415, 463
1559517035951, 227166, 520, 415, 464
1559517035965, 227179, 520, 415, 463
1559517035978, 227191, 520, 415, 462
1559517035991, 227205, 521, 415, 461
1559517036004, 227218, 522, 415, 460
1559517036017, 227231, 522, 415, 460
1559517036031, 227245, 521, 415, 461
1559517036043, 227257, 520, 415, 462
1559517036056, 227270, 520, 416, 464
1559517036069, 227283, 519, 416, 465
1559517036082, 227297, 518, 416, 465
1559517036095, 227309, 519, 415, 464
1559517036109, 227322, 519, 415, 462
1559517036121, 227336, 520, 414, 461
1559517036134, 227349, 521, 415, 459
1559517036149, 227361, 522, 415, 460
1559517036161, 227375, 522, 416, 461
1559517036173, 227388, 522, 416, 463
1559517036187, 227401, 521, 417, 463
1559517036201, 227414, 521, 416, 464
1559517036212, 227427, 520, 415, 463
1559517036226, 227440, 520, 415, 462
1559517036240, 227453, 520, 415, 462
1559517036253, 227466, 520, 416, 461
1559517036266, 227479, 520, 416, 462
1559517036278, 227492, 519, 416, 464
1559517036292, 227506, 519, 416, 466
1559517036305, 227518, 519, 416, 466
1559517036317, 227531, 520, 416, 465
1559517036329, 227545, 521, 415, 462
1559517036343, 227558, 521, 415, 459
1559517036357, 227570, 521, 415, 460
1559517036369, 227584, 521, 416, 462
1559517036383, 227597, 520, 416, 464
1559517036396, 227610, 519, 416, 466
1559517036409, 227623, 519, 416, 466
1559517036421, 227636, 519, 416, 466
1559517036435, 227649, 519, 415, 466
1559517036448, 227662, 519, 416, 464
1559517036461, 227676, 520, 415, 463
1559517036474, 227688, 520, 415, 461
1559517036486, 227701, 520, 415, 459
1559517036501, 227715, 520, 415, 460
1559517036513, 227728, 520, 415, 460
1559517036527, 227740, 519, 416, 462
1559517036539, 227753, 519, 416, 464
1559517036553, 227767, 519, 416, 464
1559517036566, 227780, 521, 416, 463
1559517036578, 227792, 521, 415, 461
1559517036592, 227806, 520, 415, 460
1559517036605, 227819, 520, 416, 461
1559517036619, 227832, 520, 416, 462
1559517036632, 227845, 519, 416, 464
1559517036644, 227858, 519, 416, 464
1559517036658, 227871, 520, 416, 464
1559517036670, 227885, 521, 415, 461
1559517036683, 227898, 521, 415, 460
1559517036697, 227910, 522, 416, 460
1559517036709, 227923, 523, 416, 460
1559517036723, 227937, 522, 416, 460
1559517036736, 227950, 522, 416, 461
1559517036748, 227962, 521, 416, 463
1559517036762, 227976, 521, 416, 464
1559517036775, 227989, 522, 415, 463
1559517036787, 228002, 522, 415, 461
1559517036800, 228015, 522, 414, 460
1559517036814, 228028, 522, 415, 461
1559517036828, 228041, 523, 415, 462
1559517036840, 228055, 523, 416, 463
1559517036854, 228067, 523, 416, 463
1559517036866, 228080, 523, 416, 462
1559517036879, 228093, 523, 415, 461
1559517036891, 228107, 523, 415, 460
1559517036905, 228119, 523, 414, 460
1559517036918, 228132, 523, 415, 461
1559517036932, 228146, 522, 415, 462
1559517036944, 228159, 521, 415, 464
1559517036957, 228171, 520, 415, 465
1559517036971, 228185, 519, 415, 465
1559517036984, 228198, 519, 414, 465
1559517036996, 228211, 520, 414, 464
1559517037010, 228224, 520, 414, 462
1559517037022, 228237, 520, 414, 461
1559517037036, 228250, 521, 414, 460
1559517037050, 228263, 521, 414, 461
1559517037062, 228277, 520, 415, 463
1559517037076, 228289, 520, 415, 465
1559517037088, 228302, 520, 415, 465
1559517037102, 228316, 520, 415, 464
1559517037114, 228329, 520, 414, 463
1559517037128, 228341, 520, 413, 462
1559517037139, 228355, 521, 414, 461
1559517037154, 228368, 521, 415, 462
1559517037167, 228381, 522, 415, 463
1559517037179, 228393, 522, 415, 464
1559517037193, 228407, 521, 415, 464
1559517037207, 228420, 521, 415, 465
1559517037219, 228433, 521, 414, 465
1559517037234, 228446, 522, 414, 463
1559517037245, 228459, 522, 414, 462
1559517037259, 228472, 523, 414, 462
1559517037271, 228486, 523, 415, 462
1559517037284, 228498, 523, 415, 464
1559517037297, 228511, 522, 416, 465
1559517037309, 228525, 521, 415, 466
1559517037323, 228538, 521, 415, 467
1559517037338, 228550, 522, 415, 466
1559517037349, 228563, 522, 415, 465
1559517037363, 228577, 523, 414, 463
1559517037376, 228590, 524, 414, 461
1559517037389, 228603, 523, 414, 461
1559517037402, 228616, 523, 414, 462
1559517037415, 228629, 522, 415, 463
1559517037429, 228642, 522, 415, 465
1559517037442, 228656, 521, 414, 465
1559517037455, 228668, 521, 414, 465
1559517037467, 228681, 521, 415, 465
1559517037481, 228695, 522, 414, 463
1559517037494, 228708, 522, 414, 462
1559517037507, 228720, 522, 414, 461
1559517037519, 228733, 522, 415, 463
1559517037533, 228747, 522, 415, 464
1559517037546, 228760, 521, 414, 464
1559517037559, 228772, 521, 414, 465
1559517037572, 228786, 521, 414, 465
1559517037586, 228799, 521, 414, 464
1559517037598, 228812, 522, 414, 463
1559517037610, 228825, 522, 413, 463
1559517037624, 228838, 522, 414, 463
1559517037637, 228851, 522, 413, 463
1559517037650, 228865, 521, 414, 464
1559517037664, 228877, 521, 414, 465
1559517037677, 228890, 521, 414, 466
1559517037690, 228903, 521, 414, 466
1559517037703, 228917, 522, 414, 465
1559517037716, 228929, 522, 414, 463
1559517037728, 228942, 521, 413, 461
1559517037742, 228956, 521, 414, 462
1559517037754, 228969, 520, 414, 463
1559517037768, 228982, 520, 414, 465
1559517037781, 228995, 520, 414, 465
1559517037795, 229008, 520, 414, 465
1559517037807, 229021, 520, 414, 465
1559517037820, 229035, 521, 414, 465
1559517037834, 229047, 522, 414, 464
1559517037847, 229060, 522, 413, 463
1559517037859, 229073, 522, 414, 463
1559517037872, 229087, 522, 414, 464
1559517037886, 229099, 522, 414, 463
1559517037898, 229112, 522, 414, 464
1559517037912, 229126, 521, 414, 464
1559517037924, 229139, 521, 414, 465
1559517037938, 229151, 521, 414, 465
1559517037951, 229165, 522, 414, 464
1559517037963, 229178, 522, 414, 463
1559517037977, 229191, 523, 414, 461
1559517037990, 229204, 523, 415, 461
1559517038003, 229217, 522, 415, 462
1559517038016, 229230, 522, 415, 463
1559517038030, 229243, 521, 415, 464
1559517038043, 229257, 521, 415, 464
1559517038056, 229269, 521, 415, 465
1559517038068, 229282, 522, 415, 464
