Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559517175117, 366326, 526, 400, 504
1559517175129, 366340, 527, 400, 503
1559517175142, 366353, 527, 400, 503
1559517175155, 366366, 527, 400, 504
1559517175169, 366379, 526, 401, 504
1559517175181, 366392, 526, 400, 505
1559517175195, 366405, 526, 400, 505
1559517175206, 366418, 526, 400, 505
1559517175220, 366432, 527, 400, 505
1559517175233, 366444, 527, 400, 506
1559517175246, 366457, 528, 400, 505
1559517175260, 366471, 529, 400, 505
1559517175273, 366484, 529, 399, 504
1559517175285, 366496, 529, 399, 504
1559517175299, 366510, 528, 399, 503
1559517175312, 366523, 528, 399, 504
1559517175324, 366536, 527, 399, 505
1559517175338, 366548, 527, 399, 505
1559517175350, 366562, 526, 399, 505
1559517175365, 366575, 526, 399, 504
1559517175377, 366588, 527, 399, 504
1559517175389, 366601, 527, 399, 503
1559517175403, 366614, 528, 399, 502
1559517175417, 366627, 528, 399, 502
1559517175429, 366641, 528, 399, 501
1559517175443, 366653, 528, 399, 502
1559517175455, 366666, 528, 399, 503
1559517175469, 366680, 527, 399, 504
1559517175482, 366693, 526, 398, 503
1559517175494, 366705, 526, 399, 502
1559517175508, 366718, 525, 399, 502
1559517175520, 366732, 525, 399, 503
1559517175534, 366745, 524, 399, 503
1559517175547, 366758, 525, 399, 504
1559517175560, 366771, 525, 399, 504
1559517175573, 366784, 525, 399, 503
1559517175586, 366797, 525, 398, 504
1559517175600, 366811, 525, 398, 503
1559517175613, 366823, 525, 398, 503
1559517175626, 366836, 526, 399, 504
1559517175638, 366850, 526, 399, 505
1559517175650, 366863, 526, 399, 506
1559517175665, 366875, 526, 399, 506
1559517175678, 366888, 526, 399, 506
1559517175690, 366902, 526, 399, 505
1559517175703, 366915, 526, 399, 504
1559517175718, 366927, 526, 398, 503
1559517175730, 366941, 527, 398, 503
1559517175743, 366954, 527, 399, 504
1559517175756, 366967, 528, 399, 505
1559517175769, 366980, 527, 399, 505
1559517175782, 366993, 527, 399, 505
1559517175795, 367006, 526, 399, 506
1559517175808, 367020, 526, 399, 505
1559517175821, 367033, 526, 399, 505
1559517175834, 367045, 525, 398, 505
1559517175847, 367058, 525, 398, 505
1559517175860, 367072, 526, 398, 505
1559517175874, 367085, 526, 398, 505
1559517175886, 367097, 526, 399, 505
1559517175900, 367111, 525, 398, 505
1559517175912, 367124, 525, 399, 505
1559517175925, 367137, 525, 399, 505
1559517175939, 367150, 525, 399, 505
1559517175952, 367163, 525, 399, 505
1559517175965, 367176, 525, 398, 505
1559517175979, 367190, 525, 398, 504
1559517175992, 367202, 525, 399, 504
1559517176005, 367215, 526, 399, 504
1559517176017, 367228, 525, 399, 504
1559517176030, 367242, 525, 399, 504
1559517176044, 367254, 525, 399, 505
1559517176057, 367267, 525, 399, 505
1559517176069, 367281, 525, 399, 506
1559517176083, 367294, 524, 399, 505
1559517176095, 367307, 524, 399, 506
1559517176109, 367320, 524, 399, 506
1559517176121, 367333, 525, 400, 506
1559517176135, 367346, 525, 399, 505
1559517176149, 367360, 527, 398, 503
1559517176161, 367372, 527, 398, 502
1559517176173, 367385, 527, 398, 503
1559517176188, 367398, 527, 399, 505
1559517176201, 367412, 526, 399, 506
1559517176213, 367424, 527, 399, 505
1559517176226, 367437, 527, 399, 505
1559517176239, 367451, 527, 399, 505
1559517176252, 367464, 527, 399, 505
1559517176266, 367476, 526, 399, 505
1559517176279, 367490, 526, 399, 506
1559517176292, 367503, 526, 399, 507
1559517176305, 367516, 526, 400, 507
1559517176318, 367528, 526, 399, 506
1559517176332, 367542, 526, 399, 505
1559517176344, 367555, 527, 399, 505
1559517176356, 367568, 526, 399, 506
1559517176370, 367582, 525, 399, 506
1559517176385, 367594, 525, 399, 506
1559517176397, 367607, 525, 399, 506
1559517176409, 367621, 526, 399, 505
1559517176422, 367634, 526, 399, 504
1559517176436, 367646, 526, 398, 503
1559517176448, 367660, 526, 398, 502
1559517176462, 367673, 526, 398, 503
1559517176476, 367686, 525, 398, 504
1559517176488, 367698, 525, 399, 505
1559517176501, 367712, 525, 399, 505
1559517176514, 367725, 526, 399, 504
1559517176528, 367738, 526, 399, 504
1559517176540, 367751, 527, 399, 504
1559517176554, 367764, 527, 399, 504
1559517176567, 367777, 526, 398, 503
1559517176580, 367791, 525, 398, 503
1559517176592, 367803, 525, 398, 503
1559517176604, 367816, 524, 398, 504
1559517176618, 367830, 524, 399, 505
1559517176631, 367843, 524, 399, 505
1559517176643, 367856, 524, 399, 507
1559517176658, 367868, 524, 399, 507
1559517176671, 367882, 525, 399, 506
1559517176684, 367895, 525, 399, 506
1559517176696, 367908, 526, 398, 505
1559517176710, 367921, 526, 398, 504
1559517176723, 367934, 526, 398, 504
1559517176735, 367947, 526, 398, 505
1559517176749, 367961, 526, 398, 505
1559517176762, 367973, 526, 399, 506
1559517176776, 367986, 526, 399, 507
1559517176788, 368000, 526, 399, 507
1559517176801, 368013, 526, 398, 506
1559517176815, 368025, 526, 399, 506
1559517176827, 368038, 527, 399, 506
1559517176840, 368052, 526, 399, 505
1559517176853, 368065, 526, 399, 504
1559517176867, 368077, 526, 398, 503
1559517176880, 368091, 525, 398, 503
1559517176893, 368104, 526, 399, 504
1559517176906, 368117, 526, 399, 504
1559517176920, 368131, 526, 399, 504
1559517176933, 368143, 525, 399, 505
1559517176946, 368156, 526, 399, 506
1559517176958, 368169, 526, 399, 506
1559517176972, 368183, 527, 399, 506
1559517176985, 368195, 527, 398, 504
1559517176997, 368208, 527, 398, 503
1559517177011, 368222, 527, 398, 504
1559517177023, 368235, 528, 399, 505
1559517177037, 368247, 527, 399, 506
1559517177050, 368261, 527, 399, 506
1559517177063, 368274, 527, 399, 506
1559517177076, 368287, 527, 398, 505
1559517177089, 368300, 527, 399, 505
1559517177101, 368313, 526, 398, 504
1559517177116, 368326, 527, 398, 503
1559517177129, 368339, 527, 399, 504
1559517177141, 368352, 526, 399, 505
1559517177154, 368365, 527, 399, 506
1559517177168, 368378, 526, 400, 506
1559517177180, 368392, 526, 399, 505
1559517177193, 368404, 526, 399, 505
1559517177206, 368417, 527, 399, 505
1559517177220, 368431, 527, 399, 504
1559517177232, 368444, 527, 399, 503
1559517177246, 368457, 527, 399, 503
1559517177259, 368470, 527, 400, 505
1559517177272, 368483, 528, 401, 507
1559517177285, 368496, 527, 400, 507
1559517177298, 368509, 527, 400, 506
1559517177311, 368522, 527, 400, 505
1559517177324, 368535, 527, 400, 504
1559517177337, 368548, 528, 400, 504
1559517177350, 368562, 527, 399, 504
1559517177364, 368574, 527, 399, 505
1559517177376, 368587, 526, 400, 506
1559517177389, 368601, 526, 400, 507
1559517177403, 368614, 526, 400, 507
1559517177415, 368626, 527, 400, 505
1559517177429, 368640, 528, 399, 505
1559517177442, 368653, 529, 399, 504
1559517177454, 368666, 529, 399, 504
1559517177468, 368678, 528, 399, 505
1559517177481, 368692, 527, 399, 506
