Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559517340421, 112604, 542, 403, 503
1559517340434, 112617, 543, 402, 500
1559517340446, 112629, 543, 403, 500
1559517340461, 112643, 543, 403, 500
1559517340473, 112656, 543, 404, 501
1559517340486, 112669, 543, 403, 502
1559517340500, 112681, 542, 403, 502
1559517340512, 112695, 542, 403, 502
1559517340525, 112708, 542, 403, 501
1559517340538, 112721, 543, 402, 499
1559517340552, 112735, 543, 402, 498
1559517340565, 112747, 543, 402, 499
1559517340578, 112760, 542, 402, 499
1559517340590, 112774, 542, 402, 500
1559517340603, 112787, 542, 402, 501
1559517340617, 112799, 541, 402, 501
1559517340630, 112813, 541, 402, 501
1559517340643, 112826, 541, 402, 501
1559517340657, 112839, 541, 402, 500
1559517340670, 112851, 541, 402, 499
1559517340682, 112865, 541, 402, 500
1559517340695, 112878, 541, 402, 500
1559517340709, 112891, 541, 403, 501
1559517340722, 112904, 541, 403, 501
1559517340735, 112917, 540, 403, 501
1559517340747, 112930, 540, 402, 500
1559517340762, 112944, 540, 402, 500
1559517340774, 112956, 541, 401, 499
1559517340786, 112969, 541, 401, 499
1559517340800, 112983, 540, 401, 500
1559517340814, 112996, 540, 401, 501
1559517340826, 113008, 540, 401, 501
1559517340839, 113021, 540, 401, 502
1559517340852, 113035, 539, 401, 502
1559517340865, 113048, 539, 400, 501
1559517340878, 113060, 540, 400, 500
1559517340891, 113074, 540, 400, 500
1559517340904, 113087, 540, 400, 500
1559517340917, 113100, 540, 401, 500
1559517340931, 113113, 540, 401, 500
1559517340944, 113126, 539, 401, 501
1559517340958, 113139, 538, 401, 503
1559517340969, 113153, 538, 402, 503
1559517340982, 113166, 538, 402, 503
1559517340996, 113178, 538, 401, 502
1559517341008, 113191, 539, 401, 502
1559517341021, 113205, 539, 401, 501
1559517341034, 113218, 539, 401, 501
1559517341048, 113230, 539, 401, 502
1559517341061, 113244, 539, 401, 502
1559517341075, 113257, 538, 401, 502
1559517341087, 113270, 538, 401, 502
1559517341101, 113283, 539, 401, 502
1559517341113, 113296, 539, 401, 501
1559517341126, 113309, 540, 401, 501
1559517341140, 113323, 540, 401, 501
1559517341153, 113335, 539, 401, 501
1559517341166, 113348, 539, 401, 502
1559517341178, 113361, 539, 402, 502
1559517341192, 113375, 539, 402, 503
1559517341205, 113387, 539, 402, 503
1559517341217, 113400, 539, 402, 502
1559517341231, 113414, 540, 402, 501
1559517341245, 113427, 540, 402, 501
1559517341257, 113439, 541, 401, 501
1559517341271, 113453, 541, 401, 501
1559517341283, 113466, 540, 401, 502
1559517341297, 113479, 540, 402, 503
1559517341310, 113491, 541, 402, 503
1559517341323, 113505, 541, 402, 503
1559517341335, 113518, 541, 402, 502
1559517341350, 113531, 540, 402, 503
1559517341362, 113544, 540, 402, 504
1559517341374, 113557, 540, 402, 504
1559517341388, 113570, 540, 403, 504
1559517341401, 113584, 540, 402, 504
1559517341413, 113597, 540, 403, 504
1559517341427, 113609, 540, 403, 504
1559517341440, 113623, 541, 402, 504
1559517341453, 113636, 541, 402, 503
1559517341466, 113649, 541, 402, 503
1559517341479, 113661, 541, 401, 503
1559517341493, 113675, 541, 401, 503
1559517341505, 113688, 541, 402, 503
1559517341518, 113701, 540, 402, 503
1559517341531, 113714, 540, 402, 503
1559517341544, 113727, 539, 402, 503
1559517341558, 113740, 539, 401, 503
1559517341570, 113754, 539, 401, 502
1559517341585, 113766, 540, 401, 502
1559517341597, 113779, 540, 400, 501
1559517341609, 113793, 540, 401, 501
1559517341623, 113806, 540, 401, 501
1559517341635, 113818, 540, 401, 502
1559517341649, 113831, 539, 402, 502
1559517341662, 113845, 539, 402, 503
1559517341675, 113858, 539, 402, 503
1559517341688, 113870, 539, 401, 502
1559517341701, 113884, 540, 401, 502
1559517341714, 113897, 540, 401, 501
1559517341728, 113910, 540, 401, 502
1559517341740, 113923, 540, 401, 502
1559517341754, 113936, 540, 401, 502
1559517341766, 113949, 540, 401, 502
1559517341782, 113963, 539, 401, 503
1559517341793, 113976, 540, 402, 504
1559517341805, 113988, 540, 402, 504
1559517341818, 114001, 540, 401, 503
1559517341833, 114015, 540, 401, 501
1559517341845, 114028, 540, 400, 501
1559517341858, 114040, 540, 401, 502
1559517341871, 114054, 539, 401, 503
1559517341884, 114067, 538, 402, 503
1559517341898, 114080, 538, 402, 504
1559517341910, 114093, 538, 403, 504
1559517341924, 114106, 539, 402, 503
1559517341936, 114119, 540, 402, 501
1559517341949, 114132, 540, 401, 501
1559517341963, 114145, 540, 401, 501
1559517341976, 114158, 540, 402, 503
1559517341989, 114171, 539, 403, 504
1559517342001, 114185, 539, 403, 505
1559517342015, 114197, 539, 403, 505
1559517342027, 114210, 539, 403, 505
1559517342041, 114224, 539, 402, 504
1559517342054, 114237, 540, 402, 503
1559517342067, 114249, 540, 402, 503
1559517342081, 114263, 540, 402, 504
1559517342093, 114276, 540, 403, 505
1559517342106, 114289, 539, 403, 506
1559517342119, 114301, 539, 404, 507
1559517342132, 114315, 539, 404, 507
1559517342146, 114328, 539, 403, 506
1559517342158, 114341, 540, 402, 505
1559517342171, 114355, 540, 402, 503
1559517342185, 114367, 540, 402, 504
1559517342197, 114380, 541, 402, 504
1559517342212, 114394, 540, 402, 505
1559517342223, 114407, 540, 402, 505
1559517342236, 114419, 540, 401, 505
1559517342250, 114433, 540, 401, 505
1559517342263, 114446, 540, 401, 505
1559517342276, 114459, 541, 401, 504
1559517342289, 114471, 541, 400, 503
1559517342302, 114485, 541, 400, 503
1559517342315, 114498, 540, 401, 504
1559517342329, 114511, 540, 401, 504
1559517342341, 114524, 539, 401, 505
1559517342354, 114537, 539, 401, 504
1559517342368, 114550, 539, 401, 503
1559517342380, 114564, 539, 401, 502
1559517342393, 114576, 539, 401, 502
1559517342407, 114589, 539, 401, 502
1559517342419, 114603, 539, 401, 502
1559517342432, 114616, 539, 401, 502
