Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609126648, 1015507, 544, 407, 491
1559609126661, 1015520, 544, 407, 493
1559609126675, 1015533, 545, 408, 493
1559609126687, 1015546, 547, 409, 493
1559609126702, 1015560, 548, 409, 493
1559609126714, 1015573, 548, 408, 492
1559609126726, 1015585, 548, 406, 491
1559609126740, 1015599, 548, 405, 492
1559609126753, 1015612, 548, 405, 493
1559609126766, 1015625, 549, 405, 496
1559609126779, 1015639, 549, 404, 496
1559609126792, 1015651, 549, 400, 495
1559609126806, 1015664, 549, 397, 494
1559609126819, 1015677, 548, 397, 492
1559609126831, 1015691, 549, 399, 492
1559609126845, 1015704, 549, 404, 493
1559609126857, 1015716, 550, 409, 493
1559609126871, 1015730, 550, 413, 492
1559609126885, 1015743, 549, 415, 490
1559609126897, 1015756, 548, 416, 488
1559609126911, 1015770, 548, 416, 486
1559609126923, 1015782, 548, 416, 485
1559609126937, 1015795, 549, 416, 483
1559609126951, 1015809, 549, 415, 483
1559609126963, 1015822, 548, 411, 482
1559609126975, 1015835, 545, 409, 482
1559609126989, 1015847, 544, 407, 483
1559609127002, 1015861, 542, 407, 484
1559609127015, 1015874, 541, 407, 485
1559609127028, 1015887, 540, 407, 485
1559609127041, 1015901, 541, 407, 482
1559609127054, 1015913, 541, 406, 480
1559609127068, 1015926, 540, 405, 478
1559609127081, 1015940, 540, 404, 477
1559609127093, 1015953, 540, 403, 476
1559609127107, 1015966, 541, 404, 478
1559609127120, 1015979, 541, 405, 479
1559609127134, 1015992, 541, 407, 480
1559609127147, 1016005, 541, 409, 482
1559609127159, 1016018, 542, 410, 481
1559609127172, 1016032, 542, 411, 480
1559609127185, 1016044, 543, 411, 480
1559609127199, 1016057, 544, 411, 479
1559609127212, 1016071, 544, 411, 479
1559609127225, 1016084, 544, 411, 479
1559609127238, 1016097, 544, 412, 480
1559609127251, 1016110, 544, 412, 481
1559609127264, 1016123, 544, 412, 481
1559609127278, 1016136, 543, 412, 481
1559609127290, 1016150, 543, 412, 481
1559609127303, 1016163, 543, 412, 481
1559609127317, 1016175, 543, 412, 481
1559609127330, 1016188, 543, 412, 480
1559609127343, 1016202, 543, 412, 480
1559609127356, 1016215, 544, 413, 480
1559609127369, 1016228, 544, 414, 481
1559609127382, 1016241, 545, 415, 481
