Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559610007645, 1901277, 482, 460, 602
1559610007659, 1901290, 482, 460, 603
1559610007671, 1901302, 482, 460, 602
1559610007684, 1901316, 482, 459, 601
1559610007698, 1901329, 482, 458, 599
1559610007710, 1901342, 483, 457, 598
1559610007724, 1901356, 483, 457, 598
1559610007737, 1901368, 484, 457, 598
1559610007750, 1901381, 484, 458, 599
1559610007763, 1901394, 483, 459, 600
1559610007777, 1901408, 483, 460, 601
1559610007790, 1901421, 483, 460, 600
1559610007802, 1901433, 483, 459, 599
1559610007816, 1901447, 483, 458, 599
1559610007829, 1901460, 483, 457, 598
1559610007842, 1901473, 483, 458, 598
1559610007854, 1901487, 484, 458, 599
1559610007868, 1901499, 484, 459, 599
1559610007881, 1901512, 483, 460, 601
1559610007895, 1901526, 482, 460, 603
1559610007908, 1901539, 482, 460, 602
1559610007921, 1901552, 483, 459, 600
1559610007934, 1901564, 483, 458, 598
1559610007947, 1901578, 483, 457, 597
1559610007959, 1901591, 483, 457, 597
1559610007973, 1901604, 483, 457, 598
1559610007986, 1901618, 482, 458, 599
1559610007999, 1901630, 481, 459, 602
1559610008012, 1901643, 481, 460, 603
1559610008026, 1901657, 481, 460, 602
1559610008038, 1901670, 481, 458, 599
1559610008052, 1901683, 482, 457, 597
1559610008064, 1901696, 482, 456, 597
1559610008078, 1901709, 482, 456, 597
1559610008091, 1901722, 482, 457, 599
1559610008103, 1901735, 482, 458, 600
1559610008117, 1901749, 482, 459, 602
1559610008131, 1901761, 481, 460, 602
1559610008143, 1901774, 481, 460, 602
1559610008157, 1901788, 481, 459, 601
1559610008169, 1901801, 481, 458, 599
1559610008183, 1901814, 481, 457, 597
1559610008195, 1901827, 482, 456, 597
1559610008208, 1901840, 482, 456, 598
1559610008223, 1901853, 482, 457, 599
1559610008235, 1901867, 482, 457, 600
1559610008248, 1901880, 483, 458, 599
1559610008260, 1901892, 482, 458, 601
1559610008274, 1901905, 482, 458, 601
1559610008287, 1901919, 482, 458, 600
1559610008301, 1901932, 482, 457, 599
1559610008313, 1901945, 482, 457, 600
1559610008327, 1901958, 482, 457, 599
1559610008341, 1901971, 483, 457, 598
1559610008353, 1901984, 483, 457, 598
1559610008366, 1901998, 482, 458, 599
1559610008378, 1902011, 482, 458, 601
1559610008393, 1902023, 482, 459, 601
1559610008405, 1902036, 483, 458, 600
1559610008419, 1902050, 483, 457, 599
1559610008432, 1902063, 483, 457, 599
1559610008444, 1902076, 483, 457, 599
1559610008458, 1902089, 483, 457, 600
1559610008471, 1902102, 483, 457, 599
1559610008483, 1902115, 483, 458, 600
1559610008497, 1902129, 483, 458, 600
1559610008510, 1902142, 483, 458, 600
1559610008524, 1902154, 482, 459, 601
1559610008536, 1902168, 482, 460, 601
1559610008549, 1902181, 481, 459, 601
1559610008563, 1902194, 482, 458, 600
1559610008576, 1902208, 482, 457, 599
1559610008589, 1902220, 482, 456, 598
1559610008602, 1902233, 482, 456, 598
1559610008615, 1902246, 483, 456, 599
1559610008629, 1902260, 483, 456, 599
1559610008642, 1902273, 484, 456, 599
1559610008654, 1902285, 484, 456, 599
1559610008668, 1902299, 483, 459, 599
1559610008680, 1902312, 482, 460, 601
1559610008693, 1902325, 481, 460, 601
1559610008707, 1902339, 481, 459, 600
1559610008719, 1902351, 481, 460, 600
1559610008732, 1902364, 482, 459, 600
1559610008746, 1902377, 482, 458, 601
1559610008759, 1902391, 482, 459, 602
1559610008773, 1902404, 483, 459, 602
1559610008785, 1902416, 484, 459, 601
1559610008799, 1902430, 484, 460, 600
1559610008812, 1902443, 485, 460, 601
1559610008825, 1902456, 484, 461, 601
1559610008838, 1902470, 483, 460, 602
1559610008851, 1902482, 483, 460, 602
1559610008864, 1902495, 483, 460, 601
1559610008877, 1902509, 483, 460, 601
1559610008890, 1902522, 484, 459, 600
1559610008903, 1902535, 484, 459, 600
1559610008916, 1902547, 484, 460, 600
1559610008929, 1902561, 484, 460, 601
1559610008942, 1902574, 483, 461, 602
1559610008956, 1902587, 483, 461, 602
1559610008968, 1902601, 483, 461, 602
1559610008982, 1902613, 483, 460, 600
1559610008995, 1902626, 483, 459, 599
1559610009009, 1902640, 483, 459, 599
1559610009021, 1902653, 483, 459, 599
1559610009034, 1902666, 483, 459, 600
1559610009047, 1902679, 482, 460, 601
1559610009061, 1902692, 481, 461, 602
