Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609947668, 1841301, 530, 403, 493
1559609947681, 1841314, 530, 402, 493
1559609947694, 1841328, 530, 402, 492
1559609947707, 1841340, 530, 401, 489
1559609947722, 1841353, 530, 400, 488
1559609947734, 1841367, 530, 401, 489
1559609947746, 1841380, 530, 402, 490
1559609947759, 1841393, 530, 402, 492
1559609947774, 1841405, 529, 402, 492
1559609947786, 1841419, 529, 402, 492
1559609947799, 1841432, 529, 402, 492
1559609947811, 1841445, 529, 402, 492
1559609947825, 1841459, 528, 402, 492
1559609947838, 1841471, 528, 402, 491
1559609947851, 1841484, 528, 402, 491
1559609947864, 1841498, 529, 402, 491
1559609947878, 1841511, 529, 403, 492
1559609947890, 1841524, 530, 403, 493
1559609947904, 1841537, 530, 403, 493
1559609947916, 1841550, 531, 403, 494
1559609947930, 1841563, 531, 403, 493
1559609947943, 1841576, 531, 402, 492
1559609947956, 1841590, 531, 402, 492
1559609947970, 1841602, 530, 402, 492
1559609947983, 1841615, 530, 402, 493
1559609947995, 1841629, 530, 403, 493
1559609948008, 1841642, 530, 402, 492
1559609948022, 1841655, 531, 402, 492
1559609948034, 1841668, 531, 402, 491
1559609948048, 1841681, 532, 402, 491
1559609948060, 1841694, 532, 403, 492
1559609948075, 1841708, 531, 403, 493
1559609948088, 1841721, 531, 403, 493
1559609948100, 1841733, 530, 403, 492
1559609948112, 1841746, 530, 402, 491
1559609948126, 1841760, 530, 402, 490
1559609948139, 1841773, 530, 402, 490
1559609948151, 1841786, 530, 402, 490
1559609948166, 1841799, 530, 403, 491
1559609948178, 1841812, 530, 402, 491
1559609948192, 1841825, 530, 402, 491
1559609948204, 1841839, 530, 402, 491
1559609948218, 1841852, 530, 402, 491
1559609948231, 1841864, 530, 402, 491
1559609948244, 1841878, 530, 402, 490
1559609948258, 1841891, 529, 401, 490
1559609948270, 1841904, 529, 401, 490
1559609948284, 1841917, 528, 402, 492
1559609948296, 1841930, 529, 402, 493
1559609948310, 1841943, 529, 402, 493
1559609948323, 1841956, 530, 401, 492
1559609948336, 1841970, 530, 401, 491
1559609948349, 1841983, 531, 401, 491
1559609948362, 1841995, 532, 401, 491
1559609948377, 1842009, 532, 402, 492
1559609948388, 1842022, 531, 402, 493
1559609948401, 1842035, 531, 402, 493
1559609948415, 1842049, 530, 403, 493
1559609948428, 1842061, 530, 403, 493
1559609948440, 1842074, 530, 402, 492
1559609948455, 1842087, 529, 402, 491
1559609948467, 1842101, 529, 402, 491
1559609948480, 1842114, 529, 402, 491
1559609948492, 1842126, 529, 402, 491
1559609948506, 1842140, 528, 403, 491
1559609948520, 1842153, 529, 402, 492
1559609948532, 1842166, 528, 402, 492
1559609948546, 1842180, 529, 403, 491
1559609948559, 1842192, 529, 403, 491
1559609948572, 1842205, 530, 403, 492
1559609948585, 1842219, 530, 403, 492
1559609948599, 1842232, 530, 403, 492
1559609948612, 1842245, 530, 403, 492
1559609948625, 1842257, 530, 403, 493
1559609948637, 1842271, 530, 403, 493
1559609948651, 1842284, 530, 403, 493
1559609948664, 1842297, 531, 403, 493
1559609948676, 1842311, 530, 402, 492
1559609948690, 1842323, 531, 402, 492
1559609948703, 1842336, 530, 402, 492
1559609948716, 1842350, 530, 403, 493
1559609948729, 1842363, 529, 403, 493
1559609948742, 1842376, 529, 403, 494
1559609948756, 1842388, 529, 403, 495
1559609948769, 1842402, 529, 403, 494
1559609948781, 1842415, 529, 402, 492
1559609948795, 1842428, 530, 402, 492
1559609948809, 1842442, 530, 402, 491
1559609948821, 1842454, 530, 402, 491
1559609948835, 1842467, 530, 402, 491
1559609948848, 1842481, 529, 402, 491
1559609948861, 1842494, 528, 402, 491
1559609948873, 1842507, 528, 402, 491
1559609948887, 1842520, 528, 402, 491
1559609948899, 1842533, 529, 402, 490
1559609948912, 1842546, 529, 402, 489
1559609948926, 1842560, 530, 402, 489
1559609948939, 1842573, 529, 402, 489
1559609948952, 1842585, 529, 402, 490
1559609948965, 1842598, 528, 402, 492
1559609948979, 1842612, 528, 402, 492
1559609948992, 1842625, 528, 403, 492
1559609949004, 1842638, 529, 402, 492
1559609949018, 1842651, 529, 402, 492
1559609949030, 1842664, 530, 403, 491
1559609949044, 1842677, 530, 403, 491
1559609949057, 1842691, 530, 403, 492
1559609949071, 1842704, 530, 403, 493
1559609949083, 1842716, 529, 403, 494
1559609949097, 1842729, 530, 403, 494
1559609949109, 1842743, 531, 403, 493
1559609949121, 1842756, 531, 402, 492
1559609949135, 1842769, 532, 402, 492
1559609949149, 1842782, 532, 402, 492
1559609949162, 1842795, 532, 402, 493
1559609949175, 1842808, 532, 402, 494
1559609949188, 1842822, 531, 402, 495
1559609949201, 1842835, 531, 402, 495
1559609949214, 1842847, 531, 401, 493
1559609949227, 1842861, 531, 401, 492
1559609949242, 1842874, 531, 401, 491
1559609949253, 1842887, 530, 401, 491
1559609949267, 1842900, 530, 401, 492
1559609949279, 1842913, 529, 402, 493
1559609949292, 1842926, 529, 402, 493
1559609949306, 1842939, 529, 402, 493
1559609949319, 1842953, 530, 402, 492
