Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609819196, 1712834, 497, 440, 593
1559609819210, 1712847, 497, 440, 593
1559609819223, 1712861, 497, 440, 593
1559609819237, 1712874, 496, 440, 593
1559609819249, 1712887, 496, 441, 593
1559609819263, 1712900, 496, 441, 593
1559609819275, 1712913, 496, 441, 593
1559609819288, 1712926, 496, 441, 593
1559609819303, 1712940, 496, 441, 592
1559609819315, 1712953, 496, 441, 592
1559609819328, 1712965, 497, 441, 592
1559609819341, 1712978, 497, 442, 592
1559609819354, 1712992, 497, 442, 593
1559609819367, 1713005, 496, 442, 594
1559609819381, 1713018, 496, 442, 594
1559609819394, 1713031, 496, 442, 594
1559609819407, 1713044, 496, 442, 594
1559609819420, 1713057, 496, 442, 593
1559609819432, 1713071, 496, 442, 594
1559609819445, 1713084, 496, 442, 594
1559609819458, 1713096, 495, 443, 594
1559609819472, 1713110, 495, 443, 594
1559609819485, 1713123, 494, 443, 594
1559609819498, 1713136, 494, 443, 594
1559609819511, 1713149, 493, 443, 594
1559609819524, 1713162, 493, 443, 593
1559609819539, 1713175, 493, 442, 593
1559609819551, 1713188, 493, 442, 593
1559609819564, 1713202, 493, 442, 593
1559609819576, 1713215, 494, 442, 593
1559609819590, 1713227, 494, 442, 592
1559609819603, 1713241, 494, 442, 593
1559609819617, 1713254, 494, 441, 593
1559609819629, 1713267, 494, 441, 593
1559609819642, 1713281, 494, 441, 593
1559609819656, 1713293, 495, 441, 593
1559609819668, 1713306, 495, 440, 593
1559609819682, 1713319, 496, 440, 593
1559609819694, 1713333, 496, 440, 593
1559609819708, 1713346, 496, 440, 594
1559609819721, 1713358, 496, 440, 594
1559609819734, 1713372, 496, 441, 594
1559609819748, 1713385, 496, 441, 594
1559609819760, 1713398, 496, 440, 593
1559609819773, 1713412, 496, 440, 593
1559609819789, 1713424, 496, 440, 593
1559609819800, 1713437, 496, 440, 592
1559609819813, 1713451, 496, 440, 593
1559609819826, 1713464, 497, 440, 593
1559609819840, 1713477, 497, 440, 593
1559609819852, 1713489, 497, 440, 593
1559609819865, 1713503, 497, 440, 593
1559609819879, 1713516, 497, 440, 593
1559609819891, 1713529, 498, 440, 593
1559609819905, 1713543, 498, 440, 593
1559609819918, 1713555, 498, 440, 593
1559609819930, 1713568, 498, 440, 594
1559609819944, 1713582, 498, 441, 593
1559609819957, 1713595, 497, 441, 593
1559609819969, 1713608, 497, 441, 593
1559609819983, 1713620, 497, 441, 593
1559609819996, 1713634, 496, 442, 593
1559609820009, 1713647, 497, 442, 593
1559609820022, 1713660, 496, 442, 593
1559609820035, 1713674, 496, 442, 593
1559609820049, 1713686, 496, 442, 593
1559609820062, 1713699, 496, 442, 593
1559609820074, 1713713, 496, 443, 593
1559609820089, 1713726, 496, 443, 593
1559609820101, 1713739, 496, 443, 593
1559609820115, 1713752, 496, 443, 593
1559609820127, 1713765, 495, 443, 594
1559609820140, 1713778, 495, 443, 593
1559609820154, 1713792, 495, 443, 594
1559609820167, 1713805, 495, 443, 593
1559609820179, 1713817, 494, 443, 593
1559609820193, 1713830, 494, 443, 593
1559609820207, 1713844, 494, 443, 593
1559609820219, 1713857, 494, 443, 594
1559609820233, 1713870, 493, 443, 593
1559609820245, 1713883, 493, 443, 593
1559609820259, 1713896, 493, 443, 593
1559609820271, 1713909, 494, 443, 593
1559609820285, 1713923, 493, 443, 593
1559609820297, 1713936, 494, 443, 593
1559609820311, 1713948, 493, 443, 593
1559609820323, 1713961, 494, 442, 593
1559609820338, 1713975, 494, 442, 592
1559609820350, 1713988, 494, 442, 592
1559609820363, 1714001, 494, 442, 592
1559609820377, 1714014, 494, 442, 592
1559609820390, 1714027, 494, 442, 593
1559609820403, 1714040, 494, 442, 593
1559609820415, 1714054, 495, 442, 593
1559609820428, 1714067, 495, 442, 594
1559609820441, 1714079, 495, 442, 594
1559609820455, 1714093, 495, 441, 594
1559609820468, 1714106, 495, 442, 594
1559609820481, 1714119, 495, 441, 594
1559609820494, 1714132, 495, 442, 594
1559609820508, 1714145, 496, 441, 594
1559609820521, 1714158, 496, 441, 593
1559609820534, 1714171, 496, 441, 593
1559609820546, 1714185, 496, 441, 593
1559609820559, 1714198, 496, 441, 593
1559609820573, 1714210, 496, 441, 593
1559609820587, 1714224, 496, 441, 594
1559609820599, 1714237, 497, 441, 594
1559609820612, 1714250, 497, 441, 594
1559609820625, 1714264, 497, 441, 594
1559609820639, 1714276, 497, 441, 594
1559609820651, 1714289, 497, 440, 593
1559609820665, 1714302, 497, 440, 593
1559609820678, 1714316, 497, 440, 593
1559609820690, 1714329, 497, 440, 593
1559609820704, 1714341, 496, 441, 593
1559609820716, 1714355, 496, 441, 594
1559609820730, 1714368, 496, 441, 594
1559609820743, 1714381, 496, 442, 594
1559609820757, 1714395, 496, 442, 593
1559609820769, 1714407, 496, 442, 593
1559609820782, 1714420, 496, 441, 593
1559609820795, 1714434, 496, 441, 593
1559609820808, 1714447, 496, 441, 593
1559609820822, 1714460, 496, 441, 593
1559609820836, 1714472, 495, 442, 593
1559609820848, 1714486, 496, 442, 593
1559609820861, 1714499, 495, 442, 593
1559609820874, 1714512, 495, 442, 593
1559609820887, 1714526, 495, 442, 594
1559609820900, 1714538, 494, 443, 594
1559609820913, 1714551, 494, 443, 594
1559609820926, 1714565, 494, 443, 595
1559609820939, 1714578, 494, 443, 594
1559609820953, 1714591, 493, 443, 594
1559609820966, 1714604, 493, 443, 595
1559609820979, 1714617, 494, 443, 594
1559609820992, 1714630, 494, 443, 594
1559609821006, 1714643, 494, 443, 594
