Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559514528418, 548232, 520, 405, 487
1559514528431, 548245, 520, 405, 486
1559514528443, 548258, 521, 404, 483
1559514528456, 548271, 521, 403, 481
1559514528470, 548284, 521, 402, 479
1559514528482, 548297, 521, 403, 479
1559514528495, 548311, 521, 403, 481
1559514528508, 548323, 520, 404, 484
1559514528522, 548336, 519, 404, 486
1559514528535, 548349, 519, 404, 486
1559514528548, 548363, 519, 404, 487
1559514528560, 548375, 520, 404, 486
1559514528575, 548388, 521, 403, 484
1559514528587, 548402, 521, 403, 484
1559514528599, 548415, 522, 404, 484
1559514528613, 548428, 522, 404, 484
1559514528627, 548441, 521, 404, 486
1559514528639, 548454, 521, 405, 487
1559514528652, 548467, 520, 405, 488
1559514528665, 548481, 520, 405, 489
1559514528679, 548493, 520, 405, 489
1559514528692, 548506, 520, 403, 487
1559514528704, 548519, 521, 403, 486
1559514528717, 548533, 521, 403, 485
1559514528730, 548545, 521, 404, 486
1559514528744, 548558, 521, 404, 486
1559514528757, 548572, 520, 405, 487
1559514528773, 548585, 520, 405, 487
1559514528782, 548597, 520, 404, 487
1559514528796, 548611, 520, 404, 486
1559514528809, 548624, 520, 403, 484
1559514528822, 548637, 521, 402, 482
1559514528836, 548649, 521, 402, 482
1559514528848, 548663, 521, 402, 482
1559514528861, 548676, 521, 403, 483
1559514528875, 548689, 520, 404, 485
1559514528887, 548702, 519, 404, 485
1559514528900, 548715, 519, 404, 484
1559514528913, 548728, 520, 403, 484
1559514528927, 548742, 520, 403, 482
1559514528940, 548754, 521, 402, 480
1559514528953, 548767, 520, 402, 482
1559514528965, 548781, 520, 403, 483
1559514528979, 548794, 519, 404, 485
1559514528992, 548807, 518, 405, 487
1559514529005, 548819, 519, 405, 487
1559514529021, 548833, 519, 405, 486
1559514529032, 548846, 521, 403, 484
1559514529044, 548859, 522, 402, 482
1559514529057, 548872, 522, 402, 482
1559514529070, 548885, 522, 403, 483
1559514529083, 548898, 521, 404, 484
1559514529096, 548912, 521, 404, 485
1559514529110, 548924, 520, 404, 486
1559514529123, 548937, 520, 404, 486
1559514529135, 548951, 521, 404, 485
1559514529149, 548964, 522, 403, 484
1559514529161, 548976, 523, 403, 484
1559514529175, 548989, 523, 403, 483
1559514529188, 549003, 522, 403, 484
1559514529201, 549016, 522, 403, 484
1559514529214, 549028, 522, 403, 485
1559514529227, 549042, 521, 404, 486
1559514529240, 549055, 521, 404, 486
1559514529253, 549068, 521, 403, 486
1559514529266, 549081, 522, 403, 485
1559514529279, 549094, 522, 402, 483
1559514529292, 549107, 522, 402, 483
1559514529305, 549121, 521, 403, 484
1559514529319, 549133, 521, 403, 484
1559514529331, 549146, 521, 404, 485
1559514529345, 549159, 520, 404, 486
1559514529358, 549173, 520, 405, 486
1559514529370, 549186, 520, 404, 486
1559514529384, 549198, 520, 404, 486
1559514529397, 549212, 521, 403, 485
1559514529410, 549225, 521, 402, 483
