Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023383555, 826639, 418, 487, 564
1560023383568, 826652, 419, 488, 563
1560023383580, 826665, 419, 488, 562
1560023383593, 826677, 419, 489, 562
1560023383607, 826690, 419, 488, 561
1560023383618, 826703, 417, 489, 562
1560023383631, 826715, 418, 493, 566
1560023383643, 826728, 420, 492, 565
1560023383656, 826741, 420, 492, 563
1560023383669, 826753, 422, 490, 560
1560023383681, 826766, 420, 487, 558
1560023383695, 826779, 419, 488, 558
1560023383707, 826791, 417, 486, 558
1560023383721, 826804, 418, 487, 559
1560023383733, 826817, 416, 488, 562
1560023383745, 826830, 416, 489, 563
1560023383759, 826842, 420, 487, 562
1560023383770, 826855, 420, 487, 560
1560023383784, 826868, 421, 487, 560
1560023383796, 826880, 419, 487, 559
1560023383809, 826893, 417, 486, 560
1560023383821, 826906, 413, 488, 562
1560023383836, 826918, 413, 491, 562
1560023383847, 826931, 417, 494, 564
1560023383859, 826944, 420, 492, 563
1560023383873, 826957, 419, 490, 557
1560023383885, 826969, 420, 488, 556
1560023383898, 826982, 421, 489, 556
1560023383911, 826995, 418, 489, 559
1560023383923, 827007, 416, 490, 562
1560023383936, 827020, 414, 492, 564
1560023383949, 827033, 416, 494, 566
1560023383962, 827045, 418, 491, 565
1560023383974, 827058, 418, 492, 562
1560023383988, 827071, 421, 489, 562
1560023383999, 827083, 421, 490, 559
1560023384012, 827096, 422, 489, 562
1560023384024, 827109, 420, 489, 561
1560023384038, 827122, 415, 490, 563
1560023384051, 827134, 415, 490, 565
1560023384062, 827147, 415, 490, 565
1560023384076, 827160, 416, 490, 566
1560023384089, 827172, 417, 490, 565
1560023384102, 827185, 422, 488, 561
1560023384113, 827198, 421, 486, 561
1560023384127, 827210, 420, 487, 561
1560023384139, 827223, 414, 486, 563
1560023384152, 827236, 417, 488, 565
1560023384165, 827249, 416, 488, 565
1560023384177, 827261, 416, 490, 566
1560023384189, 827274, 417, 488, 563
1560023384203, 827287, 420, 487, 561
1560023384214, 827299, 422, 485, 560
1560023384228, 827312, 421, 487, 558
1560023384240, 827325, 418, 485, 559
1560023384253, 827337, 417, 486, 560
1560023384266, 827350, 415, 489, 563
1560023384278, 827363, 417, 489, 566
1560023384290, 827375, 418, 491, 565
1560023384303, 827388, 419, 489, 564
1560023384316, 827401, 422, 488, 561
1560023384330, 827414, 422, 487, 559
1560023384342, 827426, 418, 486, 562
1560023384355, 827439, 417, 489, 562
1560023384367, 827452, 415, 492, 564
1560023384381, 827464, 416, 491, 567
1560023384394, 827477, 417, 492, 566
1560023384406, 827490, 420, 491, 564
1560023384418, 827502, 420, 489, 562
1560023384432, 827515, 422, 490, 561
1560023384444, 827528, 420, 487, 562
1560023384456, 827541, 417, 490, 563
1560023384468, 827553, 417, 490, 564
1560023384481, 827566, 416, 492, 566
1560023384495, 827579, 414, 490, 565
1560023384507, 827591, 418, 492, 564
1560023384520, 827604, 421, 488, 563
1560023384534, 827617, 421, 489, 562
1560023384545, 827629, 420, 486, 560
1560023384558, 827642, 418, 486, 559
1560023384570, 827655, 416, 487, 560
1560023384582, 827667, 416, 490, 562
1560023384596, 827680, 416, 491, 562
1560023384610, 827693, 415, 491, 562
1560023384622, 827706, 417, 488, 560
1560023384634, 827718, 419, 487, 560
1560023384646, 827731, 417, 487, 557
1560023384660, 827744, 418, 490, 558
1560023384672, 827756, 419, 490, 559
1560023384686, 827769, 414, 490, 558
1560023384698, 827782, 415, 489, 563
1560023384711, 827794, 415, 492, 564
1560023384723, 827807, 415, 491, 562
1560023384736, 827820, 418, 490, 562
1560023384748, 827833, 421, 490, 559
1560023384762, 827845, 419, 488, 558
1560023384774, 827858, 420, 486, 560
1560023384787, 827871, 415, 487, 559
1560023384799, 827883, 415, 490, 564
1560023384811, 827896, 413, 491, 567
1560023384825, 827909, 414, 491, 566
1560023384837, 827921, 416, 490, 564
1560023384849, 827934, 424, 488, 562
