Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023102525, 545616, 375, 449, 500
1560023102537, 545628, 375, 449, 501
1560023102550, 545641, 375, 449, 500
1560023102562, 545654, 374, 449, 500
1560023102577, 545666, 375, 450, 499
1560023102588, 545679, 376, 449, 501
1560023102600, 545692, 374, 449, 500
1560023102614, 545705, 376, 448, 498
1560023102626, 545717, 376, 449, 500
1560023102639, 545730, 375, 448, 500
1560023102652, 545743, 374, 448, 500
1560023102665, 545755, 375, 449, 498
1560023102677, 545768, 374, 449, 500
1560023102690, 545781, 374, 445, 498
1560023102703, 545793, 375, 447, 500
1560023102715, 545806, 374, 447, 500
1560023102727, 545819, 374, 448, 500
1560023102740, 545832, 375, 449, 500
1560023102753, 545844, 376, 448, 499
1560023102767, 545857, 375, 447, 498
1560023102779, 545870, 375, 447, 498
1560023102791, 545882, 376, 449, 500
1560023102804, 545895, 375, 447, 499
1560023102817, 545908, 376, 446, 500
1560023102829, 545920, 375, 448, 499
1560023102842, 545933, 373, 445, 500
1560023102855, 545946, 374, 447, 502
1560023102868, 545958, 373, 446, 502
1560023102881, 545971, 374, 449, 501
1560023102893, 545984, 375, 450, 502
1560023102906, 545997, 377, 449, 501
1560023102919, 546009, 376, 449, 501
1560023102931, 546022, 376, 449, 500
1560023102944, 546035, 375, 449, 501
1560023102956, 546047, 377, 450, 501
1560023102969, 546060, 374, 449, 503
1560023102982, 546073, 375, 449, 501
1560023102995, 546085, 375, 449, 501
1560023103007, 546098, 378, 449, 502
1560023103020, 546111, 376, 449, 501
1560023103033, 546124, 376, 448, 500
1560023103046, 546136, 376, 450, 502
1560023103058, 546149, 377, 451, 500
1560023103070, 546162, 376, 450, 501
1560023103083, 546174, 375, 450, 499
1560023103096, 546187, 375, 449, 502
1560023103109, 546200, 376, 449, 501
1560023103122, 546212, 376, 449, 503
1560023103134, 546225, 375, 449, 501
1560023103147, 546238, 376, 448, 501
1560023103160, 546250, 377, 450, 500
1560023103172, 546263, 375, 450, 501
1560023103185, 546276, 377, 449, 501
1560023103197, 546289, 375, 449, 501
1560023103211, 546301, 373, 448, 501
1560023103224, 546314, 375, 448, 501
1560023103235, 546327, 374, 450, 502
1560023103247, 546339, 376, 448, 503
1560023103261, 546352, 376, 448, 503
1560023103274, 546365, 378, 447, 500
1560023103286, 546377, 375, 447, 501
1560023103299, 546390, 376, 447, 498
1560023103312, 546403, 375, 445, 499
1560023103325, 546416, 376, 446, 500
1560023103337, 546428, 375, 448, 499
1560023103349, 546441, 375, 448, 499
1560023103363, 546454, 375, 448, 499
1560023103376, 546466, 377, 447, 498
1560023103388, 546479, 375, 448, 499
1560023103400, 546492, 375, 447, 500
1560023103413, 546504, 376, 449, 500
1560023103426, 546517, 377, 448, 498
1560023103439, 546530, 375, 447, 500
1560023103451, 546542, 374, 447, 500
1560023103465, 546555, 375, 446, 499
1560023103477, 546568, 375, 447, 498
1560023103489, 546581, 374, 449, 499
1560023103502, 546593, 376, 449, 499
1560023103516, 546606, 374, 447, 500
1560023103528, 546619, 375, 448, 498
1560023103540, 546631, 375, 448, 500
1560023103553, 546644, 374, 449, 499
1560023103566, 546657, 372, 447, 500
1560023103578, 546669, 373, 447, 499
1560023103591, 546682, 375, 449, 498
1560023103603, 546695, 375, 448, 499
1560023103617, 546708, 376, 449, 500
1560023103629, 546720, 375, 447, 499
1560023103641, 546733, 376, 447, 499
1560023103655, 546746, 375, 450, 500
1560023103667, 546758, 374, 449, 499
1560023103680, 546771, 377, 448, 499
1560023103692, 546784, 376, 449, 499
1560023103705, 546796, 375, 449, 499
1560023103719, 546809, 375, 450, 499
1560023103731, 546822, 375, 449, 498
1560023103743, 546834, 375, 450, 499
1560023103755, 546847, 375, 450, 499
1560023103768, 546860, 374, 451, 500
1560023103782, 546873, 374, 449, 499
1560023103794, 546885, 374, 450, 500
1560023103807, 546898, 375, 447, 499
1560023103819, 546911, 373, 447, 500
1560023103833, 546923, 373, 448, 500
1560023103845, 546936, 374, 447, 499
1560023103857, 546949, 375, 448, 495
1560023103871, 546961, 375, 448, 497
1560023103883, 546974, 375, 447, 498
1560023103895, 546987, 376, 448, 495
1560023103909, 547000, 376, 450, 496
1560023103923, 547012, 375, 448, 497
1560023103934, 547025, 374, 450, 498
1560023103947, 547038, 375, 449, 497
1560023103959, 547050, 376, 449, 497
1560023103972, 547063, 373, 450, 500
1560023103984, 547076, 374, 451, 500
1560023103997, 547088, 371, 450, 499
1560023104010, 547101, 374, 448, 498
1560023104023, 547114, 376, 448, 500
1560023104035, 547126, 373, 449, 499
1560023104048, 547139, 373, 448, 497
1560023104061, 547152, 374, 449, 498
1560023104074, 547165, 376, 451, 497
1560023104086, 547177, 374, 449, 499
1560023104099, 547190, 376, 448, 497
1560023104111, 547203, 376, 448, 496
1560023104125, 547215, 376, 449, 498
1560023104138, 547228, 374, 448, 498
1560023104150, 547241, 374, 448, 497
1560023104162, 547253, 375, 449, 497
1560023104176, 547266, 375, 449, 498
1560023104188, 547279, 376, 450, 499
1560023104200, 547291, 373, 448, 499
1560023104213, 547304, 376, 449, 498
1560023104225, 547317, 376, 448, 499
1560023104239, 547330, 375, 449, 502
1560023104251, 547342, 375, 449, 499
1560023104263, 547355, 374, 449, 495
1560023104277, 547368, 376, 447, 498
1560023104290, 547380, 374, 450, 497
1560023104302, 547393, 374, 449, 498
1560023104314, 547406, 371, 447, 495
1560023104328, 547418, 374, 449, 496
1560023104341, 547431, 374, 452, 497
1560023104353, 547444, 374, 450, 495
1560023104365, 547457, 375, 450, 498
1560023104380, 547469, 374, 450, 496
1560023104391, 547482, 375, 450, 498
1560023104404, 547495, 374, 447, 497
1560023104416, 547507, 375, 447, 499
1560023104429, 547520, 374, 447, 499
1560023104442, 547533, 374, 447, 496
1560023104454, 547545, 373, 448, 497
1560023104467, 547558, 374, 450, 500
1560023104480, 547571, 374, 447, 498
1560023104492, 547583, 374, 448, 498
1560023104506, 547596, 376, 448, 498
1560023104518, 547609, 375, 445, 496
1560023104532, 547622, 375, 450, 498
1560023104544, 547634, 372, 447, 497
1560023104556, 547647, 376, 447, 498
1560023104569, 547660, 375, 449, 496
1560023104582, 547672, 373, 447, 495
1560023104594, 547685, 374, 448, 498
1560023104607, 547698, 374, 449, 497
1560023104619, 547710, 376, 448, 495
1560023104632, 547723, 374, 447, 496
1560023104644, 547736, 375, 447, 496
1560023104657, 547749, 376, 449, 496
1560023104670, 547761, 375, 449, 498
1560023104683, 547774, 375, 447, 496
1560023104696, 547787, 375, 449, 497
1560023104708, 547799, 375, 449, 496
1560023104721, 547812, 375, 448, 498
1560023104734, 547825, 374, 448, 496
1560023104747, 547837, 375, 447, 495
1560023104759, 547850, 377, 448, 496
1560023104771, 547863, 376, 450, 495
1560023104784, 547875, 374, 449, 495
1560023104797, 547888, 375, 449, 498
1560023104809, 547901, 374, 449, 498
1560023104823, 547914, 374, 448, 495
1560023104835, 547926, 375, 447, 497
1560023104848, 547939, 376, 447, 495
1560023104861, 547952, 375, 447, 496
1560023104873, 547964, 375, 449, 498
