Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560022871096, 314193, 406, 455, 560
1560022871108, 314206, 407, 455, 558
1560022871121, 314218, 409, 455, 556
1560022871134, 314231, 408, 454, 557
1560022871147, 314244, 405, 456, 558
1560022871160, 314256, 405, 453, 560
1560022871172, 314269, 405, 454, 560
1560022871184, 314282, 403, 455, 559
1560022871198, 314294, 405, 454, 560
1560022871210, 314307, 407, 455, 558
1560022871222, 314320, 407, 455, 555
1560022871236, 314333, 407, 455, 556
1560022871249, 314345, 409, 456, 558
1560022871261, 314358, 408, 456, 557
1560022871273, 314371, 406, 455, 560
1560022871287, 314383, 406, 458, 558
1560022871300, 314396, 406, 457, 558
1560022871312, 314409, 407, 458, 559
1560022871324, 314421, 409, 455, 556
1560022871337, 314434, 406, 456, 556
1560022871350, 314447, 406, 456, 556
1560022871363, 314459, 406, 457, 558
1560022871375, 314472, 404, 457, 558
1560022871388, 314485, 403, 455, 559
1560022871401, 314498, 405, 456, 559
1560022871413, 314510, 405, 457, 557
1560022871425, 314523, 407, 457, 558
1560022871439, 314536, 409, 455, 558
1560022871452, 314548, 408, 455, 555
1560022871464, 314561, 405, 456, 558
1560022871477, 314574, 404, 456, 562
1560022871490, 314586, 404, 456, 559
1560022871503, 314599, 404, 455, 558
1560022871515, 314612, 407, 456, 560
1560022871529, 314625, 406, 456, 557
1560022871540, 314637, 408, 456, 558
1560022871553, 314650, 408, 455, 555
1560022871565, 314663, 407, 456, 555
1560022871578, 314675, 405, 456, 559
1560022871591, 314688, 405, 454, 560
1560022871604, 314701, 403, 456, 558
1560022871617, 314713, 408, 455, 558
1560022871629, 314726, 406, 455, 556
1560022871643, 314739, 407, 455, 557
1560022871655, 314751, 406, 455, 556
1560022871668, 314764, 407, 456, 558
1560022871681, 314777, 407, 457, 559
1560022871694, 314790, 404, 457, 558
1560022871706, 314802, 406, 456, 557
1560022871718, 314815, 404, 456, 559
1560022871731, 314828, 404, 456, 561
1560022871743, 314840, 404, 456, 560
1560022871756, 314853, 405, 455, 558
1560022871768, 314866, 408, 456, 556
1560022871782, 314878, 408, 454, 555
