Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559517062595, 253809, 532, 427, 454
1559517062608, 253821, 534, 427, 450
1559517062622, 253835, 535, 427, 446
1559517062634, 253848, 537, 428, 444
1559517062647, 253861, 537, 429, 446
1559517062660, 253874, 536, 430, 448
1559517062673, 253887, 535, 430, 452
1559517062687, 253900, 534, 430, 455
1559517062699, 253914, 533, 429, 456
1559517062713, 253926, 534, 428, 453
1559517062726, 253939, 535, 427, 448
1559517062739, 253953, 536, 427, 445
1559517062753, 253966, 537, 428, 444
1559517062765, 253978, 538, 429, 446
1559517062778, 253991, 537, 430, 448
1559517062791, 254005, 535, 430, 452
1559517062805, 254018, 534, 430, 454
1559517062817, 254030, 533, 429, 455
1559517062831, 254044, 533, 428, 452
1559517062844, 254057, 534, 428, 448
1559517062857, 254070, 535, 428, 445
1559517062869, 254084, 536, 428, 444
1559517062884, 254096, 536, 430, 446
1559517062895, 254109, 535, 431, 450
1559517062909, 254123, 534, 431, 453
1559517062922, 254136, 532, 430, 455
1559517062935, 254148, 531, 429, 455
1559517062948, 254161, 532, 429, 453
1559517062961, 254175, 534, 428, 449
1559517062974, 254188, 536, 427, 444
1559517062987, 254200, 538, 428, 443
1559517063000, 254214, 538, 429, 444
1559517063013, 254227, 538, 430, 447
1559517063027, 254240, 536, 430, 451
1559517063039, 254253, 535, 430, 452
1559517063053, 254266, 533, 429, 453
1559517063066, 254279, 533, 428, 451
1559517063078, 254292, 534, 427, 448
1559517063091, 254305, 536, 428, 446
1559517063106, 254318, 537, 428, 446
1559517063118, 254331, 537, 429, 447
1559517063132, 254345, 536, 430, 450
1559517063145, 254357, 535, 430, 453
1559517063157, 254370, 534, 430, 455
1559517063170, 254384, 533, 429, 454
1559517063183, 254397, 534, 428, 450
1559517063196, 254410, 536, 427, 445
1559517063210, 254423, 538, 428, 445
1559517063223, 254436, 538, 429, 445
1559517063235, 254449, 538, 430, 447
1559517063248, 254462, 536, 430, 450
1559517063261, 254475, 535, 430, 453
1559517063274, 254488, 534, 430, 455
1559517063288, 254501, 535, 429, 454
1559517063301, 254515, 536, 428, 452
1559517063314, 254527, 536, 427, 447
1559517063327, 254540, 538, 428, 443
1559517063340, 254554, 538, 429, 444
1559517063353, 254567, 537, 430, 447
1559517063366, 254579, 537, 431, 451
1559517063379, 254593, 535, 431, 454
1559517063392, 254606, 534, 430, 455
1559517063406, 254619, 534, 429, 455
1559517063419, 254631, 535, 428, 453
