Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559516611652, 218585, 550, 408, 486
1559516611665, 218598, 549, 407, 485
1559516611678, 218611, 548, 407, 484
1559516611692, 218625, 548, 407, 484
1559516611705, 218637, 548, 407, 484
1559516611717, 218650, 547, 408, 485
1559516611731, 218663, 546, 408, 485
1559516611743, 218677, 546, 407, 484
1559516611756, 218689, 545, 407, 484
1559516611770, 218702, 545, 406, 483
1559516611783, 218716, 544, 406, 482
1559516611797, 218729, 543, 406, 482
1559516611809, 218741, 542, 407, 484
1559516611822, 218755, 542, 407, 486
1559516611835, 218768, 543, 408, 486
1559516611849, 218781, 543, 407, 485
1559516611861, 218793, 544, 407, 484
1559516611874, 218807, 544, 407, 483
1559516611887, 218820, 545, 407, 483
1559516611901, 218833, 545, 407, 483
1559516611913, 218846, 545, 408, 485
1559516611927, 218859, 544, 408, 486
1559516611940, 218872, 544, 408, 487
1559516611953, 218886, 544, 408, 487
1559516611966, 218898, 544, 407, 486
1559516611979, 218911, 545, 406, 485
1559516611993, 218925, 546, 407, 484
1559516612005, 218938, 547, 407, 483
1559516612019, 218951, 547, 407, 484
1559516612031, 218963, 547, 408, 485
1559516612045, 218977, 545, 408, 485
1559516612057, 218990, 545, 408, 486
1559516612069, 219003, 544, 408, 487
1559516612083, 219016, 544, 408, 487
1559516612096, 219029, 544, 408, 487
1559516612109, 219042, 545, 408, 485
1559516612123, 219056, 546, 408, 484
1559516612136, 219068, 546, 408, 485
1559516612149, 219081, 547, 409, 485
1559516612162, 219095, 546, 409, 486
1559516612175, 219108, 547, 409, 486
1559516612189, 219120, 547, 408, 485
1559516612201, 219133, 547, 408, 485
1559516612215, 219147, 547, 408, 485
1559516612227, 219160, 547, 408, 485
1559516612240, 219172, 547, 408, 485
1559516612254, 219186, 547, 408, 486
1559516612267, 219199, 547, 408, 486
1559516612279, 219212, 546, 408, 485
1559516612293, 219225, 546, 408, 486
1559516612305, 219238, 546, 408, 486
1559516612319, 219251, 546, 408, 487
1559516612331, 219265, 546, 408, 486
1559516612344, 219278, 546, 408, 485
1559516612358, 219290, 546, 408, 485
1559516612371, 219303, 546, 408, 486
1559516612385, 219317, 545, 408, 486
1559516612397, 219330, 546, 408, 487
1559516612411, 219342, 546, 408, 487
1559516612423, 219356, 547, 408, 486
1559516612436, 219369, 547, 408, 486
1559516612450, 219382, 547, 407, 485
1559516612462, 219395, 547, 407, 485
1559516612475, 219408, 547, 407, 485
1559516612489, 219421, 547, 407, 485
1559516612502, 219435, 547, 407, 486
1559516612515, 219447, 546, 408, 486
1559516612527, 219460, 546, 407, 486
1559516612541, 219473, 546, 407, 485
1559516612553, 219487, 545, 407, 485
1559516612567, 219499, 545, 407, 485
1559516612580, 219512, 544, 407, 486
1559516612593, 219526, 544, 408, 487
1559516612606, 219539, 543, 408, 489
1559516612620, 219551, 543, 409, 489
1559516612632, 219565, 544, 408, 488
1559516612646, 219578, 545, 408, 486
1559516612658, 219591, 545, 407, 485
1559516612670, 219603, 546, 407, 485
1559516612685, 219617, 547, 407, 486
1559516612697, 219630, 546, 407, 487
1559516612711, 219643, 545, 407, 488
1559516612724, 219656, 545, 407, 488
1559516612737, 219669, 545, 407, 488
1559516612750, 219682, 545, 407, 487
1559516612763, 219696, 546, 407, 487
1559516612776, 219708, 546, 407, 487
1559516612789, 219721, 546, 407, 487
1559516612802, 219735, 546, 407, 487
1559516612815, 219748, 546, 407, 487
1559516612827, 219761, 546, 407, 487
1559516612841, 219773, 546, 407, 487
1559516612854, 219787, 546, 407, 487
1559516612867, 219800, 546, 407, 486
1559516612880, 219813, 545, 407, 486
1559516612893, 219826, 546, 408, 486
1559516612906, 219839, 546, 409, 485
1559516612920, 219852, 547, 411, 483
1559516612933, 219866, 547, 411, 478
1559516612945, 219878, 548, 408, 475
1559516612958, 219891, 546, 404, 471
1559516612972, 219905, 543, 402, 471
1559516612985, 219918, 541, 400, 475
1559516612998, 219930, 539, 401, 480
1559516613011, 219943, 540, 404, 486
1559516613024, 219957, 544, 406, 489
1559516613038, 219970, 546, 408, 490
1559516613051, 219982, 547, 408, 489
1559516613063, 219996, 548, 408, 488
1559516613077, 220009, 549, 408, 489
1559516613089, 220022, 550, 409, 489
1559516613103, 220035, 550, 409, 490
1559516613116, 220048, 549, 409, 489
1559516613129, 220061, 548, 409, 490
1559516613142, 220075, 546, 409, 490
1559516613154, 220087, 545, 409, 491
1559516613168, 220100, 544, 408, 493
1559516613181, 220113, 544, 408, 492
1559516613194, 220127, 544, 408, 492
1559516613206, 220140, 545, 409, 492
1559516613221, 220152, 546, 409, 492
1559516613232, 220166, 546, 409, 491
1559516613247, 220179, 547, 408, 490
1559516613260, 220192, 547, 408, 488
1559516613273, 220205, 548, 408, 489
1559516613286, 220218, 549, 409, 490
1559516613298, 220231, 549, 408, 490
1559516613311, 220244, 548, 408, 488
1559516613325, 220257, 548, 407, 486
1559516613338, 220270, 548, 406, 486
1559516613350, 220283, 547, 406, 485
1559516613364, 220297, 546, 406, 486
1559516613376, 220309, 546, 407, 487
1559516613390, 220322, 546, 408, 489
1559516613405, 220336, 546, 409, 491
1559516613417, 220349, 546, 409, 492
1559516613429, 220361, 545, 409, 492
1559516613443, 220375, 546, 409, 491
1559516613455, 220388, 547, 409, 489
1559516613469, 220401, 548, 410, 488
1559516613481, 220413, 549, 410, 486
1559516613494, 220427, 549, 410, 486
1559516613508, 220440, 548, 411, 487
1559516613521, 220453, 547, 411, 488
1559516613533, 220466, 546, 412, 488
1559516613546, 220479, 545, 410, 487
1559516613559, 220492, 545, 409, 485
1559516613574, 220506, 545, 406, 485
1559516613587, 220519, 545, 402, 485
1559516613599, 220531, 545, 398, 485
1559516613613, 220545, 545, 396, 486
1559516613627, 220558, 544, 396, 488
1559516613638, 220571, 544, 398, 491
1559516613652, 220583, 545, 401, 492
1559516613664, 220597, 545, 405, 492
1559516613679, 220610, 547, 408, 490
1559516613691, 220623, 548, 411, 488
1559516613703, 220636, 550, 412, 484
1559516613717, 220649, 550, 414, 482
1559516613730, 220662, 549, 418, 480
1559516613743, 220676, 548, 419, 482
1559516613756, 220688, 545, 419, 487
1559516613769, 220701, 542, 417, 491
1559516613782, 220715, 540, 415, 493
1559516613794, 220728, 539, 411, 494
1559516613808, 220740, 540, 406, 494
1559516613822, 220753, 541, 403, 495
1559516613835, 220767, 543, 400, 495
1559516613848, 220780, 546, 399, 495
1559516613860, 220792, 547, 397, 494
1559516613875, 220806, 550, 398, 496
1559516613887, 220819, 552, 400, 496
1559516613900, 220832, 553, 401, 495
1559516613913, 220845, 554, 403, 492
1559516613927, 220858, 554, 403, 488
1559516613939, 220871, 552, 403, 484
1559516613951, 220884, 550, 404, 483
1559516613965, 220898, 547, 405, 484
1559516613978, 220910, 544, 405, 486
1559516613991, 220923, 540, 405, 488
1559516614003, 220937, 537, 405, 490
1559516614018, 220950, 535, 404, 492
1559516614030, 220962, 534, 404, 492
1559516614043, 220976, 535, 405, 491
1559516614055, 220989, 537, 405, 489
1559516614069, 221002, 538, 405, 488
1559516614082, 221015, 541, 405, 487
1559516614096, 221028, 543, 405, 487
1559516614109, 221041, 545, 405, 488
1559516614122, 221054, 546, 406, 491
1559516614135, 221067, 547, 406, 492
1559516614147, 221080, 547, 406, 493
1559516614161, 221093, 548, 406, 493
1559516614174, 221107, 549, 406, 491
1559516614187, 221119, 550, 406, 489
1559516614201, 221132, 550, 406, 488
1559516614213, 221146, 549, 406, 488
1559516614227, 221159, 547, 406, 489
1559516614239, 221171, 545, 406, 491
1559516614251, 221185, 544, 406, 493
1559516614265, 221198, 544, 406, 494
1559516614278, 221211, 544, 406, 494
1559516614291, 221223, 545, 406, 493
1559516614304, 221237, 546, 406, 492
1559516614318, 221250, 546, 406, 490
1559516614332, 221263, 546, 405, 489
1559516614344, 221277, 546, 405, 489
1559516614357, 221289, 546, 405, 490
1559516614370, 221302, 546, 406, 492
1559516614383, 221316, 546, 406, 493
1559516614396, 221329, 546, 406, 492
1559516614410, 221341, 546, 406, 491
1559516614422, 221355, 547, 406, 489
1559516614435, 221368, 547, 406, 488
1559516614449, 221381, 546, 406, 487
1559516614461, 221393, 545, 406, 489
1559516614474, 221407, 544, 407, 491
1559516614487, 221420, 544, 407, 493
1559516614501, 221433, 544, 407, 493
1559516614515, 221446, 544, 406, 491
1559516614527, 221459, 545, 406, 490
1559516614540, 221472, 545, 406, 489
1559516614553, 221486, 546, 406, 489
1559516614566, 221498, 546, 406, 490
1559516614579, 221511, 546, 406, 491
1559516614591, 221524, 547, 406, 492
1559516614605, 221538, 547, 406, 492
1559516614618, 221550, 547, 406, 492
1559516614632, 221563, 546, 405, 491
1559516614644, 221577, 546, 405, 490
1559516614657, 221590, 545, 405, 490
1559516614671, 221603, 544, 405, 490
1559516614683, 221616, 544, 405, 491
1559516614696, 221629, 543, 406, 491
1559516614709, 221642, 543, 406, 492
1559516614723, 221656, 544, 406, 491
1559516614736, 221668, 544, 405, 490
1559516614748, 221681, 544, 404, 489
1559516614762, 221694, 543, 404, 488
1559516614775, 221708, 543, 404, 488
1559516614788, 221720, 544, 404, 489
1559516614801, 221733, 544, 405, 489
1559516614814, 221747, 544, 405, 489
1559516614827, 221760, 545, 405, 489
1559516614840, 221772, 545, 405, 490
1559516614852, 221786, 545, 406, 489
1559516614866, 221799, 545, 406, 489
1559516614879, 221812, 544, 406, 489
1559516614891, 221825, 544, 407, 489
1559516614906, 221838, 544, 408, 490
1559516614919, 221851, 543, 408, 490
1559516614931, 221864, 543, 408, 489
1559516614945, 221877, 542, 408, 490
1559516614959, 221890, 542, 408, 491
1559516614971, 221903, 543, 408, 492
1559516614983, 221917, 543, 408, 493
1559516614997, 221929, 544, 408, 493
1559516615011, 221942, 546, 408, 493
1559516615024, 221956, 547, 407, 492
1559516615036, 221969, 548, 407, 490
