Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559516769344, 376273, 550, 436, 449
1559516769357, 376287, 549, 436, 449
1559516769371, 376300, 549, 436, 450
1559516769384, 376313, 550, 436, 449
1559516769398, 376326, 550, 435, 448
1559516769410, 376339, 550, 436, 446
1559516769423, 376352, 550, 435, 447
1559516769436, 376366, 549, 436, 448
1559516769449, 376378, 549, 436, 450
1559516769462, 376391, 548, 436, 451
1559516769476, 376404, 549, 436, 451
1559516769489, 376418, 550, 436, 449
1559516769502, 376430, 551, 435, 448
1559516769515, 376443, 553, 435, 446
1559516769527, 376457, 554, 435, 445
1559516769541, 376470, 554, 436, 446
1559516769553, 376482, 554, 436, 447
1559516769566, 376496, 553, 437, 449
1559516769580, 376509, 552, 437, 452
1559516769592, 376522, 551, 437, 453
1559516769605, 376535, 551, 436, 453
1559516769619, 376548, 553, 436, 450
1559516769632, 376561, 554, 436, 448
1559516769646, 376574, 555, 436, 446
1559516769658, 376588, 555, 437, 445
1559516769671, 376600, 554, 437, 447
1559516769684, 376613, 553, 438, 450
1559516769697, 376627, 551, 438, 452
1559516769711, 376640, 550, 437, 453
1559516769724, 376652, 550, 436, 451
1559516769736, 376666, 552, 436, 448
1559516769750, 376679, 553, 436, 446
1559516769762, 376692, 554, 437, 445
1559516769776, 376705, 554, 437, 446
1559516769789, 376718, 553, 438, 448
1559516769802, 376731, 552, 438, 450
1559516769815, 376744, 551, 437, 451
1559516769829, 376757, 550, 436, 451
1559516769841, 376770, 551, 436, 450
1559516769854, 376783, 553, 436, 447
1559516769868, 376797, 554, 436, 445
1559516769880, 376809, 554, 437, 446
1559516769893, 376822, 553, 437, 449
1559516769907, 376836, 552, 438, 451
1559516769919, 376849, 551, 438, 453
1559516769932, 376861, 551, 437, 453
1559516769944, 376875, 551, 437, 452
1559516769958, 376888, 553, 436, 448
1559516769971, 376901, 554, 436, 445
1559516769985, 376914, 554, 436, 444
1559516769997, 376927, 554, 437, 445
1559516770011, 376940, 553, 437, 447
1559516770024, 376953, 552, 438, 450
1559516770038, 376967, 551, 437, 452
1559516770051, 376979, 551, 437, 454
1559516770063, 376992, 552, 436, 452
1559516770077, 377006, 554, 436, 447
1559516770089, 377019, 556, 436, 444
1559516770103, 377031, 555, 436, 444
1559516770115, 377044, 554, 437, 446
1559516770128, 377058, 553, 438, 449
