Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559514703647, 723458, 529, 408, 477
1559514703660, 723471, 529, 409, 478
1559514703672, 723483, 528, 409, 479
1559514703685, 723496, 528, 409, 480
1559514703698, 723510, 529, 408, 479
1559514703712, 723523, 530, 408, 476
1559514703724, 723535, 530, 407, 474
1559514703737, 723549, 531, 407, 474
1559514703750, 723562, 531, 408, 476
1559514703764, 723575, 530, 409, 478
1559514703778, 723588, 530, 409, 479
1559514703790, 723601, 530, 408, 478
1559514703803, 723614, 531, 407, 477
1559514703816, 723628, 531, 406, 476
1559514703830, 723641, 532, 406, 475
1559514703843, 723653, 532, 407, 476
1559514703855, 723666, 532, 408, 477
1559514703868, 723680, 531, 408, 479
1559514703882, 723693, 530, 409, 480
1559514703895, 723705, 529, 409, 480
1559514703908, 723719, 529, 408, 479
1559514703920, 723732, 529, 408, 478
1559514703934, 723745, 530, 407, 476
1559514703947, 723758, 531, 407, 475
1559514703960, 723771, 531, 408, 475
1559514703973, 723784, 531, 408, 476
1559514703985, 723798, 530, 409, 477
1559514703999, 723810, 530, 409, 478
1559514704012, 723823, 529, 409, 479
1559514704026, 723836, 529, 408, 479
1559514704038, 723850, 530, 408, 478
1559514704051, 723862, 530, 407, 477
1559514704065, 723875, 531, 407, 475
1559514704077, 723889, 531, 407, 474
1559514704091, 723902, 531, 408, 476
1559514704103, 723914, 530, 408, 477
1559514704116, 723928, 530, 409, 478
1559514704130, 723941, 529, 409, 479
1559514704143, 723954, 529, 409, 479
1559514704155, 723966, 530, 408, 478
1559514704169, 723980, 530, 407, 476
1559514704182, 723993, 531, 407, 475
1559514704195, 724006, 531, 407, 475
1559514704207, 724020, 530, 408, 476
1559514704221, 724032, 529, 409, 477
1559514704235, 724045, 529, 409, 478
1559514704247, 724059, 528, 409, 479
1559514704260, 724072, 529, 408, 480
1559514704273, 724084, 530, 407, 478
1559514704287, 724098, 532, 407, 477
1559514704299, 724111, 533, 406, 475
1559514704312, 724124, 533, 407, 475
1559514704326, 724136, 533, 407, 475
1559514704339, 724150, 532, 408, 477
1559514704352, 724163, 531, 409, 478
1559514704365, 724176, 531, 409, 479
1559514704378, 724189, 531, 408, 478
1559514704391, 724202, 530, 407, 477
1559514704404, 724215, 531, 407, 475
1559514704419, 724229, 531, 407, 474
1559514704431, 724241, 530, 407, 476
1559514704443, 724254, 529, 408, 477
1559514704457, 724268, 528, 409, 478
1559514704470, 724281, 528, 409, 479
