Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559514757689, 777499, 531, 408, 475
1559514757703, 777512, 530, 409, 477
1559514757715, 777526, 530, 409, 478
1559514757729, 777539, 529, 409, 479
1559514757742, 777551, 529, 408, 477
1559514757756, 777565, 531, 408, 476
1559514757768, 777578, 531, 408, 474
1559514757780, 777591, 531, 409, 473
1559514757794, 777604, 530, 409, 473
1559514757807, 777617, 530, 409, 475
1559514757819, 777630, 529, 410, 476
1559514757833, 777644, 529, 410, 477
1559514757847, 777656, 528, 410, 477
1559514757860, 777669, 529, 408, 476
1559514757872, 777682, 531, 407, 473
1559514757886, 777696, 532, 407, 471
1559514757898, 777708, 531, 408, 472
1559514757912, 777721, 531, 408, 472
1559514757925, 777735, 531, 409, 474
1559514757938, 777748, 529, 409, 474
1559514757951, 777761, 528, 409, 476
1559514757964, 777774, 527, 409, 477
1559514757976, 777787, 526, 409, 477
1559514757990, 777800, 527, 408, 475
1559514758003, 777814, 529, 408, 473
1559514758016, 777826, 531, 408, 472
1559514758029, 777839, 531, 409, 473
1559514758042, 777852, 530, 409, 474
1559514758055, 777866, 530, 409, 476
1559514758069, 777878, 529, 409, 477
1559514758081, 777891, 528, 409, 477
1559514758095, 777905, 528, 409, 476
1559514758108, 777918, 529, 408, 474
1559514758121, 777930, 531, 407, 472
1559514758134, 777944, 532, 408, 472
1559514758147, 777957, 532, 408, 473
1559514758159, 777970, 531, 409, 475
1559514758173, 777982, 529, 409, 477
1559514758185, 777996, 528, 409, 478
1559514758198, 778009, 528, 409, 478
1559514758212, 778022, 528, 408, 477
1559514758225, 778035, 529, 408, 475
1559514758238, 778048, 531, 408, 474
1559514758251, 778061, 531, 408, 474
1559514758265, 778075, 531, 409, 474
1559514758278, 778088, 531, 409, 475
1559514758290, 778100, 530, 410, 476
1559514758303, 778114, 530, 410, 477
1559514758317, 778127, 529, 409, 478
1559514758329, 778140, 529, 408, 477
1559514758344, 778152, 530, 408, 475
1559514758355, 778166, 531, 408, 474
1559514758369, 778179, 531, 408, 473
1559514758382, 778192, 531, 409, 474
1559514758394, 778205, 530, 409, 474
1559514758408, 778218, 529, 409, 476
1559514758422, 778231, 528, 410, 478
1559514758434, 778245, 528, 410, 479
1559514758447, 778257, 528, 409, 478
1559514758461, 778270, 530, 408, 476
1559514758473, 778284, 531, 408, 474
1559514758487, 778297, 532, 408, 474
1559514758499, 778309, 532, 408, 474
1559514758513, 778322, 531, 408, 475
1559514758526, 778336, 530, 409, 476
1559514758539, 778349, 529, 409, 477
1559514758552, 778362, 528, 409, 478
1559514758564, 778375, 527, 409, 479
1559514758577, 778388, 528, 408, 478
1559514758591, 778401, 530, 407, 476
1559514758604, 778415, 532, 407, 474
1559514758617, 778427, 532, 407, 473
1559514758631, 778440, 532, 407, 473
1559514758644, 778454, 530, 407, 474
1559514758656, 778467, 530, 408, 477
1559514758670, 778479, 528, 409, 478
1559514758683, 778492, 528, 408, 478
1559514758696, 778506, 528, 408, 477
1559514758708, 778519, 529, 407, 475
1559514758722, 778531, 530, 407, 474
1559514758735, 778545, 530, 408, 474
1559514758748, 778558, 529, 408, 475
1559514758761, 778571, 528, 409, 477
1559514758773, 778584, 528, 409, 478
1559514758787, 778597, 528, 409, 478
1559514758800, 778610, 529, 408, 477
1559514758814, 778624, 530, 407, 475
1559514758827, 778636, 532, 406, 472
1559514758839, 778649, 532, 406, 471
1559514758853, 778662, 531, 408, 473
1559514758866, 778676, 530, 409, 475
1559514758879, 778689, 529, 409, 477
1559514758891, 778701, 527, 410, 478
1559514758905, 778715, 526, 410, 479
1559514758918, 778728, 527, 408, 479
1559514758931, 778741, 529, 408, 475
1559514758944, 778754, 531, 407, 472
1559514758956, 778767, 532, 407, 472
1559514758970, 778780, 531, 408, 474
1559514758983, 778793, 530, 410, 476
1559514758996, 778806, 529, 410, 478
1559514759009, 778819, 528, 410, 479
1559514759022, 778832, 528, 409, 478
1559514759036, 778846, 529, 408, 475
1559514759049, 778858, 531, 407, 473
1559514759062, 778871, 532, 408, 472
1559514759074, 778885, 533, 409, 473
1559514759088, 778898, 532, 409, 475
1559514759101, 778910, 531, 410, 477
1559514759113, 778924, 530, 409, 478
1559514759127, 778937, 530, 409, 477
1559514759139, 778950, 531, 408, 476
1559514759153, 778962, 532, 408, 474
1559514759166, 778976, 532, 408, 473
1559514759179, 778989, 532, 408, 474
1559514759192, 779002, 530, 409, 476
1559514759205, 779015, 529, 409, 477
1559514759218, 779028, 529, 409, 478
1559514759231, 779041, 529, 409, 477
1559514759245, 779055, 529, 409, 476
1559514759258, 779068, 531, 409, 475
1559514759271, 779080, 532, 408, 473
1559514759283, 779094, 532, 408, 473
1559514759297, 779107, 531, 408, 473
1559514759311, 779120, 530, 408, 473
1559514759324, 779132, 529, 409, 476
1559514759336, 779146, 528, 410, 477
1559514759350, 779159, 528, 410, 478
1559514759362, 779172, 528, 410, 478
1559514759375, 779185, 529, 409, 475
1559514759388, 779198, 531, 407, 472
1559514759401, 779211, 531, 407, 471
1559514759415, 779225, 530, 408, 473
1559514759427, 779237, 529, 408, 475
1559514759440, 779250, 528, 409, 477
1559514759454, 779264, 528, 409, 477
1559514759466, 779277, 528, 409, 477
1559514759479, 779289, 529, 408, 476
1559514759493, 779302, 531, 409, 475
1559514759505, 779316, 532, 408, 473
1559514759519, 779329, 533, 408, 471
1559514759532, 779342, 534, 408, 470
1559514759544, 779355, 532, 408, 471
1559514759558, 779368, 530, 409, 473
1559514759570, 779381, 529, 409, 476
1559514759584, 779395, 527, 410, 479
1559514759598, 779407, 527, 410, 479
1559514759611, 779420, 528, 409, 477
1559514759623, 779433, 530, 408, 475
1559514759637, 779447, 533, 407, 472
1559514759649, 779459, 533, 408, 472
1559514759662, 779472, 532, 408, 474
1559514759675, 779486, 531, 409, 476
1559514759688, 779499, 530, 409, 478
1559514759702, 779511, 529, 409, 479
1559514759715, 779525, 530, 409, 477
1559514759728, 779538, 531, 408, 475
1559514759741, 779551, 532, 408, 474
1559514759754, 779564, 533, 408, 473
1559514759767, 779577, 533, 408, 473
1559514759780, 779590, 531, 409, 474
1559514759794, 779603, 529, 409, 476
1559514759806, 779616, 528, 410, 478
1559514759820, 779629, 527, 410, 479
1559514759832, 779642, 529, 409, 477
1559514759846, 779656, 530, 408, 474
1559514759858, 779668, 531, 407, 472
1559514759871, 779681, 533, 407, 471
1559514759884, 779695, 532, 408, 472
1559514759897, 779708, 531, 409, 475
1559514759911, 779721, 529, 409, 478
1559514759923, 779734, 528, 410, 480
1559514759937, 779747, 527, 410, 481
1559514759950, 779760, 528, 410, 480
1559514759963, 779773, 530, 409, 477
1559514759976, 779786, 532, 408, 474
1559514759989, 779799, 534, 408, 472
1559514760002, 779812, 534, 408, 471
1559514760016, 779826, 533, 409, 473
1559514760028, 779838, 530, 410, 476
1559514760042, 779851, 529, 410, 478
1559514760054, 779865, 527, 410, 479
1559514760068, 779878, 528, 409, 479
1559514760081, 779890, 529, 408, 477
1559514760093, 779904, 530, 407, 475
1559514760107, 779917, 532, 407, 474
1559514760120, 779930, 532, 407, 474
1559514760133, 779942, 531, 408, 476
1559514760146, 779956, 530, 409, 479
1559514760159, 779969, 530, 410, 480
1559514760172, 779982, 530, 410, 480
1559514760186, 779995, 531, 409, 478
1559514760198, 780008, 533, 408, 475
1559514760211, 780021, 534, 408, 473
1559514760224, 780035, 534, 409, 473
1559514760238, 780047, 533, 409, 474
1559514760250, 780060, 531, 410, 476
1559514760263, 780073, 530, 409, 475
1559514760276, 780087, 529, 409, 475
1559514760289, 780100, 530, 408, 475
1559514760303, 780112, 531, 408, 475
1559514760316, 780126, 532, 407, 472
1559514760329, 780139, 531, 406, 470
1559514760343, 780152, 528, 407, 472
1559514760355, 780165, 528, 408, 475
1559514760368, 780178, 527, 410, 479
1559514760380, 780191, 527, 410, 482
1559514760395, 780205, 528, 410, 481
1559514760407, 780217, 530, 409, 477
1559514760420, 780230, 532, 408, 472
1559514760434, 780243, 535, 408, 471
1559514760447, 780257, 536, 408, 471
1559514760460, 780269, 535, 410, 471
1559514760472, 780282, 533, 410, 472
1559514760486, 780296, 531, 410, 473
1559514760498, 780309, 530, 410, 475
1559514760511, 780321, 529, 409, 476
1559514760525, 780335, 529, 409, 476
1559514760539, 780348, 530, 408, 477
1559514760551, 780361, 531, 408, 477
1559514760564, 780374, 531, 408, 476
1559514760577, 780387, 532, 408, 476
1559514760590, 780400, 532, 408, 476
1559514760604, 780413, 531, 409, 478
1559514760616, 780427, 532, 409, 479
1559514760630, 780439, 532, 410, 478
1559514760643, 780452, 533, 409, 475
1559514760656, 780466, 535, 408, 471
1559514760669, 780479, 536, 408, 469
1559514760682, 780491, 535, 408, 469
1559514760696, 780505, 533, 409, 472
1559514760708, 780518, 531, 410, 475
1559514760721, 780531, 528, 411, 478
1559514760734, 780544, 527, 410, 480
1559514760747, 780557, 526, 409, 479
1559514760759, 780570, 528, 408, 477
1559514760772, 780583, 530, 407, 475
1559514760786, 780596, 532, 407, 474
1559514760800, 780609, 533, 408, 473
1559514760812, 780622, 533, 409, 475
1559514760825, 780636, 532, 410, 476
1559514760839, 780648, 531, 411, 477
1559514760852, 780661, 531, 410, 478
1559514760864, 780675, 532, 409, 476
1559514760877, 780688, 533, 408, 472
1559514760891, 780700, 534, 408, 471
1559514760904, 780713, 533, 408, 471
1559514760917, 780727, 532, 409, 474
1559514760929, 780740, 530, 410, 477
1559514760942, 780752, 528, 411, 479
1559514760956, 780766, 527, 410, 480
1559514760969, 780779, 527, 409, 478
1559514760982, 780792, 530, 408, 475
1559514760995, 780806, 533, 407, 472
1559514761008, 780818, 535, 407, 470
1559514761021, 780831, 536, 407, 471
1559514761034, 780845, 535, 408, 473
1559514761047, 780858, 534, 409, 476
1559514761061, 780870, 533, 409, 478
1559514761074, 780883, 533, 409, 479
1559514761086, 780897, 533, 409, 478
1559514761100, 780910, 535, 408, 476
1559514761113, 780922, 536, 407, 473
1559514761126, 780936, 535, 407, 472
1559514761139, 780949, 533, 408, 473
1559514761153, 780962, 531, 409, 475
1559514761165, 780975, 529, 410, 477
1559514761178, 780988, 528, 409, 476
1559514761191, 781001, 527, 409, 474
1559514761205, 781015, 527, 408, 472
1559514761218, 781027, 528, 407, 471
1559514761230, 781040, 529, 405, 470
1559514761244, 781053, 530, 406, 470
1559514761257, 781067, 531, 406, 471
1559514761270, 781079, 531, 407, 472
1559514761282, 781092, 532, 408, 475
1559514761295, 781106, 532, 408, 475
1559514761309, 781119, 531, 408, 475
1559514761323, 781132, 531, 408, 475
1559514761335, 781145, 531, 408, 476
1559514761347, 781158, 531, 408, 477
1559514761361, 781171, 530, 408, 477
1559514761374, 781185, 531, 408, 479
1559514761387, 781197, 531, 408, 482
1559514761400, 781210, 532, 410, 480
1559514761414, 781223, 533, 408, 481
1559514761426, 781237, 535, 408, 480
1559514761440, 781249, 535, 409, 480
1559514761452, 781262, 536, 410, 479
1559514761465, 781276, 537, 411, 478
1559514761479, 781289, 536, 412, 479
1559514761492, 781301, 536, 413, 480
1559514761505, 781315, 535, 414, 481
1559514761518, 781328, 534, 414, 482
1559514761531, 781341, 534, 415, 482
1559514761544, 781353, 534, 414, 482
1559514761557, 781367, 535, 413, 481
1559514761570, 781380, 537, 412, 480
1559514761583, 781393, 538, 410, 479
1559514761597, 781406, 537, 409, 478
1559514761610, 781419, 537, 408, 480
1559514761623, 781432, 537, 407, 480
1559514761635, 781446, 538, 406, 480
1559514761649, 781459, 540, 404, 479
1559514761663, 781471, 541, 403, 477
1559514761675, 781485, 543, 402, 474
1559514761688, 781498, 545, 403, 473
1559514761701, 781511, 547, 405, 473
1559514761714, 781523, 546, 407, 475
1559514761727, 781537, 545, 408, 476
1559514761740, 781550, 542, 409, 477
1559514761754, 781563, 540, 410, 477
1559514761767, 781576, 538, 411, 477
1559514761779, 781589, 536, 411, 476
1559514761793, 781602, 534, 411, 475
1559514761806, 781616, 533, 411, 475
1559514761819, 781628, 531, 412, 475
1559514761832, 781641, 528, 411, 475
1559514761844, 781655, 525, 411, 475
1559514761857, 781668, 524, 410, 475
1559514761871, 781680, 524, 411, 475
1559514761883, 781693, 525, 407, 475
1559514761897, 781707, 527, 407, 473
1559514761911, 781720, 529, 406, 472
1559514761923, 781733, 531, 407, 473
1559514761935, 781746, 532, 409, 475
1559514761949, 781759, 534, 410, 477
1559514761962, 781772, 534, 410, 478
1559514761976, 781786, 535, 410, 478
1559514761988, 781798, 536, 409, 476
1559514762002, 781811, 536, 408, 475
1559514762015, 781825, 536, 408, 474
1559514762028, 781838, 536, 408, 476
1559514762040, 781850, 536, 409, 478
1559514762055, 781863, 536, 409, 480
1559514762068, 781877, 537, 410, 481
1559514762080, 781890, 537, 409, 480
1559514762093, 781902, 538, 409, 480
1559514762107, 781916, 540, 408, 480
1559514762120, 781929, 539, 407, 476
1559514762132, 781942, 540, 407, 477
1559514762145, 781955, 540, 408, 476
1559514762157, 781968, 539, 408, 478
1559514762171, 781981, 538, 410, 481
1559514762185, 781995, 538, 409, 482
1559514762197, 782007, 539, 409, 480
1559514762211, 782020, 541, 408, 478
1559514762224, 782033, 541, 407, 475
1559514762236, 782047, 541, 408, 476
1559514762250, 782059, 540, 409, 478
1559514762263, 782072, 539, 410, 480
1559514762276, 782086, 538, 410, 480
1559514762289, 782099, 537, 409, 480
1559514762301, 782112, 537, 408, 477
1559514762314, 782125, 538, 407, 474
1559514762328, 782138, 538, 406, 470
1559514762342, 782151, 539, 405, 466
1559514762354, 782164, 539, 406, 466
1559514762367, 782177, 538, 408, 470
1559514762380, 782190, 536, 409, 476
1559514762394, 782203, 535, 409, 475
1559514762407, 782217, 537, 405, 466
1559514762419, 782229, 544, 398, 450
1559514762433, 782242, 551, 385, 425
1559514762445, 782256, 562, 370, 401
1559514762459, 782269, 570, 361, 389
1559514762473, 782281, 578, 366, 397
1559514762485, 782295, 573, 362, 400
1559514762498, 782308, 572, 349, 385
1559514762510, 782321, 572, 342, 366
1559514762524, 782333, 566, 331, 355
1559514762538, 782347, 555, 336, 354
1559514762549, 782360, 545, 345, 357
1559514762564, 782373, 544, 379, 381
1559514762577, 782387, 547, 421, 413
1559514762589, 782399, 553, 463, 445
1559514762602, 782412, 554, 496, 472
1559514762615, 782426, 548, 527, 484
1559514762628, 782439, 538, 551, 511
1559514762641, 782451, 512, 569, 528
1559514762655, 782465, 449, 579, 550
1559514762667, 782478, 389, 596, 606
1559514762681, 782491, 361, 625, 697
1559514762694, 782503, 371, 637, 783
1559514762706, 782517, 409, 597, 807
1559514762720, 782530, 463, 537, 785
1559514762733, 782543, 470, 489, 662
1559514762746, 782556, 443, 487, 525
1559514762760, 782569, 464, 484, 434
1559514762772, 782582, 450, 416, 395
1559514762786, 782596, 475, 378, 370
1559514762798, 782608, 548, 281, 406
1559514762811, 782621, 591, 280, 406
1559514762824, 782635, 634, 327, 370
1559514762838, 782648, 679, 275, 288
1559514762850, 782660, 742, 271, 235
1559514762864, 782673, 731, 305, 240
1559514762877, 782687, 685, 303, 355
1559514762889, 782700, 639, 327, 504
1559514762903, 782713, 628, 324, 567
1559514762915, 782726, 576, 385, 534
1559514762929, 782739, 519, 432, 460
1559514762942, 782752, 495, 444, 422
1559514762956, 782766, 487, 464, 412
1559514762969, 782778, 522, 463, 417
1559514762981, 782791, 557, 464, 405
1559514762995, 782804, 577, 446, 381
1559514763007, 782818, 576, 426, 372
1559514763021, 782830, 571, 421, 386
1559514763033, 782843, 580, 417, 409
1559514763047, 782857, 581, 417, 423
1559514763061, 782870, 571, 406, 426
1559514763072, 782882, 562, 392, 406
1559514763086, 782896, 565, 372, 378
1559514763099, 782909, 575, 361, 344
1559514763113, 782922, 582, 344, 321
1559514763125, 782935, 581, 332, 318
1559514763138, 782948, 575, 325, 331
1559514763151, 782961, 556, 338, 357
1559514763165, 782974, 548, 356, 387
1559514763178, 782987, 553, 373, 415
1559514763191, 783000, 560, 396, 429
1559514763203, 783013, 568, 409, 442
1559514763217, 783027, 572, 421, 444
1559514763230, 783040, 564, 438, 441
1559514763243, 783052, 554, 440, 447
1559514763258, 783066, 549, 449, 455
1559514763269, 783079, 550, 458, 453
1559514763283, 783092, 556, 480, 440
1559514763295, 783105, 569, 485, 439
1559514763307, 783118, 561, 490, 431
1559514763321, 783131, 540, 493, 427
1559514763334, 783144, 520, 491, 442
1559514763347, 783157, 504, 497, 468
1559514763361, 783170, 483, 505, 487
1559514763374, 783183, 472, 519, 511
1559514763386, 783197, 482, 524, 533
1559514763399, 783209, 504, 518, 524
1559514763413, 783222, 532, 499, 499
1559514763425, 783236, 554, 493, 453
1559514763439, 783249, 560, 474, 409
1559514763452, 783261, 541, 466, 375
1559514763465, 783275, 530, 463, 383
1559514763478, 783288, 521, 457, 422
1559514763492, 783301, 510, 467, 456
1559514763504, 783313, 512, 459, 486
1559514763517, 783327, 512, 474, 492
1559514763530, 783340, 516, 487, 480
1559514763543, 783353, 527, 492, 466
1559514763556, 783366, 536, 495, 454
1559514763569, 783379, 540, 497, 444
1559514763583, 783392, 542, 503, 440
1559514763596, 783406, 549, 510, 446
1559514763608, 783419, 556, 513, 454
1559514763622, 783431, 555, 512, 459
1559514763635, 783444, 549, 515, 457
1559514763648, 783458, 540, 507, 449
1559514763660, 783471, 528, 513, 446
1559514763673, 783483, 512, 514, 447
1559514763686, 783497, 509, 515, 439
1559514763700, 783510, 508, 517, 440
1559514763713, 783523, 505, 522, 462
1559514763726, 783536, 504, 531, 487
1559514763739, 783549, 503, 537, 507
1559514763753, 783562, 501, 538, 520
1559514763765, 783576, 498, 537, 529
1559514763778, 783588, 496, 530, 534
1559514763791, 783601, 498, 520, 531
1559514763804, 783614, 502, 502, 510
1559514763818, 783628, 507, 480, 483
1559514763831, 783640, 510, 460, 459
1559514763843, 783653, 515, 439, 449
1559514763857, 783667, 522, 424, 455
1559514763870, 783680, 527, 410, 450
1559514763883, 783692, 538, 401, 439
1559514763896, 783706, 557, 381, 411
1559514763909, 783719, 582, 364, 380
1559514763923, 783732, 594, 375, 346
1559514763935, 783745, 603, 385, 312
1559514763947, 783758, 605, 384, 278
1559514763961, 783771, 613, 364, 261
1559514763974, 783784, 627, 360, 267
1559514763987, 783798, 636, 374, 293
1559514764001, 783810, 634, 360, 337
1559514764014, 783823, 623, 328, 384
1559514764026, 783837, 615, 313, 412
1559514764040, 783850, 613, 315, 411
1559514764052, 783862, 600, 325, 402
1559514764066, 783876, 596, 344, 406
1559514764079, 783889, 593, 361, 392
1559514764092, 783902, 612, 356, 370
1559514764105, 783915, 618, 363, 348
1559514764118, 783928, 615, 365, 342
1559514764131, 783941, 595, 380, 358
1559514764145, 783954, 572, 398, 393
1559514764157, 783967, 555, 418, 430
1559514764171, 783980, 545, 440, 448
1559514764183, 783993, 549, 451, 442
1559514764196, 784007, 555, 454, 420
1559514764210, 784019, 556, 461, 394
1559514764222, 784032, 549, 477, 385
1559514764235, 784046, 541, 492, 396
1559514764249, 784059, 530, 506, 416
1559514764262, 784071, 515, 507, 441
1559514764274, 784084, 492, 514, 467
1559514764288, 784098, 474, 529, 493
1559514764301, 784111, 474, 544, 517
1559514764314, 784124, 491, 561, 530
1559514764327, 784137, 507, 573, 522
1559514764340, 784150, 514, 573, 493
1559514764354, 784163, 509, 563, 467
1559514764366, 784177, 489, 564, 454
1559514764379, 784189, 468, 564, 466
1559514764392, 784202, 457, 557, 493
1559514764406, 784216, 450, 557, 524
1559514764418, 784229, 444, 559, 542
1559514764431, 784241, 446, 553, 544
1559514764444, 784254, 447, 546, 541
1559514764458, 784268, 448, 540, 541
1559514764471, 784281, 450, 535, 543
1559514764485, 784293, 454, 533, 543
1559514764497, 784307, 456, 526, 534
1559514764509, 784320, 453, 524, 523
1559514764523, 784333, 452, 516, 523
1559514764535, 784346, 455, 517, 532
1559514764549, 784359, 469, 519, 543
1559514764562, 784372, 503, 507, 561
1559514764576, 784386, 561, 470, 554
1559514764588, 784398, 633, 408, 525
1559514764602, 784411, 658, 343, 418
1559514764614, 784424, 659, 371, 365
1559514764627, 784438, 597, 341, 287
1559514764641, 784451, 608, 312, 320
1559514764653, 784463, 676, 312, 372
1559514764667, 784477, 725, 331, 376
1559514764680, 784490, 727, 334, 349
1559514764693, 784503, 693, 360, 349
1559514764705, 784516, 668, 374, 386
1559514764719, 784529, 662, 392, 421
1559514764732, 784542, 648, 402, 455
1559514764745, 784556, 632, 407, 451
1559514764759, 784568, 620, 411, 432
1559514764772, 784581, 613, 419, 429
1559514764785, 784594, 600, 430, 430
1559514764797, 784608, 588, 438, 440
1559514764810, 784620, 580, 438, 451
1559514764823, 784633, 573, 440, 451
1559514764837, 784647, 570, 438, 450
1559514764849, 784660, 569, 435, 451
1559514764863, 784672, 565, 429, 452
1559514764876, 784686, 569, 416, 443
1559514764889, 784699, 575, 407, 429
1559514764902, 784712, 585, 399, 421
1559514764915, 784724, 598, 392, 419
1559514764929, 784738, 607, 385, 420
1559514764941, 784751, 615, 376, 416
1559514764954, 784764, 619, 363, 400
1559514764967, 784777, 618, 365, 391
1559514764981, 784790, 615, 372, 401
1559514764993, 784803, 612, 381, 419
1559514765006, 784817, 603, 400, 432
1559514765020, 784830, 602, 412, 441
1559514765033, 784842, 602, 424, 442
1559514765046, 784856, 602, 437, 443
1559514765058, 784869, 603, 446, 441
1559514765072, 784882, 604, 450, 434
