Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024680481, 2123551, 376, 438, 486
1560024680492, 2123564, 374, 436, 484
1560024680505, 2123577, 375, 434, 484
1560024680518, 2123589, 375, 436, 484
1560024680532, 2123602, 374, 436, 484
1560024680543, 2123615, 377, 437, 486
1560024680556, 2123627, 377, 441, 484
1560024680568, 2123640, 376, 441, 488
1560024680582, 2123653, 378, 440, 488
1560024680594, 2123666, 377, 441, 489
1560024680607, 2123678, 376, 440, 489
1560024680619, 2123691, 375, 439, 491
1560024680633, 2123704, 377, 440, 489
1560024680645, 2123716, 378, 436, 489
1560024680657, 2123729, 375, 434, 489
1560024680670, 2123742, 376, 433, 487
1560024680684, 2123754, 375, 434, 490
1560024680695, 2123767, 376, 434, 488
1560024680709, 2123780, 374, 434, 489
1560024680721, 2123792, 373, 435, 488
1560024680734, 2123805, 372, 437, 489
1560024680746, 2123818, 375, 436, 489
1560024680759, 2123831, 375, 436, 486
1560024680771, 2123843, 374, 439, 486
1560024680785, 2123856, 376, 436, 487
1560024680797, 2123869, 373, 436, 488
1560024680811, 2123881, 376, 435, 488
1560024680822, 2123894, 376, 435, 487
1560024680835, 2123907, 378, 435, 490
1560024680848, 2123919, 375, 434, 491
1560024680860, 2123932, 375, 434, 488
1560024680873, 2123945, 374, 434, 488
1560024680886, 2123958, 377, 434, 488
1560024680898, 2123970, 377, 434, 490
1560024680912, 2123983, 378, 434, 486
1560024680924, 2123996, 375, 433, 486
1560024680937, 2124008, 378, 433, 486
1560024680950, 2124021, 378, 435, 485
1560024680962, 2124034, 376, 437, 484
1560024680975, 2124046, 378, 436, 486
1560024680987, 2124059, 377, 436, 488
1560024681001, 2124072, 376, 435, 486
1560024681014, 2124084, 375, 436, 486
1560024681025, 2124097, 376, 435, 486
1560024681038, 2124110, 376, 434, 487
1560024681050, 2124123, 375, 437, 487
1560024681064, 2124135, 376, 436, 489
1560024681076, 2124148, 376, 435, 485
1560024681088, 2124161, 377, 436, 486
1560024681102, 2124173, 376, 436, 487
1560024681115, 2124186, 377, 436, 486
1560024681127, 2124199, 379, 437, 487
1560024681139, 2124211, 378, 437, 485
1560024681153, 2124224, 378, 435, 487
1560024681165, 2124237, 377, 438, 487
1560024681178, 2124250, 375, 440, 488
1560024681190, 2124262, 376, 437, 487
1560024681202, 2124275, 378, 436, 487
1560024681216, 2124288, 379, 439, 488
1560024681229, 2124300, 380, 438, 488
1560024681243, 2124313, 380, 437, 489
1560024681255, 2124326, 379, 436, 489
1560024681267, 2124338, 378, 438, 491
1560024681279, 2124351, 376, 436, 492
1560024681292, 2124364, 377, 437, 491
1560024681305, 2124376, 379, 437, 489
1560024681318, 2124389, 378, 435, 490
1560024681330, 2124402, 377, 438, 489
1560024681344, 2124415, 376, 435, 490
1560024681356, 2124427, 380, 435, 487
1560024681369, 2124440, 375, 437, 490
1560024681381, 2124453, 376, 438, 488
1560024681394, 2124465, 376, 437, 490
1560024681407, 2124478, 377, 438, 490
1560024681418, 2124491, 378, 438, 489
1560024681432, 2124503, 378, 437, 489
1560024681445, 2124516, 377, 436, 488
1560024681457, 2124529, 377, 436, 487
1560024681469, 2124541, 377, 437, 485
1560024681483, 2124554, 378, 435, 488
1560024681495, 2124567, 377, 436, 489
1560024681508, 2124580, 376, 435, 489
1560024681521, 2124592, 377, 435, 487
1560024681534, 2124605, 380, 435, 488
1560024681546, 2124618, 380, 436, 489
1560024681560, 2124630, 380, 435, 488
1560024681573, 2124643, 379, 436, 488
1560024681585, 2124656, 380, 437, 490
1560024681597, 2124668, 378, 436, 489
1560024681610, 2124681, 377, 435, 490
1560024681623, 2124694, 377, 435, 491
1560024681635, 2124707, 376, 437, 489
1560024681648, 2124719, 375, 437, 489
1560024681661, 2124732, 377, 438, 491
1560024681674, 2124745, 374, 435, 487
1560024681685, 2124757, 376, 436, 491
1560024681699, 2124770, 375, 436, 492
1560024681711, 2124783, 375, 436, 491
1560024681724, 2124795, 375, 437, 490
1560024681736, 2124808, 376, 438, 490
1560024681750, 2124821, 376, 437, 490
1560024681762, 2124833, 377, 437, 491
1560024681775, 2124846, 377, 436, 489
1560024681787, 2124859, 378, 438, 489
1560024681800, 2124872, 376, 438, 494
1560024681812, 2124884, 377, 438, 489
1560024681825, 2124897, 377, 439, 490
1560024681838, 2124910, 377, 438, 490
1560024681851, 2124922, 377, 439, 490
1560024681863, 2124935, 378, 438, 490
1560024681877, 2124948, 379, 437, 489
1560024681890, 2124960, 378, 437, 486
1560024681902, 2124973, 382, 438, 488
1560024681914, 2124986, 379, 439, 487
1560024681926, 2124999, 378, 437, 488
1560024681940, 2125011, 379, 437, 489
1560024681952, 2125024, 377, 438, 489
1560024681964, 2125037, 377, 438, 492
1560024681978, 2125049, 375, 438, 492
1560024681991, 2125062, 376, 436, 492
1560024682003, 2125075, 376, 437, 491
1560024682016, 2125087, 376, 435, 491
1560024682029, 2125100, 375, 433, 492
1560024682042, 2125113, 373, 432, 491
1560024682054, 2125125, 373, 436, 492
1560024682067, 2125138, 374, 434, 492
1560024682079, 2125151, 374, 433, 493
1560024682092, 2125164, 372, 436, 492
1560024682104, 2125176, 374, 433, 493
1560024682117, 2125189, 374, 435, 492
1560024682130, 2125202, 375, 433, 492
1560024682144, 2125214, 371, 435, 492
1560024682155, 2125227, 374, 436, 491
1560024682168, 2125240, 372, 436, 491
1560024682180, 2125252, 372, 437, 491
1560024682194, 2125265, 372, 436, 492
1560024682207, 2125278, 372, 435, 492
1560024682218, 2125291, 371, 437, 491
1560024682232, 2125303, 372, 434, 489
1560024682245, 2125316, 372, 435, 490
1560024682258, 2125329, 372, 434, 491
1560024682270, 2125341, 370, 436, 491
1560024682283, 2125354, 372, 436, 492
1560024682295, 2125367, 370, 435, 492
1560024682308, 2125379, 372, 437, 491
1560024682320, 2125392, 375, 435, 489
1560024682334, 2125405, 373, 436, 490
1560024682346, 2125417, 376, 435, 491
1560024682359, 2125430, 376, 435, 490
1560024682371, 2125443, 377, 435, 490
1560024682384, 2125456, 379, 436, 492
1560024682397, 2125468, 379, 437, 492
1560024682410, 2125481, 377, 437, 491
1560024682421, 2125494, 380, 437, 489
1560024682435, 2125506, 381, 438, 491
1560024682447, 2125519, 381, 436, 488
1560024682460, 2125532, 382, 436, 490
1560024682473, 2125544, 383, 438, 489
1560024682485, 2125557, 382, 437, 491
1560024682498, 2125570, 381, 441, 490
1560024682511, 2125583, 379, 441, 491
1560024682524, 2125595, 380, 441, 491
1560024682536, 2125608, 381, 440, 490
