Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024725562, 2168632, 376, 443, 473
1560024725575, 2168645, 375, 441, 476
1560024725587, 2168658, 376, 439, 474
1560024725600, 2168670, 376, 441, 474
1560024725612, 2168683, 376, 440, 475
1560024725624, 2168696, 375, 441, 475
1560024725638, 2168708, 374, 441, 475
1560024725650, 2168721, 376, 440, 475
1560024725663, 2168734, 376, 440, 475
1560024725675, 2168747, 373, 441, 475
1560024725689, 2168759, 376, 441, 476
1560024725702, 2168772, 376, 442, 477
1560024725714, 2168785, 375, 442, 477
1560024725726, 2168797, 377, 444, 477
1560024725739, 2168810, 375, 444, 477
1560024725752, 2168823, 375, 443, 477
1560024725765, 2168835, 378, 444, 475
1560024725778, 2168848, 378, 445, 475
1560024725791, 2168861, 377, 443, 475
1560024725804, 2168874, 376, 443, 473
1560024725816, 2168886, 376, 443, 474
1560024725827, 2168899, 377, 443, 473
1560024725841, 2168912, 376, 443, 473
1560024725854, 2168924, 375, 443, 471
1560024725867, 2168937, 377, 443, 471
1560024725879, 2168950, 376, 445, 472
1560024725892, 2168962, 378, 446, 472
1560024725905, 2168975, 378, 446, 473
1560024725918, 2168988, 375, 447, 473
1560024725930, 2169000, 377, 445, 472
1560024725942, 2169013, 378, 444, 472
1560024725956, 2169026, 376, 444, 475
1560024725969, 2169039, 376, 444, 476
1560024725981, 2169051, 377, 442, 473
1560024725994, 2169064, 376, 446, 474
1560024726007, 2169077, 377, 444, 473
1560024726018, 2169089, 376, 443, 474
1560024726030, 2169102, 376, 445, 473
1560024726044, 2169115, 376, 445, 474
1560024726057, 2169127, 373, 445, 474
1560024726069, 2169140, 376, 445, 476
1560024726083, 2169153, 375, 444, 474
1560024726096, 2169166, 375, 444, 476
1560024726108, 2169178, 376, 445, 476
1560024726121, 2169191, 376, 444, 476
1560024726133, 2169204, 375, 443, 475
1560024726146, 2169216, 375, 444, 475
1560024726158, 2169229, 375, 444, 477
1560024726171, 2169242, 375, 444, 476
1560024726184, 2169254, 377, 445, 474
1560024726197, 2169267, 377, 445, 477
1560024726209, 2169280, 377, 445, 476
1560024726222, 2169292, 377, 444, 476
1560024726234, 2169305, 376, 444, 474
1560024726248, 2169318, 377, 444, 474
1560024726260, 2169331, 376, 445, 475
1560024726272, 2169343, 374, 444, 476
1560024726285, 2169356, 374, 444, 475
1560024726298, 2169369, 375, 444, 475
1560024726311, 2169381, 373, 444, 474
1560024726323, 2169394, 375, 443, 475
1560024726337, 2169407, 376, 444, 472
1560024726349, 2169419, 376, 444, 473
1560024726361, 2169432, 376, 443, 472
1560024726374, 2169445, 375, 443, 472
1560024726387, 2169458, 374, 441, 472
1560024726401, 2169470, 375, 442, 474
1560024726412, 2169483, 375, 443, 474
1560024726425, 2169496, 376, 443, 476
1560024726437, 2169508, 375, 442, 473
1560024726451, 2169521, 375, 442, 474
1560024726462, 2169534, 376, 441, 475
1560024726476, 2169546, 376, 443, 474
1560024726488, 2169559, 376, 442, 472
1560024726501, 2169572, 376, 440, 473
1560024726513, 2169584, 378, 442, 474
1560024726527, 2169597, 377, 442, 474
1560024726539, 2169610, 376, 440, 473
1560024726552, 2169623, 376, 440, 474
1560024726565, 2169635, 376, 440, 474
1560024726577, 2169648, 378, 439, 474
1560024726591, 2169661, 376, 439, 473
1560024726602, 2169673, 378, 440, 470
1560024726616, 2169686, 379, 440, 476
1560024726628, 2169699, 377, 441, 471
1560024726641, 2169711, 379, 442, 472
1560024726653, 2169724, 377, 439, 473
1560024726666, 2169737, 377, 440, 472
1560024726678, 2169750, 378, 438, 474
1560024726691, 2169762, 378, 440, 469
1560024726705, 2169775, 380, 439, 471
1560024726718, 2169788, 378, 437, 475
1560024726730, 2169800, 379, 440, 472
1560024726742, 2169813, 378, 439, 471
1560024726755, 2169826, 377, 438, 473
1560024726769, 2169838, 380, 439, 473
1560024726781, 2169851, 378, 440, 472
1560024726793, 2169864, 379, 441, 472
1560024726805, 2169876, 380, 440, 471
1560024726818, 2169889, 378, 441, 472
1560024726832, 2169902, 379, 440, 475
