Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609103800, 992659, 535, 403, 463
1559609103812, 992672, 535, 404, 463
1559609103824, 992686, 534, 406, 465
1559609103838, 992698, 532, 408, 468
1559609103852, 992711, 530, 409, 469
1559609103864, 992724, 528, 410, 468
1559609103878, 992738, 526, 411, 468
1559609103891, 992750, 525, 414, 471
1559609103904, 992763, 525, 419, 475
1559609103916, 992777, 523, 423, 477
1559609103930, 992790, 522, 425, 478
1559609103944, 992802, 520, 426, 476
1559609103956, 992816, 519, 426, 475
1559609103969, 992829, 520, 427, 474
1559609103982, 992842, 522, 427, 473
1559609103996, 992856, 525, 427, 470
1559609104009, 992868, 519, 427, 460
1559609104021, 992881, 546, 415, 487
1559609104036, 992894, 517, 436, 459
1559609104048, 992908, 518, 424, 461
1559609104060, 992920, 515, 424, 465
1559609104074, 992933, 528, 423, 468
1559609104086, 992947, 540, 428, 464
1559609104099, 992960, 547, 431, 458
1559609104113, 992972, 555, 428, 443
1559609104126, 992986, 551, 418, 448
1559609104140, 992999, 559, 421, 447
1559609104152, 993012, 558, 426, 447
1559609104166, 993025, 537, 434, 451
1559609104178, 993038, 541, 430, 460
1559609104192, 993051, 543, 430, 461
1559609104204, 993064, 543, 434, 461
1559609104217, 993077, 548, 430, 459
1559609104230, 993090, 552, 433, 450
1559609104244, 993103, 560, 429, 444
1559609104257, 993117, 561, 428, 447
1559609104270, 993129, 561, 428, 453
1559609104282, 993142, 527, 451, 464
1559609104297, 993156, 537, 415, 474
1559609104309, 993169, 547, 439, 478
1559609104322, 993182, 551, 434, 470
1559609104336, 993195, 547, 428, 458
1559609104349, 993208, 547, 427, 458
1559609104361, 993221, 545, 428, 461
1559609104375, 993234, 542, 425, 463
1559609104387, 993247, 541, 424, 461
1559609104400, 993260, 541, 423, 456
1559609104413, 993273, 542, 422, 452
1559609104427, 993287, 544, 424, 449
1559609104439, 993299, 543, 424, 452
1559609104453, 993312, 541, 426, 456
1559609104466, 993326, 540, 426, 459
1559609104478, 993339, 540, 426, 461
1559609104492, 993351, 540, 424, 458
1559609104505, 993364, 541, 424, 459
1559609104519, 993378, 541, 426, 457
1559609104531, 993391, 539, 425, 455
1559609104544, 993404, 542, 426, 458
1559609104557, 993417, 541, 426, 458
1559609104571, 993430, 541, 425, 456
1559609104583, 993443, 541, 425, 456
1559609104596, 993457, 542, 425, 454
1559609104609, 993469, 543, 424, 456
1559609104623, 993482, 542, 424, 456
1559609104635, 993496, 543, 425, 458
1559609104649, 993509, 545, 426, 462
1559609104661, 993521, 547, 430, 467
1559609104674, 993534, 546, 430, 469
1559609104688, 993548, 545, 437, 469
1559609104701, 993561, 539, 429, 464
1559609104715, 993573, 527, 429, 468
1559609104727, 993587, 535, 424, 466
1559609104740, 993600, 540, 424, 460
1559609104753, 993613, 548, 412, 458
1559609104766, 993626, 541, 405, 455
1559609104778, 993639, 534, 411, 455
1559609104792, 993652, 534, 415, 464
1559609104806, 993666, 533, 417, 475
1559609104818, 993678, 530, 421, 484
1559609104831, 993691, 525, 421, 488
1559609104845, 993704, 521, 418, 488
1559609104859, 993718, 518, 416, 489
1559609104871, 993731, 517, 413, 489
1559609104884, 993743, 519, 410, 487
1559609104897, 993757, 521, 407, 483
1559609104911, 993770, 525, 403, 476
1559609104924, 993783, 530, 400, 469
1559609104937, 993796, 532, 398, 468
1559609104949, 993809, 531, 398, 474
1559609104962, 993822, 529, 400, 483
1559609104976, 993836, 526, 398, 493
1559609104988, 993848, 523, 394, 496
1559609105001, 993861, 522, 390, 493
1559609105016, 993874, 524, 387, 486
1559609105028, 993888, 527, 384, 486
1559609105040, 993900, 529, 386, 486
1559609105054, 993913, 533, 386, 486
1559609105067, 993927, 536, 387, 489
1559609105080, 993940, 537, 388, 491
1559609105094, 993952, 538, 389, 494
1559609105106, 993966, 537, 391, 498
1559609105120, 993979, 538, 392, 500
1559609105132, 993992, 540, 394, 500
1559609105145, 994006, 541, 395, 498
1559609105158, 994018, 542, 397, 495
1559609105172, 994031, 543, 398, 494
1559609105185, 994044, 544, 399, 494
1559609105198, 994058, 544, 401, 494
1559609105211, 994070, 543, 401, 494
1559609105224, 994083, 542, 400, 491
1559609105238, 994097, 541, 399, 491
1559609105250, 994110, 539, 400, 493
1559609105263, 994122, 540, 402, 496
1559609105276, 994136, 540, 402, 496
1559609105289, 994149, 539, 401, 495
1559609105302, 994162, 538, 400, 496
1559609105315, 994174, 538, 401, 496
1559609105328, 994188, 538, 402, 496
1559609105342, 994201, 538, 403, 497
1559609105354, 994214, 538, 404, 498
1559609105367, 994227, 539, 405, 498
1559609105380, 994240, 539, 404, 495
1559609105394, 994253, 538, 404, 492
1559609105406, 994267, 539, 404, 491
1559609105420, 994279, 539, 405, 490
1559609105433, 994292, 538, 405, 490
1559609105446, 994306, 536, 404, 488
1559609105459, 994319, 535, 404, 486
1559609105473, 994332, 533, 403, 486
1559609105486, 994344, 532, 403, 485
1559609105498, 994358, 532, 403, 485
1559609105511, 994371, 530, 404, 484
1559609105525, 994384, 529, 403, 482
1559609105538, 994397, 528, 402, 481
1559609105550, 994410, 528, 402, 480
1559609105563, 994423, 528, 402, 480
1559609105576, 994437, 528, 402, 480
1559609105590, 994449, 528, 401, 480
1559609105603, 994462, 527, 401, 479
1559609105615, 994476, 525, 401, 480
1559609105629, 994489, 523, 400, 481
1559609105642, 994501, 520, 400, 481
1559609105655, 994514, 519, 399, 480
1559609105668, 994528, 517, 398, 478
