Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609535244, 1428892, 527, 403, 529
1559609535257, 1428904, 527, 402, 527
1559609535271, 1428918, 527, 402, 527
1559609535284, 1428931, 527, 400, 528
1559609535296, 1428944, 528, 399, 528
1559609535309, 1428958, 528, 399, 529
1559609535324, 1428970, 528, 398, 529
1559609535337, 1428983, 528, 398, 529
1559609535349, 1428997, 529, 397, 529
1559609535362, 1429010, 529, 396, 528
1559609535375, 1429023, 530, 396, 528
1559609535388, 1429036, 530, 397, 528
1559609535402, 1429049, 530, 398, 528
1559609535415, 1429062, 530, 398, 528
1559609535429, 1429075, 529, 398, 527
1559609535441, 1429089, 528, 398, 527
1559609535455, 1429101, 527, 398, 527
1559609535468, 1429114, 526, 399, 528
1559609535480, 1429128, 525, 400, 530
1559609535494, 1429141, 524, 401, 532
1559609535506, 1429154, 523, 401, 533
1559609535521, 1429167, 523, 401, 532
1559609535532, 1429180, 522, 401, 532
1559609535546, 1429193, 522, 400, 532
1559609535559, 1429207, 522, 400, 531
1559609535572, 1429220, 523, 400, 531
1559609535585, 1429232, 523, 401, 531
1559609535598, 1429245, 523, 401, 531
1559609535612, 1429259, 524, 401, 530
1559609535625, 1429272, 524, 401, 529
1559609535637, 1429285, 525, 401, 528
1559609535651, 1429298, 525, 400, 528
1559609535663, 1429311, 525, 402, 528
1559609535677, 1429324, 525, 401, 527
1559609535690, 1429338, 526, 399, 530
1559609535704, 1429351, 525, 401, 530
1559609535716, 1429363, 525, 400, 531
1559609535730, 1429377, 525, 400, 531
1559609535742, 1429390, 526, 401, 530
1559609535756, 1429403, 527, 401, 531
1559609535768, 1429416, 528, 401, 531
1559609535781, 1429429, 528, 400, 530
1559609535795, 1429442, 528, 400, 530
1559609535807, 1429455, 529, 400, 530
1559609535822, 1429469, 529, 400, 529
1559609535834, 1429482, 529, 400, 529
1559609535847, 1429494, 530, 401, 530
1559609535861, 1429508, 530, 402, 532
1559609535874, 1429521, 530, 402, 532
1559609535887, 1429534, 530, 401, 532
1559609535899, 1429548, 531, 400, 533
1559609535913, 1429560, 531, 399, 532
1559609535925, 1429573, 532, 398, 530
1559609535939, 1429586, 533, 397, 528
1559609535952, 1429600, 534, 397, 527
1559609535965, 1429613, 534, 398, 527
1559609535979, 1429625, 534, 399, 527
1559609535991, 1429639, 534, 399, 528
1559609536005, 1429652, 533, 399, 529
1559609536018, 1429665, 532, 399, 528
1559609536030, 1429679, 531, 398, 527
1559609536044, 1429691, 531, 398, 527
1559609536056, 1429704, 530, 397, 526
1559609536071, 1429718, 530, 397, 527
1559609536084, 1429731, 530, 398, 528
1559609536096, 1429744, 530, 399, 529
1559609536110, 1429756, 530, 400, 530
1559609536123, 1429770, 529, 400, 530
1559609536137, 1429783, 529, 401, 531
1559609536149, 1429796, 529, 401, 531
1559609536162, 1429810, 529, 401, 532
1559609536175, 1429822, 528, 401, 533
1559609536188, 1429835, 528, 400, 533
1559609536202, 1429849, 527, 401, 534
1559609536214, 1429862, 527, 400, 533
1559609536227, 1429875, 526, 400, 534
1559609536241, 1429888, 525, 399, 534
1559609536253, 1429901, 525, 399, 533
1559609536267, 1429914, 525, 399, 533
1559609536281, 1429927, 524, 399, 532
1559609536292, 1429941, 524, 399, 532
1559609536306, 1429953, 524, 400, 532
1559609536320, 1429966, 524, 400, 532
1559609536332, 1429980, 524, 400, 532
1559609536345, 1429993, 524, 401, 532
1559609536358, 1430006, 523, 401, 532
1559609536372, 1430019, 523, 400, 531
1559609536385, 1430032, 523, 400, 532
1559609536397, 1430045, 523, 400, 532
1559609536410, 1430059, 523, 401, 533
1559609536425, 1430072, 523, 401, 534
1559609536437, 1430084, 523, 401, 534
1559609536451, 1430097, 524, 401, 534
1559609536463, 1430111, 524, 400, 534
1559609536476, 1430124, 525, 400, 534
1559609536489, 1430137, 525, 399, 534
1559609536504, 1430150, 526, 401, 534
1559609536515, 1430163, 526, 401, 534
1559609536528, 1430176, 525, 400, 534
1559609536542, 1430190, 525, 400, 534
1559609536555, 1430203, 525, 400, 535
1559609536569, 1430215, 525, 401, 536
1559609536581, 1430228, 524, 401, 537
1559609536594, 1430242, 523, 400, 536
1559609536607, 1430255, 523, 400, 536
1559609536621, 1430268, 523, 400, 536
1559609536633, 1430281, 523, 400, 536
1559609536647, 1430294, 524, 400, 536
1559609536661, 1430307, 523, 400, 536
1559609536673, 1430321, 523, 400, 536
1559609536686, 1430334, 523, 400, 536
1559609536699, 1430346, 523, 400, 536
1559609536712, 1430360, 522, 399, 536
1559609536726, 1430373, 522, 399, 537
1559609536739, 1430386, 522, 400, 536
1559609536752, 1430400, 522, 401, 536
1559609536764, 1430412, 523, 401, 536
1559609536777, 1430425, 522, 401, 536
1559609536791, 1430438, 523, 401, 536
1559609536804, 1430452, 522, 401, 536
1559609536818, 1430465, 522, 401, 536
1559609536831, 1430477, 523, 401, 535
1559609536843, 1430491, 523, 401, 535
1559609536857, 1430504, 523, 400, 534
1559609536870, 1430517, 523, 399, 534
1559609536883, 1430531, 523, 398, 534
1559609536896, 1430543, 522, 397, 534
1559609536909, 1430556, 522, 397, 535
1559609536922, 1430569, 522, 397, 535
1559609536936, 1430583, 522, 398, 535
1559609536948, 1430596, 522, 399, 534
1559609536962, 1430608, 522, 398, 534
1559609536974, 1430622, 522, 398, 534
1559609536989, 1430635, 521, 398, 534
1559609537001, 1430648, 522, 399, 535
1559609537014, 1430662, 522, 401, 535
1559609537026, 1430674, 522, 402, 535
1559609537040, 1430687, 522, 403, 536
1559609537053, 1430701, 522, 402, 536
1559609537067, 1430714, 520, 400, 536
1559609537080, 1430727, 520, 399, 538
1559609537093, 1430739, 519, 399, 539
1559609537106, 1430753, 519, 400, 540
1559609537119, 1430766, 519, 400, 541
1559609537132, 1430779, 520, 400, 542
1559609537145, 1430793, 520, 401, 541
1559609537159, 1430805, 521, 401, 541
1559609537172, 1430818, 521, 401, 540
1559609537184, 1430832, 521, 402, 540
1559609537197, 1430845, 521, 403, 540
1559609537212, 1430858, 521, 404, 539
1559609537224, 1430871, 521, 403, 539
1559609537237, 1430884, 521, 403, 539
1559609537250, 1430897, 520, 403, 539
1559609537263, 1430910, 520, 404, 541
1559609537276, 1430924, 520, 406, 542
1559609537290, 1430936, 520, 406, 542
1559609537303, 1430949, 520, 405, 543
1559609537316, 1430963, 519, 404, 543
1559609537329, 1430976, 519, 404, 543
1559609537344, 1430989, 519, 403, 542
1559609537354, 1431002, 520, 403, 541
1559609537368, 1431015, 521, 403, 541
1559609537380, 1431028, 522, 404, 542
