Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559516705910, 312840, 535, 418, 466
1559516705922, 312853, 536, 417, 465
1559516705936, 312866, 538, 417, 462
1559516705948, 312879, 539, 417, 459
1559516705961, 312892, 539, 417, 458
1559516705974, 312905, 538, 418, 460
1559516705988, 312919, 537, 418, 464
1559516706001, 312931, 536, 419, 467
1559516706013, 312944, 535, 418, 468
1559516706026, 312957, 535, 418, 467
1559516706040, 312971, 536, 418, 465
1559516706053, 312983, 538, 417, 462
1559516706065, 312996, 539, 417, 458
1559516706078, 313010, 539, 418, 458
1559516706092, 313023, 538, 418, 461
1559516706106, 313036, 537, 418, 463
1559516706118, 313049, 536, 418, 465
1559516706132, 313062, 535, 418, 466
1559516706144, 313075, 536, 417, 465
1559516706158, 313089, 536, 417, 463
1559516706170, 313101, 537, 417, 461
1559516706184, 313114, 538, 417, 459
1559516706197, 313127, 538, 417, 460
1559516706209, 313141, 537, 417, 462
1559516706223, 313153, 536, 417, 464
1559516706236, 313166, 534, 417, 466
1559516706249, 313180, 534, 417, 466
1559516706261, 313193, 535, 416, 465
1559516706275, 313205, 536, 416, 462
1559516706287, 313219, 537, 416, 460
1559516706301, 313232, 538, 416, 459
1559516706315, 313245, 537, 417, 460
1559516706327, 313257, 536, 417, 462
1559516706340, 313271, 535, 417, 465
1559516706354, 313284, 534, 417, 467
1559516706366, 313297, 534, 417, 467
1559516706380, 313310, 535, 417, 465
1559516706394, 313323, 536, 417, 462
1559516706405, 313336, 537, 416, 461
1559516706419, 313350, 537, 416, 460
1559516706433, 313363, 536, 417, 461
1559516706445, 313375, 535, 417, 463
1559516706458, 313389, 535, 417, 467
1559516706471, 313402, 534, 417, 469
1559516706483, 313415, 535, 417, 469
1559516706498, 313427, 535, 416, 466
1559516706511, 313441, 537, 416, 462
1559516706523, 313454, 539, 415, 457
1559516706537, 313467, 539, 416, 456
1559516706549, 313480, 538, 417, 460
1559516706563, 313493, 536, 418, 464
1559516706575, 313506, 535, 418, 467
1559516706589, 313520, 534, 418, 469
1559516706602, 313532, 534, 418, 468
1559516706615, 313545, 535, 417, 465
1559516706628, 313559, 537, 417, 461
1559516706641, 313572, 538, 416, 458
1559516706655, 313584, 537, 417, 457
1559516706667, 313597, 536, 417, 460
1559516706679, 313611, 535, 418, 464
1559516706693, 313624, 535, 418, 466
1559516706707, 313636, 535, 417, 467
1559516706719, 313650, 536, 417, 465
1559516706732, 313663, 538, 416, 464
1559516706745, 313676, 538, 416, 462
