Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609060400, 949261, 551, 459, 605
1559609060412, 949274, 552, 461, 608
1559609060425, 949287, 552, 461, 608
1559609060439, 949300, 552, 461, 605
1559609060452, 949313, 553, 458, 602
1559609060466, 949326, 553, 456, 597
1559609060478, 949340, 552, 456, 592
1559609060491, 949352, 552, 457, 589
1559609060505, 949365, 553, 458, 588
1559609060517, 949379, 555, 461, 589
1559609060531, 949392, 557, 464, 593
1559609060544, 949405, 559, 464, 598
1559609060557, 949417, 562, 465, 601
1559609060569, 949431, 564, 465, 599
1559609060583, 949444, 565, 464, 598
1559609060596, 949457, 564, 463, 596
1559609060609, 949470, 564, 463, 595
1559609060621, 949483, 562, 463, 596
1559609060635, 949496, 560, 464, 596
1559609060647, 949510, 559, 464, 596
1559609060661, 949522, 559, 463, 596
1559609060675, 949535, 560, 464, 596
1559609060687, 949549, 560, 465, 595
1559609060700, 949562, 561, 464, 594
1559609060713, 949574, 562, 465, 595
1559609060727, 949587, 563, 466, 595
1559609060739, 949601, 562, 466, 596
1559609060753, 949614, 563, 467, 598
1559609060766, 949627, 562, 467, 600
1559609060778, 949640, 562, 467, 602
1559609060792, 949653, 564, 468, 604
1559609060805, 949666, 566, 469, 605
1559609060819, 949680, 566, 470, 605
1559609060830, 949692, 566, 470, 604
1559609060844, 949705, 565, 470, 602
1559609060858, 949719, 563, 470, 600
1559609060870, 949732, 562, 472, 599
1559609060883, 949744, 560, 473, 598
1559609060895, 949757, 558, 473, 598
1559609060910, 949771, 557, 473, 597
1559609060922, 949784, 555, 473, 596
1559609060935, 949796, 554, 472, 596
1559609060948, 949810, 553, 473, 597
1559609060963, 949823, 552, 472, 597
1559609060974, 949836, 552, 471, 597
1559609060988, 949849, 552, 470, 599
1559609061000, 949862, 554, 470, 601
1559609061014, 949875, 557, 470, 602
1559609061028, 949889, 559, 471, 601
1559609061040, 949902, 561, 470, 601
1559609061053, 949914, 561, 470, 599
1559609061067, 949927, 561, 470, 598
1559609061080, 949941, 560, 469, 597
1559609061092, 949954, 558, 469, 596
1559609061106, 949966, 558, 467, 595
1559609061118, 949980, 557, 467, 593
1559609061131, 949993, 556, 466, 591
1559609061145, 950006, 554, 464, 588
1559609061158, 950019, 553, 462, 585
1559609061170, 950032, 553, 461, 584
1559609061184, 950045, 553, 461, 583
