Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609906868, 1800502, 535, 411, 471
1559609906880, 1800515, 536, 411, 470
1559609906894, 1800528, 535, 411, 470
1559609906906, 1800542, 535, 411, 471
1559609906921, 1800555, 534, 412, 473
1559609906933, 1800567, 533, 412, 475
1559609906946, 1800581, 532, 413, 477
1559609906958, 1800594, 532, 413, 477
1559609906973, 1800607, 533, 411, 476
1559609906985, 1800621, 535, 410, 474
1559609906998, 1800633, 536, 409, 471
1559609907010, 1800646, 536, 408, 470
1559609907025, 1800659, 536, 409, 471
1559609907039, 1800673, 535, 410, 473
1559609907051, 1800686, 534, 412, 476
1559609907064, 1800698, 533, 412, 477
1559609907077, 1800712, 533, 411, 476
1559609907090, 1800725, 534, 411, 474
1559609907104, 1800738, 534, 410, 472
1559609907117, 1800752, 535, 410, 470
1559609907129, 1800764, 535, 411, 470
1559609907142, 1800777, 534, 411, 472
1559609907156, 1800791, 533, 412, 473
1559609907168, 1800804, 532, 412, 474
1559609907181, 1800817, 532, 412, 473
1559609907195, 1800829, 533, 411, 472
1559609907208, 1800843, 534, 411, 471
1559609907222, 1800856, 535, 411, 471
1559609907234, 1800869, 535, 411, 472
1559609907248, 1800883, 535, 412, 473
1559609907260, 1800895, 534, 412, 474
1559609907276, 1800908, 534, 411, 473
1559609907287, 1800922, 534, 411, 473
1559609907299, 1800935, 534, 411, 472
1559609907313, 1800948, 534, 411, 472
1559609907326, 1800961, 535, 410, 471
1559609907341, 1800974, 535, 410, 470
1559609907351, 1800987, 534, 411, 471
1559609907365, 1801000, 534, 412, 473
1559609907379, 1801014, 533, 412, 475
1559609907392, 1801026, 533, 412, 476
1559609907404, 1801039, 533, 411, 475
1559609907418, 1801053, 534, 411, 473
1559609907432, 1801066, 535, 410, 472
1559609907444, 1801079, 536, 410, 471
1559609907457, 1801092, 535, 410, 472
1559609907471, 1801105, 534, 411, 473
1559609907484, 1801118, 533, 411, 475
1559609907496, 1801132, 533, 411, 476
1559609907509, 1801145, 534, 411, 476
1559609907522, 1801157, 534, 411, 474
1559609907536, 1801170, 534, 411, 473
1559609907548, 1801184, 534, 410, 473
1559609907563, 1801197, 534, 411, 473
1559609907576, 1801210, 533, 411, 474
1559609907589, 1801223, 533, 411, 475
1559609907601, 1801236, 533, 412, 475
1559609907614, 1801249, 533, 412, 475
1559609907628, 1801263, 534, 412, 475
1559609907641, 1801276, 534, 411, 475
1559609907654, 1801288, 535, 411, 475
1559609907667, 1801302, 535, 410, 474
1559609907681, 1801315, 535, 410, 473
1559609907693, 1801328, 536, 409, 472
1559609907707, 1801341, 535, 409, 471
1559609907720, 1801354, 535, 409, 471
1559609907732, 1801367, 535, 409, 472
1559609907745, 1801380, 535, 410, 473
1559609907758, 1801394, 534, 410, 474
1559609907772, 1801407, 534, 410, 475
1559609907785, 1801419, 534, 410, 474
1559609907797, 1801433, 535, 410, 474
1559609907811, 1801446, 535, 411, 474
1559609907824, 1801459, 534, 411, 474
1559609907837, 1801473, 534, 411, 474
1559609907851, 1801485, 534, 411, 473
1559609907863, 1801498, 534, 410, 472
1559609907877, 1801511, 534, 410, 471
1559609907890, 1801525, 534, 410, 471
1559609907902, 1801538, 533, 411, 473
1559609907916, 1801550, 533, 411, 474
1559609907929, 1801564, 533, 411, 476
1559609907942, 1801577, 534, 410, 475
1559609907956, 1801590, 535, 410, 474
1559609907968, 1801604, 535, 409, 473
1559609907981, 1801616, 536, 410, 473
1559609907995, 1801629, 536, 409, 473
1559609908007, 1801643, 535, 410, 474
1559609908021, 1801656, 535, 410, 475
1559609908034, 1801669, 534, 410, 476
1559609908046, 1801681, 534, 410, 476
1559609908060, 1801695, 534, 411, 476
1559609908074, 1801708, 535, 410, 476
1559609908087, 1801721, 535, 410, 474
1559609908099, 1801735, 536, 410, 473
1559609908112, 1801747, 536, 410, 473
1559609908127, 1801760, 535, 410, 474
1559609908138, 1801774, 534, 411, 475
1559609908152, 1801787, 533, 411, 476
1559609908164, 1801800, 533, 411, 477
1559609908179, 1801812, 534, 410, 476
1559609908191, 1801826, 534, 410, 475
1559609908205, 1801839, 535, 410, 474
1559609908217, 1801852, 535, 410, 474
1559609908231, 1801866, 534, 410, 474
1559609908243, 1801878, 534, 411, 475
1559609908257, 1801891, 533, 411, 476
1559609908269, 1801905, 532, 411, 477
1559609908283, 1801918, 533, 411, 476
1559609908296, 1801931, 534, 410, 476
1559609908309, 1801944, 535, 410, 475
1559609908324, 1801957, 536, 409, 475
1559609908335, 1801970, 537, 410, 475
1559609908348, 1801984, 537, 410, 475
1559609908361, 1801997, 536, 410, 475
1559609908375, 1802009, 535, 411, 476
1559609908388, 1802022, 534, 411, 477
1559609908401, 1802036, 534, 410, 478
1559609908414, 1802049, 534, 410, 477
1559609908428, 1802062, 534, 409, 476
1559609908441, 1802075, 535, 409, 474
1559609908454, 1802088, 535, 409, 474
1559609908466, 1802101, 535, 409, 474
1559609908480, 1802115, 535, 410, 476
1559609908493, 1802128, 534, 410, 477
1559609908505, 1802140, 533, 410, 477
1559609908518, 1802153, 533, 410, 477
1559609908533, 1802167, 534, 409, 476
1559609908544, 1802180, 535, 409, 474
1559609908558, 1802193, 535, 408, 473
1559609908572, 1802206, 535, 409, 473
1559609908584, 1802219, 535, 409, 474
1559609908597, 1802232, 534, 410, 475
1559609908609, 1802246, 534, 410, 477
1559609908625, 1802259, 533, 410, 477
1559609908638, 1802271, 533, 409, 476
1559609908649, 1802285, 534, 409, 475
1559609908663, 1802298, 535, 409, 473
1559609908678, 1802311, 535, 409, 473
1559609908690, 1802324, 535, 409, 473
1559609908703, 1802337, 534, 410, 475
1559609908715, 1802350, 534, 410, 476
1559609908728, 1802363, 534, 411, 477
1559609908742, 1802377, 535, 410, 476
1559609908754, 1802390, 536, 410, 474
1559609908767, 1802402, 536, 410, 473
1559609908781, 1802416, 536, 410, 474
1559609908795, 1802429, 536, 410, 474
1559609908807, 1802442, 535, 410, 475
1559609908821, 1802456, 534, 410, 476
1559609908833, 1802468, 534, 410, 476
1559609908846, 1802481, 535, 410, 476
1559609908859, 1802494, 536, 409, 475
1559609908873, 1802508, 537, 409, 475
1559609908887, 1802521, 537, 409, 474
1559609908899, 1802533, 536, 410, 476
1559609908912, 1802547, 535, 410, 477
1559609908925, 1802560, 535, 410, 477
1559609908938, 1802573, 534, 410, 477
1559609908950, 1802587, 534, 410, 477
1559609908965, 1802599, 536, 409, 475
1559609908978, 1802612, 536, 410, 474
1559609908990, 1802626, 536, 410, 475
1559609909004, 1802639, 535, 411, 477
1559609909018, 1802652, 535, 411, 477
1559609909030, 1802664, 535, 410, 477
1559609909042, 1802678, 534, 409, 476
1559609909055, 1802691, 535, 408, 474
1559609909069, 1802704, 536, 408, 473
1559609909082, 1802717, 536, 409, 474
1559609909095, 1802730, 536, 410, 475
1559609909109, 1802743, 536, 410, 476
1559609909122, 1802757, 535, 410, 477
1559609909135, 1802770, 535, 410, 477
1559609909148, 1802783, 535, 410, 477
1559609909161, 1802796, 535, 409, 476
1559609909175, 1802809, 535, 409, 475
1559609909187, 1802822, 535, 409, 474
1559609909201, 1802835, 535, 410, 474
1559609909212, 1802848, 534, 410, 475
1559609909227, 1802861, 534, 410, 477
1559609909240, 1802874, 533, 410, 477
1559609909253, 1802888, 534, 409, 476
1559609909265, 1802901, 534, 409, 475
1559609909279, 1802913, 535, 409, 474
1559609909292, 1802927, 536, 409, 474
1559609909306, 1802940, 535, 409, 475
1559609909318, 1802953, 535, 410, 476
1559609909332, 1802967, 535, 410, 477
1559609909345, 1802979, 535, 409, 478
1559609909358, 1802992, 536, 409, 477
1559609909372, 1803005, 537, 409, 476
1559609909384, 1803019, 537, 409, 474
1559609909396, 1803032, 538, 409, 474
1559609909410, 1803044, 537, 409, 475
1559609909424, 1803058, 536, 410, 476
1559609909436, 1803071, 535, 410, 477
1559609909449, 1803084, 534, 410, 478
1559609909462, 1803098, 535, 410, 477
1559609909476, 1803110, 536, 409, 475
1559609909489, 1803123, 536, 409, 474
1559609909502, 1803137, 536, 409, 473
1559609909515, 1803150, 536, 410, 474
1559609909528, 1803163, 535, 410, 476
1559609909542, 1803175, 534, 410, 476
1559609909555, 1803189, 534, 410, 477
1559609909567, 1803202, 535, 410, 476
1559609909581, 1803215, 535, 410, 475
