Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559610114808, 2008436, 533, 411, 472
1559610114823, 2008450, 533, 412, 473
1559610114835, 2008462, 533, 412, 474
1559610114847, 2008475, 532, 412, 474
1559610114860, 2008488, 532, 412, 474
1559610114875, 2008502, 533, 411, 473
1559610114888, 2008515, 533, 411, 472
1559610114900, 2008527, 533, 411, 471
1559610114914, 2008541, 533, 411, 471
1559610114927, 2008554, 533, 411, 471
1559610114939, 2008567, 532, 412, 472
1559610114952, 2008581, 532, 412, 473
1559610114966, 2008593, 531, 411, 474
1559610114979, 2008606, 530, 410, 473
1559610114992, 2008620, 531, 410, 472
1559610115005, 2008633, 532, 410, 471
1559610115018, 2008646, 532, 409, 469
1559610115031, 2008658, 532, 409, 469
1559610115045, 2008672, 531, 409, 469
1559610115058, 2008685, 531, 410, 470
1559610115070, 2008698, 529, 410, 471
1559610115084, 2008712, 527, 410, 471
1559610115096, 2008724, 525, 410, 472
1559610115109, 2008737, 526, 410, 474
1559610115124, 2008751, 527, 410, 473
1559610115136, 2008764, 528, 409, 472
1559610115150, 2008777, 528, 409, 472
1559610115162, 2008790, 530, 410, 472
1559610115176, 2008803, 531, 411, 474
1559610115189, 2008816, 533, 411, 474
1559610115201, 2008829, 533, 411, 473
1559610115216, 2008843, 534, 411, 472
1559610115228, 2008855, 534, 410, 471
1559610115241, 2008868, 533, 410, 470
1559610115254, 2008882, 532, 410, 471
1559610115268, 2008895, 532, 411, 471
1559610115280, 2008908, 532, 411, 471
1559610115293, 2008921, 533, 412, 473
1559610115308, 2008934, 534, 412, 474
1559610115319, 2008947, 534, 413, 475
1559610115333, 2008961, 535, 413, 475
1559610115345, 2008974, 535, 412, 473
1559610115359, 2008986, 536, 411, 470
1559610115372, 2008999, 536, 411, 469
1559610115386, 2009013, 535, 412, 471
1559610115398, 2009026, 534, 413, 473
1559610115411, 2009039, 533, 413, 475
1559610115424, 2009052, 533, 413, 475
1559610115438, 2009065, 532, 413, 475
1559610115450, 2009078, 533, 412, 474
1559610115464, 2009092, 533, 411, 471
1559610115476, 2009105, 533, 411, 470
1559610115490, 2009117, 533, 411, 469
1559610115503, 2009131, 532, 411, 469
1559610115516, 2009144, 530, 411, 471
1559610115529, 2009157, 529, 411, 473
1559610115542, 2009170, 529, 411, 473
1559610115555, 2009183, 529, 411, 473
1559610115570, 2009196, 529, 411, 472
1559610115581, 2009209, 529, 410, 471
1559610115595, 2009223, 529, 410, 469
1559610115608, 2009236, 529, 410, 469
1559610115622, 2009248, 529, 411, 469
1559610115634, 2009262, 528, 411, 471
1559610115648, 2009275, 528, 411, 473
1559610115660, 2009288, 528, 411, 473
1559610115674, 2009302, 529, 410, 472
1559610115687, 2009314, 529, 410, 471
1559610115701, 2009327, 530, 410, 469
1559610115712, 2009340, 529, 410, 470
1559610115726, 2009354, 529, 411, 473
1559610115740, 2009367, 529, 411, 474
1559610115753, 2009379, 530, 411, 475
1559610115766, 2009393, 530, 411, 474
1559610115778, 2009406, 531, 410, 472
1559610115792, 2009419, 532, 410, 470
1559610115804, 2009433, 533, 410, 469
1559610115818, 2009445, 533, 411, 469
1559610115830, 2009458, 532, 411, 470
1559610115843, 2009472, 532, 412, 472
1559610115857, 2009485, 531, 412, 474
1559610115870, 2009498, 531, 412, 474
1559610115884, 2009510, 531, 412, 474
1559610115896, 2009524, 531, 412, 473
1559610115910, 2009537, 532, 411, 472
1559610115923, 2009550, 533, 411, 470
1559610115936, 2009564, 533, 411, 470
1559610115948, 2009576, 532, 412, 472
1559610115962, 2009589, 532, 412, 473
1559610115976, 2009603, 531, 413, 475
1559610115988, 2009616, 532, 412, 473
1559610116002, 2009629, 533, 411, 471
1559610116014, 2009641, 534, 410, 468
1559610116027, 2009655, 534, 411, 468
1559610116041, 2009668, 533, 411, 470
1559610116054, 2009681, 532, 412, 472
1559610116067, 2009695, 531, 413, 474
1559610116080, 2009707, 530, 413, 474
1559610116092, 2009720, 530, 412, 473
1559610116106, 2009734, 530, 411, 471
1559610116119, 2009747, 531, 411, 469
1559610116132, 2009760, 531, 411, 468
1559610116145, 2009773, 531, 411, 469
1559610116159, 2009786, 530, 411, 471
1559610116172, 2009799, 530, 412, 473
1559610116184, 2009812, 529, 411, 474
1559610116198, 2009826, 529, 411, 473
1559610116211, 2009838, 529, 410, 471
1559610116223, 2009851, 530, 410, 470
1559610116237, 2009865, 530, 410, 469
1559610116250, 2009878, 530, 411, 471
1559610116264, 2009891, 530, 411, 473
1559610116276, 2009904, 529, 411, 474
1559610116290, 2009917, 529, 411, 475
1559610116303, 2009930, 530, 411, 473
1559610116315, 2009944, 530, 410, 472
1559610116329, 2009957, 532, 410, 471
1559610116342, 2009969, 533, 411, 471
1559610116355, 2009982, 532, 411, 471
1559610116368, 2009996, 532, 412, 473
1559610116382, 2010009, 531, 412, 474
1559610116395, 2010022, 531, 412, 475
1559610116407, 2010035, 531, 412, 475
1559610116422, 2010048, 533, 411, 474
1559610116434, 2010061, 534, 410, 472
1559610116447, 2010075, 534, 410, 470
