Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559609775895, 1669535, 506, 452, 601
1559609775908, 1669548, 506, 452, 601
1559609775922, 1669561, 506, 451, 600
1559609775935, 1669574, 506, 451, 599
1559609775948, 1669587, 506, 450, 600
1559609775962, 1669601, 506, 450, 599
1559609775975, 1669613, 506, 451, 600
1559609775987, 1669626, 505, 452, 600
1559609776000, 1669640, 505, 452, 600
1559609776014, 1669653, 506, 453, 601
1559609776026, 1669666, 507, 452, 601
1559609776039, 1669679, 507, 451, 601
1559609776054, 1669692, 507, 451, 600
1559609776067, 1669705, 506, 451, 600
1559609776079, 1669719, 505, 451, 600
1559609776093, 1669732, 504, 452, 601
1559609776105, 1669744, 505, 452, 601
1559609776119, 1669757, 505, 451, 601
1559609776131, 1669771, 505, 451, 600
1559609776145, 1669784, 505, 450, 600
1559609776158, 1669797, 505, 450, 600
1559609776171, 1669810, 506, 450, 600
1559609776184, 1669823, 506, 450, 599
1559609776196, 1669836, 506, 450, 600
1559609776210, 1669850, 506, 450, 600
1559609776224, 1669863, 507, 451, 601
1559609776236, 1669875, 506, 450, 600
1559609776250, 1669889, 506, 450, 601
1559609776263, 1669902, 507, 450, 601
1559609776275, 1669915, 507, 450, 600
1559609776289, 1669927, 507, 450, 601
1559609776301, 1669941, 506, 450, 600
1559609776315, 1669954, 506, 450, 601
1559609776328, 1669967, 506, 450, 601
1559609776342, 1669981, 506, 450, 600
1559609776354, 1669993, 506, 451, 600
1559609776368, 1670006, 506, 451, 600
1559609776381, 1670020, 506, 451, 600
1559609776394, 1670033, 506, 451, 600
1559609776406, 1670046, 505, 451, 600
1559609776419, 1670059, 505, 451, 600
1559609776432, 1670072, 505, 451, 600
1559609776447, 1670085, 505, 451, 600
1559609776459, 1670098, 505, 451, 600
1559609776472, 1670112, 506, 452, 601
1559609776485, 1670124, 506, 452, 602
1559609776499, 1670137, 506, 452, 601
1559609776512, 1670151, 506, 451, 601
1559609776524, 1670164, 506, 451, 601
1559609776539, 1670177, 506, 451, 601
1559609776550, 1670190, 506, 450, 600
1559609776564, 1670203, 506, 451, 600
1559609776578, 1670216, 506, 451, 600
1559609776591, 1670230, 507, 451, 600
1559609776604, 1670243, 507, 451, 600
1559609776617, 1670255, 507, 451, 600
1559609776630, 1670268, 507, 450, 599
1559609776643, 1670282, 507, 450, 599
1559609776656, 1670295, 506, 451, 600
1559609776668, 1670308, 506, 451, 600
1559609776682, 1670321, 506, 451, 601
1559609776695, 1670334, 506, 452, 601
1559609776709, 1670347, 505, 452, 601
1559609776721, 1670361, 505, 452, 601
1559609776734, 1670374, 505, 451, 601
1559609776748, 1670386, 505, 451, 600
1559609776761, 1670400, 505, 449, 600
1559609776774, 1670413, 505, 449, 600
1559609776786, 1670426, 505, 450, 600
1559609776800, 1670439, 505, 450, 600
1559609776813, 1670452, 505, 450, 601
1559609776827, 1670465, 505, 450, 600
1559609776839, 1670478, 506, 450, 600
1559609776853, 1670492, 506, 449, 600
1559609776866, 1670505, 506, 449, 600
1559609776878, 1670517, 506, 449, 599
1559609776892, 1670531, 506, 449, 600
1559609776905, 1670544, 506, 449, 599
1559609776918, 1670557, 506, 449, 600
1559609776930, 1670571, 506, 449, 600
1559609776944, 1670583, 506, 450, 600
1559609776958, 1670596, 506, 450, 600
1559609776970, 1670609, 506, 450, 601
1559609776983, 1670623, 506, 450, 600
1559609776996, 1670636, 505, 450, 600
1559609777010, 1670648, 505, 450, 601
1559609777023, 1670662, 506, 451, 601
1559609777036, 1670675, 506, 451, 601
1559609777048, 1670688, 506, 450, 600
1559609777061, 1670702, 506, 450, 600
1559609777075, 1670714, 506, 450, 600
1559609777088, 1670727, 506, 450, 600
1559609777102, 1670740, 506, 451, 600
1559609777114, 1670754, 506, 451, 600
1559609777127, 1670767, 506, 451, 600
1559609777141, 1670779, 506, 451, 600
1559609777154, 1670793, 506, 452, 600
1559609777166, 1670806, 506, 452, 601
1559609777180, 1670819, 506, 452, 601
1559609777194, 1670833, 506, 451, 600
1559609777206, 1670845, 506, 451, 600
1559609777219, 1670858, 505, 450, 600
1559609777232, 1670872, 505, 451, 600
1559609777246, 1670885, 505, 452, 600
1559609777258, 1670898, 505, 452, 601
1559609777273, 1670910, 505, 452, 601
1559609777285, 1670924, 505, 451, 600
1559609777297, 1670937, 505, 451, 599
1559609777310, 1670950, 506, 450, 599
1559609777324, 1670964, 506, 450, 599
1559609777338, 1670976, 506, 450, 600
1559609777350, 1670989, 506, 451, 600
1559609777363, 1671003, 506, 452, 600
1559609777377, 1671016, 506, 452, 601
1559609777390, 1671029, 506, 452, 600
1559609777402, 1671042, 506, 451, 600
1559609777415, 1671055, 506, 450, 599
1559609777429, 1671068, 505, 449, 599
1559609777442, 1671081, 504, 450, 599
1559609777455, 1671095, 504, 449, 599
1559609777468, 1671107, 503, 450, 600
1559609777482, 1671120, 503, 450, 600
1559609777494, 1671134, 503, 450, 600
1559609777507, 1671147, 504, 450, 600
1559609777522, 1671160, 504, 450, 600
1559609777533, 1671173, 504, 449, 600
1559609777547, 1671186, 505, 449, 599
1559609777561, 1671199, 505, 449, 599
1559609777573, 1671213, 506, 450, 599
1559609777586, 1671226, 506, 450, 600
1559609777599, 1671238, 506, 451, 600
1559609777613, 1671251, 507, 451, 600
1559609777626, 1671265, 506, 450, 600
1559609777638, 1671278, 506, 450, 600
1559609777653, 1671291, 506, 450, 600
1559609777665, 1671304, 505, 450, 600
1559609777678, 1671317, 505, 451, 600
1559609777691, 1671330, 505, 451, 601
1559609777705, 1671344, 505, 451, 601
1559609777717, 1671357, 505, 451, 601
1559609777730, 1671369, 505, 451, 600
1559609777744, 1671383, 505, 451, 600
1559609777757, 1671396, 505, 451, 600
1559609777771, 1671409, 506, 451, 600
1559609777783, 1671421, 506, 451, 600
1559609777795, 1671435, 506, 452, 601
1559609777809, 1671448, 506, 452, 601
1559609777823, 1671461, 506, 452, 601
1559609777835, 1671475, 505, 451, 600
1559609777848, 1671487, 506, 451, 600
1559609777861, 1671500, 506, 451, 600
1559609777874, 1671514, 506, 451, 601
1559609777888, 1671527, 506, 450, 601
1559609777900, 1671540, 506, 451, 601
1559609777913, 1671553, 505, 451, 601
1559609777927, 1671566, 506, 451, 601
1559609777940, 1671579, 505, 451, 601
1559609777953, 1671592, 505, 450, 600
1559609777966, 1671606, 505, 450, 600
1559609777980, 1671618, 505, 449, 599
1559609777993, 1671631, 506, 449, 600
1559609778005, 1671645, 506, 450, 600
1559609778019, 1671658, 506, 451, 600
1559609778032, 1671671, 506, 451, 600
1559609778045, 1671684, 505, 450, 600
1559609778057, 1671697, 506, 450, 600
1559609778071, 1671710, 506, 450, 600
1559609778085, 1671724, 506, 450, 600
1559609778097, 1671737, 506, 450, 600
1559609778110, 1671749, 506, 451, 601
1559609778125, 1671762, 506, 451, 601
1559609778138, 1671776, 506, 451, 601
1559609778150, 1671789, 506, 451, 600
1559609778162, 1671802, 506, 451, 600
1559609778176, 1671815, 506, 450, 600
1559609778189, 1671828, 505, 450, 600
1559609778203, 1671841, 505, 450, 600
1559609778215, 1671855, 505, 450, 600
1559609778228, 1671868, 504, 451, 600
1559609778241, 1671880, 505, 451, 600
1559609778255, 1671894, 505, 452, 601
1559609778269, 1671907, 505, 452, 601
1559609778280, 1671920, 505, 452, 601
1559609778294, 1671933, 505, 451, 600
1559609778306, 1671946, 505, 451, 600
1559609778321, 1671959, 506, 451, 600
1559609778334, 1671972, 506, 451, 600
1559609778347, 1671986, 506, 451, 601
1559609778359, 1671999, 506, 452, 601
1559609778373, 1672011, 506, 453, 601
1559609778385, 1672025, 506, 453, 602
1559609778399, 1672038, 506, 452, 601
1559609778411, 1672051, 505, 452, 600
1559609778425, 1672065, 505, 451, 600
1559609778438, 1672077, 505, 451, 599
1559609778451, 1672090, 505, 451, 600
1559609778464, 1672103, 505, 451, 600
1559609778478, 1672117, 505, 452, 600
1559609778490, 1672130, 504, 452, 601
1559609778503, 1672142, 504, 451, 601
1559609778517, 1672156, 504, 450, 600
1559609778529, 1672169, 504, 450, 600
1559609778543, 1672182, 505, 450, 600
1559609778555, 1672196, 506, 451, 601
1559609778570, 1672208, 506, 452, 602
1559609778582, 1672221, 508, 455, 605
1559609778595, 1672235, 511, 455, 603
1559609778609, 1672248, 508, 454, 600
1559609778621, 1672261, 505, 450, 601
1559609778634, 1672273, 505, 448, 599
1559609778647, 1672287, 505, 447, 597
