Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023239294, 682382, 391, 464, 551
1560023239307, 682395, 395, 462, 552
1560023239320, 682408, 399, 463, 550
1560023239332, 682420, 400, 464, 547
1560023239346, 682433, 398, 462, 546
1560023239359, 682446, 398, 463, 546
1560023239371, 682458, 397, 464, 546
1560023239383, 682471, 396, 462, 545
1560023239396, 682484, 393, 463, 547
1560023239409, 682497, 393, 464, 551
1560023239422, 682509, 394, 464, 549
1560023239434, 682522, 398, 462, 548
1560023239446, 682535, 398, 463, 546
1560023239460, 682547, 395, 461, 544
1560023239472, 682560, 396, 460, 547
1560023239485, 682573, 394, 462, 549
1560023239497, 682585, 394, 462, 548
1560023239511, 682598, 394, 461, 550
1560023239523, 682611, 394, 464, 550
1560023239537, 682624, 395, 462, 547
1560023239548, 682636, 394, 462, 547
1560023239562, 682649, 394, 460, 544
1560023239574, 682662, 397, 461, 543
1560023239587, 682674, 397, 462, 545
1560023239599, 682687, 392, 464, 546
1560023239612, 682700, 390, 461, 548
1560023239624, 682712, 393, 464, 548
1560023239638, 682725, 397, 466, 548
1560023239651, 682738, 396, 463, 548
1560023239662, 682750, 395, 464, 544
1560023239675, 682763, 395, 464, 545
1560023239688, 682776, 396, 464, 545
1560023239701, 682789, 393, 464, 546
1560023239713, 682801, 393, 463, 544
1560023239726, 682814, 394, 463, 547
1560023239739, 682827, 395, 464, 548
1560023239751, 682839, 396, 463, 547
1560023239765, 682852, 395, 464, 546
1560023239776, 682865, 397, 464, 547
1560023239790, 682877, 397, 465, 546
1560023239802, 682890, 396, 463, 546
1560023239816, 682903, 394, 464, 546
1560023239828, 682916, 395, 461, 545
1560023239840, 682928, 393, 464, 546
1560023239854, 682941, 392, 462, 548
1560023239866, 682954, 391, 462, 547
1560023239878, 682966, 392, 462, 544
1560023239890, 682979, 393, 463, 545
1560023239903, 682992, 396, 465, 543
1560023239918, 683004, 395, 463, 541
1560023239930, 683017, 395, 463, 541
1560023239943, 683030, 393, 464, 541
1560023239955, 683042, 392, 462, 546
1560023239967, 683055, 389, 463, 548
1560023239981, 683068, 390, 463, 546
1560023239993, 683081, 394, 463, 547
1560023240006, 683093, 395, 463, 545
1560023240018, 683106, 396, 461, 545
1560023240032, 683119, 395, 459, 544
1560023240043, 683131, 394, 461, 545
1560023240058, 683144, 392, 461, 546
1560023240069, 683157, 392, 463, 549
1560023240081, 683169, 390, 462, 549
1560023240094, 683182, 392, 463, 548
1560023240107, 683195, 394, 461, 547
1560023240120, 683208, 399, 461, 546
1560023240132, 683220, 396, 459, 546
1560023240147, 683233, 396, 461, 546
1560023240159, 683246, 393, 460, 545
1560023240171, 683258, 392, 461, 550
1560023240183, 683271, 391, 464, 551
1560023240196, 683284, 393, 464, 551
1560023240209, 683296, 394, 465, 548
1560023240221, 683309, 397, 465, 545
1560023240234, 683322, 397, 464, 543
1560023240247, 683334, 396, 464, 544
1560023240259, 683347, 396, 462, 543
1560023240273, 683360, 395, 465, 547
1560023240285, 683373, 393, 464, 547
1560023240297, 683385, 395, 465, 549
1560023240310, 683398, 396, 467, 546
1560023240323, 683411, 397, 466, 545
1560023240336, 683423, 398, 465, 545
1560023240347, 683436, 397, 464, 545
1560023240361, 683449, 396, 464, 542
1560023240374, 683461, 395, 467, 545
1560023240386, 683474, 393, 465, 546
1560023240399, 683487, 392, 466, 551
1560023240413, 683500, 394, 466, 548
1560023240425, 683512, 396, 467, 548
1560023240438, 683525, 397, 465, 545
1560023240450, 683538, 396, 464, 545
1560023240463, 683550, 393, 463, 546
1560023240476, 683563, 394, 464, 545
1560023240488, 683576, 395, 465, 547
1560023240500, 683588, 394, 465, 548
1560023240513, 683601, 393, 465, 547
1560023240526, 683614, 398, 465, 545
1560023240538, 683626, 396, 463, 546
1560023240551, 683639, 397, 465, 546
1560023240564, 683652, 397, 464, 545
1560023240577, 683665, 395, 464, 544
1560023240589, 683677, 394, 463, 545
1560023240602, 683690, 392, 464, 549
1560023240615, 683703, 391, 463, 551
1560023240627, 683715, 394, 463, 549
1560023240640, 683728, 395, 463, 549
1560023240652, 683741, 395, 463, 547
1560023240666, 683753, 397, 462, 544
1560023240679, 683766, 397, 461, 544
1560023240691, 683779, 395, 462, 544
1560023240703, 683791, 394, 461, 546
1560023240717, 683804, 392, 463, 548
1560023240729, 683817, 394, 463, 547
1560023240742, 683830, 393, 466, 549
1560023240754, 683842, 397, 465, 547
1560023240767, 683855, 395, 462, 546
1560023240780, 683868, 397, 461, 544
1560023240793, 683880, 395, 461, 545
1560023240805, 683893, 395, 461, 546
1560023240819, 683906, 392, 462, 547
1560023240830, 683918, 390, 464, 552
1560023240843, 683931, 394, 464, 550
1560023240857, 683944, 394, 466, 547
1560023240869, 683957, 397, 465, 548
1560023240881, 683969, 397, 463, 546
1560023240895, 683982, 397, 463, 545
1560023240907, 683995, 397, 463, 543
1560023240919, 684007, 396, 464, 544
1560023240932, 684020, 392, 465, 548
1560023240945, 684033, 394, 463, 548
1560023240957, 684045, 391, 463, 549
1560023240969, 684058, 395, 465, 549
1560023240984, 684071, 396, 463, 547
1560023240996, 684083, 398, 461, 544
1560023241008, 684096, 396, 463, 544
1560023241021, 684109, 396, 464, 545
1560023241035, 684122, 393, 463, 547
1560023241047, 684134, 390, 461, 550
1560023241059, 684147, 387, 464, 550
1560023241071, 684160, 396, 465, 554
1560023241085, 684172, 399, 467, 550
1560023241097, 684185, 400, 466, 547
1560023241110, 684198, 401, 466, 546
1560023241122, 684210, 399, 468, 547
1560023241135, 684223, 398, 467, 548
1560023241148, 684236, 399, 465, 548
1560023241161, 684249, 395, 462, 546
1560023241173, 684261, 394, 463, 549
1560023241186, 684274, 396, 464, 550
1560023241198, 684287, 398, 463, 549
1560023241212, 684299, 396, 466, 550
1560023241225, 684312, 399, 464, 549
1560023241237, 684325, 401, 466, 550
1560023241249, 684337, 397, 466, 548
1560023241263, 684350, 399, 466, 547
1560023241275, 684363, 397, 464, 548
1560023241288, 684375, 396, 467, 550
1560023241300, 684388, 395, 466, 552
1560023241312, 684401, 397, 468, 549
1560023241327, 684414, 399, 466, 549
1560023241339, 684426, 400, 466, 548
1560023241351, 684439, 399, 466, 545
1560023241364, 684452, 398, 463, 544
1560023241376, 684464, 396, 462, 548
1560023241389, 684477, 395, 464, 550
1560023241402, 684490, 393, 466, 551
1560023241415, 684502, 399, 466, 552
1560023241428, 684515, 399, 467, 550
1560023241441, 684528, 400, 469, 550
1560023241453, 684541, 400, 468, 547
1560023241465, 684553, 399, 465, 548
1560023241478, 684566, 398, 468, 549
1560023241491, 684579, 396, 467, 550
1560023241503, 684591, 396, 466, 551
1560023241516, 684604, 394, 466, 554
1560023241529, 684617, 395, 467, 553
1560023241542, 684629, 399, 465, 551
1560023241554, 684642, 400, 464, 548
1560023241567, 684655, 400, 461, 548
1560023241579, 684667, 398, 462, 547
1560023241594, 684680, 393, 462, 551
1560023241605, 684693, 392, 462, 552
1560023241617, 684706, 393, 463, 552
1560023241631, 684718, 394, 463, 554
1560023241643, 684731, 400, 466, 552
1560023241657, 684744, 399, 467, 551
1560023241669, 684756, 401, 468, 552
1560023241681, 684769, 401, 470, 552
1560023241694, 684782, 401, 470, 552
1560023241707, 684794, 401, 470, 554
1560023241720, 684807, 400, 467, 552
1560023241732, 684820, 402, 468, 555
1560023241745, 684833, 402, 468, 549
1560023241758, 684845, 402, 469, 552
1560023241771, 684858, 403, 466, 550
1560023241783, 684871, 404, 467, 549
1560023241795, 684883, 403, 467, 551
1560023241808, 684896, 404, 469, 551
1560023241821, 684909, 403, 471, 552
1560023241834, 684921, 401, 470, 553
1560023241846, 684934, 401, 469, 553
1560023241859, 684947, 402, 469, 554
1560023241872, 684959, 402, 470, 552
1560023241885, 684972, 400, 469, 553
1560023241897, 684985, 396, 469, 554
1560023241910, 684998, 398, 471, 554
1560023241923, 685010, 400, 470, 556
1560023241935, 685023, 402, 471, 554
1560023241947, 685036, 403, 471, 552
1560023241961, 685048, 402, 470, 551
1560023241974, 685061, 403, 470, 550
1560023241985, 685074, 400, 469, 552
1560023241998, 685086, 399, 470, 554
1560023242012, 685099, 400, 469, 555
1560023242024, 685112, 401, 472, 555
1560023242037, 685125, 404, 471, 554
1560023242050, 685137, 405, 470, 552
1560023242062, 685150, 405, 467, 550
1560023242075, 685163, 404, 468, 551
1560023242088, 685175, 402, 470, 553
1560023242100, 685188, 400, 470, 556
1560023242112, 685201, 398, 470, 556
1560023242125, 685213, 399, 469, 556
1560023242139, 685226, 399, 472, 555
1560023242151, 685239, 400, 469, 554
1560023242163, 685251, 403, 470, 552
1560023242178, 685264, 402, 469, 549
1560023242189, 685277, 401, 469, 549
1560023242202, 685290, 402, 470, 551
1560023242214, 685302, 401, 470, 551
1560023242228, 685315, 395, 469, 552
1560023242240, 685328, 397, 471, 556
1560023242253, 685340, 397, 470, 555
1560023242265, 685353, 401, 473, 556
1560023242278, 685366, 400, 470, 553
1560023242291, 685378, 403, 469, 551
1560023242303, 685391, 401, 469, 551
1560023242316, 685404, 402, 467, 551
1560023242329, 685416, 398, 468, 553
1560023242342, 685429, 400, 469, 551
1560023242354, 685442, 396, 470, 553
1560023242367, 685455, 399, 470, 554
1560023242379, 685467, 401, 468, 552
1560023242392, 685480, 402, 469, 550
1560023242405, 685493, 402, 469, 550
1560023242417, 685505, 403, 468, 547
1560023242429, 685518, 398, 466, 552
