Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024304234, 1747313, 370, 459, 519
1560024304247, 1747326, 371, 457, 516
1560024304260, 1747338, 374, 455, 515
1560024304272, 1747351, 378, 453, 511
1560024304285, 1747364, 379, 452, 512
1560024304298, 1747376, 380, 451, 513
1560024304311, 1747389, 379, 451, 515
1560024304323, 1747402, 379, 456, 517
1560024304337, 1747415, 378, 456, 517
1560024304348, 1747427, 380, 454, 516
1560024304362, 1747440, 377, 453, 518
1560024304374, 1747453, 378, 453, 516
1560024304387, 1747465, 379, 451, 513
1560024304400, 1747478, 377, 449, 511
1560024304413, 1747491, 379, 450, 511
1560024304425, 1747503, 377, 452, 510
1560024304438, 1747516, 378, 451, 511
1560024304451, 1747529, 379, 453, 510
1560024304463, 1747541, 380, 455, 510
1560024304475, 1747554, 377, 456, 512
1560024304488, 1747567, 377, 455, 513
1560024304501, 1747580, 380, 455, 513
1560024304514, 1747592, 382, 452, 515
1560024304526, 1747605, 379, 451, 515
1560024304538, 1747618, 378, 451, 514
1560024304552, 1747630, 378, 452, 516
1560024304564, 1747643, 378, 450, 515
1560024304577, 1747656, 379, 451, 516
1560024304589, 1747668, 380, 451, 517
1560024304602, 1747681, 378, 450, 518
1560024304615, 1747694, 377, 449, 519
1560024304627, 1747707, 376, 450, 519
1560024304641, 1747719, 378, 451, 517
1560024304654, 1747732, 378, 450, 517
1560024304666, 1747745, 379, 453, 517
1560024304679, 1747757, 377, 454, 518
1560024304693, 1747770, 380, 453, 516
1560024304703, 1747783, 379, 453, 516
1560024304717, 1747795, 379, 455, 516
1560024304729, 1747808, 378, 456, 514
1560024304743, 1747821, 378, 456, 515
1560024304755, 1747833, 378, 458, 513
1560024304767, 1747846, 379, 456, 511
1560024304781, 1747859, 380, 457, 514
1560024304793, 1747872, 376, 456, 512
1560024304805, 1747884, 378, 457, 513
1560024304819, 1747897, 377, 455, 512
1560024304831, 1747910, 379, 456, 514
1560024304843, 1747922, 379, 455, 513
1560024304856, 1747935, 379, 451, 515
1560024304868, 1747948, 377, 453, 514
1560024304882, 1747960, 377, 453, 516
1560024304895, 1747973, 379, 452, 515
1560024304907, 1747986, 376, 453, 515
1560024304920, 1747999, 378, 452, 517
1560024304932, 1748011, 376, 451, 517
1560024304946, 1748024, 377, 452, 517
1560024304958, 1748037, 378, 450, 516
1560024304971, 1748049, 380, 450, 517
1560024304983, 1748062, 377, 450, 518
1560024304997, 1748075, 378, 452, 518
1560024305010, 1748087, 377, 454, 517
1560024305022, 1748100, 379, 453, 518
1560024305034, 1748113, 379, 454, 516
1560024305048, 1748125, 378, 453, 518
1560024305059, 1748138, 379, 455, 516
1560024305072, 1748151, 377, 454, 516
1560024305085, 1748164, 376, 453, 516
1560024305098, 1748176, 378, 455, 518
1560024305110, 1748189, 378, 456, 517
1560024305122, 1748202, 378, 457, 517
1560024305135, 1748214, 377, 454, 518
1560024305149, 1748227, 375, 454, 515
1560024305162, 1748240, 377, 455, 516
1560024305174, 1748252, 378, 455, 516
1560024305186, 1748265, 379, 454, 517
1560024305198, 1748278, 379, 453, 515
1560024305212, 1748291, 379, 453, 518
1560024305224, 1748303, 378, 453, 517
1560024305237, 1748316, 379, 453, 517
1560024305250, 1748329, 377, 456, 516
1560024305263, 1748341, 377, 454, 517
1560024305276, 1748354, 379, 453, 518
1560024305288, 1748367, 378, 453, 518
1560024305301, 1748379, 377, 453, 515
1560024305314, 1748392, 379, 453, 515
1560024305326, 1748405, 378, 453, 517
1560024305338, 1748417, 378, 455, 517
1560024305352, 1748430, 378, 453, 515
1560024305364, 1748443, 379, 451, 514
1560024305376, 1748456, 379, 454, 516
1560024305389, 1748468, 380, 453, 519
1560024305403, 1748481, 380, 454, 515
1560024305416, 1748494, 376, 452, 515
1560024305427, 1748506, 379, 453, 516
1560024305439, 1748519, 379, 453, 516
1560024305453, 1748532, 379, 453, 515
1560024305467, 1748544, 378, 453, 515
1560024305478, 1748557, 379, 453, 514
1560024305491, 1748570, 378, 454, 515
1560024305505, 1748583, 377, 455, 515
1560024305517, 1748595, 377, 453, 516
1560024305530, 1748608, 377, 452, 515
1560024305542, 1748621, 379, 454, 515
1560024305556, 1748633, 378, 451, 514
1560024305567, 1748646, 379, 454, 516
1560024305580, 1748659, 378, 454, 517
1560024305592, 1748671, 379, 452, 516
1560024305605, 1748684, 380, 454, 518
1560024305618, 1748697, 380, 453, 517
1560024305630, 1748709, 378, 453, 517
1560024305643, 1748722, 378, 453, 517
1560024305657, 1748735, 378, 454, 517
1560024305670, 1748748, 378, 453, 518
1560024305681, 1748760, 376, 452, 518
1560024305695, 1748773, 379, 452, 516
1560024305706, 1748786, 379, 454, 519
1560024305720, 1748798, 380, 454, 516
1560024305734, 1748811, 379, 453, 516
1560024305745, 1748824, 379, 455, 518
1560024305759, 1748836, 380, 456, 517
1560024305771, 1748849, 378, 453, 517
1560024305783, 1748862, 378, 452, 516
1560024305796, 1748875, 377, 456, 516
1560024305809, 1748887, 381, 453, 517
1560024305821, 1748900, 379, 452, 517
1560024305833, 1748913, 378, 454, 516
1560024305847, 1748925, 378, 454, 515
1560024305860, 1748938, 378, 452, 515
1560024305872, 1748951, 378, 454, 517
1560024305885, 1748963, 378, 453, 517
1560024305898, 1748976, 378, 453, 516
1560024305910, 1748989, 379, 452, 514
1560024305923, 1749001, 377, 453, 518
1560024305935, 1749014, 377, 454, 517
1560024305948, 1749027, 379, 453, 516
1560024305961, 1749040, 378, 452, 518
1560024305973, 1749052, 379, 455, 516
1560024305987, 1749065, 379, 454, 517
1560024305999, 1749078, 379, 454, 517
1560024306011, 1749090, 380, 453, 515
1560024306025, 1749103, 379, 452, 517
1560024306038, 1749116, 379, 455, 517
1560024306052, 1749128, 377, 455, 516
1560024306062, 1749141, 378, 455, 515
1560024306075, 1749154, 379, 455, 516
1560024306088, 1749166, 378, 454, 514
1560024306100, 1749179, 378, 452, 517
1560024306112, 1749192, 378, 454, 515
1560024306126, 1749205, 379, 454, 516
1560024306139, 1749217, 377, 454, 517
1560024306152, 1749230, 379, 453, 517
1560024306163, 1749243, 379, 455, 515
1560024306177, 1749255, 377, 452, 515
1560024306190, 1749268, 379, 452, 516
1560024306203, 1749281, 378, 452, 517
1560024306215, 1749293, 379, 454, 514
1560024306227, 1749306, 380, 452, 515
1560024306240, 1749319, 379, 454, 515
1560024306253, 1749332, 377, 454, 518
1560024306266, 1749344, 377, 454, 514
1560024306279, 1749357, 379, 456, 517
1560024306292, 1749370, 380, 454, 516
1560024306303, 1749382, 377, 453, 516
1560024306316, 1749395, 378, 455, 516
1560024306329, 1749408, 379, 453, 517
1560024306342, 1749420, 378, 453, 516
1560024306354, 1749433, 380, 454, 515
1560024306367, 1749446, 380, 452, 518
1560024306380, 1749458, 377, 454, 518
1560024306393, 1749471, 380, 455, 517
1560024306405, 1749484, 379, 455, 517
1560024306419, 1749497, 379, 454, 516
1560024306431, 1749509, 379, 452, 516
1560024306444, 1749522, 378, 455, 516
1560024306456, 1749535, 379, 454, 518
1560024306468, 1749547, 377, 455, 517
1560024306482, 1749560, 377, 453, 517
1560024306494, 1749573, 376, 454, 517
1560024306507, 1749585, 379, 455, 517
1560024306520, 1749598, 378, 454, 516
1560024306533, 1749611, 378, 453, 516
1560024306545, 1749624, 379, 455, 518
1560024306558, 1749636, 379, 455, 517
1560024306570, 1749649, 379, 453, 516
1560024306583, 1749662, 379, 453, 516
1560024306595, 1749674, 378, 453, 515
1560024306609, 1749687, 378, 454, 516
1560024306621, 1749700, 379, 455, 515
1560024306635, 1749712, 377, 453, 517
1560024306647, 1749725, 378, 451, 519
1560024306659, 1749738, 378, 451, 517
1560024306672, 1749750, 379, 453, 515
1560024306685, 1749763, 379, 454, 518
1560024306697, 1749776, 380, 454, 517
1560024306710, 1749789, 379, 453, 518
1560024306723, 1749801, 379, 454, 515
1560024306735, 1749814, 379, 454, 515
1560024306747, 1749827, 377, 453, 518
1560024306761, 1749839, 377, 452, 517
