Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023296261, 739346, 411, 485, 561
1560023296272, 739359, 412, 484, 562
1560023296285, 739372, 414, 483, 559
1560023296297, 739384, 414, 484, 558
1560023296311, 739397, 411, 480, 559
1560023296324, 739410, 413, 482, 559
1560023296336, 739422, 413, 483, 559
1560023296349, 739435, 415, 483, 559
1560023296362, 739448, 411, 483, 559
1560023296374, 739460, 411, 486, 561
1560023296386, 739473, 412, 485, 560
1560023296400, 739486, 413, 484, 561
1560023296413, 739499, 413, 483, 560
1560023296425, 739511, 415, 483, 559
1560023296439, 739524, 413, 485, 561
1560023296450, 739537, 414, 484, 559
1560023296464, 739549, 412, 484, 560
1560023296476, 739562, 411, 483, 557
1560023296488, 739575, 412, 484, 562
1560023296501, 739587, 412, 484, 563
1560023296514, 739600, 413, 484, 561
1560023296526, 739613, 413, 483, 560
1560023296540, 739625, 413, 482, 558
1560023296554, 739638, 414, 482, 560
1560023296565, 739651, 413, 484, 558
1560023296577, 739664, 413, 484, 560
1560023296590, 739676, 413, 483, 557
1560023296603, 739689, 412, 482, 559
1560023296616, 739702, 410, 484, 560
1560023296628, 739714, 410, 485, 559
1560023296641, 739727, 411, 483, 562
1560023296653, 739740, 411, 484, 559
1560023296667, 739752, 413, 484, 561
1560023296679, 739765, 412, 483, 560
1560023296691, 739778, 412, 482, 558
1560023296703, 739791, 414, 484, 559
1560023296717, 739803, 413, 486, 562
1560023296730, 739816, 411, 484, 561
1560023296742, 739829, 411, 486, 561
1560023296754, 739841, 412, 486, 561
1560023296768, 739854, 413, 484, 561
1560023296781, 739867, 412, 484, 560
1560023296793, 739879, 415, 483, 559
1560023296806, 739892, 413, 483, 559
1560023296819, 739905, 412, 482, 560
1560023296831, 739917, 410, 483, 561
1560023296844, 739930, 411, 484, 562
1560023296857, 739943, 410, 484, 559
1560023296869, 739956, 411, 484, 560
1560023296882, 739968, 413, 484, 560
1560023296895, 739981, 411, 484, 558
1560023296907, 739994, 412, 485, 559
1560023296919, 740006, 413, 484, 559
1560023296933, 740019, 412, 484, 560
1560023296945, 740032, 411, 486, 560
1560023296958, 740044, 410, 484, 560
1560023296970, 740057, 412, 485, 564
1560023296985, 740070, 411, 483, 561
1560023296996, 740083, 414, 482, 559
1560023297009, 740095, 412, 482, 557
1560023297021, 740108, 413, 483, 558
1560023297034, 740121, 410, 484, 557
1560023297047, 740133, 409, 483, 559
1560023297060, 740146, 409, 484, 561
1560023297073, 740159, 411, 485, 560
1560023297086, 740171, 412, 484, 560
1560023297098, 740184, 412, 483, 559
1560023297111, 740197, 412, 484, 557
1560023297124, 740209, 412, 484, 556
1560023297135, 740222, 413, 483, 559
1560023297149, 740235, 411, 483, 560
1560023297162, 740248, 410, 485, 560
1560023297173, 740260, 411, 486, 559
1560023297188, 740273, 413, 485, 561
1560023297199, 740286, 411, 484, 558
1560023297212, 740298, 414, 481, 559
1560023297225, 740311, 414, 483, 555
1560023297238, 740324, 413, 484, 557
1560023297251, 740336, 414, 484, 560
1560023297263, 740349, 411, 485, 560
1560023297275, 740362, 412, 486, 562
1560023297288, 740375, 413, 486, 563
1560023297301, 740387, 413, 484, 561
1560023297314, 740400, 413, 483, 560
1560023297326, 740413, 412, 483, 558
1560023297339, 740425, 412, 483, 558
1560023297352, 740438, 411, 484, 558
1560023297365, 740451, 412, 484, 559
1560023297377, 740463, 410, 484, 557
1560023297390, 740476, 411, 485, 561
1560023297402, 740489, 411, 483, 560
1560023297415, 740501, 412, 485, 559
1560023297428, 740514, 412, 484, 559
1560023297441, 740527, 413, 485, 559
1560023297455, 740540, 415, 485, 559
1560023297466, 740552, 410, 486, 560
1560023297479, 740565, 413, 483, 558
1560023297491, 740578, 412, 483, 557
1560023297504, 740590, 413, 483, 557
1560023297517, 740603, 410, 482, 560
1560023297530, 740616, 412, 483, 561
1560023297542, 740628, 413, 483, 557
1560023297554, 740641, 413, 483, 557
1560023297567, 740654, 412, 483, 559
1560023297579, 740666, 413, 485, 558
1560023297593, 740679, 413, 483, 557
1560023297606, 740692, 410, 483, 557
1560023297617, 740705, 411, 485, 561
1560023297631, 740717, 408, 486, 561
1560023297645, 740730, 410, 484, 560
1560023297656, 740743, 410, 484, 558
1560023297668, 740755, 413, 482, 558
1560023297682, 740768, 411, 483, 558
1560023297694, 740781, 411, 481, 559
1560023297707, 740793, 410, 484, 558
1560023297719, 740806, 412, 485, 560
1560023297733, 740819, 410, 484, 561
1560023297746, 740832, 409, 484, 563
1560023297759, 740844, 410, 482, 562
1560023297770, 740857, 412, 484, 560
1560023297783, 740870, 412, 483, 562
1560023297796, 740882, 411, 483, 563
1560023297809, 740895, 414, 483, 563
1560023297822, 740908, 412, 484, 561
1560023297834, 740920, 414, 484, 560
1560023297847, 740933, 412, 484, 560
1560023297859, 740946, 411, 484, 561
1560023297873, 740958, 411, 485, 561
1560023297885, 740971, 412, 484, 561
1560023297898, 740984, 412, 484, 559
1560023297910, 740997, 415, 484, 559
1560023297923, 741009, 412, 485, 557
1560023297936, 741022, 413, 486, 560
1560023297949, 741035, 411, 484, 559
1560023297961, 741047, 412, 483, 560
1560023297973, 741060, 412, 485, 560
1560023297986, 741073, 413, 485, 560
1560023298000, 741085, 413, 485, 561
1560023298012, 741098, 412, 485, 558
1560023298025, 741111, 413, 484, 556
1560023298037, 741124, 413, 485, 557
1560023298050, 741136, 412, 485, 556
1560023298062, 741149, 412, 486, 556
1560023298075, 741162, 411, 485, 560
1560023298088, 741174, 413, 486, 559
1560023298101, 741187, 414, 486, 559
1560023298114, 741200, 407, 482, 556
1560023298126, 741212, 417, 483, 560
1560023298139, 741225, 411, 484, 558
1560023298152, 741238, 414, 485, 558
1560023298165, 741250, 412, 484, 557
1560023298177, 741263, 412, 485, 559
1560023298190, 741276, 411, 485, 559
1560023298202, 741289, 413, 484, 559
1560023298215, 741301, 410, 486, 559
1560023298228, 741314, 411, 484, 556
1560023298240, 741327, 414, 484, 560
1560023298252, 741339, 414, 484, 558
1560023298266, 741352, 413, 486, 559
1560023298279, 741365, 414, 483, 558
1560023298291, 741377, 412, 485, 560
1560023298303, 741390, 412, 487, 563
1560023298317, 741403, 411, 483, 560
1560023298330, 741416, 411, 483, 559
1560023298342, 741428, 413, 483, 559
1560023298355, 741441, 412, 482, 558
1560023298367, 741454, 413, 483, 559
1560023298379, 741466, 411, 483, 559
1560023298392, 741479, 410, 483, 559
1560023298406, 741492, 411, 483, 562
1560023298419, 741504, 414, 484, 563
1560023298430, 741517, 412, 485, 560
1560023298444, 741530, 411, 485, 558
1560023298456, 741542, 414, 484, 560
1560023298469, 741555, 412, 484, 560
1560023298482, 741568, 411, 484, 561
1560023298494, 741581, 412, 484, 558
1560023298507, 741593, 411, 484, 559
1560023298520, 741606, 412, 485, 561
1560023298532, 741619, 412, 484, 562
1560023298546, 741631, 413, 484, 561
1560023298558, 741644, 412, 483, 559
1560023298570, 741657, 412, 486, 561
1560023298584, 741669, 412, 484, 560
1560023298596, 741682, 411, 483, 559
1560023298608, 741695, 411, 485, 561
1560023298621, 741708, 412, 485, 559
1560023298634, 741720, 411, 488, 560
1560023298647, 741733, 411, 487, 560
1560023298659, 741746, 411, 485, 560
1560023298671, 741758, 414, 485, 560
1560023298684, 741771, 414, 486, 560
1560023298697, 741784, 413, 485, 557
1560023298711, 741796, 412, 483, 558
1560023298723, 741809, 412, 485, 559
1560023298735, 741822, 412, 488, 560
1560023298748, 741834, 412, 486, 560
1560023298761, 741847, 411, 484, 560
1560023298773, 741860, 412, 482, 559
1560023298786, 741873, 413, 483, 560
1560023298799, 741885, 413, 485, 558
1560023298812, 741898, 412, 484, 557
1560023298824, 741911, 412, 484, 558
1560023298837, 741923, 412, 484, 557
1560023298850, 741936, 413, 486, 561
1560023298862, 741949, 411, 486, 560
1560023298874, 741961, 412, 487, 559
1560023298888, 741974, 413, 485, 560
1560023298901, 741987, 413, 485, 560
1560023298914, 742000, 411, 483, 559
1560023298926, 742012, 411, 483, 559
1560023298938, 742025, 412, 483, 560
1560023298953, 742038, 411, 482, 558
1560023298964, 742050, 411, 485, 559
1560023298976, 742063, 412, 483, 560
1560023298990, 742076, 411, 485, 560
1560023299001, 742088, 411, 484, 559
1560023299014, 742101, 413, 485, 558
1560023299028, 742114, 414, 483, 559
1560023299040, 742126, 411, 483, 559
1560023299053, 742139, 414, 484, 564
1560023299065, 742152, 411, 483, 561
1560023299079, 742165, 412, 483, 560
1560023299091, 742177, 411, 484, 560
1560023299104, 742190, 412, 485, 560
1560023299119, 742203, 411, 482, 562
1560023299130, 742215, 411, 485, 560
1560023299142, 742228, 412, 485, 559
1560023299154, 742241, 415, 485, 559
1560023299168, 742253, 416, 486, 559
1560023299180, 742266, 413, 484, 558
1560023299192, 742279, 413, 485, 559
1560023299207, 742291, 411, 485, 561
1560023299218, 742304, 412, 486, 564
1560023299231, 742317, 411, 483, 561
1560023299243, 742330, 411, 485, 559
1560023299256, 742342, 411, 482, 557
1560023299269, 742355, 414, 482, 558
1560023299282, 742368, 413, 483, 559
1560023299294, 742380, 412, 483, 560
1560023299306, 742393, 412, 484, 562
1560023299320, 742406, 412, 485, 561
1560023299332, 742418, 414, 486, 562
1560023299345, 742431, 413, 484, 559
1560023299358, 742444, 413, 483, 559
1560023299371, 742457, 413, 484, 560
1560023299384, 742469, 413, 485, 560
1560023299396, 742482, 412, 483, 558
1560023299408, 742495, 411, 484, 559
1560023299421, 742507, 413, 485, 560
1560023299435, 742520, 412, 485, 561
1560023299446, 742533, 409, 485, 561
1560023299459, 742545, 411, 484, 560
1560023299471, 742558, 411, 484, 559
1560023299484, 742571, 412, 486, 560
1560023299496, 742583, 412, 484, 559
1560023299510, 742596, 412, 484, 560
1560023299524, 742609, 413, 483, 558
1560023299536, 742622, 411, 486, 560
1560023299548, 742634, 412, 483, 561
1560023299560, 742647, 412, 482, 560
1560023299575, 742660, 412, 484, 561
1560023299587, 742672, 413, 484, 559
1560023299598, 742685, 410, 484, 559
1560023299611, 742698, 412, 483, 559
1560023299625, 742710, 413, 485, 559
1560023299637, 742723, 414, 486, 560
1560023299650, 742736, 413, 487, 559
1560023299662, 742749, 412, 487, 562
1560023299676, 742761, 412, 485, 562
1560023299687, 742774, 413, 485, 563
1560023299700, 742787, 412, 485, 561
1560023299713, 742799, 413, 484, 558
1560023299727, 742812, 412, 484, 558
1560023299738, 742825, 414, 486, 560
1560023299751, 742837, 413, 485, 561
1560023299764, 742850, 413, 486, 559
1560023299777, 742863, 413, 484, 558
1560023299789, 742875, 414, 483, 559
1560023299802, 742888, 412, 486, 562
1560023299814, 742901, 412, 483, 561
1560023299828, 742914, 412, 485, 560
1560023299839, 742926, 412, 483, 560
1560023299853, 742939, 414, 483, 558
1560023299865, 742952, 414, 485, 558
1560023299878, 742964, 413, 484, 559
1560023299890, 742977, 413, 485, 560
1560023299903, 742990, 412, 486, 562
1560023299916, 743002, 413, 485, 560
1560023299929, 743015, 411, 483, 562
1560023299942, 743028, 413, 483, 560
1560023299954, 743041, 412, 485, 559
1560023299967, 743053, 412, 484, 558
1560023299979, 743066, 410, 483, 558
1560023299992, 743079, 411, 484, 560
1560023300006, 743091, 409, 485, 561
1560023300018, 743104, 409, 488, 558
1560023300031, 743117, 409, 486, 560
