Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023081629, 524719, 382, 437, 523
1560023081640, 524732, 383, 440, 523
1560023081653, 524745, 383, 438, 522
1560023081665, 524757, 382, 439, 522
1560023081680, 524770, 384, 439, 522
1560023081691, 524783, 388, 438, 521
1560023081704, 524795, 388, 437, 521
1560023081717, 524808, 386, 437, 522
1560023081731, 524821, 384, 437, 524
1560023081742, 524833, 383, 438, 524
1560023081754, 524846, 383, 437, 524
1560023081767, 524859, 382, 436, 524
1560023081782, 524872, 381, 437, 525
1560023081793, 524884, 383, 435, 523
1560023081805, 524897, 383, 436, 525
1560023081818, 524910, 384, 437, 523
1560023081831, 524922, 384, 435, 522
1560023081843, 524935, 386, 436, 522
1560023081856, 524948, 386, 436, 521
1560023081868, 524960, 379, 438, 523
1560023081883, 524973, 384, 438, 524
1560023081895, 524986, 383, 437, 524
1560023081906, 524999, 383, 437, 524
1560023081920, 525011, 382, 433, 523
1560023081933, 525024, 386, 436, 522
1560023081946, 525037, 387, 436, 520
1560023081958, 525049, 388, 438, 521
1560023081970, 525062, 383, 438, 522
1560023081983, 525075, 381, 439, 523
1560023081996, 525087, 380, 436, 526
1560023082008, 525100, 381, 438, 526
1560023082020, 525113, 383, 439, 526
1560023082034, 525125, 386, 440, 524
1560023082047, 525138, 386, 437, 522
1560023082059, 525151, 385, 436, 520
1560023082072, 525164, 385, 437, 521
1560023082085, 525176, 384, 438, 522
1560023082098, 525189, 382, 437, 526
1560023082110, 525202, 381, 439, 524
1560023082122, 525214, 381, 438, 524
1560023082136, 525227, 384, 437, 524
1560023082148, 525240, 385, 437, 524
1560023082161, 525252, 385, 438, 521
1560023082174, 525265, 386, 435, 520
1560023082186, 525278, 385, 436, 520
1560023082199, 525291, 387, 437, 521
1560023082212, 525303, 385, 435, 521
1560023082225, 525316, 386, 437, 524
1560023082237, 525329, 382, 437, 526
1560023082250, 525341, 382, 436, 526
1560023082263, 525354, 384, 436, 523
1560023082275, 525367, 385, 439, 522
1560023082287, 525379, 385, 437, 519
1560023082301, 525392, 387, 436, 520
1560023082313, 525405, 384, 437, 521
1560023082325, 525417, 383, 437, 522
1560023082339, 525430, 383, 435, 522
1560023082351, 525443, 382, 438, 522
1560023082364, 525456, 382, 438, 523
1560023082376, 525468, 384, 438, 523
1560023082388, 525481, 384, 436, 522
1560023082402, 525494, 385, 436, 522
1560023082414, 525506, 384, 435, 519
1560023082427, 525519, 382, 436, 520
1560023082440, 525532, 385, 435, 522
1560023082453, 525544, 382, 438, 522
1560023082465, 525557, 381, 438, 523
1560023082479, 525570, 386, 436, 523
1560023082491, 525583, 385, 435, 522
1560023082505, 525595, 385, 435, 523
1560023082517, 525608, 385, 437, 519
1560023082529, 525621, 385, 434, 521
1560023082541, 525633, 383, 435, 522
1560023082554, 525646, 385, 438, 522
1560023082568, 525659, 384, 435, 521
1560023082580, 525671, 381, 436, 522
1560023082592, 525684, 382, 439, 523
1560023082606, 525697, 384, 437, 523
1560023082619, 525709, 383, 437, 522
1560023082631, 525722, 385, 435, 522
1560023082643, 525735, 381, 437, 522
1560023082656, 525748, 385, 437, 521
1560023082668, 525760, 383, 438, 521
1560023082681, 525773, 382, 436, 521
1560023082694, 525786, 384, 435, 523
1560023082706, 525798, 386, 434, 523
1560023082719, 525811, 383, 436, 522
1560023082733, 525824, 382, 435, 524
1560023082746, 525836, 384, 435, 522
1560023082758, 525849, 385, 437, 521
1560023082770, 525862, 383, 437, 520
1560023082783, 525875, 385, 437, 523
1560023082797, 525887, 383, 437, 521
1560023082808, 525900, 383, 436, 522
1560023082821, 525913, 381, 436, 523
1560023082834, 525925, 381, 436, 525
1560023082847, 525938, 382, 436, 524
1560023082859, 525951, 384, 435, 524
1560023082872, 525963, 382, 436, 524
1560023082884, 525976, 382, 436, 523
1560023082899, 525989, 382, 434, 522
1560023082910, 526001, 380, 434, 522
1560023082922, 526014, 383, 435, 523
1560023082936, 526027, 382, 436, 527
1560023082950, 526040, 383, 438, 528
1560023082960, 526052, 384, 435, 527
1560023082972, 526065, 388, 438, 527
1560023082985, 526078, 387, 435, 526
1560023082999, 526090, 387, 434, 524
1560023083012, 526103, 384, 430, 522
1560023083024, 526116, 387, 432, 524
1560023083036, 526128, 385, 436, 523
1560023083050, 526141, 386, 436, 522
1560023083062, 526154, 387, 436, 519
1560023083075, 526166, 385, 438, 517
1560023083087, 526179, 386, 435, 517
