Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560024223897, 1666977, 376, 461, 496
1560024223910, 1666990, 377, 462, 497
1560024223921, 1667002, 376, 461, 497
1560024223935, 1667015, 373, 461, 498
1560024223948, 1667028, 375, 461, 500
1560024223960, 1667041, 374, 459, 499
1560024223973, 1667053, 371, 461, 499
1560024223985, 1667066, 376, 459, 500
1560024223998, 1667079, 372, 460, 501
1560024224011, 1667091, 374, 459, 500
1560024224023, 1667104, 372, 459, 500
1560024224038, 1667117, 372, 460, 500
1560024224049, 1667129, 374, 459, 499
1560024224062, 1667142, 376, 458, 497
1560024224075, 1667155, 373, 458, 497
1560024224087, 1667167, 373, 460, 498
1560024224100, 1667180, 374, 459, 497
1560024224113, 1667193, 374, 459, 498
1560024224125, 1667206, 376, 459, 499
1560024224139, 1667218, 373, 461, 497
1560024224152, 1667231, 375, 459, 496
1560024224163, 1667244, 376, 460, 498
1560024224176, 1667256, 376, 461, 498
1560024224190, 1667269, 374, 461, 497
1560024224202, 1667282, 374, 462, 499
1560024224215, 1667294, 373, 461, 498
1560024224227, 1667307, 372, 459, 499
1560024224239, 1667320, 373, 460, 500
1560024224253, 1667333, 374, 457, 498
1560024224265, 1667345, 374, 460, 498
1560024224277, 1667358, 374, 463, 499
1560024224291, 1667371, 375, 461, 500
1560024224303, 1667383, 375, 459, 499
1560024224316, 1667396, 375, 460, 497
1560024224328, 1667409, 375, 460, 499
1560024224342, 1667421, 375, 461, 497
1560024224354, 1667434, 373, 462, 500
1560024224367, 1667447, 373, 460, 499
1560024224379, 1667459, 373, 461, 499
1560024224393, 1667472, 375, 462, 498
1560024224405, 1667485, 374, 459, 499
1560024224417, 1667498, 374, 461, 497
1560024224430, 1667510, 374, 459, 496
1560024224443, 1667523, 374, 460, 498
1560024224455, 1667536, 374, 461, 499
1560024224468, 1667548, 373, 459, 498
1560024224481, 1667561, 375, 461, 497
1560024224494, 1667574, 375, 460, 499
1560024224506, 1667586, 373, 460, 498
1560024224519, 1667599, 376, 462, 499
1560024224531, 1667612, 373, 461, 500
1560024224544, 1667625, 375, 460, 499
1560024224557, 1667637, 375, 460, 496
1560024224570, 1667650, 374, 460, 498
1560024224582, 1667663, 374, 459, 498
1560024224596, 1667675, 374, 460, 497
1560024224608, 1667688, 374, 460, 499
1560024224620, 1667701, 374, 459, 498
1560024224634, 1667713, 375, 459, 498
1560024224646, 1667726, 374, 459, 496
1560024224658, 1667739, 373, 462, 497
1560024224671, 1667751, 373, 459, 498
1560024224685, 1667764, 373, 460, 497
1560024224697, 1667777, 375, 459, 498
1560024224709, 1667790, 376, 461, 495
1560024224723, 1667802, 375, 459, 498
1560024224735, 1667815, 373, 458, 496
1560024224748, 1667828, 375, 459, 496
1560024224760, 1667840, 374, 459, 495
1560024224773, 1667853, 376, 459, 498
1560024224786, 1667866, 374, 460, 498
1560024224799, 1667878, 373, 460, 497
1560024224812, 1667891, 373, 461, 495
1560024224824, 1667904, 376, 460, 498
1560024224837, 1667916, 373, 459, 496
1560024224849, 1667929, 374, 460, 496
1560024224862, 1667942, 375, 461, 496
1560024224874, 1667955, 374, 461, 497
1560024224886, 1667967, 374, 462, 499
1560024224901, 1667980, 374, 460, 498
1560024224913, 1667993, 376, 460, 498
1560024224925, 1668005, 376, 462, 498
1560024224938, 1668018, 373, 460, 498
1560024224951, 1668031, 373, 459, 497
1560024224963, 1668043, 374, 460, 499
1560024224976, 1668056, 376, 462, 500
1560024224989, 1668069, 373, 462, 499
1560024225002, 1668082, 373, 462, 498
1560024225015, 1668094, 374, 463, 498
1560024225027, 1668107, 373, 461, 498
1560024225039, 1668120, 375, 463, 498
1560024225052, 1668132, 374, 461, 499
1560024225067, 1668145, 373, 462, 496
1560024225078, 1668158, 373, 459, 498
1560024225090, 1668170, 376, 459, 498
1560024225104, 1668183, 374, 462, 498
1560024225116, 1668196, 373, 462, 498
1560024225129, 1668208, 374, 460, 498
1560024225141, 1668221, 373, 459, 496
1560024225154, 1668234, 376, 459, 496
1560024225167, 1668247, 373, 458, 495
1560024225180, 1668259, 375, 459, 497
1560024225192, 1668272, 374, 461, 496
1560024225206, 1668285, 374, 460, 497
1560024225218, 1668297, 373, 460, 498
1560024225230, 1668310, 374, 460, 495
1560024225242, 1668323, 375, 459, 496
1560024225256, 1668335, 374, 457, 497
1560024225268, 1668348, 373, 458, 497
1560024225281, 1668361, 373, 458, 498
1560024225293, 1668374, 374, 460, 498
1560024225307, 1668386, 372, 459, 495
1560024225319, 1668399, 374, 460, 497
1560024225331, 1668412, 373, 460, 498
1560024225343, 1668424, 374, 459, 497
1560024225358, 1668437, 375, 459, 496
1560024225370, 1668450, 373, 459, 499
1560024225382, 1668462, 374, 459, 496
1560024225395, 1668475, 375, 459, 495
1560024225408, 1668488, 375, 459, 495
1560024225420, 1668500, 374, 458, 496
1560024225433, 1668513, 375, 460, 498
1560024225445, 1668526, 374, 460, 496
1560024225459, 1668539, 375, 459, 498
1560024225471, 1668551, 374, 458, 497
1560024225484, 1668564, 373, 457, 498
1560024225496, 1668577, 373, 458, 498
1560024225510, 1668589, 374, 459, 498
1560024225521, 1668602, 373, 459, 497
1560024225534, 1668615, 374, 459, 498
1560024225548, 1668627, 372, 460, 497
1560024225560, 1668640, 374, 461, 499
1560024225572, 1668653, 371, 459, 498
1560024225585, 1668666, 373, 461, 497
1560024225598, 1668678, 375, 460, 496
1560024225612, 1668691, 375, 459, 495
1560024225624, 1668704, 374, 460, 497
1560024225635, 1668716, 372, 459, 496
1560024225649, 1668729, 376, 460, 496
1560024225663, 1668742, 374, 461, 497
1560024225674, 1668754, 374, 461, 496
1560024225687, 1668767, 374, 458, 497
1560024225699, 1668780, 372, 458, 496
1560024225712, 1668792, 375, 459, 496
1560024225725, 1668805, 375, 458, 497
1560024225738, 1668818, 373, 461, 498
1560024225750, 1668831, 373, 459, 496
1560024225764, 1668843, 373, 460, 497
1560024225776, 1668856, 373, 458, 498
1560024225788, 1668869, 374, 458, 498
1560024225801, 1668881, 374, 458, 498
1560024225815, 1668894, 372, 457, 498
1560024225827, 1668907, 374, 459, 500
1560024225840, 1668919, 374, 457, 499
1560024225852, 1668932, 371, 458, 498
1560024225866, 1668945, 373, 458, 498
1560024225877, 1668958, 374, 460, 499
1560024225889, 1668970, 375, 460, 498
1560024225903, 1668983, 375, 459, 496
1560024225916, 1668996, 375, 462, 497
1560024225929, 1669008, 377, 462, 497
1560024225941, 1669021, 375, 462, 498
1560024225953, 1669034, 375, 463, 497
1560024225966, 1669046, 375, 460, 496
1560024225979, 1669059, 378, 461, 496
1560024225991, 1669072, 377, 462, 497
1560024226003, 1669084, 376, 464, 496
1560024226018, 1669097, 376, 462, 496
1560024226029, 1669110, 375, 463, 496
1560024226043, 1669123, 376, 463, 496
1560024226055, 1669135, 373, 464, 497
1560024226068, 1669148, 371, 463, 494
1560024226081, 1669161, 369, 464, 495
1560024226093, 1669173, 369, 460, 495
1560024226106, 1669186, 371, 461, 496
1560024226119, 1669199, 369, 458, 498
1560024226132, 1669211, 369, 458, 499
1560024226144, 1669224, 371, 455, 500
1560024226157, 1669237, 369, 455, 499
1560024226170, 1669250, 370, 450, 496
1560024226183, 1669262, 373, 449, 497
1560024226194, 1669275, 372, 454, 497
1560024226207, 1669288, 374, 451, 496
1560024226221, 1669300, 374, 449, 495
1560024226232, 1669313, 376, 451, 494
1560024226246, 1669326, 377, 452, 492
1560024226258, 1669338, 375, 453, 493
1560024226270, 1669351, 377, 455, 494
1560024226283, 1669364, 377, 455, 495
1560024226296, 1669376, 375, 453, 493
1560024226308, 1669389, 375, 453, 495
1560024226322, 1669402, 376, 456, 496
1560024226335, 1669415, 375, 455, 496
1560024226347, 1669427, 375, 459, 498
1560024226360, 1669440, 374, 461, 500
1560024226374, 1669453, 375, 461, 498
1560024226386, 1669465, 373, 463, 498
1560024226398, 1669478, 375, 462, 499
1560024226411, 1669491, 374, 462, 499
1560024226424, 1669503, 375, 462, 497
1560024226437, 1669516, 376, 461, 498
1560024226449, 1669529, 375, 462, 496
1560024226461, 1669541, 376, 460, 498
1560024226474, 1669554, 375, 460, 494
1560024226487, 1669567, 376, 458, 495
1560024226499, 1669580, 373, 458, 493
1560024226511, 1669592, 373, 460, 494
1560024226526, 1669605, 372, 460, 496
1560024226538, 1669618, 368, 463, 495
1560024226550, 1669630, 367, 461, 496
1560024226562, 1669643, 368, 462, 500
1560024226576, 1669656, 370, 464, 501
1560024226588, 1669668, 368, 461, 504
1560024226600, 1669681, 368, 462, 504
1560024226614, 1669694, 370, 460, 502
1560024226626, 1669707, 370, 461, 504
1560024226639, 1669719, 373, 462, 502
1560024226652, 1669732, 372, 460, 504
1560024226664, 1669745, 372, 459, 502
1560024226676, 1669757, 373, 459, 501
1560024226689, 1669770, 374, 457, 499
1560024226703, 1669783, 372, 458, 499
1560024226715, 1669795, 374, 458, 498
1560024226728, 1669808, 375, 458, 499
1560024226740, 1669821, 376, 457, 497
1560024226753, 1669833, 376, 457, 496
1560024226766, 1669846, 377, 457, 494
1560024226779, 1669859, 379, 458, 491
1560024226791, 1669872, 379, 459, 492
1560024226803, 1669884, 380, 460, 489
1560024226817, 1669897, 381, 460, 488
1560024226830, 1669910, 380, 459, 488
1560024226843, 1669922, 380, 462, 488
1560024226855, 1669935, 380, 465, 488
1560024226868, 1669948, 375, 464, 492
1560024226881, 1669960, 375, 463, 494
1560024226893, 1669973, 373, 460, 493
1560024226906, 1669986, 374, 459, 497
1560024226918, 1669999, 372, 457, 498
1560024226931, 1670011, 369, 457, 499
1560024226944, 1670024, 370, 457, 500
1560024226957, 1670037, 371, 455, 501
1560024226969, 1670049, 369, 456, 501
1560024226982, 1670062, 369, 454, 503
1560024226995, 1670075, 371, 454, 500
1560024227007, 1670087, 374, 455, 502
1560024227019, 1670100, 373, 455, 501
1560024227034, 1670113, 374, 458, 501
1560024227046, 1670125, 375, 458, 500
1560024227058, 1670138, 374, 459, 500
1560024227071, 1670151, 376, 459, 500
1560024227084, 1670164, 375, 458, 501
1560024227096, 1670176, 373, 459, 500
1560024227108, 1670189, 374, 458, 501
1560024227121, 1670202, 374, 460, 499
1560024227134, 1670214, 377, 460, 497
1560024227147, 1670227, 375, 461, 496
1560024227159, 1670240, 374, 464, 496
1560024227173, 1670252, 375, 463, 493
1560024227186, 1670265, 376, 463, 493
1560024227199, 1670278, 375, 463, 495
1560024227210, 1670291, 376, 465, 498
1560024227223, 1670303, 376, 461, 497
1560024227236, 1670316, 378, 460, 497
1560024227248, 1670329, 376, 460, 498
1560024227261, 1670341, 375, 458, 499
1560024227274, 1670354, 373, 456, 501
1560024227287, 1670367, 374, 458, 502
1560024227300, 1670379, 374, 456, 501
1560024227312, 1670392, 374, 457, 501
1560024227325, 1670405, 374, 459, 501
1560024227339, 1670417, 374, 458, 501
1560024227351, 1670430, 371, 459, 499
1560024227363, 1670443, 374, 458, 499
1560024227375, 1670456, 375, 461, 498
1560024227390, 1670468, 375, 459, 501
1560024227400, 1670481, 376, 462, 502
1560024227414, 1670494, 373, 460, 500
1560024227426, 1670506, 376, 463, 502
1560024227440, 1670519, 374, 464, 502
1560024227452, 1670532, 374, 464, 502
1560024227465, 1670544, 374, 464, 501
1560024227477, 1670557, 373, 461, 499
1560024227490, 1670570, 375, 461, 500
1560024227503, 1670583, 371, 464, 499
1560024227515, 1670595, 371, 463, 499
1560024227528, 1670608, 369, 464, 500
1560024227542, 1670621, 369, 464, 499
1560024227552, 1670633, 369, 462, 498
1560024227566, 1670646, 370, 459, 497
1560024227579, 1670659, 371, 458, 495
1560024227592, 1670671, 373, 457, 493
1560024227604, 1670684, 373, 459, 496
1560024227617, 1670697, 374, 459, 493
1560024227629, 1670709, 377, 460, 493
1560024227642, 1670722, 378, 460, 494
1560024227656, 1670735, 377, 462, 496
1560024227667, 1670748, 377, 462, 496
1560024227681, 1670760, 378, 457, 497
1560024227693, 1670773, 375, 457, 498
1560024227706, 1670786, 373, 460, 499
1560024227719, 1670798, 372, 460, 499
1560024227731, 1670811, 371, 460, 500
1560024227744, 1670824, 371, 460, 501
1560024227756, 1670836, 373, 460, 500
1560024227770, 1670849, 371, 460, 501
1560024227782, 1670862, 371, 460, 502
1560024227793, 1670875, 370, 460, 498
1560024227807, 1670887, 370, 460, 500
1560024227820, 1670900, 370, 459, 500
1560024227834, 1670913, 372, 457, 498
1560024227844, 1670925, 372, 456, 497
1560024227858, 1670938, 375, 454, 497
1560024227871, 1670951, 377, 457, 496
1560024227884, 1670963, 379, 456, 494
1560024227896, 1670976, 381, 457, 492
1560024227909, 1670989, 382, 455, 491
1560024227921, 1671001, 382, 458, 490
1560024227934, 1671014, 382, 456, 491
1560024227947, 1671027, 379, 456, 489
1560024227960, 1671040, 376, 456, 493
1560024227972, 1671052, 374, 455, 493
1560024227986, 1671065, 371, 455, 495
1560024227997, 1671078, 370, 458, 499
1560024228010, 1671090, 368, 459, 500
1560024228022, 1671103, 369, 460, 502
1560024228036, 1671116, 368, 460, 505
1560024228049, 1671128, 370, 458, 505
1560024228061, 1671141, 371, 457, 505
1560024228074, 1671154, 374, 456, 504
1560024228087, 1671166, 376, 451, 502
1560024228099, 1671179, 379, 453, 500
1560024228112, 1671192, 377, 455, 497
1560024228124, 1671205, 378, 457, 497
1560024228137, 1671217, 379, 461, 495
1560024228150, 1671230, 378, 460, 493
1560024228163, 1671243, 377, 463, 493
1560024228175, 1671255, 379, 465, 491
1560024228188, 1671268, 378, 464, 492
1560024228201, 1671281, 376, 465, 491
1560024228213, 1671293, 375, 461, 491
1560024228225, 1671306, 374, 461, 492
1560024228238, 1671319, 373, 463, 492
1560024228252, 1671332, 374, 462, 493
1560024228265, 1671344, 375, 459, 493
