Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1559610198559, 2092184, 549, 424, 462
1559610198572, 2092197, 548, 425, 464
1559610198586, 2092211, 547, 425, 466
1559610198599, 2092224, 550, 425, 465
1559610198611, 2092237, 553, 424, 461
1559610198625, 2092250, 554, 423, 456
1559610198639, 2092263, 553, 425, 454
1559610198652, 2092276, 552, 426, 456
1559610198664, 2092290, 551, 427, 460
1559610198677, 2092302, 549, 427, 464
1559610198691, 2092315, 549, 427, 466
1559610198703, 2092328, 550, 426, 464
1559610198717, 2092342, 552, 425, 458
1559610198731, 2092355, 554, 424, 454
1559610198743, 2092367, 554, 424, 452
1559610198756, 2092381, 554, 426, 454
1559610198770, 2092394, 552, 427, 458
1559610198783, 2092407, 550, 427, 462
1559610198795, 2092421, 549, 428, 464
1559610198808, 2092433, 549, 428, 465
1559610198822, 2092446, 550, 428, 465
1559610198835, 2092460, 552, 428, 464
1559610198848, 2092473, 553, 425, 461
1559610198861, 2092486, 553, 427, 459
1559610198874, 2092498, 555, 427, 458
1559610198887, 2092512, 554, 427, 460
1559610198900, 2092525, 552, 426, 462
1559610198914, 2092538, 552, 426, 462
1559610198927, 2092552, 553, 426, 460
1559610198939, 2092564, 554, 426, 458
1559610198952, 2092577, 553, 426, 459
1559610198966, 2092591, 552, 426, 462
1559610198978, 2092604, 551, 426, 464
1559610198993, 2092617, 550, 427, 466
1559610199006, 2092630, 551, 427, 465
1559610199019, 2092643, 552, 426, 463
1559610199031, 2092656, 554, 425, 458
1559610199045, 2092669, 554, 425, 455
1559610199058, 2092683, 553, 425, 456
1559610199070, 2092695, 552, 426, 459
1559610199084, 2092708, 551, 427, 462
1559610199097, 2092722, 551, 427, 464
1559610199110, 2092735, 551, 425, 463
1559610199124, 2092748, 553, 425, 460
1559610199137, 2092761, 553, 425, 459
1559610199150, 2092774, 554, 425, 458
1559610199162, 2092787, 553, 425, 458
1559610199176, 2092801, 552, 425, 458
1559610199189, 2092814, 551, 425, 458
1559610199202, 2092826, 548, 425, 460
1559610199214, 2092839, 547, 425, 463
1559610199228, 2092853, 547, 425, 464
1559610199241, 2092866, 548, 424, 463
1559610199255, 2092879, 549, 425, 461
1559610199267, 2092892, 551, 425, 458
1559610199280, 2092905, 553, 425, 457
1559610199293, 2092918, 552, 425, 457
1559610199306, 2092932, 551, 425, 459
1559610199320, 2092945, 550, 425, 462
1559610199333, 2092957, 550, 425, 464
1559610199346, 2092971, 549, 425, 464
1559610199359, 2092984, 550, 424, 461
1559610199373, 2092997, 551, 424, 458
1559610199386, 2093010, 552, 424, 457
1559610199399, 2093023, 551, 424, 459
1559610199411, 2093036, 549, 425, 462
1559610199423, 2093049, 548, 425, 463
1559610199437, 2093063, 548, 425, 464
1559610199451, 2093076, 548, 425, 463
1559610199464, 2093088, 549, 425, 461
1559610199476, 2093102, 551, 424, 457
1559610199490, 2093115, 553, 424, 455
1559610199503, 2093128, 553, 425, 457
1559610199516, 2093142, 552, 426, 460
1559610199530, 2093154, 552, 427, 464
