Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1560023203048, 646137, 397, 471, 544
1560023203060, 646150, 396, 473, 545
1560023203074, 646163, 396, 473, 544
1560023203087, 646175, 395, 475, 545
1560023203100, 646188, 395, 478, 545
1560023203111, 646201, 396, 475, 546
1560023203125, 646213, 397, 476, 545
1560023203138, 646226, 396, 475, 543
1560023203150, 646239, 395, 474, 543
1560023203162, 646251, 395, 474, 541
1560023203175, 646264, 395, 476, 542
1560023203189, 646277, 396, 475, 544
1560023203202, 646290, 396, 474, 542
1560023203215, 646302, 394, 474, 545
1560023203227, 646315, 393, 475, 547
1560023203239, 646328, 393, 475, 547
1560023203251, 646340, 395, 475, 547
1560023203265, 646353, 393, 474, 548
1560023203277, 646366, 395, 472, 546
1560023203289, 646378, 395, 471, 546
1560023203303, 646391, 396, 470, 543
1560023203316, 646404, 396, 472, 544
1560023203328, 646416, 395, 473, 543
1560023203341, 646429, 396, 473, 544
1560023203353, 646442, 393, 475, 543
1560023203367, 646455, 395, 475, 544
1560023203379, 646467, 398, 473, 543
1560023203391, 646480, 396, 474, 544
1560023203403, 646493, 396, 475, 546
1560023203416, 646505, 395, 475, 546
1560023203429, 646518, 396, 476, 548
1560023203442, 646531, 397, 475, 546
1560023203455, 646543, 398, 476, 548
1560023203467, 646556, 396, 478, 546
1560023203481, 646569, 397, 476, 547
1560023203493, 646582, 397, 475, 546
1560023203505, 646594, 395, 473, 545
1560023203519, 646607, 397, 474, 544
1560023203531, 646620, 396, 474, 544
1560023203543, 646632, 396, 476, 543
1560023203556, 646645, 398, 475, 546
1560023203570, 646658, 395, 473, 547
1560023203582, 646670, 395, 473, 545
1560023203595, 646683, 395, 475, 546
1560023203607, 646696, 395, 475, 544
1560023203620, 646708, 396, 476, 544
1560023203633, 646721, 396, 476, 544
1560023203646, 646734, 396, 476, 545
1560023203658, 646747, 398, 476, 544
1560023203672, 646759, 394, 476, 547
1560023203683, 646772, 394, 478, 545
1560023203696, 646785, 392, 477, 545
1560023203709, 646797, 395, 476, 548
1560023203722, 646810, 396, 476, 544
1560023203735, 646823, 397, 472, 542
1560023203747, 646835, 395, 473, 542
1560023203759, 646848, 395, 473, 542
1560023203772, 646861, 397, 474, 546
1560023203786, 646874, 395, 475, 545
1560023203798, 646886, 393, 475, 544
1560023203810, 646899, 394, 475, 546
1560023203825, 646912, 394, 474, 546
1560023203836, 646924, 395, 475, 545
1560023203848, 646937, 396, 473, 546
1560023203861, 646950, 395, 474, 544
1560023203873, 646962, 396, 474, 544
1560023203887, 646975, 394, 475, 544
1560023203900, 646988, 394, 475, 544
1560023203912, 647000, 395, 476, 544
1560023203924, 647013, 393, 476, 546
1560023203937, 647026, 394, 475, 545
1560023203949, 647039, 392, 476, 546
1560023203963, 647051, 394, 476, 546
1560023203975, 647064, 394, 474, 543
1560023203987, 647077, 396, 475, 545
1560023204001, 647089, 395, 476, 545
1560023204013, 647102, 395, 475, 544
1560023204026, 647115, 395, 478, 545
1560023204039, 647127, 393, 477, 545
1560023204051, 647140, 393, 475, 547
1560023204064, 647153, 392, 477, 545
1560023204077, 647166, 393, 477, 546
1560023204090, 647178, 395, 477, 544
1560023204102, 647191, 396, 476, 544
1560023204114, 647204, 395, 474, 544
1560023204129, 647216, 395, 475, 543
1560023204141, 647229, 394, 475, 544
1560023204154, 647242, 395, 477, 545
1560023204166, 647254, 392, 476, 545
1560023204179, 647267, 394, 476, 543
1560023204191, 647280, 394, 477, 544
1560023204204, 647292, 396, 476, 544
1560023204216, 647305, 394, 473, 541
1560023204230, 647318, 394, 475, 544
1560023204243, 647331, 395, 475, 544
1560023204255, 647343, 394, 475, 543
1560023204267, 647356, 393, 477, 543
1560023204280, 647369, 392, 477, 544
1560023204293, 647381, 392, 475, 545
1560023204305, 647394, 394, 477, 543
1560023204318, 647407, 394, 474, 543
1560023204331, 647419, 394, 475, 541
1560023204344, 647432, 395, 473, 543
1560023204356, 647445, 395, 476, 543
1560023204368, 647458, 391, 475, 545
1560023204382, 647470, 392, 475, 544
1560023204395, 647483, 391, 475, 543
